name,position,college,conference,height,weight,forty,vertical,broad_jump,cone,shuttle,age,years_since_first_played,played_at_18,played_at_19,played_at_20,played_at_21,played_at_22,played_at_23,Y0_passing_ATT,Y0_passing_COMPLETIONS,Y0_passing_INT,Y0_passing_PCT,Y0_passing_TD,Y0_passing_YDS,Y0_passing_YPA,Y0_rushing_CAR,Y0_rushing_TD,Y0_rushing_YDS,Y0_rushing_YPC,Y1_rushing_CAR,Y1_rushing_TD,Y1_rushing_YDS,Y1_rushing_YPC,Y2_rushing_CAR,Y2_rushing_TD,Y2_rushing_YDS,Y2_rushing_YPC,Y1_passing_ATT,Y1_passing_COMPLETIONS,Y1_passing_INT,Y1_passing_PCT,Y1_passing_TD,Y1_passing_YDS,Y1_passing_YPA,Y2_passing_ATT,Y2_passing_COMPLETIONS,Y2_passing_INT,Y2_passing_PCT,Y2_passing_TD,Y2_passing_YDS,Y2_passing_YPA,Y3_rushing_CAR,Y3_rushing_TD,Y3_rushing_YDS,Y3_rushing_YPC,Y3_passing_ATT,Y3_passing_COMPLETIONS,Y3_passing_INT,Y3_passing_PCT,Y3_passing_TD,Y3_passing_YDS,Y3_passing_YPA,draft_year,Y0_conf_prestige,Y1_conf_prestige,Y2_conf_prestige,Y3_conf_prestige,conference_prestige
Bryce Young,Quarterback,Alabama,SEC,0.0,0.21428571428571427,,,,,,0.25,3,0,1,1,1,0,0,0.41714285714285715,0.3915343915343915,0.8,0.4669421487603305,0.4117647058823529,0.45157938487115545,0.4615384615384617,0.12380952380952381,0.2,0.24237560192616373,0.7017543859649122,0.3062015503875969,0.14285714285714285,0.08396501457725948,0.3355263157894737,0.049079754601226995,0.0,0.12388591800356506,0.21674876847290642,0.8617363344051447,0.8229885057471265,0.6153846153846154,0.4125000000000001,1.0454545454545454,1.0482060312568786,0.26785714285714285,0.03110419906687403,0.029017857142857144,1.0,0.7519083969465649,0.02631578947368421,0.03416557161629435,0.6635514018691588,,,,,,,,,,,,2023,1.0,1.0,1.0,,1.0
C.J. Stroud,Quarterback,Ohio State,Big Ten,0.625,0.4523809523809524,,,,,,0.0,3,1,1,1,0,0,0,0.4342857142857143,0.42592592592592593,0.7333333333333334,0.5413223140495869,0.5882352941176471,0.5263923524522028,0.5961538461538461,0.11428571428571428,0.0,0.20117710005350456,0.5701754385964912,0.11627906976744186,0.0,0.07230320699708455,0.2960526315789474,0.0,0.0625,0.18716577540106952,2.70935960591133,0.6913183279742765,0.7103448275862069,0.6703296703296704,0.5687499999999999,0.9772727272727273,0.952014087607308,0.3749999999999999,,,,,,,,,,,,,,,,,,,2023,1.0,1.0,1.0,,1.0
Anthony Richardson,Quarterback,Florida,SEC,0.75,1.1666666666666667,1.0093156176693905,1.380952380952381,1.064516129032258,,,0.0,3,1,1,1,0,0,0,0.3161904761904762,0.20899470899470898,0.5333333333333333,0.024793388429752088,0.11764705882352941,0.28969243557772234,0.26923076923076916,0.38095238095238093,0.45,0.4933119315141787,0.9210526315789473,0.18992248062015504,0.14285714285714285,0.3177842565597668,0.8552631578947368,0.03680981595092025,0.0,0.19875222816399288,0.7733990147783251,0.08520900321543408,0.06896551724137931,0.7252747252747253,0.17812499999999984,0.11363636363636363,0.09222980409421087,0.2142857142857143,0.0,0.002232142857142857,0.9230769230769231,0.6361323155216285,0.02631578947368421,0.005913272010512484,1.2616822429906542,,,,,,,,,,,,2023,1.0,1.0,1.0,,1.0
Will Levis,Quarterback,Kentucky,SEC,0.75,0.8095238095238095,,0.7619047619047619,0.9032258064516129,,,0.75,4,0,0,1,1,1,1,0.23238095238095238,0.2328042328042328,0.4666666666666667,0.5041322314049587,0.1568627450980392,0.25997506234413964,0.40384615384615385,0.23809523809523808,0.1,0.08828250401284109,0.2456140350877193,0.4069767441860465,0.42857142857142855,0.3032069970845481,0.5657894736842105,0.49693251533742333,0.1875,0.3761140819964349,0.5024630541871921,0.5498392282958199,0.5172413793103449,0.2857142857142857,0.3843750000000001,0.5227272727272727,0.5978428351309707,0.18749999999999994,0.08242612752721618,0.07366071428571429,1.0,0.7633587786259541,0.02631578947368421,0.09220324134910206,0.7196261682242991,0.25396825396825395,0.23076923076923078,0.32252085264133457,0.6201550387596899,0.11609498680738786,0.1092436974789916,0.8666666666666667,0.5805739514348784,0.08695652173913043,0.07489146164978293,0.2843137254901961,2023,1.0,1.0,1.0,1.0,1.0
Hendon Hooker,Quarterback,Tennessee,SEC,0.625,0.5238095238095238,,,,,,1.0,4,0,0,0,1,1,1,0.32,0.3492063492063492,1.0,0.6776859504132229,0.3137254901960784,0.4114713216957606,0.5961538461538461,0.38571428571428573,0.25,0.3734617442482611,0.7280701754385965,0.6395348837209303,0.23809523809523808,0.4454810495626822,0.5789473684210527,0.7300613496932515,0.5625,0.696969696969697,0.6009852216748768,0.4678456591639871,0.45517241379310347,0.8351648351648352,0.4531250000000001,0.6818181818181818,0.6240369799691834,0.3482142857142857,0.2286158631415241,0.21651785714285715,0.6153846153846154,0.8282442748091603,0.23684210526315788,0.2943495400788436,0.8411214953271029,0.6402116402116402,0.38461538461538464,0.4457831325301205,0.49612403100775193,0.41688654353562005,0.40336134453781514,0.8666666666666667,0.6092715231788078,0.5652173913043478,0.5557163531114327,0.7647058823529412,2023,1.0,1.0,0.9,0.9,1.0
Jake Haener,Quarterback,Fresno State,Mountain West,0.25,0.2857142857142857,,0.8571428571428571,0.5806451612903226,0.3421052631578946,,0.75,3,0,0,0,1,1,1,0.3580952380952381,0.4074074074074074,0.9333333333333333,0.7727272727272725,0.17647058823529413,0.36014131338320865,0.36538461538461553,0.10476190476190476,0.1,0.08132691278758694,0.14035087719298245,0.26744186046511625,0.14285714285714285,0.08688046647230321,0.3421052631578947,0.34355828220858897,0.1875,0.16042780748663102,0.35960591133004927,0.770096463022508,0.7379310344827587,0.5054945054945055,0.41875000000000007,0.7272727272727273,0.87739379264803,0.2232142857142857,0.3514774494556765,0.328125,0.6153846153846154,0.8206106870229007,0.3684210526315789,0.43013578624616733,0.8037383177570093,,,,,,,,,,,,2023,0.55,0.55,0.55,,0.55
Stetson Bennett,Quarterback,Georgia,SEC,0.125,-0.07142857142857142,0.7476089228709195,0.7142857142857143,0.7096774193548387,,0.17910447761194048,1.0,4,0,0,0,1,1,1,0.56,0.5634920634920635,0.6666666666666667,0.615702479338843,0.3137254901960784,0.6176226101413134,0.5192307692307692,0.1619047619047619,0.5,0.2530765115034778,0.6842105263157895,0.20930232558139536,0.047619047619047616,0.23498542274052478,0.638157894736842,0.1411042944785276,0.125,0.1925133689839572,0.458128078817734,0.4437299035369775,0.4068965517241379,0.6153846153846154,0.3375,0.6363636363636364,0.6057671142416905,0.3660714285714285,0.2379471228615863,0.19196428571428573,0.5384615384615384,0.7061068702290076,0.21052631578947367,0.2575558475689882,0.7102803738317757,0.010582010582010581,0.07692307692307693,0.12696941612604262,0.5038759689922481,0.0633245382585752,0.07563025210084033,0.9333333333333333,0.9006622516556291,0.08695652173913043,0.08827785817655572,0.7647058823529412,2023,1.0,1.0,1.0,1.0,1.0
Aidan O'Connell,Quarterback,Purdue,Big Ten,0.625,0.42857142857142855,,,,,,1.0,4,0,0,0,1,1,1,0.64,0.5873015873015873,0.2666666666666667,0.45454545454545453,0.21568627450980393,0.4833748960931006,0.11538461538461534,0.09523809523809523,0.05,0.10005350454788657,0.2017543859649123,0.08914728682170543,0.047619047619047616,0.013994169096209912,0.019736842105263146,0.06748466257668712,0.0,0.0873440285204991,0.08374384236453203,0.6897106109324759,0.7057471264367816,0.39560439560439553,0.5593749999999998,0.6136363636363636,0.7928681488003522,0.2232142857142857,0.208398133748056,0.19642857142857142,0.8461538461538461,0.8231552162849872,0.18421052631578946,0.20061322820849758,0.6261682242990655,0.06878306878306878,0.0,0.10750695088044486,0.22480620155038758,0.42216358839050133,0.42016806722689076,0.7333333333333334,0.6467991169977925,0.34782608695652173,0.3918234442836469,0.48039215686274517,2023,1.0,1.0,1.0,1.0,1.0
Clayton Tune,Quarterback,Houston,American Athletic,0.625,0.5952380952380952,0.8109848608853132,1.0952380952380953,0.8387096774193549,0.1842105263157891,0.253731343283582,0.75,4,0,0,1,1,1,1,0.64,0.626984126984127,0.4666666666666667,0.578512396694215,0.5686274509803921,0.6066084788029925,0.346153846153846,0.5,0.25,0.4360620652755484,0.7456140350877193,0.3992248062015504,0.09523809523809523,0.17376093294460643,0.4342105263157895,0.43558282208588955,0.3125,0.3698752228163993,0.5172413793103449,0.6591639871382636,0.6413793103448275,0.4505494505494505,0.4531250000000001,0.6590909090909091,0.7563284173453665,0.2232142857142857,0.4401244167962675,0.3794642857142857,0.23076923076923073,0.7582697201017811,0.39473684210526316,0.44853263250109504,0.6728971962616823,0.3386243386243386,0.15384615384615385,0.34198331788693237,0.5581395348837209,0.46437994722955145,0.4369747899159664,0.4,0.5717439293598233,0.4782608695652174,0.5488422575976846,0.6666666666666667,2023,0.9,0.9,0.9,0.9,0.55
Dorian Thompson-Robinson,Quarterback,UCLA,Pac-12,0.5,0.19047619047619047,0.9221583565183065,0.6190476190476191,0.8064516129032258,0.6973684210526321,0.5373134328358214,0.5,4,0,1,1,1,1,0,0.41904761904761906,0.4444444444444444,0.4666666666666667,0.6776859504132229,0.3137254901960784,0.415211970074813,0.36538461538461553,0.44761904761904764,0.6,0.4895666131621188,0.850877192982456,0.49612403100775193,0.42857142857142855,0.439067055393586,0.6447368421052633,0.3312883435582822,0.1875,0.41711229946524064,0.6206896551724137,0.43729903536977494,0.38620689655172413,0.6703296703296704,0.26562499999999994,0.45454545454545453,0.5060532687651331,0.2321428571428571,0.2115085536547434,0.20089285714285715,0.6923076923076923,0.8295165394402035,0.3157894736842105,0.24529128339903636,0.7570093457943925,0.6137566137566137,0.3076923076923077,0.29935125115848005,0.40310077519379844,0.9472295514511874,0.8991596638655462,0.19999999999999996,0.5827814569536423,0.9130434782608695,0.9714182344428365,0.5588235294117647,2023,0.9,0.9,0.9,0.9,0.9
