name,position,college,conference,height,weight,forty,bench,vertical,broad_jump,cone,shuttle,age,years_since_first_played,played_at_18,played_at_19,played_at_20,played_at_21,played_at_22,played_at_23,Y0_receiving_REC,Y0_receiving_TD,Y0_receiving_YDS,Y0_receiving_YPR,Y0_rushing_CAR,Y0_rushing_TD,Y0_rushing_YDS,Y0_rushing_YPC,Y1_receiving_REC,Y1_receiving_TD,Y1_receiving_YDS,Y1_receiving_YPR,Y1_rushing_CAR,Y1_rushing_TD,Y1_rushing_YDS,Y1_rushing_YPC,Y2_receiving_REC,Y2_receiving_TD,Y2_receiving_YDS,Y2_receiving_YPR,Y2_rushing_CAR,Y2_rushing_TD,Y2_rushing_YDS,Y2_rushing_YPC,Y3_receiving_REC,Y3_receiving_TD,Y3_receiving_YDS,Y3_receiving_YPR,draft_year,Y0_conf_prestige,Y1_conf_prestige,Y2_conf_prestige,Y3_conf_prestige,conference_prestige
Brock Bowers,Tight End,Georgia,SEC,0.16666666666666666,0.25,,,,,,,0.16666666666666666,3,1,1,1,0,0,0,0.6,0.375,0.6227988878591288,0.4320000000000001,0.5454545454545454,1.0,0.4057971014492754,0.06811594202898551,0.7885532591414944,0.47863247863247865,0.8408041697691736,0.6763285024154589,1.125,0.75,3.7107438016528924,1.175,1.1,1.1818181818181819,1.2673410404624277,0.5192307692307693,0.5,0.25,2.3846153846153846,2.2471910112359548,,,,,2024,1.0,1.0,1.0,,1.0
Ben Sinnott,Tight End,Kansas State,Big 12,0.3333333333333333,0.4444444444444444,0.4150039133724138,,0.896551724137931,0.6923076923076923,0.9003094218309132,0.8437463827098463,0.3333333333333333,3,0,1,1,1,0,0,0.5176470588235295,0.375,0.58758109360519,0.5120000000000001,,,,,0.3815580286168522,0.27350427350427353,0.39851079672375284,0.6473429951690821,,,,,0.02,0.0,0.014450867052023121,0.12019230769230768,0.3333333333333333,0.25,0.6923076923076923,1.1235955056179774,,,,,2024,0.9,0.9,0.9,,0.9
Tip Reiman,Tight End,Illinois,Big Ten,0.5,1.0277777777777777,0.5559977581104663,1.0909090909090908,0.4482758620689655,0.5,0.6844525080950853,0.8035559282986167,0.3333333333333333,3,0,1,1,1,0,0,0.16470588235294117,0.1875,0.14921223354958293,0.26399999999999996,,,,,0.2289348171701113,0.06837606837606838,0.15368577810871187,0.391304347826087,,,,,0.04,0.09090909090909091,0.05491329479768786,0.44711538461538464,,,,,,,,,2024,1.0,1.0,1.0,,1.0
Ja'Tavion Sanders,Tight End,Texas,Big 12,0.3333333333333333,0.3055555555555556,0.3818503103600758,,,,,0.6880141399951564,0.16666666666666666,3,1,1,1,0,0,0,0.47058823529411764,0.125,0.593141797961075,0.624,0.09090909090909091,0.0,0.17391304347826086,0.17391304347826086,0.6740858505564388,0.3418803418803419,0.5468354430379747,0.5024154589371981,,,,,,,,,,,,,,,,,2024,1.0,1.0,1.0,,0.9
Theo Johnson,Tight End,Penn State,Big Ten,0.6666666666666666,0.6944444444444444,,,,,,,0.5,4,0,1,1,1,1,0,0.3411764705882353,0.4375,0.27710843373493976,0.208,,,,,0.24165341812400637,0.27350427350427353,0.2921816827997022,0.7439613526570048,,,,,0.36,0.09090909090909091,0.30057803468208094,0.298076923076923,,,,,0.08823529411764706,0.0,0.11210762331838565,0.47058823529411764,2024,1.0,1.0,1.0,1.0,1.0
Erick All,Tight End,Iowa,Big Ten,0.3333333333333333,0.5,,,,,,,0.5,4,0,1,1,1,1,0,0.18823529411764706,0.1875,0.2381835032437442,0.544,,,,,0.47058823529411764,0.13675213675213677,0.3895755770662696,0.5072463768115942,,,,,0.74,0.18181818181818182,0.6242774566473989,0.3125,,,,,0.3235294117647059,0.0,0.17040358744394618,0.04705882352941176,2024,1.0,1.0,1.0,1.0,1.0
AJ Barner,Tight End,Michigan,Big Ten,0.6666666666666666,0.4722222222222222,,,,,,,0.3333333333333333,3,0,1,1,1,0,0,0.2,0.0625,0.19184430027803523,0.31200000000000006,,,,,0.33068362480127184,0.20512820512820512,0.17155621742367835,0.2946859903381642,,,,,0.26,0.09090909090909091,0.22687861271676302,0.3173076923076923,,,,,,,,,2024,1.0,1.0,1.0,,1.0
Cade Stover,Tight End,Ohio State,Big Ten,0.3333333333333333,0.3611111111111111,0.5203083794059569,,0.5172413793103449,0.34615384615384615,,0.2854740973699674,0.6666666666666666,3,0,0,0,1,1,1,0.4235294117647059,0.3125,0.494902687673772,0.528,,,,,0.4451510333863275,0.3418803418803419,0.36187639612807154,0.497584541062802,,,,,0.08,0.0,0.10260115606936417,0.4903846153846153,,,,,,,,,2024,1.0,1.0,1.0,,1.0
Jared Wiley,Tight End,TCU,Big 12,0.6666666666666666,0.4166666666666667,0.6256128454395029,,0.6896551724137931,0.38461538461538464,0.24155623753993763,,0.5,4,0,1,1,1,1,0,0.49411764705882355,0.5,0.44300278035217794,0.296,,,,,0.29252782193958665,0.27350427350427353,0.21801935964259125,0.4444444444444444,,,,,0.16,0.18181818181818182,0.08959537572254335,0.11538461538461539,,,,,0.23529411764705882,0.16666666666666666,0.35874439461883406,0.7294117647058823,2024,0.9,0.9,1.0,1.0,0.9
Tanner McLachlan,Tight End,Arizona,Pac-12,0.5,0.2777777777777778,0.658766448451838,,0.5517241379310345,0.34615384615384615,,,0.8333333333333334,2,0,0,0,0,0,1,0.47058823529411764,0.25,0.45041705282669137,0.344,,,,,0.41971383147853736,0.13675213675213677,0.40655249441548774,0.5990338164251208,,,,,,,,,,,,,,,,,2024,0.9,0.9,,,0.9
