name,position,college,conference,height,weight,forty,bench,vertical,broad_jump,cone,shuttle,age,years_since_first_played,played_at_18,played_at_19,played_at_20,played_at_21,played_at_22,played_at_23,Y0_receiving_REC,Y0_receiving_TD,Y0_receiving_YDS,Y0_receiving_YPR,Y0_rushing_CAR,Y0_rushing_TD,Y0_rushing_YDS,Y0_rushing_YPC,Y1_receiving_REC,Y1_receiving_TD,Y1_receiving_YDS,Y1_receiving_YPR,Y1_rushing_CAR,Y1_rushing_TD,Y1_rushing_YDS,Y1_rushing_YPC,Y2_receiving_REC,Y2_receiving_TD,Y2_receiving_YDS,Y2_receiving_YPR,Y2_rushing_CAR,Y2_rushing_TD,Y2_rushing_YDS,Y2_rushing_YPC,Y3_receiving_REC,Y3_receiving_TD,Y3_receiving_YDS,Y3_receiving_YPR,Y3_rushing_CAR,Y3_rushing_TD,Y3_rushing_YDS,Y3_rushing_YPC,draft_year,Y0_conf_prestige,Y1_conf_prestige,Y2_conf_prestige,Y3_conf_prestige,conference_prestige
Ashton Jeanty,Running Back,Boise State,Mountain West,0.2857142857142857,0.49295774647887325,,,,,,,0.0,3,1,1,1,0,0,0,0.3947797716150081,0.1923076923076923,0.1892535733192165,0.25625000000000003,1.072674418604651,0.8579881656804733,1.1593679458239277,0.62,0.84,0.7142857142857143,0.8823529411764706,0.7135678391959799,0.5333333333333333,0.4375,0.5865955218670523,0.49382716049382713,0.2708333333333333,0.0,0.3036750483558994,0.5041666666666667,0.5,0.2692307692307692,0.44301765650080255,0.2647058823529412,,,,,,,,,2025,0.55,0.55,0.55,,0.55
Omarion Hampton,Running Back,North Carolina,ACC,0.7142857142857143,0.6338028169014085,0.6001371029130181,0.52,0.7692307692307693,0.9545454545454546,,0.19252178526024155,0.3333333333333333,3,0,1,1,1,0,0,0.66394779771615,0.3846153846153846,0.5313658020116463,0.4937500000000001,0.8023255813953488,0.44378698224852065,0.7345372460496614,0.4000000000000001,0.56,0.14285714285714285,0.34520123839009287,0.4371859296482412,0.6153846153846154,0.46875,0.6552635515882911,0.46913580246913583,0.10416666666666667,0.2,0.08123791102514506,0.32083333333333336,0.27741935483870966,0.23076923076923078,0.21562332798287853,0.2352941176470588,,,,,,,,,2025,0.9,0.9,0.9,,0.9
Quinshon Judkins,Running Back,Ohio State,Big Ten,0.7142857142857143,0.6338028169014085,0.5042188968098027,,0.8076923076923077,1.0454545454545454,,,0.0,3,1,1,1,0,0,0,0.3768352365415987,0.3846153846153846,0.2227368978295394,0.3375000000000001,0.5494186046511628,0.4142011834319526,0.4636568848758465,0.32,0.42,0.2857142857142857,0.23219814241486067,0.3919597989949749,0.6615384615384615,0.46875,0.49997506607490155,0.2716049382716049,0.2916666666666667,0.2,0.25918762088974856,0.4083333333333334,0.8774193548387097,0.6153846153846154,0.8394863563402889,0.2815126050420168,,,,,,,,,2025,1.0,1.0,1.0,,1.0
TreVeyon Henderson,Running Back,Ohio State,Big Ten,0.42857142857142855,0.36619718309859156,0.747040599003748,,0.8076923076923077,0.8636363636363636,,,0.3333333333333333,4,1,1,1,1,0,0,0.46655791190864593,0.1923076923076923,0.401799894123875,0.5375000000000001,0.40406976744186046,0.29585798816568043,0.4437923250564334,0.6399999999999999,0.36,0.0,0.3560371517027864,0.6582914572864322,0.36666666666666664,0.34375,0.39585099486361147,0.46913580246913583,0.0625,0.2,0.058027079303675046,0.3333333333333333,0.3387096774193548,0.23076923076923078,0.30658105939004815,0.2647058823529412,0.9285714285714286,1.3333333333333333,0.813953488372093,0.31063829787234043,0.7290836653386454,0.8333333333333334,0.810880829015544,0.475,2025,1.0,1.0,1.0,1.0,1.0
RJ Harvey,Running Back,UCF,Big 12,0.14285714285714285,0.4084507042253521,0.8836977074891378,0.44,0.7692307692307693,0.8181818181818182,,0.324594260857096,1.0,3,0,0,0,1,1,1,0.34094616639477976,0.5769230769230769,0.37705134992059286,0.7187500000000001,0.6598837209302325,0.6508875739644969,0.6970654627539503,0.58,0.36,0.2857142857142857,0.369969040247678,0.678391959798995,0.5461538461538461,0.5,0.6157682142322846,0.5185185185185185,0.4375,0.0,0.4197292069632495,0.45,0.3741935483870968,0.19230769230769232,0.42696629213483145,0.3235294117647059,,,,,,,,,2025,0.9,0.9,0.9,,0.9
Kaleb Johnson,Running Back,Iowa,Big Ten,0.8571428571428571,0.676056338028169,0.17808660502074605,,,,,,0.3333333333333333,3,0,1,1,1,0,0,0.3768352365415987,0.3846153846153846,0.2620434092112228,0.41250000000000003,0.6831395348837209,0.621301775147929,0.6790067720090294,0.5000000000000001,0.04,0.0,0.04024767801857585,0.4673366834170855,0.26666666666666666,0.09375,0.18805166309280408,0.2345679012345679,0.0625,0.0,0.05609284332688588,0.325,0.4806451612903226,0.23076923076923078,0.4178705189941145,0.2605042016806723,,,,,,,,,2025,1.0,1.0,1.0,,1.0
Bhayshul Tuten,Running Back,Virginia Tech,ACC,0.2857142857142857,0.4225352112676056,1.1451818501692848,,0.9615384615384616,0.9545454545454546,,0.17587687532662524,0.3333333333333333,2,0,0,1,1,0,0,0.3768352365415987,0.3846153846153846,0.10336156696664901,0.10625000000000002,0.5174418604651163,0.44378698224852065,0.5079006772009029,0.48,0.52,0.2857142857142857,0.3715170278637771,0.4974874371859297,0.41025641025641024,0.3125,0.36757592380192494,0.35802469135802467,,,,,,,,,,,,,,,,,2025,0.9,0.9,,,0.9
Cam Skattebo,Running Back,Arizona State,Big 12,0.42857142857142855,0.6056338028169014,,,0.8846153846153846,0.6363636363636364,,,0.6666666666666666,2,0,0,0,1,1,0,0.7895595432300162,0.5769230769230769,0.8691106405505558,0.7187500000000001,0.8372093023255814,0.621301775147929,0.7593679458239277,0.4000000000000001,0.46,0.14285714285714285,0.44427244582043346,0.6482412060301508,0.3871794871794872,0.28125,0.3339151249189648,0.3333333333333333,,,,,,,,,,,,,,,,,2025,0.9,0.9,,,0.9
Trevor Etienne,Running Back,Georgia,SEC,0.2857142857142857,0.30985915492957744,0.7944035640746319,0.4,0.5384615384615384,0.6818181818181818,,,0.0,3,1,1,1,0,0,0,0.5562805872756933,0.0,0.2707781895182636,0.2625,0.34011627906976744,0.2662721893491124,0.2600451467268623,0.22000000000000003,0.4,0.14285714285714285,0.2678018575851393,0.4623115577889447,0.30256410256410254,0.25,0.3182067521069167,0.4444444444444445,0.16666666666666666,0.0,0.13152804642166344,0.3458333333333334,0.3741935483870968,0.23076923076923078,0.3857677902621723,0.29831932773109243,,,,,,,,,2025,1.0,1.0,1.0,,1.0
Woody Marks,Running Back,USC,Big Ten,0.42857142857142855,0.43661971830985913,0.2649219697594867,0.52,0.5384615384615384,0.45454545454545453,,0.6396079799952037,1.0,4,0,0,1,1,1,1,0.8254486133768352,0.0,0.4556643726839597,0.3062500000000001,0.561046511627907,0.2662721893491124,0.4966139954853273,0.36000000000000004,0.44,0.2857142857142857,0.26006191950464397,0.4170854271356785,0.27692307692307694,0.125,0.2374208347878123,0.3209876543209877,0.9791666666666666,0.0,0.5609284332688588,0.2916666666666667,0.3580645161290323,0.34615384615384615,0.3124665596575709,0.2605042016806723,2.9285714285714284,1.0,1.3049095607235142,0.19148936170212766,0.41832669322709165,0.3333333333333333,0.26748704663212436,0.11249999999999999,2025,0.9,1.0,1.0,1.0,1.0
