name,position,college,conference,height,weight,forty,bench,vertical,broad_jump,cone,shuttle,age,years_since_first_played,played_at_18,played_at_19,played_at_20,played_at_21,played_at_22,played_at_23,Y0_receiving_REC,Y0_receiving_TD,Y0_receiving_YDS,Y0_receiving_YPR,Y0_rushing_CAR,Y0_rushing_TD,Y0_rushing_YDS,Y0_rushing_YPC,Y1_receiving_REC,Y1_receiving_TD,Y1_receiving_YDS,Y1_receiving_YPR,Y1_rushing_CAR,Y1_rushing_TD,Y1_rushing_YDS,Y1_rushing_YPC,Y2_receiving_REC,Y2_receiving_TD,Y2_receiving_YDS,Y2_receiving_YPR,Y2_rushing_CAR,Y2_rushing_TD,Y2_rushing_YDS,Y2_rushing_YPC,Y3_receiving_REC,Y3_receiving_TD,Y3_receiving_YDS,Y3_receiving_YPR,Y3_rushing_CAR,Y3_rushing_TD,Y3_rushing_YDS,Y3_rushing_YPC,draft_year,Y0_conf_prestige,Y1_conf_prestige,Y2_conf_prestige,Y3_conf_prestige,conference_prestige
Colston Loveland,Tight End,Michigan,Big Ten,0.6666666666666666,0.3888888888888889,,,,,,,0.16666666666666666,3,1,1,1,0,0,0,0.6,0.3125,0.5004633920296571,0.24000000000000005,0.09090909090909091,0.0,-0.028985507246376812,-0.028985507246376812,0.5596184419713831,0.27350427350427353,0.5790022338049144,0.6473429951690821,,,,,0.3,0.18181818181818182,0.33236994219653176,0.4663461538461538,0.0,0.0,-0.07692307692307693,-0.2247191011235955,,,,,,,,,2025,1.0,1.0,1.0,,1.0
Tyler Warren,Tight End,Penn State,Big Ten,0.6666666666666666,0.6111111111111112,,,,,,,0.5,4,0,1,1,1,1,0,1.1647058823529413,0.5,1.1037998146431882,0.36000000000000004,2.3636363636363638,4.0,3.1594202898550723,0.12173913043478261,0.41971383147853736,0.47863247863247865,0.3761727475800447,0.5507246376811594,,,,,0.18,0.2727272727272727,0.17052023121387283,0.3509615384615385,,,,,0.11764705882352941,0.16666666666666666,0.12331838565022421,0.36470588235294116,1.0,1.0,0.10810810810810811,0.11538461538461539,2025,1.0,1.0,1.0,1.0,1.0
Mason Taylor,Tight End,LSU,SEC,0.5,0.4722222222222222,,,,,,,0.16666666666666666,3,1,1,1,0,0,0,0.5882352941176471,0.125,0.46709916589434664,0.20000000000000004,,,,,0.4451510333863275,0.06837606837606838,0.3100521221146687,0.42028985507246375,,,,,0.74,0.2727272727272727,0.5910404624277457,0.28365384615384615,,,,,,,,,,,,,2025,1.0,1.0,1.0,,1.0
Terrance Ferguson,Tight End,Oregon,Big Ten,0.5,0.3611111111111111,0.5912379641367415,,0.8275862068965517,0.5384615384615384,,,0.3333333333333333,4,1,1,1,1,0,0,0.4470588235294118,0.1875,0.5088044485634847,0.504,,,,,0.5214626391096979,0.41025641025641024,0.3690245718540581,0.42995169082125606,,,,,0.62,0.45454545454545453,0.5578034682080925,0.3461538461538461,,,,,0.47058823529411764,0.3333333333333333,0.30269058295964124,0.13529411764705887,,,,,2025,0.9,0.9,0.9,0.9,1.0
Elijah Arroyo,Tight End,Miami,ACC,0.5,0.4444444444444444,,0.8181818181818182,,,,,0.3333333333333333,4,1,1,1,1,0,0,0.35294117647058826,0.4375,0.5078776645041705,0.76,,,,,0.05087440381558029,0.0,0.05807892777364111,0.5893719806763285,,,,,0.08,0.0,0.08815028901734104,0.39423076923076916,,,,,0.11764705882352941,0.16666666666666666,0.17937219730941703,0.6588235294117647,,,,,2025,0.9,0.9,0.9,0.9,0.9
Harold Fannin Jr.,Tight End,Bowling Green,Mid-American,0.16666666666666666,0.19444444444444445,0.3202368182160446,0.8181818181818182,0.4827586206896552,0.38461538461538464,0.7719268949587947,0.48056780286391604,0.16666666666666666,3,1,1,1,0,0,0,1.3176470588235294,0.625,1.3975903614457832,0.46399999999999997,0.8181818181818182,1.0,0.9420289855072463,0.10434782608695653,0.5468998410174881,0.41025641025641024,0.555770662695458,0.6376811594202898,1.75,0.0,1.462809917355372,0.4083333333333334,0.36,0.09090909090909091,0.3078034682080925,0.3125,1.5,1.0,2.269230769230769,1.2696629213483146,,,,,,,,,2025,0.35,0.35,0.35,,0.35
Gunnar Helm,Tight End,Texas,SEC,0.5,0.19444444444444445,0.07820742538015438,,0.20689655172413793,,0.3319353139264989,0.44673530780189896,0.5,3,0,0,1,1,1,0,0.6470588235294118,0.4375,0.6895273401297498,0.456,,,,,0.16534181240063592,0.13675213675213677,0.17066269545793003,0.6135265700483091,,,,,0.08,0.0,0.05635838150289017,0.1826923076923077,,,,,,,,,,,,,2025,1.0,1.0,1.0,,1.0
Mitchell Evans,Tight End,Notre Dame,FBS Independents,0.5,0.6666666666666666,0.24132805817290282,,0.27586206896551724,0.2692307692307692,0.14801566081656248,0.44673530780189896,0.3333333333333333,4,1,1,1,1,0,0,0.4470588235294118,0.1875,0.35125115848007415,0.19200000000000006,,,,,0.356120826709062,0.06837606837606838,0.3761727475800447,0.6570048309178744,0.125,0.0,0.17355371900826447,0.3333333333333333,0.04,0.09090909090909091,0.049132947976878616,0.3846153846153846,1.0,0.25,0.6538461538461539,0.8539325842696629,0.029411764705882353,0.0,0.033632286995515695,0.2647058823529412,,,,,2025,0.9,0.9,0.9,0.9,0.9
Oronde Gadsden II,Tight End,Syracuse,ACC,0.5,0.25,,,0.4827586206896552,0.23076923076923078,,,0.3333333333333333,4,1,1,1,1,0,0,0.788235294117647,0.4375,0.8155699721964782,0.4320000000000001,0.09090909090909091,0.0,0.17391304347826086,0.17391304347826086,0.7631160572337043,0.41025641025641024,0.8649292628443783,0.7198067632850242,,,,,1.2,0.5454545454545454,1.393063583815029,0.5240384615384616,,,,,0.029411764705882353,0.0,0.04035874439461883,0.35294117647058826,,,,,2025,0.9,0.9,0.9,0.9,0.9
Jackson Hawes,Tight End,Georgia Tech,ACC,0.5,0.5277777777777778,0.10150750242950957,0.5454545454545454,0.5172413793103449,0.5,,0.44673530780189896,0.6666666666666666,1,0,0,0,0,0,1,0.12941176470588237,0.0,0.1417979610750695,0.38399999999999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,0.9,,,,0.9
