name,position,college,conference,height,weight,forty,vertical,broad_jump,cone,shuttle,years_since_first_played,played_at_18,played_at_19,played_at_20,played_at_21,played_at_22,played_at_23,Y0_passing_ATT,Y0_passing_COMPLETIONS,Y0_passing_INT,Y0_passing_PCT,Y0_passing_TD,Y0_passing_YDS,Y0_passing_YPA,Y0_rushing_CAR,Y0_rushing_TD,Y0_rushing_YDS,Y0_rushing_YPC,Y1_passing_ATT,Y1_passing_COMPLETIONS,Y1_passing_INT,Y1_passing_PCT,Y1_passing_TD,Y1_passing_YDS,Y1_passing_YPA,Y1_rushing_CAR,Y1_rushing_TD,Y1_rushing_YDS,Y1_rushing_YPC,Y2_rushing_CAR,Y2_rushing_TD,Y2_rushing_YDS,Y2_rushing_YPC,Y2_passing_ATT,Y2_passing_COMPLETIONS,Y2_passing_INT,Y2_passing_PCT,Y2_passing_TD,Y2_passing_YDS,Y2_passing_YPA,Y3_rushing_CAR,Y3_rushing_TD,Y3_rushing_YDS,Y3_rushing_YPC,Y3_passing_ATT,Y3_passing_COMPLETIONS,Y3_passing_INT,Y3_passing_PCT,Y3_passing_TD,Y3_passing_YDS,Y3_passing_YPA,draft_year,Y0_conf_prestige,Y1_conf_prestige,Y2_conf_prestige,Y3_conf_prestige,conference_prestige
Fernando Mendoza,Quarterback,Indiana,Big Ten,0.875,0.9761904761904762,,,,,,2,0,0,0,0,0,0,0.41523809523809524,0.4656084656084656,0.7333333333333334,0.7768595041322311,0.5882352941176471,0.4945968412302577,0.5576923076923078,0.319047619047619,0.35,0.29106474050294273,0.6403508771929824,0.6028938906752411,0.5908045977011495,0.6703296703296704,0.46875000000000017,0.3409090909090909,0.6370239929561964,0.16964285714285707,0.32945736434108525,0.09523809523809523,0.14518950437317785,0.4144736842105263,,,,,,,,,,,,,,,,,,,,,,,2026,1.0,0.9,,,1.0
Ty Simpson,Quarterback,Alabama,SEC,0.375,0.38095238095238093,,,,,,3,0,0,0,0,0,0,0.5942857142857143,0.5502645502645502,0.8,0.4669421487603305,0.3333333333333333,0.5012468827930174,0.2115384615384615,0.319047619047619,0.1,0.19315141787051898,0.45614035087719296,0.022508038585209004,0.013793103448275862,1.0,0.07187500000000008,-0.022727272727272728,0.012546775258639665,0.07142857142857141,0.023255813953488372,0.047619047619047616,0.10962099125364431,0.6973684210526316,0.07975460122699386,0.125,0.22103386809269163,0.645320197044335,0.027993779160186624,0.024553571428571428,1.0,0.6997455470737913,0.0,0.03920280332895313,0.8411214953271029,,,,,,,,,,,,2026,1.0,1.0,1.0,,1.0
Drew Allar,Quarterback,Penn State,Big Ten,0.875,0.7857142857142857,,,,,,4,0,0,0,0,0,0,-0.0038095238095238095,0.015873015873015872,0.9333333333333333,0.47933884297520657,-0.058823529411764705,-0.01142975893599335,0.09615384615384617,0.06190476190476191,0.05,0.23542001070090957,0.7894736842105263,0.6157556270096463,0.5839080459770115,0.5604395604395604,0.4000000000000001,0.5227272727272727,0.7081223860884878,0.2232142857142857,0.3643410852713178,0.2857142857142857,0.2600583090379009,0.5394736842105263,0.44785276073619634,0.25,0.3315508021390374,0.4827586206896552,0.6003110419906688,0.5200892857142857,0.8461538461538461,0.7646310432569974,0.6578947368421053,0.576215505913272,0.6355140186915889,0.08465608465608465,0.07692307692307693,0.16404077849860982,0.49612403100775193,0.1503957783641161,0.13865546218487396,1.0,0.551876379690949,0.17391304347826086,0.11866859623733719,0.3823529411764707,2026,1.0,1.0,1.0,1.0,1.0
Garrett Nussmeier,Quarterback,LSU,SEC,0.5,0.19047619047619047,,,,,,4,0,0,0,0,0,0,0.2419047619047619,0.2566137566137566,0.8,0.5867768595041323,0.0196078431372549,0.16043225270157938,0.05769230769230767,0.02857142857142857,0.05,0.11289459604066346,0.1929824561403509,0.8247588424437299,0.7540229885057471,0.34065934065934067,0.325,0.6363636363636364,0.8648470173893903,0.16071428571428567,0.13178294573643412,0.14285714285714285,0.061224489795918366,0.2631578947368421,0.0,0.0625,0.14527629233511585,0.3940886699507389,0.1181959564541213,0.10714285714285714,0.9230769230769231,0.782442748091603,0.10526315789473684,0.12965396408234778,0.7102803738317757,-0.005291005291005291,0.0,0.10379981464318813,-0.7364341085271318,0.21372031662269128,0.21008403361344538,0.7333333333333334,0.6313465783664458,0.21739130434782608,0.28364688856729375,0.7549019607843138,2026,1.0,1.0,1.0,1.0,1.0
Carson Beck,Quarterback,Miami (FL),,0.875,0.9047619047619048,,,,,,4,0,0,0,0,0,0,0.5847619047619048,0.6375661375661376,0.33333333333333337,0.7851239669421486,0.37254901960784315,0.5523690773067331,0.3269230769230768,0.18571428571428572,0.1,0.16639914392723382,0.4298245614035088,0.702572347266881,0.6482758620689655,0.34065934065934067,0.34375,0.6136363636363636,0.7429011666299802,0.16964285714285707,0.2054263565891473,0.047619047619047616,0.12536443148688048,0.42105263157894735,0.3619631901840491,0.25,0.24777183600713013,0.43842364532019706,0.645412130637636,0.6741071428571429,0.5384615384615384,0.921119592875318,0.631578947368421,0.8631187034603591,0.8878504672897197,0.026455026455026454,0.0,0.1556997219647822,0.7441860465116279,0.08443271767810026,0.10084033613445378,1.0,0.9050772626931567,0.17391304347826086,0.10636758321273516,0.6960784313725491,2026,0.9,1.0,1.0,1.0,0.15
Taylen Green,Quarterback,Arkansas,SEC,1.0,0.7619047619047619,1.0352041965702994,1.6666666666666667,1.2258064516129032,,,2,0,0,0,0,0,0,0.3142857142857143,0.2671957671957672,0.4,0.3099173553719006,0.1568627450980392,0.3239817123857024,0.36538461538461553,0.5476190476190477,0.4,0.5601926163723917,0.8596491228070176,0.594855305466238,0.5103448275862069,0.5054945054945055,0.20937499999999987,0.3181818181818182,0.6698217037200088,0.2142857142857143,0.5968992248062015,0.38095238095238093,0.43498542274052476,0.5921052631578948,,,,,,,,,,,,,,,,,,,,,,,2026,1.0,1.0,,,1.0
Cade Klubnik,Quarterback,Clemson,ACC,0.5,0.2857142857142857,,,,,,4,0,0,0,0,0,0,0.44,0.42328042328042326,0.7333333333333334,0.512396694214876,0.09803921568627451,0.371571072319202,0.2115384615384615,0.2857142857142857,0.2,0.1936864633493847,0.46491228070175444,0.7636655948553055,0.6896551724137931,0.6703296703296704,0.303125,0.7954545454545454,0.776799471714726,0.14285714285714282,0.45348837209302323,0.3333333333333333,0.3533527696793003,0.5921052631578948,0.7607361963190185,0.25,0.3065953654188948,0.4187192118226601,0.702954898911353,0.6473214285714286,0.3076923076923077,0.8129770992366412,0.5,0.6228646517739816,0.588785046728972,0.21164021164021163,0.15384615384615385,0.24467099165894346,0.5271317829457364,0.2559366754617414,0.24789915966386555,0.8,0.6114790286975716,0.08695652173913043,0.2463820549927641,0.5098039215686275,2026,0.9,0.9,0.9,0.9,0.9
Sawyer Robertson,Quarterback,Baylor,Big 12,0.75,0.5,0.8109848608853132,1.0952380952380953,0.8709677419354839,0.9210526315789479,0.5671641791044775,4,0,0,0,0,0,0,0.6514285714285715,0.5476190476190477,0.33333333333333337,0.29752066115702464,0.39215686274509803,0.5249376558603491,0.173076923076923,0.15714285714285714,0.15,0.15248796147672553,0.39473684210526316,0.5739549839228296,0.5080459770114942,0.5604395604395604,0.26562499999999994,0.6136363636363636,0.6517719568567026,0.2142857142857143,0.2364341085271318,0.19047619047619047,0.21807580174927113,0.5789473684210527,0.2085889570552147,0.0625,0.20588235294117646,0.44334975369458124,0.17884914463452567,0.14732142857142858,0.6923076923076923,0.7175572519083968,0.05263157894736842,0.18922470433639949,0.691588785046729,0.0,0.0,0.11584800741427248,0.2713178294573643,0.021108179419525065,0.01680672268907563,0.9333333333333333,0.467991169977925,0.0,0.002532561505065123,0.02941176470588236,2026,0.9,0.9,0.9,1.0,0.9
Jalon Daniels,Quarterback,Kansas,Big 12,0.375,0.5714285714285714,0.7914681182512737,,,,,4,0,0,0,0,0,0,0.30095238095238097,0.2671957671957672,0.6666666666666667,0.3677685950413222,0.21568627450980393,0.2803408146300914,0.26923076923076916,0.44761904761904764,0.2,0.3697164258962012,0.6842105263157895,0.4646302250803859,0.37471264367816093,0.34065934065934067,0.10312499999999976,0.29545454545454547,0.5159586176535329,0.20535714285714274,0.35271317829457366,0.2857142857142857,0.3446064139941691,0.6513157894736842,0.4662576687116564,0.4375,0.517825311942959,0.6108374384236454,0.3545878693623639,0.3392857142857143,0.6923076923076923,0.8409669211195929,0.47368421052631576,0.4410862899693386,0.8224299065420562,0.3968253968253968,0.5384615384615384,0.5041705282669138,0.689922480620155,0.5989445910290238,0.6302521008403361,0.7333333333333334,0.7240618101545254,0.782608695652174,0.7228654124457308,0.6862745098039217,2026,0.9,0.9,0.9,0.9,0.9
Behren Morton,Quarterback,Texas Tech,Big 12,0.5,0.6190476190476191,,,,,,4,0,0,0,0,0,0,0.32761904761904764,0.32275132275132273,0.7333333333333334,0.5206611570247934,0.21568627450980393,0.33769742310889445,0.36538461538461553,0.09523809523809523,0.0,0.08293204922418405,0.14035087719298245,0.7266881028938906,0.6551724137931034,0.5604395604395604,0.3,0.5909090909090909,0.7021791767554479,0.10714285714285707,0.2054263565891473,0.047619047619047616,0.07113702623906705,0.30921052631578944,0.27607361963190186,0.25,0.14705882352941177,0.34975369458128075,0.45412130637636083,0.40625,0.3846153846153846,0.787531806615776,0.39473684210526316,0.384143670608848,0.5607476635514019,0.20634920634920634,0.15384615384615385,0.18257645968489342,0.4108527131782945,0.43799472295514513,0.3949579831932773,0.6,0.5187637969094921,0.30434782608695654,0.3983357452966715,0.47058823529411764,2026,0.9,0.9,0.9,0.9,0.9
