name,position,college,conference,height,weight,forty,bench,vertical,broad_jump,cone,shuttle,years_since_first_played,played_at_18,played_at_19,played_at_20,played_at_21,played_at_22,played_at_23,Y0_rushing_CAR,Y0_rushing_TD,Y0_rushing_YDS,Y0_rushing_YPC,Y0_receiving_REC,Y0_receiving_TD,Y0_receiving_YDS,Y0_receiving_YPR,Y1_receiving_REC,Y1_receiving_TD,Y1_receiving_YDS,Y1_receiving_YPR,Y1_rushing_CAR,Y1_rushing_TD,Y1_rushing_YDS,Y1_rushing_YPC,Y2_receiving_REC,Y2_receiving_TD,Y2_receiving_YDS,Y2_receiving_YPR,Y2_rushing_CAR,Y2_rushing_TD,Y2_rushing_YDS,Y2_rushing_YPC,Y3_receiving_REC,Y3_receiving_TD,Y3_receiving_YDS,Y3_receiving_YPR,Y3_rushing_CAR,Y3_rushing_TD,Y3_rushing_YDS,Y3_rushing_YPC,draft_year,Y0_conf_prestige,Y1_conf_prestige,Y2_conf_prestige,Y3_conf_prestige,conference_prestige
Jeremiyah Love,Running Back,Notre Dame,FBS Independents,0.7142857142857143,0.5070422535211268,1.0337004911249479,,,,,,3,0,0,0,0,0,0,0.563953488372093,0.5325443786982248,0.6045146726862303,0.6000000000000001,0.46655791190864593,0.5769230769230769,0.3959767072525145,0.5312500000000001,0.54,0.2857142857142857,0.3684210526315789,0.47738693467336685,0.38461538461538464,0.53125,0.4851643145663991,0.5925925925925927,0.14583333333333334,0.2,0.1528046421663443,0.44166666666666665,0.22258064516129034,0.038461538461538464,0.20706260032102727,0.2689075630252101,,,,,,,,,2026,0.9,0.9,0.9,,0.9
Jadarian Price,Running Back,Notre Dame,FBS Independents,0.5714285714285714,0.38028169014084506,0.4585386535060671,0.64,0.5384615384615384,0.6818181818181818,,,3,0,0,0,0,0,0,0.313953488372093,0.32544378698224846,0.2893905191873589,0.42000000000000004,0.0897226753670473,0.3846153846153846,0.11500794070937002,0.7875000000000001,0.06,0.0,0.017027863777089782,0.17587939698492464,0.2743589743589744,0.21875,0.3150650775445071,0.5061728395061729,0.08333333333333333,0.2,0.12959381044487428,0.5833333333333334,0.14516129032258066,0.11538461538461539,0.14660246120920278,0.2857142857142857,,,,,,,,,2026,0.9,0.9,0.9,,0.9
Jonah Coleman,Running Back,Washington,Pac-12,0.14285714285714285,0.6197183098591549,,0.68,,,,,2,0,0,0,0,0,0,0.438953488372093,0.44378698224852065,0.327313769751693,0.2000000000000001,0.5383360522022838,0.3846153846153846,0.5037056643726839,0.5937500000000001,0.44,0.0,0.2755417956656347,0.4371859296482412,0.46153846153846156,0.3125,0.45284994763875736,0.4197530864197531,,,,,,,,,,,,,,,,,2026,0.9,0.9,,,0.9
Emmett Johnson,Running Back,Nebraska,Big Ten,0.42857142857142855,0.36619718309859156,0.20478218096438747,0.44,0.5769230769230769,0.5,0.04347216910357154,0.4775576591531303,3,0,0,0,0,0,0,0.7151162790697675,0.35502958579881655,0.6401805869074492,0.38,0.8075040783034256,0.5769230769230769,0.5269984118581259,0.38125000000000003,0.74,0.2857142857142857,0.4241486068111455,0.4120603015075377,0.26666666666666666,0.03125,0.2486411010821324,0.37037037037037035,0.125,0.0,0.09284332688588008,0.31666666666666665,0.2838709677419355,0.07692307692307693,0.2209737827715356,0.2352941176470588,,,,,,,,,2026,1.0,1.0,1.0,,1.0
Kaytron Allen,Running Back,Penn State,Big Ten,0.5714285714285714,0.5633802816901409,,,,,,,4,0,0,0,0,0,0,0.5959302325581395,0.44378698224852065,0.5733634311512416,0.4600000000000001,0.3050570962479608,0.0,0.08734780307040761,0.11875000000000001,0.34,0.2857142857142857,0.23839009287925697,0.47738693467336685,0.5307692307692308,0.25,0.47753453348626146,0.35802469135802467,0.2708333333333333,0.2,0.16054158607350097,0.2833333333333333,0.5483870967741935,0.23076923076923078,0.48368111289459603,0.2605042016806723,0.6785714285714286,0.3333333333333333,0.4935400516795866,0.26382978723404255,0.6613545816733067,0.5555555555555556,0.5595854922279793,0.275,2026,1.0,1.0,1.0,1.0,1.0
Seth McGowan,Running Back,Kentucky,SEC,0.7142857142857143,0.6619718309859155,0.4585386535060671,,1.1153846153846154,1.0,,0.0722492791402209,1,0,0,0,0,0,0,0.46511627906976744,0.35502958579881655,0.3124153498871332,0.10000000000000009,0.3230016313213703,0.0,0.17178401270513496,0.29375,,,,,,,,,,,,,,,,,,,,,,,,,2026,1.0,,,,1.0
Demond Claiborne,Running Back,Wake Forest,ACC,0.42857142857142855,0.16901408450704225,1.0,,,0.5909090909090909,,,4,0,0,0,0,0,0,0.5058139534883721,0.29585798816568043,0.39367945823927764,0.23999999999999994,0.4845024469820554,0.0,0.19216516675489675,0.19375000000000003,0.44,0.2857142857142857,0.39473684210526316,0.6030150753768845,0.5512820512820513,0.34375,0.45060589437989335,0.30864197530864196,0.041666666666666664,0.0,0.07156673114119923,0.5291666666666667,0.43548387096774194,0.19230769230769232,0.3146067415730337,0.2226890756302521,0.0,0.0,-0.00516795865633075,-0.0425531914893617,0.05179282868525897,0.0,0.034974093264248704,0.13749999999999996,2026,0.9,0.9,0.9,0.9,0.9
Le'Veon Moss,Running Back,Texas A&M,SEC,0.5714285714285714,0.38028169014084506,,,,,,,4,0,0,0,0,0,0,0.20930232558139536,0.17751479289940827,0.16749435665914222,0.26000000000000006,0.01794453507340946,0.0,-0.007278983589200635,-0.024999999999999998,0.18,0.0,0.21981424148606812,0.7587939698492463,0.27692307692307694,0.3125,0.32359247992819035,0.5185185185185185,0.20833333333333334,0.0,0.16634429400386846,0.35833333333333334,0.3032258064516129,0.19230769230769232,0.26003210272873195,0.25210084033613445,0.0,0.0,0.028423772609819122,0.23404255319148937,0.10756972111553785,0.05555555555555555,0.07577720207253887,0.16249999999999998,2026,1.0,1.0,1.0,1.0,1.0
Adam Randall,Running Back,Clemson,ACC,1.1428571428571428,0.7887323943661971,0.41492475339529666,0.84,0.6923076923076923,0.6818181818181818,,0.050180877343984465,4,0,0,0,0,0,0,0.4738372093023256,0.29585798816568043,0.3525959367945824,0.18,0.6280587275693311,0.5769230769230769,0.3581259925886712,0.325,0.3,0.2857142857142857,0.24148606811145512,0.5376884422110553,-0.023076923076923078,0.0,0.0,1.0987654320987654,0.4375,0.0,0.4874274661508704,0.5166666666666667,,,,,0.32142857142857145,0.0,0.3385012919896641,0.3361702127659575,0.0,0.0,-0.0019430051813471502,-0.375,2026,0.9,0.9,0.9,0.9,0.9
Roman Hemby,Running Back,Indiana,Big Ten,0.7142857142857143,0.43661971830985913,,,,,,,4,0,0,0,0,0,0,0.6540697674418605,0.2071005917159763,0.490744920993228,0.2000000000000001,0.28711256117455136,0.0,0.22856008470089992,0.4875,0.78,0.14285714285714285,0.4241486068111455,0.3919597989949749,0.31025641025641026,0.1875,0.2526803969480876,0.2962962962962963,0.7708333333333334,0.6,0.6789168278529981,0.425,0.45483870967741935,0.15384615384615385,0.36490101658640983,0.24369747899159663,1.1428571428571428,0.3333333333333333,0.7777777777777778,0.2553191489361702,0.7450199203187251,0.5555555555555556,0.6386010362694301,0.2875,2026,1.0,1.0,1.0,1.0,1.0
