name,position,college,conference,height,weight,forty,bench,vertical,broad_jump,cone,shuttle,years_since_first_played,played_at_18,played_at_19,played_at_20,played_at_21,played_at_22,played_at_23,Y0_rushing_CAR,Y0_rushing_TD,Y0_rushing_YDS,Y0_rushing_YPC,Y0_receiving_REC,Y0_receiving_TD,Y0_receiving_YDS,Y0_receiving_YPR,Y1_receiving_REC,Y1_receiving_TD,Y1_receiving_YDS,Y1_receiving_YPR,Y1_rushing_CAR,Y1_rushing_TD,Y1_rushing_YDS,Y1_rushing_YPC,Y2_receiving_REC,Y2_receiving_TD,Y2_receiving_YDS,Y2_receiving_YPR,Y2_rushing_CAR,Y2_rushing_TD,Y2_rushing_YDS,Y2_rushing_YPC,Y3_receiving_REC,Y3_receiving_TD,Y3_receiving_YDS,Y3_receiving_YPR,draft_year,Y0_conf_prestige,Y1_conf_prestige,Y2_conf_prestige,Y3_conf_prestige,conference_prestige
Kenyon Sadiq,Tight End,Oregon,Pac-12,0.16666666666666666,0.19444444444444445,1.0222091236834046,1.0,1.1379310344827587,0.9615384615384616,,,2,0,0,0,0,0,0,0.2727272727272727,0.0,0.08695652173913043,0.028985507246376812,0.5411764705882353,0.5,0.48007414272474513,0.28800000000000003,0.29252782193958665,0.13675213675213677,0.2743112434847357,0.570048309178744,0.625,0.0,0.9008264462809917,0.5666666666666667,,,,,,,,,,,,,2026,0.9,0.9,,,0.9
Eli Stowers,Tight End,Vanderbilt,SEC,0.3333333333333333,0.1388888888888889,0.8967129641444418,,1.2758620689655173,1.0384615384615385,,,2,0,0,0,0,0,0,0.18181818181818182,0.0,0.028985507246376812,0.014492753623188406,0.6588235294117647,0.25,0.670064874884152,0.40800000000000003,0.6104928457869634,0.3418803418803419,0.5691734921816829,0.5797101449275363,0.75,0.0,0.33884297520661155,0.26666666666666666,,,,,,,,,,,,,2026,1.0,1.0,,,1.0
Max Klare,Tight End,Ohio State,Big Ten,0.5,0.3333333333333333,,,,,,,3,0,0,0,0,0,0,,,,,0.4470588235294118,0.125,0.376274328081557,0.24000000000000005,0.6359300476947536,0.27350427350427353,0.6111690245718542,0.5990338164251208,,,,,0.42,0.0,0.27601156069364163,0.1875,,,,,,,,,2026,1.0,1.0,1.0,,1.0
Michael Trigg,Tight End,Baylor,Big 12,0.3333333333333333,0.16666666666666666,,,,,,,4,0,0,0,0,0,0,,,,,0.5294117647058824,0.375,0.6042632066728453,0.5200000000000001,0.3688394276629571,0.20512820512820512,0.35204765450483994,0.5893719806763285,,,,,0.06,0.09090909090909091,0.08670520231213873,0.5432692307692308,,,,,0.47058823529411764,0.5,0.336322869955157,0.18823529411764703,2026,0.9,0.9,1.0,1.0,0.9
Sam Roush,Tight End,Stanford,Pac-12,0.6666666666666666,0.9166666666666666,0.3501964086836398,0.9545454545454546,0.7931034482758621,0.6923076923076923,0.5320404229910747,0.5465608849458949,2,0,0,0,0,0,0,,,,,0.5176470588235295,0.125,0.46617238183503246,0.296,0.4960254372019078,0.13675213675213677,0.29754281459419213,0.35748792270531404,,,,,,,,,,,,,,,,,2026,0.9,0.9,,,0.9
Justin Joly,Tight End,NC State,ACC,0.16666666666666666,0.19444444444444445,,,,,,,2,0,0,0,0,0,0,,,,,0.5176470588235295,0.4375,0.41427247451343835,0.208,0.534181240063593,0.27350427350427353,0.5897244973938943,0.6956521739130436,,,,,,,,,,,,,,,,,2026,0.9,0.9,,,0.9
Jack Endries,Tight End,Texas,SEC,0.5,0.3055555555555556,0.6256128454395029,,0.6206896551724138,0.4230769230769231,,,2,0,0,0,0,0,0,,,,,0.32941176470588235,0.1875,0.28174235403151066,0.248,0.699523052464229,0.13675213675213677,0.555770662695458,0.48792270531400966,,,,,,,,,,,,,,,,,2026,1.0,0.9,,,1.0
Eli Raridon,Tight End,Notre Dame,FBS Independents,0.6666666666666666,0.3055555555555556,,,,,,,3,0,0,0,0,0,0,,,,,0.3176470588235294,0.0,0.4077849860982391,0.616,0.1271860095389507,0.13675213675213677,0.0795234549516009,0.34782608695652173,,,,,0.08,0.09090909090909091,0.06647398843930635,0.24999999999999994,,,,,,,,,2026,0.9,0.9,0.9,,0.9
Dallen Bentley,Tight End,Utah,Pac-12,0.3333333333333333,0.5277777777777778,0.6256128454395029,0.9090909090909091,0.5517241379310345,0.38461538461538464,,0.3794961203387706,2,0,0,0,0,0,0,,,,,0.5058823529411764,0.375,0.535681186283596,0.44000000000000006,0.012718600953895072,0.0,0.012509307520476546,0.3140096618357488,,,,,,,,,,,,,,,,,2026,0.9,0.9,,,0.9
Joe Royer,Tight End,Cincinnati,Big 12,0.5,0.3611111111111111,,,,,,,4,0,0,0,0,0,0,,,,,0.2823529411764706,0.25,0.34661723818350326,0.5520000000000002,0.6359300476947536,0.20512820512820512,0.47446016381236045,0.45410628019323673,,,,,0.0,0.0,0.0,0.0,,,,,0.029411764705882353,0.0,0.008968609865470852,-0.058823529411764705,2026,0.9,0.9,1.0,1.0,0.9
