name,position,college,conference,height,weight,forty,bench,vertical,broad_jump,cone,shuttle,years_since_first_played,played_at_18,played_at_19,played_at_20,played_at_21,played_at_22,played_at_23,Y0_rushing_CAR,Y0_rushing_TD,Y0_rushing_YDS,Y0_rushing_YPC,Y0_receiving_REC,Y0_receiving_TD,Y0_receiving_YDS,Y0_receiving_YPR,Y1_receiving_REC,Y1_receiving_TD,Y1_receiving_YDS,Y1_receiving_YPR,Y1_rushing_CAR,Y1_rushing_TD,Y1_rushing_YDS,Y1_rushing_YPC,Y2_receiving_REC,Y2_receiving_TD,Y2_receiving_YDS,Y2_receiving_YPR,Y2_rushing_CAR,Y2_rushing_TD,Y2_rushing_YDS,Y2_rushing_YPC,Y3_receiving_REC,Y3_receiving_TD,Y3_receiving_YDS,Y3_receiving_YPR,Y3_rushing_CAR,Y3_rushing_TD,Y3_rushing_YDS,Y3_rushing_YPC,draft_year,Y0_conf_prestige,Y1_conf_prestige,Y2_conf_prestige,Y3_conf_prestige,conference_prestige
Carnell Tate,Wide Receiver,Ohio State,Big Ten,0.6363636363636364,0.4457831325301205,0.411608145699167,,,,,,3,0,0,0,0,0,0,0.003401360544217687,0.0,0.013313609467455622,0.2375,0.2731847591660676,0.3010033444816053,0.3351874801856068,0.6211180124223602,0.43119266055045874,0.2,0.39057043073341097,0.35928143712574845,0.0,0.0,0.01637852593266606,0.26373626373626374,0.15789473684210525,0.06666666666666667,0.17768595041322313,0.6124999999999999,,,,,,,,,,,,,2026,1.0,1.0,1.0,,1.0
Makai Lemon,Wide Receiver,USC,Pac-12,0.36363636363636365,0.4457831325301205,,,,,,,2,0,0,0,0,0,0,0.027210884353741496,0.09523809523809523,0.0073964497041420114,0.14250000000000002,0.4744787922358016,0.36789297658862874,0.45666772343430256,0.4596273291925465,0.43119266055045874,0.15,0.4086146682188591,0.39520958083832325,,,,,,,,,,,,,,,,,,,,,2026,0.9,0.9,,,0.9
Jordyn Tyson,Wide Receiver,Arizona State,Pac-12,0.6363636363636364,0.5783132530120482,,0.8695652173913043,,,,,2,0,0,0,0,0,0,0.003401360544217687,0.047619047619047616,0.0073964497041420114,0.1625,0.34507548526240117,0.26755852842809363,0.2642879787877914,0.27950310559006203,0.6422018348623854,0.5,0.6047729918509895,0.39520958083832325,0.005813953488372093,0.0,0.011828935395814377,0.2857142857142857,,,,,,,,,,,,,,,,,2026,0.9,0.9,,,0.9
Denzel Boston,Wide Receiver,Washington,Pac-12,0.8181818181818182,0.6867469879518072,,,0.3870967741935484,,,0.5024342896780731,2,0,0,0,0,0,0,,,,,0.35226455787203453,0.36789297658862874,0.33778136438308787,0.4347826086956521,0.5321100917431193,0.45,0.44935972060535506,0.30538922155688614,,,,,,,,,,,,,,,,,,,,,2026,0.9,0.9,,,0.9
Omar Cooper Jr.,Wide Receiver,Indiana,Big Ten,0.45454545454545453,0.5301204819277109,,,,,,,3,0,0,0,0,0,0,0.006802721088435374,0.047619047619047616,0.041913214990138066,0.44625000000000004,0.4097771387491014,0.43478260869565216,0.37236648701616853,0.4037267080745341,0.21100917431192662,0.35,0.309662398137369,0.7844311377245508,0.011627906976744186,0.14285714285714285,0.03184713375796178,0.5164835164835165,0.15789473684210525,0.13333333333333333,0.1797520661157025,0.6166666666666667,,,,,,,,,,,,,2026,1.0,1.0,1.0,,1.0
Kevin Concepcion,Wide Receiver,Texas A&M,SEC,0.45454545454545453,0.4939759036144578,,,,,,,3,0,0,0,0,0,0,0.030612244897959183,0.047619047619047616,0.04240631163708087,0.23125,0.34507548526240117,0.3010033444816053,0.35420929763380116,0.4906832298136645,0.44036697247706424,0.3,0.23108265424912688,0.03592814371257482,0.11046511627906977,0.2857142857142857,0.04367606915377616,0.3054945054945055,0.6228070175438597,0.6666666666666666,0.5736914600550964,0.4916666666666667,0.2971014492753623,0.0,0.27563025210084036,0.18160919540229886,,,,,,,,,2026,1.0,0.9,0.9,,1.0
Zachariah Branch,Wide Receiver,Georgia,SEC,0.18181818181818182,0.26506024096385544,0.8209295483075257,0.6086956521739131,0.5806451612903226,0.5,,,2,0,0,0,0,0,0,0.01020408163265306,0.0,0.008875739644970414,0.16,0.4888569374550683,0.2006688963210702,0.30751938207914226,0.17391304347826084,0.3853211009174312,0.05,0.25669383003492435,0.15568862275449097,0.011627906976744186,0.0,0.026387625113739762,0.45054945054945056,,,,,,,,,,,,,,,,,2026,1.0,0.9,,,1.0
Chris Bell,Wide Receiver,Louisville,American Athletic,0.6363636363636364,0.8072289156626506,,,,,,,4,0,0,0,0,0,0,,,,,0.4241552839683681,0.2006688963210702,0.35334466956797417,0.34161490683229806,0.3486238532110092,0.2,0.3928987194412107,0.5389221556886228,0.011627906976744186,0.0,0.05004549590536852,0.7362637362637363,0.2543859649122807,0.13333333333333333,0.2761707988980716,0.5833333333333334,,,,,0.07407407407407407,0.0,0.11346765641569459,0.32,,,,,2026,0.55,0.55,0.55,0.55,0.55
Germie Bernard,Wide Receiver,Alabama,SEC,0.5454545454545454,0.6144578313253012,0.411608145699167,,0.22580645161290322,0.5,0.9287438199959632,0.4027756275071518,4,0,0,0,0,0,0,0.05782312925170068,0.09523809523809523,0.055226824457593686,0.20750000000000002,0.36664270309130126,0.23411371237458192,0.3295673977577312,0.3913043478260869,0.41284403669724773,0.1,0.42607683352735737,0.467065868263473,0.023255813953488372,0.14285714285714285,0.044585987261146494,0.46813186813186813,,,,,,,,,0.07407407407407407,0.2222222222222222,0.1378579003181336,0.386,0.0,0.0,0.009252120277563608,0.06976744186046512,2026,1.0,1.0,,1.0,1.0
Chris Brazzell II,Wide Receiver,Tennessee,SEC,0.8181818181818182,0.5180722891566265,0.7735226469419838,,,,,,2,0,0,0,0,0,0,,,,,0.35226455787203453,0.3010033444816053,0.39657607285932495,0.5714285714285713,0.22018348623853212,0.1,0.15774155995343422,0.20359281437125748,,,,,,,,,,,,,,,,,,,,,2026,1.0,1.0,,,1.0
Elijah Sarratt,Wide Receiver,Indiana,Big Ten,0.6363636363636364,0.6626506024096386,,,,,,,2,0,0,0,0,0,0,,,,,0.36664270309130126,0.5016722408026756,0.30535781191457473,0.33540372670807445,0.44036697247706424,0.4,0.5209545983701979,0.5988023952095809,,,,,,,,,,,,,,,,,,,,,2026,1.0,1.0,,,1.0
Malachi Fields,Wide Receiver,Notre Dame,FBS Independents,0.8181818181818182,0.7590361445783133,0.10941323343312452,,0.5806451612903226,0.4666666666666667,0.41586425181019154,0.28644758913192564,4,0,0,0,0,0,0,,,,,0.16534867002156722,0.16722408026755853,0.22927054212179726,0.639751552795031,0.45871559633027525,0.25,0.4342258440046566,0.39520958083832325,,,,,0.5087719298245614,0.3333333333333333,0.5544077134986226,0.5833333333333334,0.007246376811594203,0.0,0.0016806722689075631,0.022988505747126436,0.04938271604938271,0.1111111111111111,0.06362672322375397,0.252,,,,,2026,0.9,0.9,0.9,0.9,0.9
Antonio Williams,Wide Receiver,Clemson,ACC,0.36363636363636365,0.3855421686746988,0.656785666204125,0.17391304347826086,0.6774193548387096,0.4666666666666667,0.3598020975968279,,3,0,0,0,0,0,0,0.04081632653061224,0.047619047619047616,0.04388560157790927,0.2125,0.301941049604601,0.13377926421404682,0.21803037726604604,0.23602484472049687,0.6330275229357798,0.55,0.4889406286379511,0.24550898203592808,0.040697674418604654,0.14285714285714285,0.10282074613284804,0.5802197802197802,0.18421052631578946,0.13333333333333333,0.13911845730027547,0.41250000000000003,,,,,,,,,,,,,2026,0.9,0.9,0.9,,0.9
