name,position,college,conference,height,weight,forty,vertical,broad_jump,cone,shuttle,age,years_since_first_played,played_at_18,played_at_19,played_at_20,played_at_21,played_at_22,played_at_23,Y0_passing_ATT,Y0_passing_COMPLETIONS,Y0_passing_INT,Y0_passing_PCT,Y0_passing_TD,Y0_passing_YDS,Y0_passing_YPA,Y0_rushing_CAR,Y0_rushing_TD,Y0_rushing_YDS,Y0_rushing_YPC,Y1_rushing_CAR,Y1_rushing_TD,Y1_rushing_YDS,Y1_rushing_YPC,Y2_rushing_CAR,Y2_rushing_TD,Y2_rushing_YDS,Y2_rushing_YPC,Y1_passing_ATT,Y1_passing_COMPLETIONS,Y1_passing_INT,Y1_passing_PCT,Y1_passing_TD,Y1_passing_YDS,Y1_passing_YPA,Y2_passing_ATT,Y2_passing_COMPLETIONS,Y2_passing_INT,Y2_passing_PCT,Y2_passing_TD,Y2_passing_YDS,Y2_passing_YPA,Y3_rushing_CAR,Y3_rushing_TD,Y3_rushing_YDS,Y3_rushing_YPC,Y3_passing_ATT,Y3_passing_COMPLETIONS,Y3_passing_INT,Y3_passing_PCT,Y3_passing_TD,Y3_passing_YDS,Y3_passing_YPA,draft_year,conference_prestige
Patrick Mahomes,Quarterback,Texas Tech,Big 12,0.5,0.7142857142857143,0.35247271276831643,0.38095238095238093,0.5806451612903226,0.1710526315789473,0.0,0.0,3,1,1,1,0,0,0,0.819047619047619,0.7698412698412699,0.4666666666666667,0.5165289256198348,0.5882352941176471,0.809850374064838,0.40384615384615385,0.5142857142857142,0.6,0.2958801498127341,0.5614035087719298,0.5,0.47619047619047616,0.3498542274052478,0.5657894736842105,0.27607361963190186,0.0,0.23707664884135474,0.458128078817734,0.9035369774919614,0.8183908045977012,0.17582417582417575,0.30624999999999997,0.7954545454545454,1.0,0.19642857142857134,0.2846034214618974,0.234375,0.6923076923076923,0.7226463104325699,0.42105263157894735,0.33880858519491897,0.7850467289719627,,,,,,,,,,,,2017,0.9
Deshaun Watson,Quarterback,Clemson,ACC,0.625,0.6190476190476191,0.7703688745506139,0.6190476190476191,0.7419354838709677,0.2631578947368424,0.34328358208955156,0.0,3,1,1,1,0,0,0,0.7942857142857143,0.7671957671957672,0.0,0.5702479338842976,0.5882352941176471,0.7144638403990025,0.2884615384615385,0.6761904761904762,0.45,0.4799357945425361,0.7017543859649122,0.7945736434108527,0.5714285714285714,0.7282798833819242,0.6842105263157894,0.3803680981595092,0.3125,0.3226381461675579,0.5024630541871921,0.7717041800643086,0.7471264367816092,0.2857142857142857,0.4406250000000001,0.7727272727272727,0.8791547435615232,0.2232142857142857,0.2099533437013997,0.20758928571428573,0.8461538461538461,0.8638676844783715,0.3684210526315789,0.3210687691633815,1.0,,,,,,,,,,,,2017,0.9
DeShone Kizer,Quarterback,Notre Dame,FBS Independents,0.75,0.9047619047619048,0.27392683793311706,0.42857142857142855,0.3548387096774194,0.8552631578947375,0.6716417910447765,0.0,2,0,1,1,0,0,0,0.38095238095238093,0.30423280423280424,0.5333333333333333,0.22727272727272702,0.29411764705882354,0.36783042394014964,0.3269230769230768,0.5047619047619047,0.4,0.39593365436062067,0.6929824561403509,0.5116279069767442,0.47619047619047616,0.3871720116618076,0.5921052631578948,,,,,0.5209003215434084,0.4666666666666667,0.4505494505494505,0.29062499999999997,0.45454545454545453,0.6106097292537971,0.2410714285714285,,,,,,,,,,,,,,,,,,,2017,0.9
Davis Webb,Quarterback,California,Pac-12,0.875,0.8095238095238095,0.3819277808088326,0.6666666666666666,0.7096774193548387,0.22368421052631576,0.19402985074626852,0.25,4,1,1,1,1,0,0,0.8742857142857143,0.753968253968254,0.33333333333333337,0.34710743801652877,0.5098039215686274,0.6525353283458022,0.09615384615384617,0.047619047619047616,0.3,0.08453718566078117,0.07894736842105265,0.0,0.09523809523809523,0.08746355685131195,0.5328947368421053,0.09815950920245399,0.0625,0.1586452762923351,0.3891625615763547,0.04823151125401929,0.03218390804597701,1.0,0.0,0.022727272727272728,0.04182258419546555,0.12499999999999994,0.5334370139968896,0.47098214285714285,0.0,0.7786259541984732,0.631578947368421,0.5560665790626369,0.691588785046729,0.12169312169312169,0.0,0.10472659870250231,0.23255813953488372,0.9445910290237467,0.9411764705882353,0.4,0.6467991169977925,0.8695652173913043,0.9775687409551375,0.5588235294117647,2017,0.9
C.J. Beathard,Quarterback,Iowa,Big Ten,0.625,0.5714285714285714,,0.47619047619047616,0.5483870967741935,,,0.5,4,0,1,1,1,1,0,0.26666666666666666,0.1931216931216931,0.4666666666666667,0.13636363636363602,0.11764705882352941,0.16084788029925187,0.0,0.2857142857142857,0.1,0.13643659711075443,0.3508771929824561,0.3798449612403101,0.2857142857142857,0.22215743440233235,0.493421052631579,0.1656441717791411,0.0,0.28342245989304815,0.6206896551724137,0.5643086816720257,0.4942528735632184,0.7252747252747253,0.2468749999999999,0.36363636363636365,0.5941008144397975,0.16964285714285707,0.13996889580093314,0.11607142857142858,0.8461538461538461,0.7188295165394402,0.13157894736842105,0.14126149802890933,0.6542056074766356,0.0582010582010582,0.15384615384615385,0.16126042632066728,0.5658914728682171,0.0633245382585752,0.029411764705882353,0.8666666666666667,0.0,0.043478260869565216,0.05897250361794501,0.47058823529411764,2017,1.0
Joshua Dobbs,Quarterback,Tennessee,SEC,0.625,0.5,0.8109848608853132,0.6666666666666666,0.8387096774193549,0.0,0.34328358208955156,0.25,4,1,1,1,1,0,0,0.37333333333333335,0.3386243386243386,0.33333333333333337,0.40495867768595034,0.3137254901960784,0.3721945137157107,0.36538461538461553,0.6047619047619047,0.6,0.5880149812734082,0.850877192982456,0.5581395348837209,0.5238095238095238,0.4752186588921283,0.638157894736842,0.6319018404907976,0.5,0.5623885918003565,0.5665024630541872,0.5353697749196141,0.4528735632183908,0.7252747252747253,0.18437499999999984,0.3181818181818182,0.4800792427911072,0.07142857142857141,0.27216174183514774,0.25,0.5384615384615384,0.8053435114503816,0.23684210526315788,0.26412614980289095,0.6355140186915889,0.19047619047619047,0.07692307692307693,0.29101019462465244,0.6589147286821705,0.3113456464379947,0.29411764705882354,0.6,0.5783664459161146,0.08695652173913043,0.24565846599131694,0.3823529411764707,2017,1.0
Nathan Peterman,Quarterback,Pittsburgh,ACC,0.625,0.7380952380952381,0.2983986814779202,0.47619047619047616,0.45161290322580644,0.5131578947368418,0.34328358208955156,0.5,4,0,1,1,1,1,0,0.2761904761904762,0.2328042328042328,0.6666666666666667,0.3016528925619833,0.3137254901960784,0.35328345802161265,0.5576923076923078,0.23333333333333334,0.15,0.29641519529159976,0.719298245614035,0.32558139534883723,0.047619047619047616,0.21982507288629738,0.5131578947368421,0.049079754601226995,0.0625,0.15597147950089127,0.41379310344827586,0.4871382636655949,0.42528735632183906,0.5604395604395604,0.2437499999999999,0.4318181818181818,0.47919876733436056,0.12499999999999994,0.027993779160186624,0.022321428571428572,1.0,0.6361323155216285,0.0,0.01073149364870784,0.23364485981308414,0.021164021164021163,0.0,0.1102873030583874,0.19379844961240308,0.052770448548812667,0.03361344537815126,0.8666666666666667,0.22516556291390724,0.0,0.010492040520984082,0.019607843137254898,2017,0.9
Brad Kaaya,Quarterback,Miami,ACC,0.75,0.4523809523809524,,,,,,0.25,3,0,1,1,1,0,0,0.49523809523809526,0.43386243386243384,0.6666666666666667,0.36363636363636354,0.3137254901960784,0.49397339983374894,0.3846153846153847,0.06666666666666667,0.05,0.07062600321027288,0.043859649122807015,0.10852713178294573,0.09523809523809523,0.014577259475218658,0.07236842105263155,0.15950920245398773,0.0625,0.027629233511586453,0.10344827586206895,0.6093247588424437,0.5310344827586206,0.7252747252747253,0.2374999999999999,0.3409090909090909,0.6894122826326217,0.2142857142857143,0.5847589424572317,0.49330357142857145,0.07692307692307687,0.7442748091603053,0.6842105263157895,0.7003942181340341,0.7943925233644861,,,,,,,,,,,,2017,0.9
Chad Kelly,Quarterback,Ole Miss,SEC,0.5,0.7857142857142857,,,,,,0.5,4,0,1,1,1,1,0,0.3180952380952381,0.2857142857142857,0.6,0.3842975206611569,0.1568627450980392,0.3331255195344971,0.3846153846153847,0.2761904761904762,0.25,0.32102728731942215,0.7280701754385965,0.4069767441860465,0.47619047619047616,0.37551020408163266,0.6447368421052633,,,,,0.7186495176848875,0.6666666666666666,0.2857142857142857,0.35625,0.6818181818181818,0.8655073739819502,0.25892857142857145,,,,,,,,0.07407407407407407,0.07692307692307693,0.2242817423540315,0.8372093023255814,0.036939313984168866,0.03361344537815126,1.0,0.5629139072847681,0.0,0.015195369030390739,0.1568627450980392,2017,1.0
Baker Mayfield,Quarterback,Oklahoma,Big 12,0.375,0.47619047619047616,0.2511668862534227,0.2857142857142857,0.4838709677419355,0.3289473684210527,0.29850746268656747,0.5,3,0,0,1,1,1,0,0.46285714285714286,0.4973544973544973,0.7333333333333334,0.714876033057851,0.6274509803921569,0.7215295095594347,0.9807692307692308,0.3523809523809524,0.25,0.3097913322632424,0.6491228070175439,0.29457364341085274,0.2857142857142857,0.18717201166180758,0.4868421052631579,0.8588957055214724,0.4375,0.5053475935828877,0.4876847290640394,0.5578778135048231,0.5655172413793104,0.5604395604395604,0.5374999999999999,0.8863636363636364,0.8485582214395774,0.4642857142857142,0.6111975116640747,0.6004464285714286,0.46153846153846156,0.8664122137404581,0.9473684210526315,0.8103372755146737,0.8785046728971964,,,,,,,,,,,,2018,0.9
