name,position,college,conference,height,weight,forty,bench,vertical,broad_jump,cone,shuttle,age,years_since_first_played,played_at_18,played_at_19,played_at_20,played_at_21,played_at_22,played_at_23,Y0_receiving_REC,Y0_receiving_TD,Y0_receiving_YDS,Y0_receiving_YPR,Y0_rushing_CAR,Y0_rushing_TD,Y0_rushing_YDS,Y0_rushing_YPC,Y1_receiving_REC,Y1_receiving_TD,Y1_receiving_YDS,Y1_receiving_YPR,Y1_rushing_CAR,Y1_rushing_TD,Y1_rushing_YDS,Y1_rushing_YPC,Y2_receiving_REC,Y2_receiving_TD,Y2_receiving_YDS,Y2_receiving_YPR,Y2_rushing_CAR,Y2_rushing_TD,Y2_rushing_YDS,Y2_rushing_YPC,Y3_receiving_REC,Y3_receiving_TD,Y3_receiving_YDS,Y3_receiving_YPR,Y3_rushing_CAR,Y3_rushing_TD,Y3_rushing_YDS,Y3_rushing_YPC,draft_year,Y0_conf_prestige,Y1_conf_prestige,Y2_conf_prestige,Y3_conf_prestige,conference_prestige
Leonard Fournette,Running Back,LSU,SEC,0.8571428571428571,0.9014084507042254,0.3736453370576261,,0.038461538461538464,,,,0.3333333333333333,3,0,1,1,1,0,0,0.25122349102773245,0.0,0.2008999470619375,0.4875,0.36046511627906974,0.23668639053254434,0.3656884875846501,0.52,0.36,0.14285714285714285,0.3931888544891641,0.7185929648241207,0.735897435897436,0.6875,0.8567795342342792,0.54320987654321,0.125,0.0,0.2495164410058027,0.7958333333333334,0.5967741935483871,0.38461538461538464,0.5543071161048689,0.27310924369747897,,,,,,,,,2017,1.0,1.0,1.0,,1.0
Christian McCaffrey,Running Back,Stanford,Pac-12,0.5714285714285714,0.36619718309859156,0.5042188968098027,0.2,0.7307692307692307,0.5454545454545454,1.0,0.6969414999469427,0.0,3,1,1,1,0,0,0,0.6460032626427405,0.5769230769230769,0.43965060878771833,0.40625000000000006,0.7209302325581395,0.3846153846153846,0.708803611738149,0.48,0.88,0.7142857142857143,1.0,0.7688442211055277,0.8307692307692308,0.25,0.8864010372512842,0.4814814814814815,0.3333333333333333,0.4,0.48936170212765956,0.6583333333333333,0.12903225806451613,0.0,0.1615837346174425,0.34033613445378147,,,,,,,,,2017,0.9,0.9,0.9,,0.9
Dalvin Cook,Running Back,Florida State,ACC,0.42857142857142855,0.4788732394366197,0.4585386535060671,0.68,0.19230769230769232,0.3181818181818182,0.06131589892979519,0.050180877343984465,0.3333333333333333,3,0,1,1,1,0,0,0.5742251223491027,0.1923076923076923,0.6987824245632609,0.8062500000000001,0.8226744186046512,0.5621301775147929,0.781941309255079,0.43999999999999995,0.46,0.14285714285714285,0.37925696594427244,0.5628140703517588,0.5538461538461539,0.59375,0.7391911434698051,0.6543209876543211,0.4375,0.0,0.3965183752417795,0.425,0.5419354838709678,0.3076923076923077,0.5403959336543607,0.28991596638655465,,,,,,,,,2017,0.9,0.9,0.9,,0.9
Joe Mixon,Running Back,Oklahoma,Big 12,0.8571428571428571,0.7323943661971831,,,,,,,0.0,2,0,1,1,0,0,0,0.6460032626427405,0.9615384615384615,0.7715722604552673,0.7875000000000001,0.5290697674418605,0.29585798816568043,0.5602708803611738,0.58,0.54,0.5714285714285714,0.5526315789473685,0.6884422110552764,0.2564102564102564,0.21875,0.3182067521069167,0.5679012345679012,,,,,,,,,,,,,,,,,2017,1.0,1.0,,,0.9
Alvin Kamara,Running Back,Tennessee,SEC,0.42857142857142855,0.5352112676056338,0.20478218096438747,0.4,0.8846153846153846,1.0,,,0.3333333333333333,2,0,0,1,1,0,0,0.699836867862969,0.7692307692307692,0.5590259396506088,0.4937500000000001,0.28488372093023256,0.2662721893491124,0.25417607223476296,0.38,0.66,0.42857142857142855,0.4520123839009288,0.4824120603015076,0.24102564102564103,0.21875,0.2935221662594126,0.54320987654321,,,,,,,,,,,,,,,,,2017,1.0,1.0,,,1.0
Kareem Hunt,Running Back,Toledo,Mid-American,0.5714285714285714,0.5633802816901409,0.07227210896319909,0.52,0.6538461538461539,0.45454545454545453,,,0.3333333333333333,4,1,1,1,1,0,0,0.7177814029363784,0.1923076923076923,0.5750397035468501,0.4937500000000001,0.747093023255814,0.29585798816568043,0.6510158013544018,0.33999999999999997,0.2,0.0,0.07120743034055728,0.2562814070351759,0.4230769230769231,0.375,0.41694509549693315,0.4197530864197531,0.16666666666666666,0.0,0.07930367504835589,0.22083333333333333,0.6548387096774193,0.6153846153846154,0.8737292669876939,0.37815126050420167,0.39285714285714285,0.0,0.1834625322997416,0.1851063829787234,0.5418326693227091,0.3333333333333333,0.5589378238341969,0.4125,2017,0.35,0.35,0.35,0.35,0.35
D'Onta Foreman,Running Back,Texas,Big 12,0.7142857142857143,0.8028169014084507,,0.52,,,,,0.0,3,1,1,1,0,0,0,0.10766721044045675,0.0,0.09753838009528851,0.55,0.9244186046511628,0.44378698224852065,0.9006772009029346,0.48,0.08,0.0,0.10061919504643962,0.6934673366834172,0.21025641025641026,0.15625,0.28589238517927495,0.6296296296296297,0.0,0.0,0.017408123791102514,0.3333333333333333,0.04516129032258064,0.0,0.04066345639379347,0.2352941176470588,,,,,,,,,2017,1.0,1.0,1.0,,0.9
James Conner,Running Back,Pittsburgh,ACC,1.0,0.8028169014084507,0.025812372441629164,0.6,0.07692307692307693,0.18181818181818182,,,0.3333333333333333,4,1,1,1,1,0,0,0.3588907014681892,0.7692307692307692,0.4280042350449973,0.7812500000000001,0.6133720930232558,0.4733727810650887,0.4781038374717833,0.23999999999999994,0.08,0.0,0.10990712074303406,0.7537688442211056,0.7307692307692307,0.8125,0.7724031317009925,0.46913580246913583,0.08333333333333333,0.0,0.13926499032882012,0.625,0.9548387096774194,1.0,0.9454253611556982,0.28991596638655465,0.07142857142857142,0.0,0.09302325581395349,0.2978723404255319,0.5776892430278885,0.4444444444444444,0.5155440414507773,0.3125,2017,0.9,0.9,0.9,0.9,0.9
Samaje Perine,Running Back,Oklahoma,Big 12,0.5714285714285714,0.8028169014084507,0.025812372441629164,1.0,0.38461538461538464,0.3181818181818182,0.06548423145711597,0.25116688625342265,0.0,3,1,1,1,0,0,0,0.16150081566068514,0.1923076923076923,0.14266807834833242,0.5437500000000001,0.5552325581395349,0.35502958579881655,0.4636568848758465,0.3000000000000001,0.28,0.14285714285714285,0.16718266253869968,0.40703517587939697,0.5461538461538461,0.5,0.5856979005635068,0.4814814814814815,0.2916666666666667,0.0,0.2127659574468085,0.3416666666666666,0.8419354838709677,0.8076923076923077,0.9176029962546817,0.31512605042016806,,,,,,,,,2017,1.0,1.0,1.0,,0.9
Joe Williams,Running Back,Utah,Pac-12,0.5714285714285714,0.4788732394366197,0.8400838073783675,0.36,0.5384615384615384,0.7272727272727273,0.10258550880171585,0.7703688745506135,1.0,2,0,0,0,0,1,1,0.14355628058727568,0.0,0.14412387506617255,0.6250000000000001,0.5959302325581395,0.29585798816568043,0.6203160270880361,0.56,0.2,0.0,0.13157894736842105,0.43216080402010054,0.23333333333333334,0.09375,0.1943350122176233,0.30864197530864196,,,,,,,,,,,,,,,,,2017,0.9,0.9,,,0.9
