name,position,college,conference,height,weight,forty,bench,vertical,broad_jump,cone,shuttle,age,years_since_first_played,played_at_18,played_at_19,played_at_20,played_at_21,played_at_22,played_at_23,Y0_receiving_REC,Y0_receiving_TD,Y0_receiving_YDS,Y0_receiving_YPR,Y0_rushing_CAR,Y0_rushing_TD,Y0_rushing_YDS,Y0_rushing_YPC,Y1_receiving_REC,Y1_receiving_TD,Y1_receiving_YDS,Y1_receiving_YPR,Y1_rushing_CAR,Y1_rushing_TD,Y1_rushing_YDS,Y1_rushing_YPC,Y2_receiving_REC,Y2_receiving_TD,Y2_receiving_YDS,Y2_receiving_YPR,Y2_rushing_CAR,Y2_rushing_TD,Y2_rushing_YDS,Y2_rushing_YPC,Y3_receiving_REC,Y3_receiving_TD,Y3_receiving_YDS,Y3_receiving_YPR,Y3_rushing_CAR,Y3_rushing_TD,Y3_rushing_YDS,Y3_rushing_YPC,draft_year,conference_prestige
O.J. Howard,Tight End,Alabama,SEC,0.6666666666666666,0.4722222222222222,0.8967129641444418,0.8181818181818182,0.20689655172413793,0.5,0.8840654421082821,0.908948088156925,0.3333333333333333,4,1,1,1,1,0,0,0.47058823529411764,0.1875,0.5125115848007414,0.46399999999999997,,,,,0.47058823529411764,0.13675213675213677,0.5370067014147432,0.7149758454106281,,,,,0.32,0.0,0.3684971098265896,0.4951923076923077,,,,,0.38235294117647056,0.3333333333333333,0.5896860986547086,0.776470588235294,,,,,2017,1.0
Evan Engram,Tight End,Ole Miss,SEC,0.16666666666666666,0.0,1.0,0.6818181818181818,0.6206896551724138,0.6538461538461539,0.8308660390767021,0.8437463827098463,0.5,4,0,1,1,1,1,0,0.7058823529411765,0.5,0.8192771084337349,0.544,,,,,0.47058823529411764,0.13675213675213677,0.4137006701414744,0.5410628019323671,,,,,0.74,0.18181818181818182,0.9494219653179191,0.596153846153846,,,,,0.5882352941176471,0.5,0.5874439461883408,0.4,,,,,2017,1.0
David Njoku,Tight End,Miami,ACC,0.3333333333333333,0.3333333333333333,0.5559977581104663,0.7727272727272727,0.7241379310344828,0.9615384615384616,0.7719268949587947,0.6363973403648974,0.16666666666666666,2,0,1,1,0,0,0,0.4470588235294118,0.5,0.607970342910102,0.7040000000000001,,,,,0.2543720190779014,0.06837606837606838,0.3225614296351452,0.782608695652174,,,,,,,,,,,,,,,,,,,,,2017,0.9
Gerald Everett,Tight End,South Alabama,Sun Belt,0.16666666666666666,0.1388888888888889,0.6256128454395029,0.8181818181818182,0.7241379310344828,0.6923076923076923,0.740992777691826,0.6630837572770449,0.5,2,0,0,0,1,1,0,0.5176470588235295,0.25,0.6255792400370713,0.5760000000000001,,,,,0.5087440381558028,0.5470085470085471,0.5128816083395384,0.6280193236714976,1.0,1.0,0.33884297520661155,0.24166666666666667,,,,,,,,,,,,,,,,,2017,0.35
Michael Roberts,Tight End,Toledo,Mid-American,0.3333333333333333,1.0,0.058091910027237084,,0.20689655172413793,0.07692307692307693,0.6143785166397553,0.14089303612254556,0.5,3,0,0,1,1,1,0,0.47058823529411764,1.0,0.45505097312326226,0.3520000000000001,,,,,0.2543720190779014,0.27350427350427353,0.20819061801935967,0.48792270531400966,,,,,0.06,0.18181818181818182,0.08670520231213873,0.5432692307692308,,,,,,,,,,,,,2017,0.35
Jake Butt,Tight End,Michigan,Big Ten,0.6666666666666666,0.3333333333333333,,,,,,,0.3333333333333333,4,1,1,1,1,0,0,0.4823529411764706,0.25,0.46709916589434664,0.36000000000000004,,,,,0.6359300476947536,0.20512820512820512,0.5834698436336561,0.570048309178744,0.0,0.0,0.17355371900826447,0.16666666666666666,0.4,0.18181818181818182,0.2976878612716763,0.24038461538461536,,,,,0.5588235294117647,0.3333333333333333,0.5134529147982063,0.34117647058823536,,,,,2017,1.0
George Kittle,Tight End,Iowa,Big Ten,0.3333333333333333,0.3611111111111111,0.8801991436166505,0.6363636363636364,0.5517241379310345,0.9230769230769231,,,0.5,4,0,1,1,1,1,0,0.2,0.25,0.2520852641334569,0.5520000000000002,,,,,0.24165341812400637,0.41025641025641024,0.25822784810126587,0.6521739130434783,,,,,0.08,0.0,0.14884393063583815,0.7980769230769231,,,,,0.11764705882352941,0.0,0.22869955156950672,0.9176470588235295,,,,,2017,1.0
Jordan Leggett,Tight End,Clemson,ACC,0.6666666666666666,0.6666666666666666,,0.6363636363636364,0.41379310344827586,0.23076923076923078,0.41427340757517916,0.6630837572770449,0.3333333333333333,4,1,1,1,1,0,0,0.4823529411764706,0.4375,0.6431881371640408,0.6880000000000001,,,,,0.4960254372019078,0.5470085470085471,0.4682055100521222,0.5845410628019324,,,,,0.26,0.09090909090909091,0.2254335260115607,0.3125,,,,,0.3235294117647059,0.3333333333333333,0.3811659192825112,0.5117647058823529,,,,,2017,0.9
Jeremy Sprinkle,Tight End,Arkansas,SEC,0.5,0.5,0.3818503103600758,,0.13793103448275862,0.3076923076923077,,,0.5,4,0,1,1,1,1,0,0.32941176470588235,0.25,0.3132530120481928,0.328,,,,,0.33068362480127184,0.41025641025641024,0.34668652271035,0.6473429951690821,0.125,0.0,0.2396694214876033,0.5,0.12,0.09090909090909091,0.11416184971098266,0.3365384615384615,,,,,0.08823529411764706,0.0,0.13901345291479822,0.6470588235294118,0.0,0.0,0.04054054054054054,0.11538461538461539,2017,1.0
Bucky Hodges,Tight End,Virginia Tech,ACC,0.6666666666666666,0.6388888888888888,0.774829708670685,0.6363636363636364,0.8275862068965517,1.0,,0.2854740973699674,0.3333333333333333,3,0,1,1,1,0,0,0.5058823529411764,0.4375,0.6014828544949027,0.56,0.8181818181818182,0.0,0.6086956521739131,0.06811594202898551,0.4960254372019078,0.41025641025641024,0.4726731198808638,0.5942028985507247,0.625,0.25,1.0,0.6166666666666667,0.88,0.6363636363636364,0.7528901734104047,0.3221153846153846,1.0,0.0,1.0,1.0,,,,,,,,,2017,0.9
Mason Schreck,Tight End,Buffalo,Mid-American,0.5,0.5277777777777778,,,,,,,0.5,4,0,1,1,1,1,0,0.6352941176470588,0.25,0.5644114921223355,0.28800000000000003,,,,,0.2543720190779014,0.0,0.18585256887565155,0.43478260869565216,,,,,0.18,0.0,0.14595375722543352,0.2692307692307692,,,,,0.47058823529411764,0.3333333333333333,0.31614349775784756,0.15294117647058822,,,,,2017,0.35
Hayden Hurst,Tight End,South Carolina,SEC,0.5,0.4444444444444444,0.4493787946751754,,0.3103448275862069,0.46153846153846156,0.24155623753993763,0.5465608849458949,0.8333333333333334,3,0,0,0,0,1,1,0.4588235294117647,0.125,0.47914735866543096,0.424,0.8181818181818182,1.0,0.43478260869565216,0.047826086956521734,0.5977742448330684,0.06837606837606838,0.5495160089352197,0.570048309178744,0.25,0.0,0.4049586776859504,0.5416666666666666,0.14,0.0,0.14595375722543352,0.39903846153846156,,,,,,,,,,,,,2018,1.0
