name,position,college,conference,height,weight,forty,bench,vertical,broad_jump,cone,shuttle,age,years_since_first_played,played_at_18,played_at_19,played_at_20,played_at_21,played_at_22,played_at_23,Y0_receiving_REC,Y0_receiving_TD,Y0_receiving_YDS,Y0_receiving_YPR,Y0_rushing_CAR,Y0_rushing_TD,Y0_rushing_YDS,Y0_rushing_YPC,Y1_receiving_REC,Y1_receiving_TD,Y1_receiving_YDS,Y1_receiving_YPR,Y1_rushing_CAR,Y1_rushing_TD,Y1_rushing_YDS,Y1_rushing_YPC,Y2_receiving_REC,Y2_receiving_TD,Y2_receiving_YDS,Y2_receiving_YPR,Y2_rushing_CAR,Y2_rushing_TD,Y2_rushing_YDS,Y2_rushing_YPC,Y3_receiving_REC,Y3_receiving_TD,Y3_receiving_YDS,Y3_receiving_YPR,Y3_rushing_CAR,Y3_rushing_TD,Y3_rushing_YDS,Y3_rushing_YPC,draft_year,Y0_conf_prestige,Y1_conf_prestige,Y2_conf_prestige,Y3_conf_prestige,conference_prestige
Corey Davis,Wide Receiver,Western Michigan,Mid-American,0.7272727272727273,0.6506024096385542,,,,,,,0.4,4,1,1,1,1,0,0,0.603882099209202,0.6354515050167223,0.6053837507565495,0.515527950310559,0.0,0.0,0.005424063116370809,0.1375,0.7798165137614679,0.6,0.79976717112922,0.4730538922155688,0.005813953488372093,0.0,0.020928116469517744,0.5054945054945055,0.6842105263157895,1.0,0.9655647382920111,0.7541666666666668,,,,,0.8148148148148148,0.6666666666666666,1.0,0.3,0.0,0.0,0.008481110254433308,0.05813953488372093,2017,0.35,0.35,0.35,0.35,0.35
Mike Williams,Wide Receiver,Clemson,ACC,0.8181818181818182,0.7590361445783133,,0.391304347826087,0.22580645161290322,0.36666666666666664,,,0.4,4,1,1,1,1,0,0,0.6110711718188354,0.36789297658862874,0.5452921001815718,0.4161490683229813,,,,,0.47706422018348627,0.3,0.5634458672875436,0.5988023952095809,,,,,0.5,0.4,0.7052341597796143,0.7541666666666668,,,,,0.2345679012345679,0.3333333333333333,0.3372216330858961,0.336,,,,,2017,0.9,0.9,0.9,0.9,0.9
John Ross,Wide Receiver,Washington,Pac-12,0.36363636363636365,0.39759036144578314,1.0,,0.5161290322580645,0.7666666666666667,,,0.2,4,1,1,1,0,0,0,0.4888569374550683,0.568561872909699,0.45407383923682154,0.4347826086956521,0.023809523809523808,0.047619047619047616,0.05571992110453649,0.2975,,,,,,,,,0.14912280701754385,0.26666666666666666,0.2513774104683196,0.9083333333333333,0.043478260869565216,0.09090909090909091,0.052100840336134456,0.19540229885057472,0.18518518518518517,0.1111111111111111,0.22269353128313893,0.28,0.018115942028985508,0.0,0.03700848111025443,0.11046511627906977,2017,0.9,,0.9,0.9,0.9
Curtis Samuel,Wide Receiver,Ohio State,Big Ten,0.36363636363636365,0.4939759036144578,0.8961134066680057,0.5217391304347826,0.5161290322580645,0.3,0.18134732765016007,0.3414427186648844,0.2,3,1,1,1,0,0,0,0.4385334291876348,0.23411371237458192,0.33086433985647173,0.27950310559006203,0.32653061224489793,0.38095238095238093,0.38560157790927024,0.23625,0.1559633027522936,0.1,0.13213038416763678,0.2994011976047904,0.09883720930232558,0.14285714285714285,0.13102820746132848,0.4351648351648352,0.09649122807017543,0.0,0.06129476584022039,0.35833333333333334,0.42028985507246375,0.5454545454545454,0.32857142857142857,0.16781609195402297,,,,,,,,,2017,1.0,1.0,1.0,,1.0
JuJu Smith-Schuster,Wide Receiver,USC,Pac-12,0.5454545454545454,0.7228915662650602,0.2369241421236426,0.391304347826087,0.22580645161290322,0.3333333333333333,,,0.0,3,1,1,0,0,0,0,0.4097771387491014,0.33444816053511706,0.35204772746923363,0.36645962732919246,0.013605442176870748,0.0,0.01873767258382643,0.205,0.7706422018348624,0.5,0.810244470314319,0.49101796407185627,0.005813953488372093,0.0,0.014558689717925387,0.3516483516483517,0.47368421052631576,0.3333333333333333,0.49449035812672176,0.5583333333333333,0.014492753623188406,0.0,0.009243697478991597,0.10919540229885058,,,,,,,,,2017,0.9,0.9,0.9,,0.9
Taywan Taylor,Wide Receiver,Western Kentucky,Conference USA,0.36363636363636365,0.5783132530120482,0.34642444835810926,0.30434782608695654,0.2903225806451613,0.7333333333333333,0.9915412679733588,0.718420990224223,0.4,4,1,1,1,1,0,0,0.6110711718188354,0.568561872909699,0.7048159783266563,0.6521739130434782,0.017006802721088437,0.0,0.023175542406311637,0.2125,0.7431192660550459,0.85,0.8178114086146682,0.5389221556886228,0.040697674418604654,0.0,0.00272975432211101,0.23516483516483516,0.39473684210526316,0.4666666666666667,0.5241046831955923,0.7083333333333334,0.007246376811594203,0.0,0.015966386554621848,0.21839080459770116,0.2839506172839506,0.0,0.28844114528101805,0.24600000000000002,,,,,2017,0.35,0.35,0.35,0.35,0.35
ArDarius Stewart,Wide Receiver,Alabama,SEC,0.36363636363636365,0.5903614457831325,0.3782620936501043,,0.3225806451612903,0.4666666666666667,,,0.6,3,0,0,1,1,1,0,0.29475197699496763,0.26755852842809363,0.3304320258235582,0.546583850931677,0.023809523809523808,0.0,0.03895463510848126,0.24375,0.5321100917431193,0.2,0.3713620488940629,0.17964071856287422,0.029069767441860465,0.0,0.023657870791628753,0.3252747252747253,0.10526315789473684,0.0,0.09848484848484848,0.5166666666666667,,,,,,,,,,,,,2017,1.0,1.0,1.0,,1.0
Carlos Henderson,Wide Receiver,Louisiana Tech,Conference USA,0.36363636363636365,0.5301204819277109,0.4816273325914787,0.30434782608695654,0.45161290322580644,0.7,0.09199820427033543,0.28644758913192564,0.4,3,0,1,1,1,0,0,0.49604601006470167,0.6354515050167223,0.6205147419085222,0.7142857142857142,0.04421768707482993,0.09523809523809523,0.07100591715976332,0.25625,0.28440366972477066,0.25,0.41443538998835855,0.8023952095808382,0.029069767441860465,0.0,0.06005459508644222,0.5010989010989011,0.2543859649122807,0.26666666666666666,0.3877410468319559,0.8166666666666668,0.09420289855072464,0.09090909090909091,0.06554621848739496,0.15402298850574714,,,,,,,,,2017,0.35,0.35,0.35,,0.35
Chris Godwin,Wide Receiver,Penn State,Big Ten,0.5454545454545454,0.6506024096385542,0.6234396141550624,0.5652173913043478,0.45161290322580644,0.5333333333333333,0.33388535864769564,0.9893849574989934,0.2,3,1,1,1,0,0,0,0.33069734004313445,0.36789297658862874,0.3814450817073522,0.5838509316770187,0.0,0.0,0.011834319526627219,0.3,0.5871559633027523,0.25,0.6047729918509895,0.4730538922155688,,,,,0.22807017543859648,0.13333333333333333,0.22865013774104684,0.5416666666666666,0.014492753623188406,0.0,0.007563025210084034,0.09770114942528736,,,,,,,,,2017,1.0,1.0,1.0,,1.0
Kenny Golladay,Wide Receiver,Northern Illinois,Mid-American,0.8181818181818182,0.7590361445783133,0.34642444835810926,0.5217391304347826,0.41935483870967744,0.3333333333333333,0.3598020975968279,0.8430298355258958,0.6,2,0,0,0,1,1,0,0.5391804457225018,0.26755852842809363,0.46012623569761063,0.3726708074534161,0.06462585034013606,0.09523809523809523,0.10009861932938856,0.2575,0.6238532110091743,0.5,0.6210710128055879,0.44311377245508976,0.05232558139534884,0.14285714285714285,0.023657870791628753,0.2989010989010989,,,,,,,,,,,,,,,,,2017,0.35,0.35,,,0.35
Amara Darboh,Wide Receiver,Michigan,Big Ten,0.6363636363636364,0.7108433734939759,0.5175238799271147,0.4782608695652174,0.45161290322580644,0.4666666666666667,,,0.6,3,0,0,1,1,1,0,0.3163191948238677,0.23411371237458192,0.3295673977577312,0.4906832298136645,,,,,0.48623853211009177,0.25,0.3870779976717113,0.26347305389221554,0.011627906976744186,0.0,0.012738853503184714,0.2857142857142857,0.3157894736842105,0.13333333333333333,0.3216253443526171,0.5458333333333333,,,,,,,,,,,,,2017,1.0,1.0,1.0,,1.0
Dede Westbrook,Wide Receiver,Oklahoma,Big 12,0.45454545454545453,0.27710843373493976,,,,,,,0.6,2,0,0,0,1,1,0,0.48166786484543495,0.568561872909699,0.6157592875464737,0.7391304347826088,0.030612244897959183,0.0,0.055226824457593686,0.26375000000000004,0.3761467889908257,0.2,0.39639115250291035,0.48502994011976036,0.029069767441860465,0.0,0.026387625113739762,0.3384615384615385,,,,,,,,,,,,,,,,,2017,1.0,1.0,,,0.9
Josh Reynolds,Wide Receiver,Texas A&M,SEC,0.7272727272727273,0.46987951807228917,0.28797644798806377,,0.5161290322580645,0.4666666666666667,0.8028107533561958,0.8730928918672984,0.4,3,0,1,1,1,0,0,0.34507548526240117,0.4013377926421404,0.40608698158342216,0.6086956521739131,,,,,0.42201834862385323,0.25,0.4918509895227008,0.5808383233532933,,,,,0.45614035087719296,0.8666666666666667,0.5757575757575758,0.6749999999999999,,,,,,,,,,,,,2017,1.0,1.0,1.0,,1.0
Mack Hollins,Wide Receiver,North Carolina,ACC,0.8181818181818182,0.7951807228915663,0.2615251129122457,,,,,,0.6,3,0,0,1,1,1,0,0.021567217828900073,0.13377926421404682,0.09049773755656108,0.7515527950310559,,,,,0.22935779816513763,0.4,0.39755529685681024,1.0,,,,,0.30701754385964913,0.5333333333333333,0.4180440771349862,0.7291666666666666,,,,,,,,,,,,,2017,0.9,0.9,0.9,,0.9
Josh Malone,Wide Receiver,Tennessee,SEC,0.7272727272727273,0.6385542168674698,0.6886233114961202,0.17391304347826086,0.0967741935483871,0.36666666666666664,0.24601026077141513,0.7664573328911115,0.2,3,1,1,1,0,0,0,0.26599568655643424,0.36789297658862874,0.3771219413782171,0.7577639751552794,,,,,0.23853211009174313,0.1,0.19965075669383003,0.2994011976047904,,,,,0.20175438596491227,0.06666666666666667,0.15495867768595042,0.4166666666666667,0.014492753623188406,0.0,0.015966386554621848,0.15517241379310345,,,,,,,,,2017,1.0,1.0,1.0,,1.0
Ryan Switzer,Wide Receiver,North Carolina,ACC,0.18181818181818182,0.3132530120481928,0.31629094936165536,0.21739130434782608,0.1935483870967742,0.2,0.8797004909075812,0.9893849574989934,0.4,4,1,1,1,1,0,0,0.5966930265995687,0.2006688963210702,0.43764590598610825,0.27329192546583847,0.006802721088435374,0.0,0.01232741617357002,0.19624999999999998,0.45871559633027525,0.3,0.36961583236321305,0.27544910179640714,0.01744186046511628,0.0,0.01637852593266606,0.3076923076923077,0.5350877192982456,0.26666666666666666,0.5172176308539945,0.5166666666666667,0.057971014492753624,0.0,0.031092436974789917,0.13333333333333333,0.38271604938271603,0.3333333333333333,0.3637327677624602,0.23399999999999999,0.03260869565217391,0.0,0.029298380878951428,0.0686046511627907,2017,0.9,0.9,0.9,0.9,0.9
Jehu Chesson,Wide Receiver,Michigan,Big Ten,0.7272727272727273,0.5903614457831325,0.44618256527811456,0.17391304347826086,0.41935483870967744,0.7333333333333333,0.9351356099872548,0.9208324002450576,0.6,4,0,1,1,1,1,0,0.15815959741193386,0.06688963210702341,0.17306971784304118,0.4409937888198758,0.03741496598639456,0.047619047619047616,0.03648915187376726,0.20375000000000001,0.41284403669724773,0.45,0.4086146682188591,0.4311377245508982,0.046511627906976744,0.2857142857142857,0.15195632393084624,0.6901098901098901,0.12280701754385964,0.0,0.10192837465564739,0.4583333333333333,,,,,0.1728395061728395,0.1111111111111111,0.23647932131495228,0.314,0.0036231884057971015,0.0,0.007710100231303007,0.040697674418604654,2017,1.0,1.0,1.0,1.0,1.0
Chad Hansen,Wide Receiver,California,Pac-12,0.6363636363636364,0.5662650602409639,0.2615251129122457,0.21739130434782608,0.3870967741935484,0.3,0.9068019349255787,0.8730928918672984,0.4,2,0,0,1,1,0,0,0.5679367361610352,0.36789297658862874,0.4968729284952588,0.3975155279503105,,,,,0.12844036697247707,0.05,0.10884749708963912,0.2994011976047904,,,,,,,,,,,,,,,,,,,,,2017,0.9,0.9,,,0.9
Shelton Gibson,Wide Receiver,West Virginia,Big 12,0.36363636363636365,0.43373493975903615,0.34642444835810926,0.08695652173913043,0.1935483870967742,0.26666666666666666,0.8028107533561958,0.7433096876921298,0.6,3,0,0,1,1,1,0,0.21567217828900073,0.26755852842809363,0.3680433466870334,0.9254658385093169,0.003401360544217687,0.0,0.01972386587771203,0.31875,0.29357798165137616,0.45,0.48020954598370197,0.9520958083832334,,,,,0.03508771929824561,0.0,0.0371900826446281,0.625,,,,,,,,,,,,,2017,0.9,0.9,0.9,,0.9
Rodney Adams,Wide Receiver,South Florida,American Athletic,0.5454545454545454,0.40963855421686746,0.5534204272627508,0.08695652173913043,0.03225806451612903,0.5,0.41586425181019154,0.5024342896780731,0.4,4,1,1,1,1,0,0,0.3882099209202013,0.16722408026755853,0.31227483644119086,0.3167701863354037,0.07482993197278912,0.23809523809523808,0.11932938856015779,0.2625,0.3669724770642202,0.45,0.44237485448195574,0.6107784431137724,0.05813953488372093,0.14285714285714285,0.08462238398544131,0.4417582417582418,0.20175438596491227,0.13333333333333333,0.21831955922865015,0.5833333333333334,0.036231884057971016,0.09090909090909091,0.05042016806722689,0.21149425287356322,0.012345679012345678,0.0,0.018027571580063628,0.17,0.0,0.0,0.01079414032382421,0.09302325581395349,2017,0.55,0.55,0.55,0.35,0.55
Isaiah McKenzie,Wide Receiver,Georgia,SEC,0.09090909090909091,0.21686746987951808,0.6234396141550624,0.21739130434782608,0.45161290322580644,0.43333333333333335,0.9662152551214437,0.8430298355258958,0.4,3,0,1,1,1,0,0,0.2228612508986341,0.23411371237458192,0.23056748422053777,0.44720496894409933,0.061224489795918366,0.09523809523809523,0.07149901380670612,0.22625,0.045871559633027525,0.0,0.03550640279394645,0.251497005988024,0.06395348837209303,0.2857142857142857,0.11737943585077343,0.4967032967032967,0.05263157894736842,0.0,0.04201101928374656,0.4666666666666666,0.050724637681159424,0.0,0.07226890756302522,0.21954022988505748,,,,,,,,,2017,1.0,1.0,1.0,,1.0
Trent Taylor,Wide Receiver,Louisiana Tech,Conference USA,0.09090909090909091,0.3132530120481928,0.08413531075511263,0.30434782608695654,0.25806451612903225,0.23333333333333334,0.9068019349255787,0.9835878659156896,0.6,4,0,1,1,1,1,0,0.884255930984903,0.4013377926421404,0.7363749027293425,0.37888198757763975,,,,,0.8623853211009175,0.45,0.710128055878929,0.2874251497005988,,,,,0.5614035087719298,0.6,0.5702479338842975,0.5416666666666666,,,,,0.3333333333333333,0.2222222222222222,0.27783669141039236,0.20600000000000002,,,,,2017,0.35,0.35,0.35,0.35,0.35
Robert Davis,Wide Receiver,Georgia State,Sun Belt,0.7272727272727273,0.7710843373493976,0.5534204272627508,0.5652173913043478,0.7741935483870968,0.8666666666666667,0.818284416920984,0.5024342896780731,0.4,4,1,1,1,1,0,0,0.3882099209202013,0.16722408026755853,0.37539268524656305,0.44720496894409933,,,,,0.5137614678899083,0.3,0.5343422584400466,0.47904191616766467,,,,,0.43859649122807015,0.13333333333333333,0.5,0.6083333333333333,0.007246376811594203,0.0,0.009243697478991597,0.12643678160919541,0.5308641975308642,0.4444444444444444,0.7560975609756098,0.344,,,,,2017,0.35,0.35,0.35,0.35,0.35
Stacy Coley,Wide Receiver,Miami,ACC,0.45454545454545453,0.4819277108433735,0.5175238799271147,0.17391304347826086,0.3225806451612903,0.4,,,0.6,4,0,1,1,1,1,0,0.3594536304816679,0.3010033444816053,0.2828774822030723,0.29813664596273287,,,,,0.3944954128440367,0.2,0.3672875436554133,0.3772455089820359,0.005813953488372093,0.0,0.02456778889899909,0.5934065934065934,0.20175438596491227,0.0,0.12258953168044077,0.3333333333333333,0.036231884057971016,0.0,0.031932773109243695,0.16091954022988506,0.3950617283950617,0.7777777777777778,0.6288441145281018,0.37799999999999995,0.0036231884057971015,0.08333333333333333,0.06861989205859677,0.5,2017,0.9,0.9,0.9,0.9,0.9
