rank,name,position,current_college,class,RJR_defensive_PD,RJR_college,RJR_season,RJR_defensive_QB HUR,RJR_defensive_SACKS,RJR_defensive_SOLO,RJR_defensive_TD,RJR_defensive_TFL,RJR_defensive_TOT,RJR_fumbles_FUM,RJR_fumbles_LOST,RJR_fumbles_REC,RJR_passing_ATT,RJR_passing_COMPLETIONS,RJR_passing_INT,RJR_passing_PCT,RJR_passing_TD,RJR_passing_YDS,RJR_passing_YPA,RJR_rushing_CAR,RJR_rushing_LONG,RJR_rushing_TD,RJR_rushing_YDS,RJR_rushing_YPC,SO_fumbles_FUM,SO_college,SO_season,SO_fumbles_LOST,SO_fumbles_REC,SO_passing_ATT,SO_passing_COMPLETIONS,SO_passing_INT,SO_passing_PCT,SO_passing_TD,SO_passing_YDS,SO_passing_YPA,SO_receiving_LONG,SO_receiving_REC,SO_receiving_TD,SO_receiving_YDS,SO_receiving_YPR,SO_rushing_CAR,SO_rushing_LONG,SO_rushing_TD,SO_rushing_YDS,SO_rushing_YPC,JR_defensive_PD,JR_college,JR_season,JR_defensive_QB HUR,JR_defensive_SACKS,JR_defensive_SOLO,JR_defensive_TD,JR_defensive_TFL,JR_defensive_TOT,SO_defensive_PD,SO_defensive_QB HUR,SO_defensive_SACKS,SO_defensive_SOLO,SO_defensive_TD,SO_defensive_TFL,SO_defensive_TOT,JR_fumbles_FUM,JR_fumbles_LOST,JR_fumbles_REC,JR_receiving_LONG,JR_receiving_REC,JR_receiving_TD,JR_receiving_YDS,JR_receiving_YPR,JR_rushing_CAR,JR_rushing_LONG,JR_rushing_TD,JR_rushing_YDS,JR_rushing_YPC,SO_kickReturns_AVG,SO_kickReturns_LONG,SO_kickReturns_NO,SO_kickReturns_TD,SO_kickReturns_YDS,FR_defensive_PD,FR_college,FR_season,FR_defensive_QB HUR,FR_defensive_SACKS,FR_defensive_SOLO,FR_defensive_TD,FR_defensive_TFL,FR_defensive_TOT,FR_kickReturns_AVG,FR_kickReturns_LONG,FR_kickReturns_NO,FR_kickReturns_TD,FR_kickReturns_YDS,FR_receiving_LONG,FR_receiving_REC,FR_receiving_TD,FR_receiving_YDS,FR_receiving_YPR,FR_rushing_CAR,FR_rushing_LONG,FR_rushing_TD,FR_rushing_YDS,FR_rushing_YPC,SR_defensive_PD,SR_college,SR_season,SR_defensive_QB HUR,SR_defensive_SACKS,SR_defensive_SOLO,SR_defensive_TD,SR_defensive_TFL,SR_defensive_TOT,SR_interceptions_AVG,SR_interceptions_INT,SR_interceptions_TD,SR_interceptions_YDS,JR_interceptions_AVG,JR_interceptions_INT,JR_interceptions_TD,JR_interceptions_YDS,SO_interceptions_AVG,SO_interceptions_INT,SO_interceptions_TD,SO_interceptions_YDS,SO_puntReturns_AVG,SO_puntReturns_LONG,SO_puntReturns_NO,SO_puntReturns_TD,SO_puntReturns_YDS,FR_fumbles_FUM,FR_fumbles_LOST,FR_fumbles_REC,FR_interceptions_AVG,FR_interceptions_INT,FR_interceptions_TD,FR_interceptions_YDS,FR_puntReturns_AVG,FR_puntReturns_LONG,FR_puntReturns_NO,FR_puntReturns_TD,FR_puntReturns_YDS,SR_fumbles_FUM,SR_fumbles_LOST,SR_fumbles_REC,JR_puntReturns_AVG,JR_puntReturns_LONG,JR_puntReturns_NO,JR_puntReturns_TD,JR_puntReturns_YDS,JR_kickReturns_AVG,JR_kickReturns_LONG,JR_kickReturns_NO,JR_kickReturns_TD,JR_kickReturns_YDS,JR_passing_ATT,JR_passing_COMPLETIONS,JR_passing_INT,JR_passing_PCT,JR_passing_TD,JR_passing_YDS,JR_passing_YPA,RJR_receiving_LONG,RJR_receiving_REC,RJR_receiving_TD,RJR_receiving_YDS,RJR_receiving_YPR,FR_passing_ATT,FR_passing_COMPLETIONS,FR_passing_INT,FR_passing_PCT,FR_passing_TD,FR_passing_YDS,FR_passing_YPA,RJR_puntReturns_AVG,RJR_puntReturns_LONG,RJR_puntReturns_NO,RJR_puntReturns_TD,RJR_puntReturns_YDS,RSO_defensive_PD,RSO_college,RSO_season,RSO_defensive_QB HUR,RSO_defensive_SACKS,RSO_defensive_SOLO,RSO_defensive_TD,RSO_defensive_TFL,RSO_defensive_TOT,RSO_fumbles_FUM,RSO_fumbles_LOST,RSO_fumbles_REC,RSO_interceptions_AVG,RSO_interceptions_INT,RSO_interceptions_TD,RSO_interceptions_YDS,RSR_defensive_PD,RSR_college,RSR_season,RSR_defensive_QB HUR,RSR_defensive_SACKS,RSR_defensive_SOLO,RSR_defensive_TD,RSR_defensive_TFL,RSR_defensive_TOT,RSR_fumbles_FUM,RSR_fumbles_LOST,RSR_fumbles_REC,RSR_receiving_LONG,RSR_receiving_REC,RSR_receiving_TD,RSR_receiving_YDS,RSR_receiving_YPR,RSR_rushing_CAR,RSR_rushing_LONG,RSR_rushing_TD,RSR_rushing_YDS,RSR_rushing_YPC,RJR_kickReturns_AVG,RJR_kickReturns_LONG,RJR_kickReturns_NO,RJR_kickReturns_TD,RJR_kickReturns_YDS,SR_puntReturns_AVG,SR_puntReturns_LONG,SR_puntReturns_NO,SR_puntReturns_TD,SR_puntReturns_YDS,SR_kickReturns_AVG,SR_kickReturns_LONG,SR_kickReturns_NO,SR_kickReturns_TD,SR_kickReturns_YDS,SR_receiving_LONG,SR_receiving_REC,SR_receiving_TD,SR_receiving_YDS,SR_receiving_YPR,RSR_interceptions_AVG,RSR_interceptions_INT,RSR_interceptions_TD,RSR_interceptions_YDS,RSR_passing_ATT,RSR_passing_COMPLETIONS,RSR_passing_INT,RSR_passing_PCT,RSR_passing_TD,RSR_passing_YDS,RSR_passing_YPA,SR_passing_ATT,SR_passing_COMPLETIONS,SR_passing_INT,SR_passing_PCT,SR_passing_TD,SR_passing_YDS,SR_passing_YPA,SR_rushing_CAR,SR_rushing_LONG,SR_rushing_TD,SR_rushing_YDS,SR_rushing_YPC,RSR_kickReturns_AVG,RSR_kickReturns_LONG,RSR_kickReturns_NO,RSR_kickReturns_TD,RSR_kickReturns_YDS,RJR_interceptions_AVG,RJR_interceptions_INT,RJR_interceptions_TD,RJR_interceptions_YDS,RSR_puntReturns_AVG,RSR_puntReturns_LONG,RSR_puntReturns_NO,RSR_puntReturns_TD,RSR_puntReturns_YDS,JR_punting_In 20,JR_punting_LONG,JR_punting_NO,JR_punting_TB,JR_punting_YDS,JR_punting_YPP,SO_punting_In 20,SO_punting_LONG,SO_punting_NO,SO_punting_TB,SO_punting_YDS,SO_punting_YPP,GR_defensive_PD,GR_college,GR_season,GR_defensive_QB HUR,GR_defensive_SACKS,GR_defensive_SOLO,GR_defensive_TD,GR_defensive_TFL,GR_defensive_TOT,GR_kickReturns_AVG,GR_kickReturns_LONG,GR_kickReturns_NO,GR_kickReturns_TD,GR_kickReturns_YDS,GR_puntReturns_AVG,GR_puntReturns_LONG,GR_puntReturns_NO,GR_puntReturns_TD,GR_puntReturns_YDS,GR_receiving_LONG,GR_receiving_REC,GR_receiving_TD,GR_receiving_YDS,GR_receiving_YPR,GR_rushing_CAR,GR_rushing_LONG,GR_rushing_TD,GR_rushing_YDS,GR_rushing_YPC,RSR_punting_In 20,RSR_punting_LONG,RSR_punting_NO,RSR_punting_TB,RSR_punting_YDS,RSR_punting_YPP,FR_punting_In 20,FR_punting_LONG,FR_punting_NO,FR_punting_TB,FR_punting_YDS,FR_punting_YPP,GR_fumbles_FUM,GR_fumbles_LOST,GR_fumbles_REC,SR_kicking_FGA,SR_kicking_FGM,SR_kicking_LONG,SR_kicking_PCT,SR_kicking_PTS,SR_kicking_XPA,SR_kicking_XPM,JR_kicking_FGA,JR_kicking_FGM,JR_kicking_LONG,JR_kicking_PCT,JR_kicking_PTS,JR_kicking_XPA,JR_kicking_XPM,SO_kicking_FGA,SO_kicking_FGM,SO_kicking_LONG,SO_kicking_PCT,SO_kicking_PTS,SO_kicking_XPA,SO_kicking_XPM,FR_kicking_FGA,FR_kicking_FGM,FR_kicking_LONG,FR_kicking_PCT,FR_kicking_PTS,FR_kicking_XPA,FR_kicking_XPM,SR_punting_In 20,SR_punting_LONG,SR_punting_NO,SR_punting_TB,SR_punting_YDS,SR_punting_YPP,GR_interceptions_AVG,GR_interceptions_INT,GR_interceptions_TD,GR_interceptions_YDS,RSR_kicking_FGA,RSR_kicking_FGM,RSR_kicking_LONG,RSR_kicking_PCT,RSR_kicking_PTS,RSR_kicking_XPA,RSR_kicking_XPM
1,Fernando Mendoza,QB,Indiana,RJR,,Indiana,2025.0,,,,,,,4.0,0.0,0.0,379.0,273.0,6.0,0.72,41.0,3535.0,9.3,90.0,21.0,7.0,276.0,3.1,2.0,California,2024.0,0.0,0.0,386.0,265.0,6.0,0.687,16.0,3004.0,7.8,,,,,,87.0,50.0,2.0,105.0,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Arvell Reese,EDGE,Ohio State,JR,,,,,,,,,,,,,,,,,,,,,,,,,,Ohio State,2024.0,,,,,,,,,,,,,,,,,,,,2.0,Ohio State,2025.0,5.0,6.5,34.0,0.0,10.0,69.0,0.0,2.0,0.5,18.0,0.0,3.5,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Jeremiyah Love,RB,Notre Dame,JR,,,,,,,,,,,,,,,,,,,,,,,,,,Notre Dame,2024.0,,,,,,,,,,32.0,28.0,2.0,237.0,8.5,163.0,98.0,17.0,1125.0,6.9,,Notre Dame,2025.0,,,,,,,,,,,,,,1.0,0.0,0.0,36.0,27.0,3.0,280.0,10.4,199.0,94.0,18.0,1372.0,6.9,0.0,0.0,1.0,0.0,0.0,,Notre Dame,2023.0,,,,,,,21.0,21.0,2.0,0.0,42.0,33.0,8.0,1.0,77.0,9.6,71.0,36.0,1.0,385.0,5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Sonny Styles,OLB,Ohio State,SR,,,,,,,,,,,,,,,,,,,,,,,,,,Ohio State,2023.0,,,,,,,,,,,,,,,,,,,,5.0,Ohio State,2024.0,0.0,6.0,49.0,0.0,11.0,100.0,1.0,0.0,2.0,32.0,0.0,4.5,53.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,0.0,Ohio State,2022.0,0.0,0.0,4.0,0.0,1.0,7.0,,,,,,,,,,,,,,,,3.0,Ohio State,2025.0,4.0,1.0,46.0,0.0,6.5,83.0,5.0,1.0,0.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Caleb Downs,S,Ohio State,JR,,,,,,,,,,,,,,,,,,,,,,,,,1.0,Ohio State,2024.0,0.0,0.0,,,,,,,,,,,,,,,,,,1.0,Ohio State,2025.0,1.0,1.0,45.0,0.0,5.0,68.0,6.0,1.0,0.5,48.0,1.0,7.5,81.0,,,,,,,,,,,,,,16.0,16.0,1.0,0.0,16.0,3.0,Alabama,2023.0,0.0,0.0,70.0,1.0,3.5,107.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,0.0,0.0,3.5,2.0,0.0,7.0,16.3,79.0,6.0,1.0,98.0,0.0,0.0,1.0,5.5,2.0,0.0,11.0,21.8,85.0,4.0,1.0,87.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Francis Mauigoa,OT,Miami (FL),JR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,David Bailey,EDGE,Texas Tech,SR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,Stanford,2024.0,8.0,6.0,22.0,0.0,8.0,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,Texas Tech,2025.0,10.0,14.5,32.0,0.0,19.5,51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Mansoor Delane,CB,LSU,SR,,,,,,,,,,,,,,,,,,,,,,,,,0.0,Virginia Tech,2023.0,0.0,1.0,,,,,,,,,,,,,,,,,,7.0,Virginia Tech,2024.0,0.0,0.0,34.0,0.0,1.0,54.0,1.0,0.0,0.0,29.0,0.0,2.5,52.0,,,,,,,,,,,,,,,,,,,8.0,Virginia Tech,2022.0,0.0,0.0,17.0,0.0,3.5,38.0,,,,,,,,,,,,,,,,11.0,LSU,2025.0,1.0,0.0,29.0,0.0,0.0,45.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,32.0,1.0,0.0,32.0,,,,,,,,,0.0,1.0,0.0,0.0,,,,,,,,,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Carnell Tate,WR,Ohio State,JR,,,,,,,,,,,,,,,,,,,,,,,,,,Ohio State,2024.0,,,,,,,,,,40.0,52.0,4.0,733.0,14.1,0.0,6.0,0.0,6.0,0.0,,Ohio State,2025.0,,,,,,,,,,,,,,,,,57.0,51.0,9.0,875.0,17.2,2.0,8.0,0.0,16.0,8.0,,,,,,,Ohio State,2023.0,,,,,,,,,,,,55.0,18.0,1.0,264.0,14.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Kenyon Sadiq,TE,Oregon,JR,,,,,,,,,,,,,,,,,,,,,,,,,,Oregon,2024.0,,,,,,,,,,39.0,24.0,2.0,308.0,12.8,5.0,16.0,0.0,24.0,4.8,,Oregon,2025.0,,,,,,,,,,,,,,1.0,0.0,0.0,30.0,51.0,8.0,560.0,11.0,3.0,3.0,0.0,6.0,2.0,18.0,18.0,1.0,0.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
