name,position,draft_year,college,games,w_av,av_per_game,pct_of_top,success_score
Lamar Jackson,QB,2018,Louisville,116.0,110.0,0.9482758620689655,1.0344,1.0
Patrick Mahomes,QB,2017,Texas Tech,126.0,115.0,0.9126984126984127,1.2857,0.99833134704304
Brock Purdy,QB,2022,Iowa St.,49.0,44.0,0.8979591836734694,0.8833,0.9826209389539465
Jalen Hurts,QB,2020,Oklahoma,93.0,79.0,0.8494623655913979,1.0145,0.982616531256731
Joe Burrow,QB,2020,LSU,77.0,63.0,0.8181818181818182,1.0941,0.9822707470354608
Josh Allen,QB,2018,Wyoming,128.0,111.0,0.8671875,0.9556,0.981868996947919
Deshaun Watson,QB,2017,Clemson,73.0,58.0,0.7945205479452054,1.1143,0.9781899124824149
Kyler Murray,QB,2019,Oklahoma,87.0,71.0,0.8160919540229885,1.0244,0.9769407921801676
Justin Herbert,QB,2020,Oregon,95.0,74.0,0.7789473684210526,1.0443,0.9708226143611316
Trevor Lawrence,QB,2021,Clemson,77.0,52.0,0.6753246753246753,1.0,0.9407755854779363
Tua Tagovailoa,QB,2020,Alabama,78.0,52.0,0.6666666666666666,0.9655,0.9342877250124627
Daniel Jones,QB,2019,Duke,83.0,52.0,0.6265060240963856,0.7957,0.8965087704231121
Justin Fields,QB,2021,Ohio St.,59.0,44.0,0.7457627118644068,0.3333,0.8723026078072329
Jordan Love,QB,2020,Utah St.,57.0,42.0,0.7368421052631579,0.2685,0.8544956604205365
Baker Mayfield,QB,2018,Oklahoma,123.0,80.0,0.6504065040650406,0.3413,0.8164089066648837
Easton Stick,QB,2019,North Dakota St.,6.0,4.0,0.6666666666666666,0.0358,0.7338926008632116
Sam Howell,QB,2022,North Carolina,20.0,12.0,0.6,0.0417,0.660803017292537
Mac Jones,QB,2021,Alabama,63.0,34.0,0.5396825396825397,0.0583,0.5873843021915026
Gardner Minshew II,QB,2019,Washington St.,63.0,32.0,0.5079365079365079,0.07,0.5465946421814738
Desmond Ridder,QB,2022,Cincinnati,25.0,13.0,0.52,0.0179,0.5355886668034118
Sam Darnold,QB,2018,USC,100.0,49.0,0.49,0.0895,0.5301147347808995
Mitchell Trubisky,QB,2017,North Carolina,82.0,40.0,0.4878048780487805,0.0556,0.5071470099258164
Davis Mills,QB,2021,Stanford,44.0,17.0,0.38636363636363635,0.0738,0.35769296251028465
Kenny Pickett,QB,2022,Pittsburgh,36.0,14.0,0.3888888888888889,0.0667,0.3575440165431665
Malik Willis,QB,2022,Liberty,22.0,6.0,0.2727272727272727,0.375,0.3541155970596956
Trey Lance,QB,2021,North Dakota St.,16.0,6.0,0.375,0.0333,0.3185545286002908
Zach Wilson,QB,2021,BYU,38.0,13.0,0.34210526315789475,0.1,0.30670861896686163
Drew Lock,QB,2019,Missouri,41.0,14.0,0.34146341463414637,0.0796,0.2951878769551982
Joshua Dobbs,QB,2017,Tennessee,27.0,9.0,0.3333333333333333,0.0231,0.25623002698023783
Jarrett Stidham,QB,2019,Auburn,20.0,6.0,0.3,0.0995,0.2496916023080223
Mike White,QB,2018,Western Kentucky,15.0,5.0,0.3333333333333333,0.0061,0.24820231885956412
DeShone Kizer,QB,2017,Notre Dame,18.0,6.0,0.3333333333333333,0.0058,0.2480619918654399
Mason Rudolph,QB,2018,Oklahoma St.,34.0,10.0,0.29411764705882354,0.1108,0.2475274032698426
C.J. Beathard,QB,2017,Iowa,32.0,9.0,0.28125,0.0556,0.2075878024106353
Skylar Thompson,QB,2022,Kansas St.,10.0,3.0,0.3,0.0041,0.20727282676148398
Sam Ehlinger,QB,2021,Texas,8.0,2.0,0.25,0.0223,0.16159266240736014
Dwayne Haskins,QB,2019,Ohio St.,16.0,4.0,0.25,0.0189,0.1603681475514902
Ryan Finley,QB,2019,North Carolina St.,8.0,2.0,0.25,0.0,0.15366156217198493
Nathan Peterman,QB,2017,Pittsburgh,15.0,3.0,0.2,0.0048,0.11173366851851971
Bailey Zappe,QB,2022,Western Kentucky,15.0,2.0,0.13333333333333333,0.0196,0.06819255800062177
Josh Rosen,QB,2018,UCLA,24.0,3.0,0.125,0.0214,0.06339014183439666
Trace McSorley,QB,2019,Penn St.,9.0,1.0,0.1111111111111111,0.0202,0.05476113687757304
Kyle Trask,QB,2021,Florida,7.0,0.0,0.0,0.0465,0.0045831335370609995
Logan Woodside,QB,2018,Toledo,13.0,0.0,0.0,0.0161,0.0
