name,position,draft_year,college,games,w_av,av_per_game,pct_of_top,success_score
Christian McCaffrey,RB,2017,Stanford,112.0,86.0,0.7678571428571429,1.0677,1.0
Jonathan Taylor,RB,2020,Wisconsin,84.0,58.0,0.6904761904761905,0.8741,0.9714626355545275
Alvin Kamara,RB,2017,Tennessee,126.0,79.0,0.626984126984127,1.0,0.9646057159096789
James Cook,RB,2022,Georgia,66.0,43.0,0.6515151515151515,0.6053,0.9342997589699003
Dalvin Cook,RB,2017,Florida St.,90.0,52.0,0.5777777777777777,0.84,0.9329555753204838
Saquon Barkley,RB,2018,Penn St.,106.0,65.0,0.6132075471698113,0.6301,0.9219047507929158
Josh Jacobs,RB,2019,Alabama,105.0,57.0,0.5428571428571428,0.7362,0.9042386271132737
Aaron Jones,RB,2017,Texas-El Paso,126.0,67.0,0.5317460317460317,0.7493,0.9006437666667727
Joe Mixon,RB,2017,Oklahoma,111.0,56.0,0.5045045045045045,0.8,0.89437146533001
Kyren Williams,RB,2022,Notre Dame,55.0,31.0,0.5636363636363636,0.5789,0.8905848828533853
Nick Chubb,RB,2018,Georgia,100.0,49.0,0.49,0.7617,0.879791672910331
Breece Hall,RB,2022,Iowa St.,56.0,28.0,0.5,0.6938,0.8735489203569007
Kenneth Walker III,RB,2022,Michigan St.,58.0,28.0,0.4827586206896552,0.6966,0.8630391080981611
Chris Carson,RB,2017,Oklahoma St.,49.0,29.0,0.5918367346938775,0.3255,0.8617451670909362
Travis Etienne,RB,2021,Clemson,66.0,33.0,0.5,0.5704,0.8488043702790008
D'Andre Swift,RB,2020,Georgia,89.0,44.0,0.4943820224719101,0.4995,0.8281349779980822
Tony Pollard,RB,2019,Memphis,112.0,45.0,0.4017857142857143,0.6301,0.7786165292595196
David Montgomery,RB,2019,Iowa St.,105.0,49.0,0.4666666666666667,0.3746,0.7662493238616693
Rhamondre Stevenson,RB,2021,Oklahoma,70.0,28.0,0.4,0.5619,0.7542838794362328
Tarik Cohen,RB,2017,North Carolina A&T,51.0,21.0,0.4117647058823529,0.3833,0.7015752191244632
Leonard Fournette,RB,2017,LSU,81.0,38.0,0.4691358024691358,0.1333,0.6766282818001449
Najee Harris,RB,2021,Alabama,71.0,30.0,0.4225352112676056,0.2763,0.6709221511526731
Miles Sanders,RB,2019,Penn St.,88.0,34.0,0.38636363636363635,0.3965,0.6706030997049707
J.K. Dobbins,RB,2020,Ohio St.,47.0,22.0,0.46808510638297873,0.1005,0.6601790908646522
Chuba Hubbard,RB,2021,Oklahoma St.,79.0,27.0,0.34177215189873417,0.5182,0.6580845798133961
James Conner,RB,2017,Pittsburgh,110.0,49.0,0.44545454545454544,0.1093,0.6281294928935347
Kareem Hunt,RB,2017,Toledo,121.0,52.0,0.4297520661157025,0.0756,0.5836167801897033
Javonte Williams,RB,2021,North Carolina,70.0,28.0,0.4,0.1579,0.5743705819606166
Isiah Pacheco,RB,2022,Rutgers,51.0,21.0,0.4117647058823529,0.0879,0.5575483497402763
Elijah Mitchell,RB,2021,Louisiana,28.0,11.0,0.39285714285714285,0.1316,0.5466794008947178
Antonio Gibson,RB,2020,Memphis,83.0,29.0,0.3493975903614458,0.2341,0.5224319920074578
Rachaad White,RB,2022,Arizona St.,67.0,26.0,0.3880597014925373,0.0971,0.5179763486325777
Devin Singletary,RB,2019,Florida Atlantic,110.0,39.0,0.35454545454545455,0.1717,0.49632582821474497
Marlon Mack,RB,2017,South Florida,55.0,20.0,0.36363636363636365,0.1249,0.4867556318417878
Derrius Guice,RB,2018,LSU,5.0,2.0,0.4,0.0,0.4847980662642796
Damien Harris,RB,2019,Alabama,44.0,16.0,0.36363636363636365,0.1105,0.4783312384465376
Rashaad Penny,RB,2018,San Diego St.,45.0,13.0,0.28888888888888886,0.359,0.47753827369796165
Tyler Allgeier,RB,2022,BYU,67.0,20.0,0.29850746268656714,0.2973,0.4601960896046203
Clyde Edwards-Helaire,RB,2020,LSU,52.0,18.0,0.34615384615384615,0.1061,0.44142953682936636
AJ Dillon,RB,2020,Boston Col.,67.0,24.0,0.3582089552238806,0.05,0.43215456417595327
Zack Moss,RB,2020,Utah,61.0,18.0,0.29508196721311475,0.2498,0.42558680254937364
Chase Edmonds,RB,2018,Fordham,86.0,21.0,0.2441860465116279,0.3778,0.40104593388614007
Sony Michel,RB,2018,Georgia,65.0,21.0,0.3230769230769231,0.1093,0.39827017761771666
Nyheim Hines,RB,2018,North Carolina St.,85.0,25.0,0.29411764705882354,0.18,0.3832517989536682
Jamaal Williams,RB,2017,BYU,117.0,33.0,0.28205128205128205,0.1873,0.3644911919802751
Kerryon Johnson,RB,2018,Auburn,35.0,11.0,0.3142857142857143,0.0574,0.3520944470639516
Brian Robinson Jr.,RB,2022,Alabama,58.0,19.0,0.3275862068965517,0.0,0.3449290015792615
Ronald Jones II,RB,2018,USC,61.0,18.0,0.29508196721311475,0.0937,0.33672716852752055
Kenneth Gainwell,RB,2021,Memphis,83.0,24.0,0.2891566265060241,0.0942,0.3262625994442481
Alexander Mattison,RB,2019,Boise St.,89.0,21.0,0.23595505617977527,0.2185,0.29806568980026277
Myles Gaskin,RB,2019,Washington,47.0,13.0,0.2765957446808511,0.077,0.29516312434139363
Darrell Henderson,RB,2019,Memphis,54.0,15.0,0.2777777777777778,0.0674,0.2922775868404454
Bo Scarbrough,RB,2018,Alabama,7.0,2.0,0.2857142857142857,0.0371,0.29035960710498343
Dameon Pierce,RB,2022,Florida,43.0,12.0,0.27906976744186046,0.0579,0.28964411975312887
D'Onta Foreman,RB,2017,Texas,63.0,17.0,0.2698412698412698,0.05,0.27036180048604275
Michael Carter,RB,2021,North Carolina,61.0,16.0,0.26229508196721313,0.0741,0.2698134159178215
Elijah McGuire,RB,2017,Louisiana,24.0,6.0,0.25,0.0443,0.23652697163551759
Justice Hill,RB,2019,Oklahoma St.,84.0,17.0,0.20238095238095238,0.1408,0.20926861638755453
Cam Akers,RB,2020,Florida St.,59.0,13.0,0.22033898305084745,0.0734,0.20619593260789834
Khalil Herbert,RB,2021,Virginia Tech,63.0,13.0,0.20634920634920634,0.0704,0.18618521998301638
Justin Jackson,RB,2018,Northwestern,59.0,12.0,0.2033898305084746,0.0646,0.1801347352111722
Samaje Perine,RB,2017,Oklahoma,125.0,26.0,0.208,0.0474,0.17945239843583793
Jerome Ford,RB,2022,Cincinnati,57.0,11.0,0.19298245614035087,0.0921,0.17736631929952001
Wayne Gallman,RB,2017,Clemson,61.0,12.0,0.19672131147540983,0.0618,0.17071397642462996
Brian Hill,RB,2017,Wyoming,48.0,9.0,0.1875,0.0422,0.15270079397917022
Ty Johnson,RB,2019,Maryland,106.0,18.0,0.16981132075471697,0.077,0.14443560000693112
Royce Freeman,RB,2018,Oregon,79.0,13.0,0.16455696202531644,0.0741,0.13769019298731391
Ito Smith,RB,2018,Southern Miss,36.0,6.0,0.16666666666666666,0.0574,0.13457419062476195
La'Mical Perine,RB,2020,Florida,17.0,3.0,0.17647058823529413,0.0129,0.13084065402344672
Joshua Kelley,RB,2020,UCLA,57.0,9.0,0.15789473684210525,0.0702,0.1293322405670842
Ty Chandler,RB,2022,North Carolina,40.0,6.0,0.15,0.059,0.11783603091377
Kerrith Whyte Jr,RB,2019,Florida Atlantic,6.0,1.0,0.16666666666666666,0.0,0.11685774990025417
Eno Benjamin,RB,2020,Arizona St.,24.0,4.0,0.16666666666666666,0.0,0.11685774990025417
Boston Scott,RB,2018,Louisiana Tech,75.0,11.0,0.14666666666666667,0.0423,0.10969266133108413
Mark Walton,RB,2018,Miami (FL),21.0,3.0,0.14285714285714285,0.0392,0.10519754520896238
Jordan Wilkins,RB,2018,Mississippi,54.0,8.0,0.14814814814814814,0.0157,0.10357115616989956
Darrynton Evans,RB,2020,Appalachian St.,24.0,3.0,0.125,0.0559,0.0934705796204619
Jeremy McNichols,RB,2017,Boise St.,71.0,9.0,0.1267605633802817,0.0454,0.09225189823158515
Benny Snell Jr.,RB,2019,Kentucky,63.0,8.0,0.12698412698412698,0.04,0.09103097699887958
DeeJay Dallas,RB,2020,Miami (FL),84.0,7.0,0.08333333333333333,0.1717,0.08734974355763764
Kalen Ballage,RB,2018,Arizona St.,52.0,6.0,0.11538461538461539,0.0557,0.08508875768495672
Travis Homer,RB,2019,Miami (FL),85.0,8.0,0.09411764705882353,0.1249,0.08461074647583794
Tyrion Davis-Price,RB,2022,LSU,8.0,1.0,0.125,0.0135,0.08255553386900796
Kevin Harris,RB,2022,South Carolina,9.0,1.0,0.1111111111111111,0.0579,0.08204959872045874
Ryquell Armstead,RB,2019,Temple,18.0,2.0,0.1111111111111111,0.0567,0.08175050960242827
Kene Nwangwu,RB,2021,Iowa St.,51.0,5.0,0.09803921568627451,0.0659,0.07335619889535562
Zamir White,RB,2022,Georgia,45.0,5.0,0.1111111111111111,0.0,0.06815412784882297
Malcolm Perry,RB,2020,Navy,9.0,1.0,0.1111111111111111,0.0,0.06815412784882297
Tyler Badie,RB,2022,Missouri,20.0,2.0,0.1,0.0153,0.06318547503389685
Trey Sermon,RB,2021,Ohio St.,46.0,4.0,0.08695652173913043,0.0587,0.06314072822416769
Brandon Wilson,RB,2017,Houston,60.0,6.0,0.1,0.0,0.05978944232079181
Keaontay Ingram,RB,2022,USC,21.0,2.0,0.09523809523809523,0.0135,0.05925913969998437
Jermar Jefferson,RB,2021,Oregon St.,11.0,1.0,0.09090909090909091,0.0151,0.05646395384496595
Demetric Felton,RB,2021,UCLA,24.0,2.0,0.08333333333333333,0.0135,0.0507672507236178
Pierre Strong,RB,2022,South Dakota St.,46.0,4.0,0.08695652173913043,0.0,0.050478751978531175
John Kelly,RB,2018,Tennessee,15.0,1.0,0.06666666666666667,0.0454,0.04589313321645153
Darwin Thompson,RB,2019,Utah St.,26.0,2.0,0.07692307692307693,0.0103,0.04572863707918166
Isaiah Spiller,RB,2022,Texas A&M,15.0,1.0,0.06666666666666667,0.014,0.03969073643037746
Trayveon Williams,RB,2019,Texas A&M,75.0,4.0,0.05333333333333334,0.0567,0.03932949391949539
Larry Rountree,RB,2021,Missouri,16.0,1.0,0.0625,0.0,0.03438018739817275
Trenton Cannon,RB,2018,Virginia St.,48.0,2.0,0.041666666666666664,0.0574,0.03211183658120942
Anthony McFarland Jr.,RB,2020,Maryland,17.0,1.0,0.058823529411764705,0.0,0.03210248309420188
Chris Evans,RB,2021,Michigan,34.0,2.0,0.058823529411764705,0.0,0.03210248309420188
Qadree Ollison,RB,2019,Pittsburgh,24.0,1.0,0.041666666666666664,0.0531,0.03132313946520364
Ke'Shawn Vaughn,RB,2020,Illinois,46.0,2.0,0.043478260869565216,0.0181,0.0261238751673758
Hassan Haskins,RB,2022,Michigan,44.0,2.0,0.045454545454545456,0.0,0.024110945946345778
Gary Brightwell,RB,2021,Arizona,41.0,1.0,0.024390243902439025,0.0659,0.023328906611784977
Jake Funk,RB,2021,Maryland,20.0,0.0,0.0,0.0551,0.00823736027864924
Jason Huntley,RB,2020,New Mexico St.,6.0,0.0,0.0,0.0537,0.008021295986607911
David Williams,RB,2018,Arkansas,6.0,0.0,0.0,0.0392,0.005804667206066375
De'Angelo Henderson,RB,2017,Coastal Carolina,8.0,0.0,0.0,0.039,0.005774360818053312
Dexter Williams,RB,2019,Notre Dame,7.0,0.0,0.0,0.0153,0.0022336166553530976
Brittain Brown,RB,2022,UCLA,9.0,0.0,0.0,0.014,0.0020422615456632395
Zander Horvath,RB,2022,Purdue,15.0,0.0,0.0,0.0135,0.0019687416488267107
Snoop Conner,RB,2022,Mississippi,8.0,0.0,0.0,0.0135,0.0019687416488267107
Jordan Scarlett,RB,2019,Florida,10.0,0.0,0.0,0.0095,0.001382142166138199
Devante Mays,RB,2017,Utah St.,8.0,0.0,0.0,0.0091,0.0013236343295000646
Nick Bawden,RB,2018,San Diego St.,35.0,0.0,0.0,0.0,0.0
T.J. Logan,RB,2017,North Carolina,22.0,0.0,0.0,0.0,0.0
Matthew Dayes,RB,2017,North Carolina St.,23.0,0.0,0.0,0.0,0.0
Chandler Cox,RB,2019,Auburn,21.0,0.0,0.0,0.0,0.0
Cullen Gillaspia,RB,2019,Texas A&M,44.0,0.0,0.0,0.0,0.0
Kylin Hill,RB,2021,Mississippi St.,10.0,0.0,0.0,0.0,0.0
Trestan Ebner,RB,2022,Baylor,17.0,0.0,0.0,0.0,0.0
