name,position,draft_year,college,games,w_av,av_per_game,pct_of_top,success_score
George Kittle,TE,2017,Iowa,124.0,60.0,0.4838709677419355,1.5,1.0
Trey McBride,TE,2022,Colorado St.,66.0,29.0,0.4393939393939394,1.1095,0.9868144710701883
Mark Andrews,TE,2018,Oklahoma,121.0,51.0,0.4214876033057851,0.9333,0.9687874478338179
Dallas Goedert,TE,2018,South Dakota St.,108.0,38.0,0.35185185185185186,0.95,0.9363251075054018
T.J. Hockenson,TE,2019,Iowa,97.0,33.0,0.3402061855670103,0.9706,0.9317166845446104
Kyle Pitts,TE,2021,Florida,78.0,28.0,0.358974358974359,0.7877,0.9217329455424143
Jake Ferguson,TE,2022,Wisconsin,64.0,19.0,0.296875,0.7299,0.8602062383114337
Pat Freiermuth,TE,2021,Penn St.,78.0,22.0,0.28205128205128205,0.7118,0.8395851081237315
Evan Engram,TE,2017,Mississippi,124.0,37.0,0.29838709677419356,0.6,0.8337789447048626
Dawson Knox,TE,2019,Mississippi,102.0,25.0,0.24509803921568626,0.8667,0.8299895354705714
David Njoku,TE,2017,Miami (FL),118.0,27.0,0.2288135593220339,0.9125,0.8199862695322456
Cole Kmet,TE,2020,Notre Dame,100.0,25.0,0.25,0.7353,0.8028250452912818
Dalton Schultz,TE,2018,Stanford,124.0,30.0,0.24193548387096775,0.7287,0.7886978600830785
Isaiah Likely,TE,2022,Coastal Carolina,63.0,15.0,0.23809523809523808,0.6981,0.7730826208026497
Cade Otton,TE,2022,Washington,63.0,17.0,0.2698412698412698,0.5236,0.7711386207961545
Jonnu Smith,TE,2017,Florida International,141.0,29.0,0.20567375886524822,0.8333,0.7611239597107045
Mike Gesicki,TE,2018,Penn St.,128.0,28.0,0.21875,0.7287,0.7490949841029111
Noah Fant,TE,2019,Iowa,110.0,26.0,0.23636363636363636,0.6176,0.7428458345661189
Chigoziem Okonkwo,TE,2022,Maryland,68.0,16.0,0.23529411764705882,0.4712,0.6826911914114723
Will Dissly,TE,2018,Washington,96.0,16.0,0.16666666666666666,0.5333,0.5293748931637372
Gerald Everett,TE,2017,South Alabama,124.0,22.0,0.1774193548387097,0.4,0.48532597863785754
Tyler Conklin,TE,2018,Central Michigan,127.0,20.0,0.15748031496062992,0.45,0.4526082529106753
Hayden Hurst,TE,2018,South Carolina,88.0,17.0,0.19318181818181818,0.2333,0.4365491906375613
O.J. Howard,TE,2017,Alabama,72.0,13.0,0.18055555555555555,0.2333,0.39744840866070213
Daniel Bellinger,TE,2022,San Diego St.,62.0,9.0,0.14516129032258066,0.3665,0.3662201256036693
Colby Parkinson,TE,2020,Stanford,86.0,11.0,0.12790697674418605,0.4412,0.35675264980924476
Greg Dulcich,TE,2022,UCLA,31.0,6.0,0.1935483870967742,0.0601,0.33850670433414987
Noah Gray,TE,2021,Duke,83.0,11.0,0.13253012048192772,0.3529,0.3217590157983865
Irv Smith Jr.,TE,2019,Alabama,54.0,9.0,0.16666666666666666,0.1029,0.2858311510733493
Albert Okwuegbunam,TE,2020,Missouri,31.0,5.0,0.16129032258064516,0.0824,0.2616441339982589
Foster Moreau,TE,2019,LSU,104.0,13.0,0.125,0.2399,0.2451138914531005
Ryan Izzo,TE,2018,Florida St.,19.0,3.0,0.15789473684210525,0.0582,0.241786109060092
Charlie Kolar,TE,2022,Iowa St.,47.0,4.0,0.0851063829787234,0.4241,0.23260769916663232
Jordan Akins,TE,2018,Central Florida,107.0,16.0,0.14953271028037382,0.0723,0.2281188098277976
Josh Oliver,TE,2019,San Jose St.,82.0,7.0,0.08536585365853659,0.4118,0.22773306279441685
Jaylen Samuels,TE,2018,North Carolina St.,45.0,7.0,0.15555555555555556,0.016,0.2174643622382622
John Bates,TE,2021,Boise St.,82.0,6.0,0.07317073170731707,0.4088,0.19891015535309237
Tommy Tremble,TE,2021,Notre Dame,78.0,7.0,0.08974358974358974,0.3066,0.1931274148353324
Ian Thomas,TE,2018,Indiana,114.0,8.0,0.07017543859649122,0.3767,0.1799011489007218
Jake Butt,TE,2017,Michigan,8.0,1.0,0.125,0.0567,0.16890360052119469
Chris Herndon,TE,2018,Miami (FL),49.0,6.0,0.12244897959183673,0.069,0.16844866554734358
Brevin Jordan,TE,2021,Miami (FL),36.0,4.0,0.1111111111111111,0.1235,0.16637459532525536
Adam Trautman,TE,2020,Dayton,94.0,11.0,0.11702127659574468,0.0882,0.16493152045211612
Jeremy Ruckert,TE,2022,Ohio St.,58.0,4.0,0.06896551724137931,0.292,0.1469275723833978
Durham Smythe,TE,2018,Notre Dame,129.0,10.0,0.07751937984496124,0.2333,0.14243251077955535
Kylen Granson,TE,2021,SMU,79.0,8.0,0.10126582278481013,0.1022,0.14072083274067507
Adam Shaheen,TE,2017,Ashland,55.0,4.0,0.07272727272727272,0.2425,0.13706971839010082
Jelani Woods,TE,2022,Virginia,19.0,2.0,0.10526315789473684,0.0561,0.13259388571402075
Kaden Smith,TE,2019,Stanford,33.0,3.0,0.09090909090909091,0.0594,0.1103371324077148
Grant Calcaterra,TE,2022,SMU,62.0,5.0,0.08064516129032258,0.1047,0.10769589660209085
Harrison Bryant,TE,2020,Florida Atlantic,90.0,7.0,0.07777777777777778,0.1029,0.10286957334388376
Luke Farrell,TE,2021,Ohio St.,83.0,3.0,0.03614457831325301,0.3066,0.09811786171404029
Jordan Thomas,TE,2018,Mississippi St.,27.0,2.0,0.07407407407407407,0.0835,0.09220452757753222
Drew Sample,TE,2019,Washington,95.0,7.0,0.07368421052631578,0.0725,0.08875964478294501
Jordan Leggett,TE,2017,Clemson,15.0,1.0,0.06666666666666667,0.0645,0.07729735343791284
Hunter Long,TE,2021,Boston Col.,46.0,2.0,0.043478260869565216,0.146,0.06737489574723227
Andrew Ogletree,TE,2022,Youngstown St.,44.0,2.0,0.045454545454545456,0.1178,0.06330372731121203
Connor Heyward,TE,2022,Michigan St.,68.0,3.0,0.04411764705882353,0.1178,0.06170084549129994
Josiah Deguara,TE,2020,Cincinnati,77.0,4.0,0.05194805194805195,0.076,0.06164145278237643
Jace Sternberger,TE,2019,Texas A&M,18.0,1.0,0.05555555555555555,0.0567,0.06160453066809047
Troy Fumagalli,TE,2018,Wisconsin,19.0,1.0,0.05263157894736842,0.0675,0.06054881772928739
Zach Gentry,TE,2019,Michigan,41.0,2.0,0.04878048780487805,0.0824,0.0593181638739813
Michael Roberts,TE,2017,Toledo,23.0,1.0,0.043478260869565216,0.076,0.05183159410531081
Tommy Sweeney,TE,2019,Boston Col.,24.0,1.0,0.041666666666666664,0.0635,0.047212267651162605
Brycen Hopkins,TE,2020,Purdue,39.0,2.0,0.05128205128205128,0.0,0.04465977142686256
Cole Turner,TE,2022,Nevada,23.0,1.0,0.043478260869565216,0.0132,0.03904983649192487
Charlie Woerner,TE,2020,Georgia,98.0,0.0,0.0,0.2353,0.037392731386035494
Stephen Sullivan,TE,2020,LSU,30.0,1.0,0.03333333333333333,0.0495,0.03566626766542526
John FitzPatrick,TE,2022,Georgia,33.0,1.0,0.030303030303030304,0.0579,0.03420733784662341
Jeremy Sprinkle,TE,2017,Arkansas,76.0,2.0,0.02631578947368421,0.0752,0.03348074814291136
Teagan Quitoriano,TE,2022,Oregon St.,40.0,1.0,0.025,0.0579,0.028979631825065237
Ko Kieft,TE,2022,Minnesota,53.0,1.0,0.018867924528301886,0.0864,0.02824630485084591
Tre' McKitty,TE,2021,Georgia,34.0,1.0,0.029411764705882353,0.0127,0.02505440875853962
James Mitchell,TE,2022,Virginia Tech,35.0,1.0,0.02857142857142857,0.0157,0.02479576153345496
Eric Saubert,TE,2017,Drake,112.0,2.0,0.017857142857142856,0.0694,0.02424132259423091
Isaac Nauta,TE,2019,Georgia,13.0,0.0,0.0,0.0762,0.00952872483096891
Caleb Wilson,TE,2019,UCLA,5.0,0.0,0.0,0.0762,0.00952872483096891
Trevon Wesco,TE,2019,West Virginia,69.0,0.0,0.0,0.0725,0.008943601805210366
Mason Schreck,TE,2017,Buffalo,26.0,0.0,0.0,0.0615,0.007219404269117392
Tyler Davis,TE,2020,Georgia Tech,39.0,0.0,0.0,0.0558,0.0063348999238599995
Kahale Warring,TE,2019,San Diego St.,9.0,0.0,0.0,0.052,0.0057485854530819015
Nick Muse,TE,2022,South Carolina,16.0,0.0,0.0,0.0512,0.005625490983359058
Devin Asiasi,TE,2020,UCLA,22.0,0.0,0.0,0.017,0.00047161120379096656
Dalton Keene,TE,2020,Virginia Tech,7.0,0.0,0.0,0.0138,0.0
