name,position,draft_year,college,games,w_av,av_per_game,pct_of_top,success_score
Ja'Marr Chase,WR,2021,LSU,78.0,58.0,0.7435897435897436,1.15,1.0
Justin Jefferson,WR,2020,LSU,94.0,65.0,0.6914893617021277,1.1667,0.9901996865803969
CeeDee Lamb,WR,2020,Oklahoma,95.0,65.0,0.6842105263157895,1.1333,0.9887144085299324
Amon-Ra St. Brown,WR,2021,USC,83.0,57.0,0.6867469879518072,1.0001,0.983058131681608
A.J. Brown,WR,2019,Mississippi,105.0,73.0,0.6952380952380952,0.9174,0.97953567029487
Brandon Aiyuk,WR,2020,Arizona St.,69.0,39.0,0.5652173913043478,1.0,0.9501742183049247
DeVonta Smith,WR,2021,Alabama,80.0,47.0,0.5875,0.8333,0.9412351594568283
Drake London,WR,2022,USC,62.0,32.0,0.5161290322580645,1.0,0.9325742768075911
Jaylen Waddle,WR,2021,Alabama,78.0,41.0,0.5256410256410257,0.9417,0.9296458842364912
Deebo Samuel,WR,2019,South Carolina,97.0,52.0,0.5360824742268041,0.8752,0.9260351605926128
D.K. Metcalf,WR,2019,Mississippi,112.0,57.0,0.5089285714285714,0.8807,0.9148597486852069
Chris Olave,WR,2022,Ohio St.,55.0,27.0,0.4909090909090909,0.9,0.9090079837965352
George Pickens,WR,2022,Georgia,65.0,36.0,0.5538461538461539,0.6782,0.908368912350339
Jameson Williams,WR,2022,Alabama,50.0,26.0,0.52,0.7619,0.9036210904049109
Garrett Wilson,WR,2022,Ohio St.,58.0,27.0,0.46551724137931033,0.9286,0.9004601814995826
Cooper Kupp,WR,2017,Eastern Washington,120.0,63.0,0.525,0.7159,0.8993489854959877
Terry McLaurin,WR,2019,Ohio St.,107.0,51.0,0.4766355140186916,0.8514,0.8945047355836575
Tee Higgins,WR,2020,Clemson,85.0,43.0,0.5058823529411764,0.7272,0.8908028009014042
D.J. Moore,WR,2018,Maryland,131.0,61.0,0.46564885496183206,0.757,0.8719463240635477
Calvin Ridley,WR,2018,Alabama,90.0,41.0,0.45555555555555555,0.7667,0.8672219874203076
Chris Godwin,WR,2017,Penn St.,120.0,53.0,0.44166666666666665,0.5865,0.8164612691584937
Alec Pierce,WR,2022,Cincinnati,64.0,26.0,0.40625,0.7081,0.8162938317951203
Michael Pittman Jr.,WR,2020,USC,95.0,44.0,0.4631578947368421,0.486,0.8095471884597522
Diontae Johnson,WR,2019,Toledo,89.0,35.0,0.39325842696629215,0.6736,0.7946561794467469
Christian Kirk,WR,2018,Texas A&M,106.0,42.0,0.39622641509433965,0.6606,0.7938619768190166
Mike Williams,WR,2017,Clemson,106.0,38.0,0.3584905660377358,0.7339,0.7767592147606841
Kenny Golladay,WR,2017,Northern Illinois,73.0,27.0,0.3698630136986301,0.6606,0.7658841784016933
Courtland Sutton,WR,2018,SMU,115.0,45.0,0.391304347826087,0.5505,0.7537951220723413
Christian Watson,WR,2022,North Dakota St.,48.0,22.0,0.4583333333333333,0.3143,0.7521306477943375
Corey Davis,WR,2017,Western Michigan,78.0,31.0,0.3974358974358974,0.4587,0.7283762471826023
Henry Ruggs III,WR,2020,Alabama,20.0,8.0,0.4,0.4,0.7089677923195253
Khalil Shakir,WR,2022,Boise St.,62.0,25.0,0.4032258064516129,0.3786,0.7048151611457788
Romeo Doubs,WR,2022,Nevada,59.0,23.0,0.3898305084745763,0.4224,0.7038214700098642
Jerry Jeudy,WR,2020,Alabama,91.0,31.0,0.34065934065934067,0.5833,0.7001972639851468
Marquise Brown,WR,2019,Oklahoma,90.0,39.0,0.43333333333333335,0.2333,0.6875280192145559
Nico Collins,WR,2021,Michigan,66.0,33.0,0.5,0.0,0.6861606292918808
Wan'Dale Robinson,WR,2022,Kentucky,54.0,20.0,0.37037037037037035,0.4348,0.6806796789250694
Darnell Mooney,WR,2020,Tulane,91.0,33.0,0.3626373626373626,0.4333,0.6681614365030464
Gabriel Davis,WR,2020,Central Florida,80.0,28.0,0.35,0.4333,0.6479818468259219
Michael Gallup,WR,2018,Colorado St.,86.0,30.0,0.3488372093023256,0.422,0.640666532675382
Hunter Renfrow,WR,2019,Clemson,79.0,22.0,0.27848101265822783,0.5817,0.5989341936882557
JuJu Smith-Schuster,WR,2017,USC,121.0,43.0,0.35537190082644626,0.2936,0.5869876873010067
Curtis Samuel,WR,2017,Ohio St.,111.0,30.0,0.2702702702702703,0.422,0.4943876178832054
Josh Palmer,WR,2021,Tennessee,70.0,21.0,0.3,0.2857,0.4747371245734758
Rashod Bateman,WR,2021,Minnesota,64.0,20.0,0.3125,0.2145,0.4582954359770879
Russell Gage,WR,2018,LSU,75.0,20.0,0.26666666666666666,0.367,0.45494877288966684
Marquez Valdes-Scantling,WR,2018,South Florida,116.0,29.0,0.25,0.367,0.42124753893111644
Chase Claypool,WR,2020,Notre Dame,58.0,19.0,0.3275862068965517,0.0408,0.38742946423461466
Rondale Moore,WR,2021,Purdue,39.0,12.0,0.3076923076923077,0.0571,0.35776220718271146
Donovan Peoples-Jones,WR,2020,Michigan,58.0,18.0,0.3103448275862069,0.0433,0.355170661823999
Mecole Hardman,WR,2019,Georgia,82.0,23.0,0.2804878048780488,0.1333,0.3479229065219219
Darius Slayton,WR,2019,Auburn,106.0,32.0,0.3018867924528302,0.0354,0.33474110913278265
Jauan Jennings,WR,2020,Tennessee,75.0,21.0,0.28,0.0242,0.28914021413981517
Quez Watkins,WR,2020,Southern Miss,49.0,13.0,0.2653061224489796,0.0431,0.27327863062540036
