name,position,college,conference,height,weight,forty,bench,vertical,broad_jump,cone,shuttle,age,years_since_first_played,played_at_18,played_at_19,played_at_20,played_at_21,played_at_22,played_at_23,draft_year
Frank Ragnow,Center,Arkansas,SEC,77.0,312.0,,26.0,,,,,22.0,0,0,0,0,0,0,0,2018
Billy Price,Center,Ohio State,Big Ten,76.0,305.0,,,,,,,23.0,0,0,0,0,0,0,0,2018
James Daniels,Center,Iowa,Big Ten,75.0,306.0,,21.0,30.5,108.0,7.29,4.4,20.0,0,0,0,0,0,0,0,2018
Martinas Rankin,Center,Mississippi State,SEC,76.0,308.0,,24.0,,,,,23.0,0,0,0,0,0,0,0,2018
Scott Quessenberry,Center,UCLA,Pac-12,76.0,315.0,5.09,25.0,33.5,111.0,7.5,4.69,23.0,2,0,0,0,1,1,0,2018
Garrett Bradbury,Center,NC State,ACC,75.0,306.0,4.92,34.0,31.0,104.0,7.41,4.53,24.0,0,0,0,0,0,0,0,2019
Erik McCoy,Center,Texas A&M,SEC,76.0,303.0,4.89,29.0,31.0,107.0,8.28,4.62,22.0,3,0,1,1,1,0,0,2019
Lamont Gaillard,Center,Georgia,SEC,75.0,305.0,,,,,,,23.0,0,0,0,0,0,0,0,2019
Nick Allegretti,Center,Illinois,Big Ten,76.0,310.0,,,,,,,23.0,0,0,0,0,0,0,0,2019
Javon Patterson,Center,Ole Miss,SEC,75.0,307.0,5.13,27.0,27.5,98.0,7.72,4.78,22.0,3,0,1,1,1,0,0,2019
Cesar Ruiz,Center,Michigan,Big Ten,75.0,307.0,5.08,28.0,33.0,113.0,7.91,4.64,21.0,0,0,0,0,0,0,0,2020
Matt Hennessy,Center,Temple,American Athletic,76.0,307.0,5.18,23.0,30.0,110.0,7.45,4.6,22.0,3,0,1,1,1,0,0,2020
Tyler Biadasz,Center,Wisconsin,Big Ten,76.0,314.0,,,,,,,22.0,0,0,0,0,0,0,0,2020
Keith Ismael,Center,San Diego State,Mountain West,75.0,309.0,5.34,,32.0,108.0,8.14,4.65,22.0,0,0,0,0,0,0,0,2020
Jake Hanson,Center,Oregon,Pac-12,76.0,303.0,5.5,33.0,,,,,23.0,0,0,0,0,0,0,0,2020
Landon Dickerson,Center,Alabama,SEC,78.0,333.0,,,,,,,22.0,0,0,0,0,0,0,0,2021
Creed Humphrey,Center,Oklahoma,Big 12,76.0,302.0,5.11,29.0,33.0,112.0,7.5,4.49,22.0,0,0,0,0,0,0,0,2021
Kendrick Green,Center,Illinois,Big Ten,76.0,315.0,4.89,25.0,35.5,119.0,7.79,4.67,22.0,0,0,0,0,0,0,0,2021
Drew Dalman,Center,Stanford,Pac-12,75.0,299.0,5.11,33.0,33.0,109.0,7.33,4.52,22.0,0,0,0,0,0,0,0,2021
Trey Hill,Center,Georgia,SEC,76.0,319.0,5.5,,,,,,21.0,0,0,0,0,0,0,0,2021
Jimmy Morrissey,Center,Pittsburgh,ACC,75.0,303.0,5.31,26.0,31.0,105.0,7.39,4.47,23.0,0,0,0,0,0,0,0,2021
Tyler Linderbaum,Center,Iowa,Big Ten,74.0,296.0,,,,,,,22.0,0,0,0,0,0,0,0,2022
Cameron Jurgens,Center,Nebraska,Big Ten,75.0,303.0,4.92,25.0,,,,,23.0,0,0,0,0,0,0,0,2022
Luke Fortner,Center,Kentucky,SEC,76.0,307.0,5.21,,24.0,102.0,7.75,4.95,24.0,0,0,0,0,0,0,0,2022
Luke Wattenberg,Center,Washington,Pac-12,76.0,299.0,5.2,,29.5,113.0,7.45,4.57,24.0,0,0,0,0,0,0,0,2022
Doug Kramer,Center,Illinois,Big Ten,,,,,,,,,24.0,0,0,0,0,0,0,0,2022
Dawson Deaton,Center,Texas Tech,Big 12,78.0,306.0,5.12,24.0,29.0,108.0,7.52,4.49,23.0,0,0,0,0,0,0,0,2022
