name,position,college,conference,height,weight,forty,bench,vertical,broad_jump,cone,shuttle,age,years_since_first_played,played_at_18,played_at_19,played_at_20,played_at_21,played_at_22,played_at_23,Y0_college,Y0_defensive_PD,Y0_defensive_QB HUR,Y0_defensive_SACKS,Y0_defensive_SOLO,Y0_defensive_TD,Y0_defensive_TFL,Y0_defensive_TOT,Y1_college,Y1_interceptions_AVG,Y1_interceptions_INT,Y1_interceptions_TD,Y1_interceptions_YDS,Y1_puntReturns_AVG,Y1_puntReturns_LONG,Y1_puntReturns_NO,Y1_puntReturns_TD,Y1_puntReturns_YDS,Y2_college,Y2_kickReturns_AVG,Y2_kickReturns_LONG,Y2_kickReturns_NO,Y2_kickReturns_TD,Y2_kickReturns_YDS,Y0_kickReturns_AVG,Y0_kickReturns_LONG,Y0_kickReturns_NO,Y0_kickReturns_TD,Y0_kickReturns_YDS,Y3_college,Y0_interceptions_AVG,Y0_interceptions_INT,Y0_interceptions_TD,Y0_interceptions_YDS,Y0_puntReturns_AVG,Y0_puntReturns_LONG,Y0_puntReturns_NO,Y0_puntReturns_TD,Y0_puntReturns_YDS,Y1_kickReturns_AVG,Y1_kickReturns_LONG,Y1_kickReturns_NO,Y1_kickReturns_TD,Y1_kickReturns_YDS,Y2_puntReturns_AVG,Y2_puntReturns_LONG,Y2_puntReturns_NO,Y2_puntReturns_TD,Y2_puntReturns_YDS,Y2_interceptions_AVG,Y2_interceptions_INT,Y2_interceptions_TD,Y2_interceptions_YDS,Y3_kickReturns_AVG,Y3_kickReturns_LONG,Y3_kickReturns_NO,Y3_kickReturns_TD,Y3_kickReturns_YDS,Y3_puntReturns_AVG,Y3_puntReturns_LONG,Y3_puntReturns_NO,Y3_puntReturns_TD,Y3_puntReturns_YDS,Y3_interceptions_AVG,Y3_interceptions_INT,Y3_interceptions_TD,Y3_interceptions_YDS
Marshon Lattimore,Cornerback,Ohio State,Big Ten,72.0,193.0,4.36,,38.5,132.0,,,21.0,1,0,0,1,0,0,0,Ohio State,9.0,0.0,0.0,30.0,1.0,1.0,41.0,,,,,,,,,,,,,,,,,,,,,,,15.3,4.0,1.0,61.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marlon Humphrey,Cornerback,Alabama,SEC,72.0,197.0,4.41,10.0,,125.0,6.75,,21.0,2,0,1,1,0,0,0,Alabama,5.0,0.0,0.0,26.0,1.0,3.0,36.0,Alabama,9.3,3.0,0.0,28.0,,,,,,,,,,,,,,,,,,9.0,2.0,1.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adoree' Jackson,Cornerback,USC,Pac-12,70.0,186.0,,,,,,,21.0,3,1,1,1,0,0,0,USC,11.0,0.0,0.0,46.0,3.0,2.0,55.0,USC,46.0,1.0,1.0,46.0,10.5,45.0,24.0,2.0,251.0,USC,29.7,100.0,23.0,2.0,684.0,28.4,100.0,27.0,2.0,767.0,,4.2,5.0,0.0,21.0,15.0,77.0,21.0,2.0,315.0,21.6,40.0,32.0,0.0,690.0,6.0,10.0,2.0,0.0,12.0,,,,,,,,,,,,,,,,,,
Gareon Conley,Cornerback,Ohio State,Big Ten,72.0,195.0,4.44,11.0,37.0,129.0,6.68,4.18,22.0,2,0,0,1,1,0,0,Ohio State,8.0,0.0,0.0,21.0,0.0,0.0,26.0,Ohio State,0.0,2.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,4.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tre'Davious White,Cornerback,LSU,SEC,71.0,192.0,,,,,,,22.0,4,1,1,1,1,0,0,LSU,14.0,0.0,0.5,19.0,2.0,4.0,35.0,LSU,,,,,11.5,69.0,20.0,1.0,229.0,LSU,,,,,,,,,,,LSU,10.5,2.0,1.0,21.0,7.8,60.0,24.0,1.0,186.0,,,,,,10.5,67.0,26.0,1.0,273.0,0.0,2.0,0.0,0.0,,,,,,,,,,,20.0,2.0,0.0,40.0
Kevin King,Cornerback,Washington,Pac-12,75.0,200.0,4.43,11.0,39.5,,6.56,3.89,22.0,3,0,1,1,1,0,0,Washington,13.0,0.0,0.0,26.0,0.0,3.5,44.0,Washington,2.0,3.0,0.0,6.0,,,,,,Washington,,,,,,,,,,,,0.0,2.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,
Sidney Jones,Cornerback,Washington,Pac-12,72.0,186.0,4.47,,33.5,123.0,7.02,4.28,21.0,3,1,1,1,0,0,0,Washington,6.0,0.0,0.0,27.0,0.0,2.5,39.0,Washington,31.3,4.0,1.0,125.0,,,,,,Washington,,,,,,,,,,,,0.0,3.0,0.0,0.0,,,,,,,,,,,,,,,,11.0,2.0,0.0,22.0,,,,,,,,,,,,,,
Quincy Wilson,Cornerback,Florida,SEC,74.0,211.0,4.54,14.0,32.0,118.0,6.86,4.02,21.0,3,1,1,1,0,0,0,Florida,6.0,1.0,1.0,18.0,1.0,3.5,33.0,Florida,6.5,2.0,0.0,13.0,,,,,,Florida,,,,,,,,,,,,26.7,3.0,1.0,80.0,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,
Teez Tabor,Cornerback,Florida,SEC,73.0,199.0,4.62,9.0,31.0,120.0,,,21.0,3,1,1,1,0,0,0,Florida,6.0,0.0,1.0,23.0,1.0,2.0,33.0,Florida,20.5,4.0,2.0,82.0,,,,,,Florida,,,,,,33.0,33.0,1.0,0.0,33.0,,11.8,4.0,1.0,47.0,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,
Chidobe Awuzie,Cornerback,Colorado,Pac-12,72.0,202.0,4.43,16.0,34.5,132.0,6.81,4.14,22.0,2,0,0,1,1,0,0,Colorado,12.0,3.0,4.0,53.0,0.0,6.0,65.0,Colorado,13.0,2.0,0.0,26.0,,,,,,,,,,,,,,,,,,14.0,1.0,0.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
