name,position,college,conference,height,weight,forty,bench,vertical,broad_jump,cone,shuttle,age,years_since_first_played,played_at_18,played_at_19,played_at_20,played_at_21,played_at_22,played_at_23,Y0_defensive_PD,Y0_defensive_QB HUR,Y0_defensive_SACKS,Y0_defensive_SOLO,Y0_defensive_TD,Y0_defensive_TFL,Y0_defensive_TOT,Y0_fumbles_FUM,Y0_fumbles_LOST,Y0_fumbles_REC,Y1_interceptions_AVG,Y1_interceptions_INT,Y1_interceptions_TD,Y1_interceptions_YDS,Y0_interceptions_AVG,Y0_interceptions_INT,Y0_interceptions_TD,Y0_interceptions_YDS,Y2_interceptions_AVG,Y2_interceptions_INT,Y2_interceptions_TD,Y2_interceptions_YDS,Y3_interceptions_AVG,Y3_interceptions_INT,Y3_interceptions_TD,Y3_interceptions_YDS
Jamal Adams,Safety,LSU,SEC,72.0,214.0,4.56,18.0,31.5,120.0,6.96,4.13,21.0,2,0,1,1,0,0,0,4.0,1.0,1.0,42.0,0.0,7.5,76.0,0.0,0.0,1.0,7.5,4.0,0.0,30.0,0.0,1.0,0.0,0.0,,,,,,,,
Malik Hooker,Safety,Ohio State,Big Ten,73.0,206.0,,,,,,,21.0,1,0,0,1,0,0,0,4.0,0.0,0.5,43.0,3.0,5.5,74.0,,,,,,,,25.9,7.0,3.0,181.0,,,,,,,,
Jabrill Peppers,Safety,Michigan,Big Ten,71.0,213.0,4.46,19.0,35.5,128.0,,,21.0,3,1,1,1,0,0,0,1.0,7.0,4.0,47.0,1.0,13.5,72.0,1.0,0.0,0.0,,,,,11.0,1.0,0.0,11.0,,,,,,,,
Budda Baker,Safety,Washington,Pac-12,70.0,195.0,4.45,15.0,32.5,115.0,6.76,4.08,21.0,3,1,1,1,0,0,0,5.0,1.0,3.0,48.0,0.0,10.0,70.0,,,,0.0,2.0,0.0,0.0,9.0,2.0,0.0,18.0,44.0,1.0,0.0,44.0,,,,
Marcus Maye,Safety,Florida,SEC,72.0,210.0,,,,,,,24.0,4,0,0,1,1,1,1,6.0,0.0,1.0,29.0,0.0,1.5,50.0,,,,0.0,2.0,0.0,0.0,6.0,1.0,0.0,6.0,1.0,1.0,0.0,1.0,30.0,1.0,0.0,30.0
Marcus Williams,Safety,Utah,Pac-12,73.0,202.0,4.56,14.0,43.5,129.0,6.85,4.2,20.0,3,1,1,0,0,0,0,3.0,1.0,0.0,46.0,0.0,1.0,64.0,0.0,0.0,2.0,17.6,5.0,0.0,88.0,4.0,5.0,0.0,20.0,6.0,1.0,0.0,6.0,,,,
Justin Evans,Safety,Texas A&M,SEC,72.0,199.0,,14.0,,,,,22.0,2,0,0,1,1,0,0,8.0,0.0,0.0,52.0,0.0,5.0,87.0,,,,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,,,,,,,,
Obi Melifonwu,Safety,UConn,American Athletic,76.0,224.0,4.4,17.0,44.0,141.0,,,23.0,4,0,1,1,1,1,0,3.0,0.0,0.0,73.0,0.0,2.5,118.0,0.0,0.0,1.0,8.0,2.0,0.0,16.0,1.5,4.0,0.0,6.0,,,,,7.5,2.0,0.0,15.0
Josh Jones,Safety,NC State,ACC,73.0,220.0,4.41,20.0,37.5,132.0,,,22.0,3,0,1,1,1,0,0,8.0,0.0,1.0,62.0,0.0,3.5,108.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,11.3,3.0,0.0,34.0,9.3,4.0,0.0,37.0,,,,
Delano Hill,Safety,Michigan,Big Ten,73.0,216.0,4.47,17.0,33.5,115.0,6.96,4.27,21.0,1,0,0,1,0,0,0,3.0,1.0,0.0,37.0,1.0,4.5,50.0,,,,,,,,12.0,3.0,1.0,36.0,,,,,,,,
Tedric Thompson,Safety,Colorado,Pac-12,72.0,204.0,4.6,17.0,32.5,117.0,7.11,4.36,22.0,3,0,1,1,1,0,0,16.0,1.0,0.0,42.0,0.0,3.0,63.0,,,,37.3,3.0,0.0,112.0,14.7,7.0,0.0,103.0,9.3,3.0,0.0,28.0,,,,
Eddie Jackson,Safety,Alabama,SEC,72.0,201.0,,10.0,,,,,23.0,4,0,1,1,1,1,0,2.0,0.0,0.0,15.0,3.0,2.5,24.0,,,,38.3,6.0,2.0,230.0,55.0,1.0,1.0,55.0,18.0,1.0,0.0,18.0,0.0,1.0,0.0,0.0
Rayshawn Jenkins,Safety,Miami,ACC,73.0,214.0,4.51,19.0,37.0,128.0,,,23.0,4,0,1,1,1,1,0,7.0,1.0,1.5,56.0,0.0,4.5,76.0,,,,13.3,3.0,0.0,40.0,0.0,2.0,0.0,0.0,,,,,7.3,3.0,0.0,22.0
Montae Nicholson,Safety,Michigan State,Big Ten,74.0,212.0,4.42,,35.0,125.0,,,21.0,2,0,1,1,0,0,0,2.0,0.0,0.0,39.0,0.0,2.0,86.0,0.0,0.0,1.0,20.0,3.0,0.0,60.0,10.0,1.0,0.0,10.0,,,,,,,,
Nathan Gerry,Safety,Nebraska,Big Ten,74.0,218.0,,,,,,,22.0,3,0,1,1,1,0,0,8.0,1.0,0.5,47.0,0.0,6.5,74.0,,,,22.5,4.0,0.0,90.0,4.5,4.0,0.0,18.0,18.4,5.0,0.0,92.0,,,,
Chuck Clark,Safety,Virginia Tech,ACC,72.0,208.0,4.54,16.0,34.0,122.0,6.85,4.07,22.0,3,0,1,1,1,0,0,2.0,0.0,0.0,50.0,0.0,2.5,93.0,,,,0.0,1.0,0.0,0.0,,,,,13.0,1.0,0.0,13.0,,,,
Mike Tyson,Safety,Cincinnati,American Athletic,73.0,204.0,,,,,,,24.0,4,0,0,1,1,1,1,5.0,0.0,0.0,29.0,0.0,4.5,46.0,,,,,,,,6.2,5.0,0.0,31.0,,,,,51.5,2.0,0.0,103.0
Xavier Woods,Safety,Louisiana Tech,Conference USA,71.0,197.0,4.54,19.0,33.5,122.0,6.72,4.13,22.0,3,0,1,1,1,0,0,6.0,1.0,3.0,60.0,0.0,6.5,89.0,,,,9.7,3.0,0.0,29.0,9.0,5.0,0.0,45.0,29.0,6.0,2.0,174.0,,,,
Leon McQuay III,Safety,USC,Pac-12,73.0,197.0,,,,,,,22.0,4,1,1,1,1,0,0,6.0,0.0,1.0,32.0,0.0,4.0,50.0,,,,,,,,16.0,2.0,0.0,32.0,11.0,2.0,0.0,22.0,2.0,1.0,0.0,2.0
Shalom Luani,Safety,Washington State,Pac-12,71.0,202.0,4.55,12.0,31.0,116.0,6.87,4.21,23.0,2,0,0,0,1,1,0,6.0,2.0,2.0,47.0,0.0,8.5,67.0,1.0,0.0,0.0,22.5,4.0,1.0,90.0,27.3,4.0,0.0,109.0,,,,,,,,
Adrian Colbert,Safety,Miami,ACC,73.0,200.0,,,,,,,23.0,4,0,1,1,1,1,0,3.0,0.0,0.0,13.0,0.0,2.5,22.0,,,,,,,,46.0,1.0,0.0,46.0,0.0,1.0,0.0,0.0,,,,
Josh Harvey-Clemons,Safety,Louisville,ACC,76.0,217.0,,12.0,31.5,121.0,,,23.0,4,0,1,1,1,1,0,2.0,0.0,1.0,37.0,0.0,3.0,60.0,,,,2.3,3.0,0.0,7.0,,,,,,,,,18.0,1.0,0.0,18.0
