name,position,college,conference,height,weight,forty,bench,vertical,broad_jump,cone,shuttle,age,years_since_first_played,played_at_18,played_at_19,played_at_20,played_at_21,played_at_22,played_at_23,Y0_college,Y0_defensive_PD,Y0_defensive_QB HUR,Y0_defensive_SACKS,Y0_defensive_SOLO,Y0_defensive_TD,Y0_defensive_TFL,Y0_defensive_TOT,Y1_college,Y1_interceptions_AVG,Y1_interceptions_INT,Y1_interceptions_TD,Y1_interceptions_YDS,Y1_puntReturns_AVG,Y1_puntReturns_LONG,Y1_puntReturns_NO,Y1_puntReturns_TD,Y1_puntReturns_YDS,Y2_college,Y2_kickReturns_AVG,Y2_kickReturns_LONG,Y2_kickReturns_NO,Y2_kickReturns_TD,Y2_kickReturns_YDS,Y0_kickReturns_AVG,Y0_kickReturns_LONG,Y0_kickReturns_NO,Y0_kickReturns_TD,Y0_kickReturns_YDS,Y3_college,Y0_interceptions_AVG,Y0_interceptions_INT,Y0_interceptions_TD,Y0_interceptions_YDS,Y0_puntReturns_AVG,Y0_puntReturns_LONG,Y0_puntReturns_NO,Y0_puntReturns_TD,Y0_puntReturns_YDS,Y1_kickReturns_AVG,Y1_kickReturns_LONG,Y1_kickReturns_NO,Y1_kickReturns_TD,Y1_kickReturns_YDS,Y2_puntReturns_AVG,Y2_puntReturns_LONG,Y2_puntReturns_NO,Y2_puntReturns_TD,Y2_puntReturns_YDS,Y2_interceptions_AVG,Y2_interceptions_INT,Y2_interceptions_TD,Y2_interceptions_YDS,Y3_kickReturns_AVG,Y3_kickReturns_LONG,Y3_kickReturns_NO,Y3_kickReturns_TD,Y3_kickReturns_YDS,Y3_puntReturns_AVG,Y3_puntReturns_LONG,Y3_puntReturns_NO,Y3_puntReturns_TD,Y3_puntReturns_YDS,Y3_interceptions_AVG,Y3_interceptions_INT,Y3_interceptions_TD,Y3_interceptions_YDS,Y1_defensive_PD,Y1_defensive_QB HUR,Y1_defensive_SACKS,Y1_defensive_SOLO,Y1_defensive_TD,Y1_defensive_TFL,Y1_defensive_TOT
Denzel Ward,Cornerback,Ohio State,Big Ten,71.0,183.0,4.32,16.0,39.0,136.0,,,21.0,2,0,1,1,0,0,0,Ohio State,15.0,0.0,0.0,30.0,0.0,2.0,37.0,Ohio State,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,10.0,10.0,1.0,0.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,0.0,0.0,12.0,0.0,0.0,23.0
Jaire Alexander,Cornerback,Louisville,ACC,70.0,196.0,4.38,14.0,35.0,127.0,6.71,3.98,21.0,3,1,1,1,0,0,0,Louisville,4.0,0.0,0.0,13.0,0.0,1.0,19.0,Louisville,7.4,5.0,0.0,37.0,9.1,69.0,23.0,1.0,210.0,Louisville,,,,,,,,,,,,0.0,1.0,0.0,0.0,6.0,6.0,1.0,0.0,6.0,14.0,14.0,1.0,0.0,14.0,9.7,33.0,23.0,0.0,223.0,5.0,1.0,0.0,5.0,,,,,,,,,,,,,,,9.0,3.0,0.0,31.0,1.0,1.0,39.0
Mike Hughes,Cornerback,UCF,American Athletic,70.0,189.0,4.53,20.0,35.5,127.0,6.7,4.13,21.0,3,1,1,1,0,0,0,UCF,11.0,0.0,0.0,37.0,4.0,0.5,49.0,,,,,,,,,,,North Carolina,35.3,43.0,3.0,0.0,106.0,31.8,95.0,20.0,2.0,635.0,,23.0,4.0,1.0,92.0,16.6,66.0,14.0,1.0,233.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Josh Jackson,Cornerback,Iowa,Big Ten,72.0,196.0,4.56,18.0,38.0,123.0,6.86,4.03,22.0,2,0,0,1,1,0,0,Iowa,18.0,0.0,0.0,34.0,2.0,0.5,48.0,Iowa,,,,,,,,,,,,,,,,,,,,,,21.0,8.0,2.0,168.0,7.2,17.0,5.0,0.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0,0.0,10.0,0.0,1.0,10.0
M.J. Stewart,Cornerback,North Carolina,ACC,71.0,200.0,4.54,18.0,35.0,118.0,6.9,4.28,22.0,4,1,1,1,1,0,0,North Carolina,12.0,2.0,2.0,33.0,0.0,5.0,45.0,North Carolina,,,,,,,,,,North Carolina,,,,,,18.0,23.0,2.0,0.0,36.0,North Carolina,,,,,11.3,41.0,15.0,0.0,170.0,,,,,,,,,,,5.3,4.0,0.0,21.0,,,,,,,,,,,0.0,2.0,0.0,0.0,11.0,0.0,0.0,48.0,0.0,3.5,66.0
Donte Jackson,Cornerback,LSU,SEC,71.0,178.0,4.32,7.0,,124.0,,,22.0,3,0,1,1,1,0,0,LSU,9.0,1.0,1.0,32.0,0.0,3.5,48.0,LSU,20.0,2.0,0.0,40.0,,,,,,LSU,20.5,27.0,8.0,0.0,164.0,,,,,,,0.0,1.0,0.0,0.0,,,,,,23.4,40.0,7.0,0.0,164.0,1.5,6.0,4.0,0.0,6.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,8.0,0.0,0.0,32.0,0.0,0.0,39.0
Duke Dawson,Cornerback,Florida,SEC,71.0,197.0,4.46,15.0,,,,,21.0,4,0,1,1,0,0,0,Florida,9.0,0.0,0.0,23.0,1.0,2.0,34.0,Florida,37.0,1.0,1.0,37.0,,,,,,,,,,,,,,,,,Florida,13.5,4.0,1.0,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.0,1.0,1.0,36.0,7.0,0.0,0.0,18.0,1.0,3.5,24.0
Isaiah Oliver,Cornerback,Colorado,Pac-12,72.0,201.0,4.5,,,,,,21.0,2,0,1,1,0,0,0,Colorado,12.0,0.0,0.0,20.0,0.0,0.0,26.0,Colorado,0.0,1.0,0.0,0.0,10.5,68.0,15.0,1.0,158.0,,,,,,,,,,,,,20.5,2.0,0.0,41.0,3.2,7.0,5.0,0.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,0.0,0.0,23.0,1.0,0.0,34.0
Carlton Davis,Cornerback,Auburn,SEC,73.0,206.0,4.53,16.0,34.0,124.0,,,21.0,3,1,1,1,0,0,0,Auburn,11.0,0.0,0.0,23.0,0.0,0.5,30.0,Auburn,,,,,,,,,,Auburn,,,,,,,,,,,,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,3.0,0.0,0.0,,,,,,,,,,,,,,,10.0,0.0,0.0,37.0,0.0,2.0,46.0
Rashaan Gaulden,Cornerback,Tennessee,SEC,73.0,197.0,4.61,8.0,30.0,119.0,7.16,4.33,23.0,2,0,0,0,1,1,0,Tennessee,5.0,1.0,0.0,35.0,0.0,3.5,63.0,Tennessee,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,1.0,0.0,52.0,0.0,6.0,68.0
Isaac Yiadom,Cornerback,Boston College,ACC,73.0,190.0,4.52,8.0,,120.0,,4.18,22.0,3,0,1,1,1,0,0,Boston College,7.0,0.0,0.0,36.0,0.0,1.0,53.0,Boston College,,,,,,,,,,Boston College,,,,,,,,,,,,15.0,2.0,0.0,30.0,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,10.0,0.0,0.0,17.0,0.0,2.0,26.0
Nick Nelson,Cornerback,Wisconsin,Big Ten,71.0,200.0,4.52,17.0,,123.0,,,21.0,3,1,1,1,0,0,0,Wisconsin,17.0,2.0,0.0,21.0,1.0,0.0,30.0,,,,,,,,,,,Hawai'i,24.0,24.0,1.0,0.0,24.0,,,,,,,,,,,8.6,50.0,24.0,1.0,206.0,,,,,,7.4,37.0,19.0,0.0,141.0,,,,,,,,,,,,,,,,,,,,,,,,,
Anthony Averett,Cornerback,Alabama,SEC,71.0,183.0,4.36,13.0,31.5,119.0,6.93,4.4,23.0,2,0,0,0,1,1,0,Alabama,8.0,0.0,1.0,31.0,0.0,4.0,48.0,Alabama,,,,,,,,,,,,,,,,,,,,,,30.0,1.0,0.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,0.0,1.0,39.0,0.0,3.0,48.0
Avonte Maddox,Cornerback,Pittsburgh,ACC,69.0,184.0,4.39,13.0,37.0,125.0,6.51,4.0,22.0,4,1,1,1,1,0,0,Pittsburgh,11.0,1.0,4.0,20.0,0.0,4.0,27.0,Pittsburgh,11.0,3.0,1.0,33.0,0.5,1.0,2.0,0.0,1.0,Pittsburgh,30.3,89.0,6.0,1.0,182.0,16.0,16.0,1.0,0.0,16.0,Pittsburgh,0.0,2.0,0.0,0.0,,,,,,20.0,20.0,1.0,0.0,20.0,6.0,25.0,8.0,0.0,48.0,10.0,3.0,1.0,30.0,19.9,35.0,11.0,0.0,219.0,,,,,,,,,,8.0,0.0,2.5,39.0,1.0,8.5,49.0
D.J. Reed,Cornerback,Kansas State,Big 12,69.0,186.0,4.51,11.0,36.5,,,,21.0,2,0,1,1,0,0,0,Kansas State,7.0,0.0,0.0,34.0,2.0,4.5,40.0,Kansas State,11.7,3.0,1.0,35.0,,,,,,,,,,,,32.3,99.0,18.0,1.0,581.0,,8.0,4.0,0.0,32.0,14.9,62.0,17.0,1.0,253.0,28.3,76.0,9.0,0.0,255.0,,,,,,,,,,,,,,,,,,,,,,,,16.0,1.0,0.0,62.0,1.0,0.5,75.0
Dane Cruikshank,Cornerback,Arizona,Pac-12,73.0,209.0,4.41,25.0,38.5,121.0,6.89,4.24,23.0,2,0,0,0,1,1,0,Arizona,5.0,0.0,1.0,49.0,0.0,5.0,64.0,Arizona,1.5,2.0,0.0,3.0,,,,,,,,,,,,,,,,,,21.7,3.0,0.0,65.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,0.0,0.0,53.0,0.0,1.5,60.0
Darius Phillips,Cornerback,Western Michigan,Mid-American,70.0,193.0,4.54,,,,,,23.0,4,0,1,1,1,1,0,Western Michigan,10.0,0.0,1.0,28.0,3.0,5.0,40.0,Western Michigan,65.8,4.0,3.0,263.0,10.6,66.0,21.0,1.0,223.0,Western Michigan,23.1,100.0,37.0,1.0,854.0,26.3,100.0,26.0,2.0,683.0,Western Michigan,21.0,3.0,1.0,63.0,7.4,49.0,14.0,0.0,104.0,22.5,100.0,37.0,1.0,833.0,,,,,,10.0,5.0,1.0,50.0,26.4,93.0,30.0,1.0,792.0,,,,,,,,,,9.0,0.0,1.0,26.0,5.0,4.0,40.0
Parry Nickerson,Cornerback,Tulane,American Athletic,70.0,182.0,4.32,15.0,,,,,23.0,4,0,1,1,1,1,0,Tulane,8.0,0.0,0.0,48.0,0.0,2.0,55.0,Tulane,42.8,4.0,1.0,171.0,-5.5,0.0,2.0,0.0,-11.0,,,,,,,,,,,,Tulane,1.3,6.0,0.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,6.0,0.0,24.0,9.0,0.0,0.0,20.0,1.0,0.0,29.0
