name,position,college,conference,height,weight,forty,bench,vertical,broad_jump,cone,shuttle,age,years_since_first_played,played_at_18,played_at_19,played_at_20,played_at_21,played_at_22,played_at_23,Y0_defensive_PD,Y0_defensive_QB HUR,Y0_defensive_SACKS,Y0_defensive_SOLO,Y0_defensive_TD,Y0_defensive_TFL,Y0_defensive_TOT,Y0_fumbles_FUM,Y0_fumbles_LOST,Y0_fumbles_REC,Y1_interceptions_AVG,Y1_interceptions_INT,Y1_interceptions_TD,Y1_interceptions_YDS,Y0_interceptions_AVG,Y0_interceptions_INT,Y0_interceptions_TD,Y0_interceptions_YDS,Y2_interceptions_AVG,Y2_interceptions_INT,Y2_interceptions_TD,Y2_interceptions_YDS,Y3_interceptions_AVG,Y3_interceptions_INT,Y3_interceptions_TD,Y3_interceptions_YDS,Y1_fumbles_FUM,Y1_fumbles_LOST,Y1_fumbles_REC,Y1_defensive_PD,Y1_defensive_QB HUR,Y1_defensive_SACKS,Y1_defensive_SOLO,Y1_defensive_TD,Y1_defensive_TFL,Y1_defensive_TOT
Roquan Smith,Outside Linebacker,Georgia,SEC,73.0,236.0,4.51,,,,,,21.0,2,0,1,1,0,0,0,2.0,3.0,6.5,77.0,0.0,12.5,125.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,0.0,0.0,1.0,1.0,1.0,0.0,52.0,0.0,5.0,95.0
Tremaine Edmunds,Outside Linebacker,Virginia Tech,ACC,77.0,253.0,4.54,19.0,,117.0,,,20.0,2,1,1,0,0,0,0,2.0,4.0,5.5,60.0,0.0,14.0,109.0,,,,9.0,1.0,0.0,9.0,,,,,,,,,,,,,0.0,0.0,1.0,3.0,9.0,4.5,56.0,0.0,18.5,106.0
Harold Landry,Outside Linebacker,Boston College,ACC,74.0,252.0,4.64,24.0,36.0,119.0,6.88,4.19,22.0,2,0,0,1,1,0,0,2.0,2.0,5.0,22.0,0.0,8.5,38.0,,,,20.0,1.0,0.0,20.0,,,,,,,,,,,,,,,,4.0,6.0,16.5,34.0,0.0,22.0,50.0
Uchenna Nwosu,Outside Linebacker,USC,Pac-12,74.0,251.0,4.65,20.0,32.0,119.0,,,21.0,2,0,1,1,0,0,0,13.0,9.0,9.5,47.0,0.0,11.5,75.0,0.0,0.0,1.0,,,,,0.0,1.0,0.0,0.0,,,,,,,,,,,,5.0,2.0,3.0,28.0,0.0,7.5,53.0
Lorenzo Carter,Outside Linebacker,Georgia,SEC,77.0,250.0,4.5,,36.0,130.0,,,22.0,2,0,0,1,1,0,0,0.0,4.0,4.5,28.0,0.0,7.5,58.0,0.0,0.0,3.0,,,,,,,,,,,,,,,,,0.0,0.0,2.0,0.0,1.0,5.0,23.0,0.0,6.0,44.0
Jerome Baker,Outside Linebacker,Ohio State,Big Ten,73.0,229.0,4.53,22.0,36.5,126.0,,,21.0,2,0,1,1,0,0,0,3.0,2.0,3.5,42.0,0.0,8.0,72.0,0.0,0.0,2.0,45.0,2.0,1.0,90.0,,,,,,,,,,,,,0.0,0.0,1.0,0.0,0.0,3.5,45.0,1.0,9.5,83.0
Malik Jefferson,Outside Linebacker,Texas,Big 12,74.0,236.0,4.52,27.0,36.0,125.0,,,21.0,2,0,1,1,0,0,0,0.0,5.0,4.0,79.0,0.0,10.0,110.0,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,5.5,43.0,0.0,8.5,59.0
Oren Burks,Outside Linebacker,Vanderbilt,SEC,75.0,233.0,4.59,18.0,39.5,131.0,6.82,4.15,23.0,3,0,0,1,1,1,0,3.0,1.0,1.0,45.0,0.0,7.0,82.0,0.0,0.0,1.0,59.0,1.0,0.0,59.0,9.0,1.0,0.0,9.0,10.3,3.0,1.0,31.0,,,,,,,,6.0,5.0,3.5,40.0,0.0,6.5,59.0
Dorian O'Daniel,Outside Linebacker,Clemson,ACC,73.0,223.0,,,,,,,24.0,2,0,0,0,0,1,1,5.0,3.0,5.0,51.0,2.0,11.5,88.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,33.0,2.0,2.0,66.0,,,,,,,,,,,,1.0,3.0,2.5,37.0,0.0,10.0,54.0
Joel Iyiegbuniwe,Outside Linebacker,Western Kentucky,Conference USA,73.0,230.0,4.6,19.0,35.0,117.0,7.06,4.28,22.0,2,0,0,1,1,0,0,1.0,2.0,2.0,54.0,0.0,11.5,117.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,3.0,5.0,3.5,39.0,0.0,10.0,64.0
Marquis Haynes,Outside Linebacker,Ole Miss,SEC,74.0,235.0,4.67,23.0,32.0,123.0,7.14,4.45,24.0,2,0,0,0,0,1,1,0.0,5.0,7.5,27.0,0.0,11.0,45.0,,,,17.0,1.0,0.0,17.0,,,,,,,,,,,,,0.0,0.0,1.0,3.0,8.0,7.0,29.0,0.0,11.0,53.0
Shaquem Griffin,Outside Linebacker,UCF,American Athletic,72.0,227.0,4.38,20.0,,117.0,,,23.0,2,0,0,0,1,1,0,3.0,9.0,7.0,43.0,0.0,13.5,74.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,22.0,1.0,0.0,22.0,,,,,,,,,0.0,0.0,2.0,6.0,2.0,10.5,54.0,0.0,18.0,86.0
Christian Sam,Outside Linebacker,Arizona State,Pac-12,73.0,244.0,4.75,28.0,32.0,114.0,7.03,4.25,22.0,4,1,1,1,1,0,0,1.0,1.0,3.0,87.0,0.0,9.5,127.0,,,,,,,,11.0,1.0,0.0,11.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,0.0,0.0,0.0,1.0,0.0,0.0,1.0
Jake Martin,Outside Linebacker,Temple,American Athletic,74.0,236.0,,,,,,,22.0,2,0,0,1,1,0,0,0.0,2.0,8.0,26.0,0.0,11.5,44.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,2.0,1.0,2.5,10.0,0.0,2.5,18.0
Chris Covington,Outside Linebacker,Indiana,Big Ten,74.0,245.0,4.78,23.0,,,,,22.0,2,0,0,1,1,0,0,5.0,5.0,3.0,50.0,0.0,12.0,85.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,0.0,1.0,2.0,19.0,0.0,3.0,29.0
Peter Kalambayi,Outside Linebacker,Stanford,Pac-12,75.0,252.0,4.57,19.0,34.0,121.0,7.13,4.36,23.0,4,0,1,1,1,1,0,1.0,5.0,11.0,33.0,0.0,6.5,59.0,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,,,,2.0,5.0,3.5,31.0,0.0,6.0,48.0
Keishawn Bierria,Outside Linebacker,Washington,Pac-12,72.0,230.0,4.79,21.0,30.5,117.0,7.26,,23.0,2,0,0,0,1,1,0,2.0,0.0,1.0,41.0,0.0,4.0,60.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,0.0,0.0,5.0,2.0,1.0,2.0,41.0,1.0,5.0,68.0
Leon Jacobs,Outside Linebacker,Wisconsin,Big Ten,73.0,246.0,4.48,26.0,34.5,122.0,7.14,4.44,22.0,2,0,0,1,1,0,0,3.0,8.0,3.5,35.0,0.0,10.0,60.0,0.0,0.0,2.0,25.0,1.0,0.0,25.0,2.5,2.0,0.0,5.0,,,,,,,,,,,,0.0,0.0,1.0,24.0,0.0,1.0,37.0
Travin Howard,Outside Linebacker,TCU,Big 12,71.0,211.0,,,,,,,22.0,3,0,1,1,1,0,0,7.0,2.0,1.0,52.0,1.0,6.5,95.0,,,,5.0,1.0,0.0,5.0,19.0,1.0,1.0,19.0,4.0,1.0,0.0,4.0,,,,,0.0,0.0,1.0,2.0,1.0,1.5,72.0,0.0,3.0,130.0
