name,position,college,conference,height,weight,forty,bench,vertical,broad_jump,cone,shuttle,age,years_since_first_played,played_at_18,played_at_19,played_at_20,played_at_21,played_at_22,played_at_23,Y0_fumbles_FUM,Y0_fumbles_LOST,Y0_fumbles_REC,Y0_receiving_LONG,Y0_receiving_REC,Y0_receiving_TD,Y0_receiving_YDS,Y0_receiving_YPR,Y0_rushing_CAR,Y0_rushing_LONG,Y0_rushing_TD,Y0_rushing_YDS,Y0_rushing_YPC,Y1_receiving_LONG,Y1_receiving_REC,Y1_receiving_TD,Y1_receiving_YDS,Y1_receiving_YPR,Y1_rushing_CAR,Y1_rushing_LONG,Y1_rushing_TD,Y1_rushing_YDS,Y1_rushing_YPC,Y2_receiving_LONG,Y2_receiving_REC,Y2_receiving_TD,Y2_receiving_YDS,Y2_receiving_YPR,Y2_rushing_CAR,Y2_rushing_LONG,Y2_rushing_TD,Y2_rushing_YDS,Y2_rushing_YPC,Y3_receiving_LONG,Y3_receiving_REC,Y3_receiving_TD,Y3_receiving_YDS,Y3_receiving_YPR,Y3_rushing_CAR,Y3_rushing_LONG,Y3_rushing_TD,Y3_rushing_YDS,Y3_rushing_YPC,Y1_fumbles_FUM,Y1_fumbles_LOST,Y1_fumbles_REC
Saquon Barkley,Running Back,Penn State,Big Ten,72.0,233.0,4.4,29.0,41.0,,,4.24,21.0,3,1,1,1,0,0,0,,,,85.0,54.0,3.0,632.0,11.7,217.0,92.0,18.0,1271.0,5.9,44.0,28.0,4.0,402.0,14.4,272.0,81.0,18.0,1496.0,5.5,32.0,20.0,1.0,161.0,8.1,182.0,56.0,7.0,1076.0,5.9,,,,,,,,,,,2.0,2.0,0.0
Rashaad Penny,Running Back,San Diego State,Mountain West,71.0,220.0,4.46,13.0,32.5,120.0,,,22.0,4,1,1,1,1,0,0,3.0,2.0,0.0,33.0,19.0,2.0,135.0,7.1,289.0,95.0,23.0,2248.0,7.8,41.0,15.0,3.0,224.0,14.9,135.0,73.0,11.0,1005.0,7.4,33.0,8.0,1.0,120.0,15.0,61.0,55.0,4.0,368.0,6.0,,,,,,2.0,21.0,0.0,22.0,11.0,2.0,2.0,0.0
Sony Michel,Running Back,Georgia,SEC,71.0,214.0,4.54,22.0,,,,4.21,23.0,4,0,1,1,1,1,0,2.0,1.0,0.0,32.0,9.0,1.0,96.0,10.7,156.0,75.0,16.0,1227.0,7.9,33.0,22.0,1.0,149.0,6.8,152.0,42.0,4.0,840.0,5.5,48.0,26.0,3.0,270.0,10.4,219.0,66.0,8.0,1161.0,5.3,33.0,7.0,1.0,106.0,15.1,64.0,75.0,5.0,410.0,6.4,3.0,1.0,0.0
Nick Chubb,Running Back,Georgia,SEC,71.0,227.0,4.52,29.0,38.5,128.0,7.09,4.25,22.0,4,1,1,1,1,0,0,,,,11.0,4.0,0.0,30.0,7.5,223.0,55.0,15.0,1345.0,6.0,49.0,5.0,1.0,86.0,17.2,224.0,55.0,8.0,1130.0,5.0,24.0,4.0,1.0,32.0,8.0,92.0,83.0,7.0,747.0,8.1,27.0,18.0,2.0,213.0,11.8,219.0,83.0,14.0,1547.0,7.1,3.0,3.0,0.0
Ronald Jones II,Running Back,USC,Pac-12,71.0,205.0,,,,,,,21.0,3,1,1,1,0,0,0,,,,56.0,14.0,1.0,187.0,13.4,261.0,86.0,19.0,1550.0,5.9,16.0,11.0,1.0,76.0,6.9,177.0,66.0,12.0,1082.0,6.1,15.0,7.0,1.0,39.0,5.6,153.0,74.0,8.0,987.0,6.5,,,,,,,,,,,1.0,1.0,0.0
Kerryon Johnson,Running Back,Auburn,SEC,72.0,213.0,,11.0,40.0,126.0,7.07,4.29,21.0,3,1,1,1,0,0,0,1.0,1.0,0.0,55.0,24.0,2.0,194.0,8.1,285.0,60.0,18.0,1391.0,4.9,37.0,17.0,0.0,125.0,7.4,182.0,47.0,11.0,895.0,4.9,37.0,14.0,0.0,159.0,11.4,52.0,19.0,3.0,208.0,4.0,,,,,,,,,,,2.0,1.0,0.0
Derrius Guice,Running Back,LSU,SEC,71.0,224.0,4.49,15.0,31.5,,,,21.0,3,1,1,1,0,0,0,1.0,0.0,0.0,20.0,18.0,2.0,124.0,6.9,237.0,59.0,11.0,1251.0,5.3,29.0,9.0,1.0,106.0,11.8,183.0,96.0,15.0,1387.0,7.6,10.0,5.0,0.0,20.0,4.0,51.0,50.0,3.0,436.0,8.5,,,,,,,,,,,3.0,2.0,0.0
Royce Freeman,Running Back,Oregon,Pac-12,72.0,229.0,4.54,17.0,34.0,118.0,6.9,4.16,22.0,4,1,1,1,1,0,0,2.0,1.0,0.0,50.0,14.0,0.0,164.0,11.7,244.0,59.0,16.0,1475.0,6.0,24.0,23.0,1.0,144.0,6.3,168.0,85.0,9.0,945.0,5.6,36.0,26.0,2.0,348.0,13.4,283.0,64.0,17.0,1836.0,6.5,30.0,16.0,1.0,158.0,9.9,252.0,38.0,18.0,1365.0,5.4,4.0,2.0,0.0
Nyheim Hines,Running Back,NC State,ACC,68.0,198.0,4.38,,35.5,119.0,7.18,4.35,21.0,3,1,1,1,0,0,0,4.0,1.0,0.0,28.0,26.0,0.0,152.0,5.8,197.0,83.0,12.0,1112.0,5.6,56.0,43.0,0.0,525.0,12.2,13.0,14.0,0.0,44.0,3.4,58.0,20.0,1.0,256.0,12.8,48.0,38.0,1.0,243.0,5.1,,,,,,,,,,,3.0,2.0,0.0
Mark Walton,Running Back,Miami,ACC,70.0,202.0,4.6,18.0,31.5,118.0,,,21.0,3,1,1,1,0,0,0,,,,39.0,7.0,0.0,91.0,13.0,56.0,82.0,3.0,428.0,7.6,30.0,27.0,1.0,240.0,8.9,209.0,80.0,14.0,1117.0,5.3,41.0,22.0,1.0,293.0,13.3,129.0,27.0,9.0,450.0,3.5,,,,,,,,,,,,,
