name,position,college,conference,height,weight,forty,bench,vertical,broad_jump,cone,shuttle,age,years_since_first_played,played_at_18,played_at_19,played_at_20,played_at_21,played_at_22,played_at_23,Y0_college,Y0_defensive_PD,Y0_defensive_QB HUR,Y0_defensive_SACKS,Y0_defensive_SOLO,Y0_defensive_TD,Y0_defensive_TFL,Y0_defensive_TOT,Y0_fumbles_FUM,Y0_fumbles_LOST,Y0_fumbles_REC,Y1_college,Y1_interceptions_AVG,Y1_interceptions_INT,Y1_interceptions_TD,Y1_interceptions_YDS,Y2_college,Y3_college,Y0_interceptions_AVG,Y0_interceptions_INT,Y0_interceptions_TD,Y0_interceptions_YDS,Y2_interceptions_AVG,Y2_interceptions_INT,Y2_interceptions_TD,Y2_interceptions_YDS,Y3_interceptions_AVG,Y3_interceptions_INT,Y3_interceptions_TD,Y3_interceptions_YDS,Y1_fumbles_FUM,Y1_fumbles_LOST,Y1_fumbles_REC,Y1_defensive_PD,Y1_defensive_QB HUR,Y1_defensive_SACKS,Y1_defensive_SOLO,Y1_defensive_TD,Y1_defensive_TFL,Y1_defensive_TOT
Minkah Fitzpatrick,Safety,Alabama,SEC,72.0,204.0,4.46,14.0,33.0,121.0,,,21.0,3,1,1,1,0,0,0,Alabama,8.0,3.0,1.5,38.0,0.0,8.0,60.0,,,,Alabama,31.0,6.0,2.0,186.0,Alabama,,0.0,1.0,0.0,0.0,44.0,2.0,2.0,88.0,,,,,,,,7.0,0.0,1.5,42.0,2.0,5.5,66.0
Derwin James,Safety,Florida State,ACC,74.0,215.0,4.47,21.0,40.0,132.0,,,22.0,3,0,1,1,1,0,0,Florida State,11.0,4.0,1.0,49.0,1.0,5.5,84.0,,,,Florida State,0.0,1.0,0.0,0.0,Florida State,,20.5,2.0,1.0,41.0,,,,,,,,,,,,0.0,0.0,0.0,9.0,0.0,0.0,11.0
Terrell Edmunds,Safety,Virginia Tech,ACC,73.0,217.0,4.47,,41.5,134.0,,,21.0,3,1,1,1,0,0,0,Virginia Tech,4.0,1.0,1.5,30.0,0.0,2.5,60.0,,,,Virginia Tech,7.0,4.0,0.0,28.0,Virginia Tech,,35.0,2.0,0.0,70.0,,,,,,,,,1.0,0.0,1.0,3.0,1.0,0.0,45.0,0.0,2.5,89.0
Jessie Bates III,Safety,Wake Forest,ACC,73.0,200.0,,,,,,,21.0,2,0,1,1,0,0,0,Wake Forest,6.0,0.0,0.0,50.0,1.0,6.0,79.0,1.0,0.0,0.0,Wake Forest,31.6,5.0,2.0,158.0,,,37.0,1.0,0.0,37.0,,,,,,,,,3.0,1.0,0.0,4.0,1.0,0.0,70.0,2.0,3.5,100.0
Justin Reid,Safety,Stanford,Pac-12,73.0,207.0,4.4,16.0,36.5,128.0,6.65,4.15,21.0,3,1,1,1,0,0,0,Stanford,6.0,2.0,1.0,54.0,0.0,7.5,94.0,0.0,0.0,1.0,Stanford,,,,,Stanford,,0.2,5.0,0.0,1.0,1.0,1.0,0.0,1.0,,,,,,,,7.0,0.0,0.0,36.0,0.0,4.0,55.0
Tracy Walker,Safety,Louisiana,Sun Belt,73.0,206.0,,,,,,,23.0,4,0,1,1,1,1,0,Louisiana,6.0,0.0,0.5,62.0,0.0,3.5,97.0,,,,Louisiana,13.7,3.0,0.0,41.0,Louisiana,Louisiana,7.0,2.0,0.0,14.0,1.0,1.0,0.0,1.0,9.5,2.0,0.0,19.0,,,,3.0,0.0,0.0,30.0,0.0,2.5,61.0
Ronnie Harrison,Safety,Alabama,SEC,74.0,207.0,,,34.0,120.0,,,21.0,3,1,1,1,0,0,0,Alabama,4.0,0.0,2.5,43.0,0.0,4.5,74.0,,,,Alabama,32.0,2.0,1.0,64.0,Alabama,,2.3,3.0,0.0,7.0,20.5,2.0,0.0,41.0,,,,,0.0,0.0,2.0,7.0,2.0,0.0,56.0,1.0,1.5,83.0
Tarvarius Moore,Safety,Southern Miss,Conference USA,73.0,189.0,,,,,,,22.0,2,0,0,1,1,0,0,Southern Miss,10.0,0.0,0.0,59.0,0.0,3.0,87.0,,,,Southern Miss,0.0,2.0,0.0,0.0,,,18.0,3.0,0.0,54.0,,,,,,,,,,,,2.0,0.0,0.0,11.0,0.0,0.0,17.0
Troy Apke,Safety,Penn State,Big Ten,73.0,200.0,4.34,16.0,41.0,131.0,6.56,4.03,23.0,2,0,0,0,1,1,0,Penn State,5.0,3.0,0.0,37.0,0.0,3.0,54.0,,,,Penn State,10.0,1.0,0.0,10.0,,,1.0,1.0,0.0,1.0,,,,,,,,,0.0,0.0,1.0,0.0,0.0,0.0,11.0,0.0,0.0,28.0
Jordan Whitehead,Safety,Pittsburgh,ACC,70.0,198.0,,21.0,,,,,21.0,3,1,1,1,0,0,0,Pittsburgh,4.0,0.0,0.0,41.0,0.0,0.0,60.0,0.0,0.0,1.0,Pittsburgh,59.0,1.0,1.0,59.0,Pittsburgh,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,0.0,0.0,1.0,2.0,0.0,0.0,46.0,1.0,1.5,65.0
