name,position,college,conference,height,weight,forty,bench,vertical,broad_jump,cone,shuttle,age,years_since_first_played,played_at_18,played_at_19,played_at_20,played_at_21,played_at_22,played_at_23,Y0_college,Y0_fumbles_FUM,Y0_fumbles_LOST,Y0_fumbles_REC,Y1_college,Y1_puntReturns_AVG,Y1_puntReturns_LONG,Y1_puntReturns_NO,Y1_puntReturns_TD,Y1_puntReturns_YDS,Y0_receiving_LONG,Y0_receiving_REC,Y0_receiving_TD,Y0_receiving_YDS,Y0_receiving_YPR,Y0_rushing_CAR,Y0_rushing_LONG,Y0_rushing_TD,Y0_rushing_YDS,Y0_rushing_YPC,Y1_receiving_LONG,Y1_receiving_REC,Y1_receiving_TD,Y1_receiving_YDS,Y1_receiving_YPR,Y1_rushing_CAR,Y1_rushing_LONG,Y1_rushing_TD,Y1_rushing_YDS,Y1_rushing_YPC,Y2_college,Y2_kickReturns_AVG,Y2_kickReturns_LONG,Y2_kickReturns_NO,Y2_kickReturns_TD,Y2_kickReturns_YDS,Y2_receiving_LONG,Y2_receiving_REC,Y2_receiving_TD,Y2_receiving_YDS,Y2_receiving_YPR,Y2_rushing_CAR,Y2_rushing_LONG,Y2_rushing_TD,Y2_rushing_YDS,Y2_rushing_YPC,Y0_kickReturns_AVG,Y0_kickReturns_LONG,Y0_kickReturns_NO,Y0_kickReturns_TD,Y0_kickReturns_YDS,Y3_college,Y3_receiving_LONG,Y3_receiving_REC,Y3_receiving_TD,Y3_receiving_YDS,Y3_receiving_YPR,Y3_rushing_CAR,Y3_rushing_LONG,Y3_rushing_TD,Y3_rushing_YDS,Y3_rushing_YPC,Y0_puntReturns_AVG,Y0_puntReturns_LONG,Y0_puntReturns_NO,Y0_puntReturns_TD,Y0_puntReturns_YDS,Y1_kickReturns_AVG,Y1_kickReturns_LONG,Y1_kickReturns_NO,Y1_kickReturns_TD,Y1_kickReturns_YDS,Y2_puntReturns_AVG,Y2_puntReturns_LONG,Y2_puntReturns_NO,Y2_puntReturns_TD,Y2_puntReturns_YDS,Y3_kickReturns_AVG,Y3_kickReturns_LONG,Y3_kickReturns_NO,Y3_kickReturns_TD,Y3_kickReturns_YDS,Y3_puntReturns_AVG,Y3_puntReturns_LONG,Y3_puntReturns_NO,Y3_puntReturns_TD,Y3_puntReturns_YDS,Y1_fumbles_FUM,Y1_fumbles_LOST,Y1_fumbles_REC
D.J. Moore,Wide Receiver,Maryland,Big Ten,72.0,210.0,4.42,15.0,39.5,132.0,6.95,4.07,21.0,3,1,1,1,0,0,0,Maryland,1.0,0.0,0.0,Maryland,,,,,,52.0,80.0,8.0,1033.0,12.9,5.0,24.0,1.0,61.0,12.2,92.0,41.0,6.0,637.0,15.5,11.0,15.0,0.0,55.0,5.0,Maryland,,,,,,52.0,25.0,3.0,357.0,14.3,1.0,9.0,0.0,9.0,9.0,,,,,,,,,,,,,,,,,10.2,33.0,15.0,0.0,153.0,22.3,35.0,15.0,0.0,334.0,,,,,,,,,,,,,,,,1.0,0.0,0.0
Calvin Ridley,Wide Receiver,Alabama,SEC,73.0,189.0,4.43,15.0,31.0,110.0,6.88,4.41,23.0,3,0,0,1,1,1,0,Alabama,,,,Alabama,1.3,6.0,3.0,0.0,4.0,78.0,63.0,5.0,967.0,15.3,2.0,13.0,0.0,17.0,8.5,52.0,72.0,7.0,769.0,10.7,5.0,7.0,1.0,21.0,4.2,Alabama,,,,,,81.0,89.0,7.0,1045.0,11.7,1.0,2.0,0.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0
Courtland Sutton,Wide Receiver,SMU,American Athletic,75.0,218.0,4.54,18.0,35.5,124.0,6.57,4.11,22.0,4,1,1,1,1,0,0,SMU,,,,SMU,,,,,,62.0,68.0,12.0,1085.0,16.0,1.0,2.0,1.0,2.0,2.0,88.0,76.0,10.0,1246.0,16.4,,,,,,SMU,,,,,,51.0,49.0,9.0,862.0,17.6,,,,,,,,,,,SMU,20.0,2.0,0.0,27.0,13.5,,,,,,,,,,,,,,,,-8.0,-8.0,1.0,0.0,-8.0,,,,,,,,,,,,,
Dante Pettis,Wide Receiver,Washington,Pac-12,73.0,186.0,,,,,,,22.0,4,1,1,1,1,0,0,Washington,3.0,2.0,0.0,Washington,11.0,68.0,26.0,2.0,287.0,73.0,63.0,7.0,761.0,12.1,3.0,32.0,0.0,50.0,16.7,61.0,53.0,15.0,822.0,15.5,,,,,,Washington,,,,,,33.0,30.0,1.0,414.0,13.8,1.0,0.0,0.0,-8.0,-8.0,,,,,,Washington,48.0,17.0,1.0,259.0,15.2,,,,,,19.5,77.0,22.0,4.0,428.0,,,,,,16.9,89.0,16.0,2.0,271.0,,,,,,9.9,87.0,29.0,1.0,288.0,2.0,1.0,0.0
Christian Kirk,Wide Receiver,Texas A&M,SEC,70.0,201.0,4.47,20.0,35.5,115.0,7.09,4.45,21.0,3,1,1,1,0,0,0,Texas A&M,3.0,2.0,0.0,Texas A&M,20.1,93.0,14.0,3.0,282.0,81.0,71.0,10.0,919.0,12.9,4.0,28.0,0.0,31.0,7.8,69.0,83.0,9.0,928.0,11.2,8.0,20.0,0.0,35.0,4.4,Texas A&M,17.5,40.0,22.0,0.0,385.0,66.0,80.0,7.0,1009.0,12.6,11.0,11.0,0.0,54.0,4.9,22.3,100.0,22.0,1.0,490.0,,,,,,,,,,,,19.1,90.0,10.0,1.0,191.0,28.8,66.0,6.0,0.0,173.0,24.4,79.0,14.0,2.0,341.0,,,,,,,,,,,2.0,2.0,0.0
Anthony Miller,Wide Receiver,Memphis,American Athletic,71.0,201.0,,22.0,,,,,23.0,3,0,0,1,1,1,0,Memphis,3.0,1.0,0.0,Memphis,6.5,17.0,15.0,0.0,97.0,89.0,96.0,18.0,1462.0,15.2,10.0,7.0,0.0,25.0,2.5,84.0,95.0,14.0,1434.0,15.1,12.0,41.0,1.0,69.0,5.8,Memphis,26.3,47.0,4.0,0.0,105.0,82.0,47.0,5.0,694.0,14.8,9.0,15.0,2.0,54.0,6.0,15.5,17.0,2.0,0.0,31.0,,,,,,,,,,,,5.5,6.0,2.0,0.0,11.0,,,,,,9.3,18.0,3.0,0.0,28.0,,,,,,,,,,,2.0,0.0,0.0
James Washington,Wide Receiver,Oklahoma State,Big 12,71.0,213.0,4.54,14.0,34.5,120.0,7.11,4.32,22.0,4,1,1,1,1,0,0,Oklahoma State,1.0,1.0,0.0,Oklahoma State,,,,,,86.0,74.0,13.0,1549.0,20.9,3.0,11.0,1.0,12.0,4.0,91.0,71.0,10.0,1380.0,19.4,4.0,16.0,0.0,28.0,7.0,Oklahoma State,19.7,27.0,3.0,0.0,59.0,75.0,53.0,10.0,1087.0,20.5,1.0,10.0,0.0,10.0,10.0,,,,,,Oklahoma State,68.0,28.0,6.0,456.0,16.3,1.0,20.0,0.0,20.0,20.0,,,,,,2.0,2.0,1.0,0.0,2.0,,,,,,22.0,22.0,1.0,0.0,22.0,,,,,,,,
D.J. Chark,Wide Receiver,LSU,SEC,75.0,199.0,4.34,16.0,40.0,129.0,,,21.0,3,1,1,1,0,0,0,LSU,2.0,1.0,0.0,LSU,,,,,,68.0,40.0,3.0,874.0,21.9,12.0,20.0,1.0,63.0,5.3,80.0,26.0,3.0,466.0,17.9,12.0,35.0,2.0,122.0,10.2,LSU,,,,,,11.0,0.0,0.0,11.0,0.0,1.0,79.0,1.0,79.0,79.0,12.0,12.0,1.0,0.0,12.0,,,,,,,,,,,,10.6,75.0,18.0,2.0,190.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.0
Michael Gallup,Wide Receiver,Colorado State,Mountain West,73.0,205.0,4.51,10.0,36.0,122.0,6.95,4.37,22.0,2,0,0,1,1,0,0,Colorado State,,,,Colorado State,,,,,,76.0,100.0,7.0,1413.0,14.1,,,,,,65.0,76.0,14.0,1272.0,16.7,4.0,12.0,0.0,15.0,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,0.0
Tre'Quan Smith,Wide Receiver,UCF,American Athletic,74.0,210.0,,,,,,,22.0,3,0,1,1,1,0,0,UCF,,,,UCF,,,,,,79.0,59.0,13.0,1171.0,19.8,5.0,15.0,1.0,23.0,4.6,72.0,57.0,5.0,853.0,15.0,,,,,,UCF,,,,,,44.0,52.0,4.0,724.0,13.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
