name,position,college,conference,height,weight,forty,bench,vertical,broad_jump,cone,shuttle,age,years_since_first_played,played_at_18,played_at_19,played_at_20,played_at_21,played_at_22,played_at_23,Y0_college,Y0_defensive_PD,Y0_defensive_QB HUR,Y0_defensive_SACKS,Y0_defensive_SOLO,Y0_defensive_TD,Y0_defensive_TFL,Y0_defensive_TOT,Y1_college,Y1_interceptions_AVG,Y1_interceptions_INT,Y1_interceptions_TD,Y1_interceptions_YDS,Y1_puntReturns_AVG,Y1_puntReturns_LONG,Y1_puntReturns_NO,Y1_puntReturns_TD,Y1_puntReturns_YDS,Y2_college,Y2_kickReturns_AVG,Y2_kickReturns_LONG,Y2_kickReturns_NO,Y2_kickReturns_TD,Y2_kickReturns_YDS,Y0_kickReturns_AVG,Y0_kickReturns_LONG,Y0_kickReturns_NO,Y0_kickReturns_TD,Y0_kickReturns_YDS,Y3_college,Y0_interceptions_AVG,Y0_interceptions_INT,Y0_interceptions_TD,Y0_interceptions_YDS,Y0_puntReturns_AVG,Y0_puntReturns_LONG,Y0_puntReturns_NO,Y0_puntReturns_TD,Y0_puntReturns_YDS,Y1_kickReturns_AVG,Y1_kickReturns_LONG,Y1_kickReturns_NO,Y1_kickReturns_TD,Y1_kickReturns_YDS,Y2_puntReturns_AVG,Y2_puntReturns_LONG,Y2_puntReturns_NO,Y2_puntReturns_TD,Y2_puntReturns_YDS,Y2_interceptions_AVG,Y2_interceptions_INT,Y2_interceptions_TD,Y2_interceptions_YDS,Y3_kickReturns_AVG,Y3_kickReturns_LONG,Y3_kickReturns_NO,Y3_kickReturns_TD,Y3_kickReturns_YDS,Y3_interceptions_AVG,Y3_interceptions_INT,Y3_interceptions_TD,Y3_interceptions_YDS,Y1_defensive_PD,Y1_defensive_QB HUR,Y1_defensive_SACKS,Y1_defensive_SOLO,Y1_defensive_TD,Y1_defensive_TFL,Y1_defensive_TOT,Y2_defensive_PD,Y2_defensive_QB HUR,Y2_defensive_SACKS,Y2_defensive_SOLO,Y2_defensive_TD,Y2_defensive_TFL,Y2_defensive_TOT
Deandre Baker,Cornerback,Georgia,SEC,71.0,193.0,4.52,14.0,,118.0,,,22.0,3,0,1,1,1,0,0,Georgia,9.0,1.0,0.0,31.0,0.0,2.0,40.0,Georgia,12.3,3.0,0.0,37.0,,,,,,Georgia,,,,,,,,,,,,40.5,2.0,0.0,81.0,,,,,,,,,,,,,,,,13.5,2.0,0.0,27.0,,,,,,,,,,9.0,0.0,0.0,30.0,0.0,1.0,43.0,5.0,0.0,1.0,21.0,0.0,1.0,31.0
Byron Murphy,Cornerback,Washington,Pac-12,71.0,190.0,4.55,14.0,36.5,120.0,,,21.0,2,0,1,1,0,0,0,Washington,12.0,0.0,0.0,33.0,0.0,4.0,51.0,Washington,5.7,3.0,0.0,17.0,,,,,,,,,,,,,,,,,,19.5,4.0,1.0,78.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,0.0,1.0,13.0,0.0,3.0,16.0,,,,,,,
Rock Ya-Sin,Cornerback,Temple,American Athletic,72.0,192.0,4.51,18.0,39.5,120.0,7.31,4.31,23.0,1,0,0,0,0,1,0,Temple,12.0,0.0,0.0,36.0,0.0,2.0,47.0,,,,,,,,,,,,,,,,,,,,,,,-0.5,2.0,0.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sean Bunting,Cornerback,Central Michigan,Mid-American,72.0,195.0,4.42,14.0,41.5,126.0,,,22.0,3,0,1,1,1,0,0,Central Michigan,5.0,0.0,0.0,26.0,0.0,3.0,37.0,Central Michigan,3.8,5.0,0.0,19.0,,,,,,Central Michigan,24.0,24.0,1.0,0.0,24.0,,,,,,,0.0,2.0,0.0,0.0,,,,,,,,,,,,,,,,8.0,2.0,0.0,16.0,,,,,,,,,,5.0,0.0,0.0,34.0,0.0,0.5,49.0,5.0,0.0,0.0,12.0,0.0,0.0,18.0
Trayvon Mullen,Cornerback,Clemson,ACC,74.0,199.0,4.46,,34.5,123.0,,,21.0,3,1,1,1,0,0,0,Clemson,3.0,0.0,1.0,24.0,0.0,3.0,30.0,Clemson,0.0,3.0,0.0,0.0,,,,,,Clemson,,,,,,,,,,,,46.0,1.0,0.0,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1.0,0.0,30.0,0.0,0.0,40.0,1.0,0.0,0.0,7.0,0.0,0.5,16.0
Joejuan Williams,Cornerback,Vanderbilt,SEC,76.0,211.0,4.64,17.0,,,,,21.0,3,1,1,1,0,0,0,Vanderbilt,13.0,0.0,0.0,48.0,0.0,2.0,61.0,Vanderbilt,,,,,,,,,,Vanderbilt,,,,,,,,,,,,2.0,4.0,0.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,0.0,0.0,33.0,0.0,2.5,39.0,2.0,0.0,0.0,14.0,0.0,1.5,19.0
Greedy Williams,Cornerback,LSU,SEC,74.0,185.0,4.37,,,,,,21.0,2,0,1,1,0,0,0,LSU,9.0,1.0,0.0,23.0,0.0,0.0,33.0,LSU,5.3,6.0,0.0,32.0,,,,,,,,,,,,,,,,,,10.0,2.0,0.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,1.0,0.0,26.0,0.0,1.5,38.0,,,,,,,
Lonnie Johnson Jr.,Cornerback,Kentucky,SEC,74.0,213.0,,,,,,,23.0,2,0,0,0,1,1,0,Kentucky,3.0,0.0,0.0,14.0,0.0,0.0,19.0,Kentucky,,,,,,,,,,,,,,,,,,,,,,24.0,1.0,0.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0,1.0,35.0,0.0,3.0,41.0,,,,,,,
David Long,Cornerback,Michigan,Big Ten,71.0,196.0,4.45,15.0,39.5,120.0,6.45,3.97,21.0,2,0,1,1,0,0,0,Michigan,5.0,0.0,0.0,10.0,0.0,0.0,17.0,Michigan,52.5,2.0,0.0,105.0,,,,,,,,,,,,,,,,,,15.0,1.0,0.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,0.0,0.5,11.0,0.0,2.0,20.0,,,,,,,
Justin Layne,Cornerback,Michigan State,Big Ten,74.0,192.0,4.5,,37.5,134.0,6.9,4.09,21.0,3,1,1,1,0,0,0,Michigan State,11.0,1.0,0.0,38.0,0.0,1.0,62.0,Michigan State,0.0,1.0,0.0,0.0,,,,,,Michigan State,,,,,,,,,,,,6.0,1.0,0.0,6.0,,,,,,,,,,,,,,,,43.0,1.0,1.0,43.0,,,,,,,,,,8.0,1.0,0.0,24.0,0.0,0.5,40.0,1.0,0.0,0.0,11.0,1.0,1.5,18.0
Jamel Dean,Cornerback,Auburn,SEC,73.0,206.0,4.3,16.0,41.0,130.0,7.02,4.19,22.0,2,0,0,1,1,0,0,Auburn,9.0,0.0,1.0,22.0,0.0,2.0,30.0,Auburn,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,0.0,0.0,23.0,0.0,2.5,42.0,,,,,,,
Julian Love,Cornerback,Notre Dame,FBS Independents,71.0,195.0,4.54,14.0,36.0,121.0,6.72,4.1,21.0,3,1,1,1,0,0,0,Notre Dame,16.0,0.0,0.0,44.0,1.0,1.0,58.0,Notre Dame,51.0,3.0,2.0,153.0,,,,,,Notre Dame,,,,,,,,,,,,4.0,1.0,0.0,4.0,,,,,,,,,,,,,,,,2.0,1.0,0.0,2.0,,,,,,,,,,17.0,0.0,0.0,37.0,2.0,0.0,57.0,3.0,1.0,0.0,32.0,0.0,2.0,45.0
Kendall Sheffield,Cornerback,Ohio State,Big Ten,71.0,193.0,,,,,,,23.0,2,0,0,0,1,1,0,Ohio State,8.0,0.0,0.0,27.0,0.0,2.0,35.0,Ohio State,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,0.0,0.0,31.0,0.0,2.0,40.0,,,,,,,
Iman Marshall,Cornerback,USC,Pac-12,73.0,207.0,,,,,,,22.0,4,1,1,1,1,0,0,USC,8.0,0.0,0.0,33.0,0.0,5.5,43.0,USC,,,,,,,,,,USC,,,,,,,,,,,USC,,,,,,,,,,,,,,,,,,,,4.0,3.0,0.0,12.0,,,,,,5.0,3.0,0.0,15.0,10.0,0.0,0.0,33.0,0.0,1.0,50.0,8.0,0.0,0.0,37.0,0.0,3.0,51.0
Isaiah Johnson,Cornerback,Houston,American Athletic,74.0,208.0,4.4,,36.5,133.0,6.81,4.06,23.0,3,0,0,1,1,1,0,Houston,7.0,1.0,0.0,50.0,0.0,2.0,66.0,Houston,24.5,2.0,0.0,49.0,,,,,,Houston,,,,,,,,,,,,22.5,2.0,0.0,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,0.0,0.0,34.0,0.0,0.0,45.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0
Amani Oruwariye,Cornerback,Penn State,Big Ten,74.0,205.0,4.47,17.0,36.5,120.0,6.82,4.16,23.0,3,0,0,1,1,1,0,Penn State,11.0,0.0,0.0,39.0,0.0,1.0,50.0,Penn State,4.3,4.0,0.0,17.0,,,,,,Penn State,,,,,,,,,,,,-0.7,3.0,0.0,-2.0,,,,,,,,,,,-13.0,0.0,2.0,0.0,-26.0,30.0,1.0,1.0,30.0,,,,,,,,,,3.0,0.0,0.0,18.0,0.0,0.0,26.0,0.0,0.0,0.0,13.0,1.0,0.0,23.0
Michael Jackson,Cornerback,Miami,ACC,73.0,210.0,,,,,,,22.0,3,0,1,1,1,0,0,Miami,6.0,1.0,2.5,25.0,0.0,3.5,42.0,Miami,0.0,4.0,0.0,0.0,,,,,,Miami,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,2.0,1.0,32.0,0.0,3.0,41.0,1.0,0.0,0.0,2.0,0.0,0.0,7.0
Jordan Miller,Cornerback,Washington,Pac-12,73.0,186.0,4.49,6.0,37.0,125.0,,,22.0,4,1,1,1,1,0,0,Washington,5.0,1.0,0.0,17.0,0.0,1.0,23.0,Washington,1.0,2.0,0.0,2.0,,,,,,Washington,,,,,,,,,,,Washington,0.0,2.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,,,,,,55.0,1.0,0.0,55.0,5.0,0.0,0.0,18.0,0.0,0.0,23.0,1.0,0.0,0.0,6.0,0.0,0.0,7.0
Ka'dar Hollman,Cornerback,Toledo,Mid-American,72.0,196.0,,,,,,,24.0,3,0,0,0,1,1,1,Toledo,12.0,0.0,0.0,32.0,0.0,0.0,42.0,Toledo,0.0,1.0,0.0,0.0,,,,,,Toledo,,,,,,,,,,,,2.0,1.0,0.0,2.0,,,,,,,,,,,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,7.0,0.0,0.0,26.0,0.0,0.0,35.0,8.0,0.0,0.0,25.0,0.0,0.0,33.0
Xavier Crawford,Cornerback,Central Michigan,Mid-American,71.0,187.0,4.48,11.0,37.5,,,,23.0,3,0,0,1,1,1,0,Central Michigan,12.0,0.0,0.0,18.0,0.0,3.0,24.0,Oregon State,,,,,,,,,,Oregon State,,,,,,,,,,,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,0.0,1.0,0.0,0.0,,,,,,,,,,2.0,0.0,0.0,13.0,0.0,0.0,17.0,10.0,1.0,1.0,50.0,0.0,2.0,70.0
Blessuan Austin,Cornerback,Rutgers,Big Ten,73.0,198.0,,15.0,,,,,23.0,4,0,1,1,1,1,0,Rutgers,0.0,0.0,1.0,3.0,0.0,2.0,3.0,Rutgers,0.0,1.0,0.0,0.0,,,,,,Rutgers,,,,,,,,,,,Rutgers,-8.0,1.0,0.0,-8.0,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,,,,,,50.0,1.0,1.0,50.0,1.0,0.0,0.0,7.0,0.0,0.0,12.0,14.0,1.0,1.0,30.0,0.0,1.0,42.0
