name,position,college,conference,height,weight,forty,bench,vertical,broad_jump,cone,shuttle,age,years_since_first_played,played_at_18,played_at_19,played_at_20,played_at_21,played_at_22,played_at_23,Y0_defensive_PD,Y0_defensive_QB HUR,Y0_defensive_SACKS,Y0_defensive_SOLO,Y0_defensive_TD,Y0_defensive_TFL,Y0_defensive_TOT,Y0_fumbles_FUM,Y0_fumbles_LOST,Y0_fumbles_REC,Y1_fumbles_FUM,Y1_fumbles_LOST,Y1_fumbles_REC,Y1_defensive_PD,Y1_defensive_QB HUR,Y1_defensive_SACKS,Y1_defensive_SOLO,Y1_defensive_TD,Y1_defensive_TFL,Y1_defensive_TOT,Y2_defensive_PD,Y2_defensive_QB HUR,Y2_defensive_SACKS,Y2_defensive_SOLO,Y2_defensive_TD,Y2_defensive_TFL,Y2_defensive_TOT,Y2_fumbles_FUM,Y2_fumbles_LOST,Y2_fumbles_REC
Nick Bosa,Defensive End,Ohio State,Big Ten,76.0,266.0,4.79,29.0,33.5,116.0,7.1,4.14,21.0,3,1,1,1,0,0,0,0.0,1.0,4.0,11.0,0.0,6.0,14.0,0.0,0.0,2.0,,,,2.0,9.0,8.5,19.0,0.0,16.0,34.0,0.0,3.0,5.0,17.0,0.0,7.0,29.0,,,
Clelin Ferrell,Defensive End,Clemson,ACC,76.0,264.0,,25.0,,,7.26,4.4,22.0,3,0,1,1,1,0,0,2.0,9.0,11.5,27.0,0.0,18.5,51.0,0.0,0.0,1.0,,,,1.0,7.0,9.5,33.0,0.0,18.0,66.0,2.0,9.0,6.0,21.0,0.0,12.5,44.0,,,
Rashan Gary,Defensive End,Michigan,Big Ten,76.0,277.0,4.58,26.0,38.0,120.0,7.26,4.29,21.0,3,1,1,1,0,0,0,0.0,5.0,3.5,20.0,0.0,6.5,38.0,,,,,,,0.0,7.0,6.0,26.0,0.0,12.5,59.0,0.0,6.0,1.0,12.0,0.0,5.0,23.0,,,
Montez Sweat,Defensive End,Mississippi State,SEC,78.0,260.0,4.41,21.0,36.0,125.0,7.0,4.29,23.0,2,0,0,0,1,1,0,0.0,5.0,8.5,24.0,0.0,11.0,50.0,,,,0.0,0.0,1.0,0.0,4.0,10.5,21.0,0.0,15.5,48.0,,,,,,,,,,
L.J. Collier,Defensive End,TCU,Big 12,74.0,283.0,4.91,25.0,30.0,118.0,7.71,4.78,23.0,3,0,0,1,1,1,0,4.0,5.0,4.0,21.0,0.0,7.5,34.0,,,,,,,0.0,2.0,3.0,7.0,0.0,3.5,15.0,0.0,0.0,4.5,8.0,0.0,4.5,21.0,,,
Zach Allen,Defensive End,Boston College,ACC,76.0,281.0,5.0,24.0,32.0,112.0,7.34,4.36,22.0,3,0,1,1,1,0,0,7.0,11.0,6.5,26.0,0.0,15.0,61.0,0.0,0.0,2.0,,,,2.0,6.0,6.0,47.0,0.0,15.5,100.0,4.0,2.0,6.0,19.0,0.0,10.0,36.0,0.0,0.0,2.0
Jachai Polite,Defensive End,Florida,SEC,75.0,258.0,4.84,,32.0,,,,22.0,3,0,1,1,1,0,0,4.0,3.0,11.0,27.0,0.0,19.0,45.0,,,,,,,0.0,6.0,2.0,11.0,0.0,5.5,22.0,0.0,1.0,1.0,5.0,0.0,2.5,10.0,,,
Chase Winovich,Defensive End,Michigan,Big Ten,75.0,256.0,4.59,18.0,30.5,116.0,6.94,4.11,24.0,3,0,0,0,1,1,1,1.0,7.0,4.5,32.0,0.0,15.5,61.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,6.0,8.5,36.0,0.0,20.0,70.0,0.0,4.0,5.0,16.0,0.0,8.5,31.0,,,
Jaylon Ferguson,Defensive End,Louisiana Tech,Conference USA,77.0,271.0,,,,,,,23.0,3,0,0,1,1,1,0,2.0,9.0,13.0,31.0,0.0,20.5,55.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0,7.0,25.0,0.0,9.5,39.0,2.0,2.0,14.5,27.0,0.0,16.0,49.0,0.0,0.0,2.0
Oshane Ximines,Defensive End,Old Dominion,Conference USA,76.0,253.0,4.78,24.0,34.0,118.0,7.13,4.57,22.0,3,0,1,1,1,0,0,2.0,14.0,12.0,32.0,0.0,18.5,58.0,,,,,,,3.0,7.0,8.5,27.0,0.0,14.0,44.0,3.0,4.0,7.5,22.0,0.0,11.5,42.0,0.0,0.0,2.0
