name,position,college,conference,height,weight,forty,bench,vertical,broad_jump,cone,shuttle,age,years_since_first_played,played_at_18,played_at_19,played_at_20,played_at_21,played_at_22,played_at_23,Y0_defensive_PD,Y0_defensive_QB HUR,Y0_defensive_SACKS,Y0_defensive_SOLO,Y0_defensive_TD,Y0_defensive_TFL,Y0_defensive_TOT,Y0_fumbles_FUM,Y0_fumbles_LOST,Y0_fumbles_REC,Y1_fumbles_FUM,Y1_fumbles_LOST,Y1_fumbles_REC,Y1_defensive_PD,Y1_defensive_QB HUR,Y1_defensive_SACKS,Y1_defensive_SOLO,Y1_defensive_TD,Y1_defensive_TFL,Y1_defensive_TOT,Y2_defensive_PD,Y2_defensive_QB HUR,Y2_defensive_SACKS,Y2_defensive_SOLO,Y2_defensive_TD,Y2_defensive_TFL,Y2_defensive_TOT,Y2_fumbles_FUM,Y2_fumbles_LOST,Y2_fumbles_REC
Quinnen Williams,Defensive Tackle,Alabama,SEC,75.0,303.0,4.83,,30.5,112.0,,,21.0,2,0,1,1,0,0,0,1.0,12.0,8.0,45.0,0.0,19.5,71.0,,,,,,,0.0,3.0,2.0,11.0,0.0,6.5,20.0,,,,,,,,,,
Ed Oliver,Defensive Tackle,Houston,American Athletic,74.0,287.0,,32.0,36.0,120.0,,,21.0,3,1,1,1,0,0,0,2.0,9.0,3.0,29.0,0.0,14.5,54.0,,,,0.0,0.0,1.0,3.0,7.0,5.5,47.0,0.0,16.5,73.0,6.0,7.0,5.0,46.0,0.0,21.5,65.0,,,
Christian Wilkins,Defensive Tackle,Clemson,ACC,75.0,315.0,5.04,28.0,29.5,107.0,,4.55,23.0,3,0,0,1,1,1,0,2.0,6.0,5.0,24.0,0.0,13.0,47.0,1.0,0.0,2.0,,,,4.0,4.0,4.5,26.0,0.0,8.5,60.0,9.0,5.0,3.5,24.0,0.0,13.0,48.0,0.0,0.0,2.0
Dexter Lawrence,Defensive Tackle,Clemson,ACC,77.0,342.0,5.05,36.0,,,,,21.0,3,1,1,1,0,0,0,3.0,6.0,1.0,14.0,0.0,6.5,32.0,0.0,0.0,1.0,,,,0.0,1.0,2.5,13.0,0.0,3.0,34.0,1.0,6.0,7.0,22.0,0.0,9.0,63.0,0.0,0.0,2.0
Jeffery Simmons,Defensive Tackle,Mississippi State,SEC,76.0,305.0,,,,,,,22.0,3,0,1,1,1,0,0,4.0,6.0,2.0,24.0,0.0,16.0,62.0,,,,0.0,0.0,2.0,1.0,5.0,5.0,21.0,1.0,12.0,60.0,2.0,4.0,0.0,11.0,0.0,2.0,39.0,,,
Jerry Tillery,Defensive Tackle,Notre Dame,FBS Independents,79.0,295.0,4.93,23.0,32.0,115.0,7.45,4.33,22.0,3,0,1,1,1,0,0,0.0,5.0,8.0,18.0,0.0,9.5,29.0,,,,,,,0.0,11.0,4.5,23.0,0.0,9.0,53.0,0.0,3.0,0.0,19.0,0.0,3.5,37.0,,,
Trysten Hill,Defensive Tackle,UCF,American Athletic,75.0,308.0,5.04,28.0,35.0,115.0,7.7,4.38,21.0,3,1,1,1,0,0,0,0.0,4.0,3.0,20.0,0.0,10.5,36.0,,,,,,,0.0,5.0,2.0,9.0,0.0,4.5,20.0,0.0,1.0,1.0,12.0,0.0,6.0,16.0,,,
Dre'Mont Jones,Defensive Tackle,Ohio State,Big Ten,75.0,281.0,5.12,,31.5,110.0,7.71,4.53,22.0,3,0,1,1,1,0,0,1.0,3.0,8.5,26.0,1.0,13.0,41.0,0.0,0.0,2.0,,,,2.0,2.0,1.0,10.0,0.0,5.0,20.0,0.0,1.0,0.0,22.0,0.0,4.0,51.0,,,
Renell Wren,Defensive Tackle,Arizona State,Pac-12,77.0,318.0,5.01,30.0,32.0,118.0,7.65,4.53,23.0,3,0,0,1,1,1,0,2.0,0.0,1.0,20.0,0.0,4.5,36.0,,,,1.0,1.0,0.0,0.0,0.0,0.5,12.0,0.0,3.0,21.0,3.0,0.0,1.5,11.0,0.0,6.0,16.0,,,
Greg Gaines,Defensive Tackle,Washington,Pac-12,73.0,312.0,5.16,30.0,31.0,109.0,,,23.0,3,0,0,1,1,1,0,0.0,2.0,3.5,24.0,0.0,6.5,52.0,,,,0.0,0.0,1.0,3.0,0.0,1.5,16.0,0.0,5.0,30.0,0.0,0.0,3.5,21.0,0.0,8.0,35.0,,,
Kingsley Keke,Defensive Tackle,Texas A&M,SEC,75.0,288.0,4.95,,31.5,111.0,7.55,4.46,22.0,3,0,1,1,1,0,0,1.0,4.0,7.5,18.0,0.0,11.0,51.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,1.0,21.0,0.0,2.5,54.0,4.0,2.0,4.0,16.0,0.0,7.0,37.0,,,
Byron Cowart,Defensive Tackle,Maryland,Big Ten,75.0,298.0,5.16,26.0,30.0,111.0,,,23.0,3,0,0,1,1,1,0,0.0,0.0,3.0,18.0,0.0,5.0,38.0,1.0,1.0,0.0,,,,0.0,1.0,0.0,1.0,0.0,0.5,3.0,0.0,0.0,0.0,5.0,0.0,1.0,6.0,,,
