name,position,college,conference,height,weight,forty,bench,vertical,broad_jump,cone,shuttle,age,years_since_first_played,played_at_18,played_at_19,played_at_20,played_at_21,played_at_22,played_at_23,Y0_college,Y0_defensive_PD,Y0_defensive_QB HUR,Y0_defensive_SACKS,Y0_defensive_SOLO,Y0_defensive_TD,Y0_defensive_TFL,Y0_defensive_TOT,Y0_fumbles_FUM,Y0_fumbles_LOST,Y0_fumbles_REC,Y1_college,Y1_interceptions_AVG,Y1_interceptions_INT,Y1_interceptions_TD,Y1_interceptions_YDS,Y2_college,Y3_college,Y0_interceptions_AVG,Y0_interceptions_INT,Y0_interceptions_TD,Y0_interceptions_YDS,Y2_interceptions_AVG,Y2_interceptions_INT,Y2_interceptions_TD,Y2_interceptions_YDS,Y3_interceptions_AVG,Y3_interceptions_INT,Y3_interceptions_TD,Y3_interceptions_YDS,Y1_fumbles_FUM,Y1_fumbles_LOST,Y1_fumbles_REC,Y1_defensive_PD,Y1_defensive_QB HUR,Y1_defensive_SACKS,Y1_defensive_SOLO,Y1_defensive_TD,Y1_defensive_TFL,Y1_defensive_TOT,Y2_defensive_PD,Y2_defensive_QB HUR,Y2_defensive_SACKS,Y2_defensive_SOLO,Y2_defensive_TD,Y2_defensive_TFL,Y2_defensive_TOT,Y2_fumbles_FUM,Y2_fumbles_LOST,Y2_fumbles_REC
Devin White,Inside Linebacker,LSU,SEC,72.0,237.0,4.42,22.0,39.5,118.0,7.07,4.17,21.0,3,1,1,1,0,0,0,LSU,6.0,8.0,3.0,62.0,0.0,12.0,123.0,0.0,0.0,2.0,LSU,3.0,1.0,0.0,3.0,LSU,,,,,,,,,,,,,,0.0,0.0,1.0,3.0,5.0,4.5,37.0,0.0,14.0,133.0,0.0,0.0,1.0,15.0,0.0,3.0,30.0,0.0,0.0,1.0
Devin Bush,Inside Linebacker,Michigan,Big Ten,71.0,234.0,4.43,21.0,40.5,124.0,6.93,4.23,21.0,3,1,1,1,0,0,0,Michigan,4.0,2.0,5.0,41.0,0.0,9.0,67.0,,,,Michigan,0.0,1.0,0.0,0.0,Michigan,,,,,,,,,,,,,,,,,8.0,1.0,5.0,43.0,0.0,9.5,93.0,0.0,1.0,0.0,6.0,0.0,0.0,11.0,,,
Jahlani Tavai,Inside Linebacker,Hawai'i,Mountain West,74.0,250.0,,,,,,,22.0,3,0,1,1,1,0,0,Hawai'i,2.0,1.0,2.0,42.0,0.0,5.5,82.0,,,,Hawai'i,8.0,1.0,0.0,8.0,Hawai'i,,,,,,0.0,1.0,0.0,0.0,,,,,,,,1.0,5.0,5.5,66.0,0.0,11.0,124.0,2.0,4.0,7.0,85.0,0.0,19.5,128.0,0.0,0.0,2.0
Drue Tranquill,Inside Linebacker,Notre Dame,FBS Independents,74.0,234.0,4.57,31.0,37.5,122.0,6.94,4.14,24.0,3,0,0,0,1,1,1,Notre Dame,4.0,3.0,1.5,59.0,0.0,6.5,79.0,0.0,0.0,1.0,Notre Dame,0.0,1.0,0.0,0.0,Notre Dame,,,,,,0.0,1.0,0.0,0.0,,,,,0.0,0.0,3.0,2.0,3.0,1.5,39.0,0.0,10.5,77.0,2.0,1.0,0.0,54.0,0.0,2.0,79.0,,,
Ben Burr-Kirven,Inside Linebacker,Washington,Pac-12,72.0,230.0,4.56,21.0,34.5,121.0,6.85,4.09,21.0,3,1,1,1,0,0,0,Washington,6.0,0.0,2.0,89.0,0.0,4.5,165.0,0.0,0.0,3.0,Washington,11.0,1.0,0.0,11.0,Washington,,11.0,2.0,0.0,22.0,27.0,1.0,0.0,27.0,,,,,,,,5.0,0.0,1.0,52.0,0.0,4.0,84.0,1.0,1.0,0.0,25.0,0.0,1.0,44.0,,,
Ryan Connelly,Inside Linebacker,Wisconsin,Big Ten,74.0,242.0,4.66,,34.5,118.0,7.09,4.31,23.0,3,0,0,1,1,1,0,Wisconsin,1.0,6.0,3.0,58.0,0.0,10.0,89.0,,,,Wisconsin,5.0,1.0,0.0,5.0,Wisconsin,,,,,,12.0,1.0,0.0,12.0,,,,,0.0,0.0,1.0,1.0,3.0,3.0,57.0,0.0,11.0,88.0,3.0,0.0,0.0,36.0,0.0,7.0,59.0,0.0,0.0,1.0
Mack Wilson,Inside Linebacker,Alabama,SEC,73.0,240.0,,,32.0,117.0,,,21.0,3,1,1,1,0,0,0,Alabama,5.0,7.0,1.0,36.0,0.0,5.0,71.0,,,,Alabama,9.8,4.0,1.0,39.0,Alabama,,0.0,2.0,0.0,0.0,,,,,,,,,,,,2.0,4.0,0.0,21.0,1.0,2.5,40.0,0.0,1.0,0.0,5.0,0.0,0.0,8.0,0.0,0.0,1.0
Blake Cashman,Inside Linebacker,Minnesota,Big Ten,73.0,237.0,4.5,18.0,37.5,124.0,6.95,4.12,23.0,3,0,0,1,1,1,0,Minnesota,5.0,0.0,2.5,62.0,1.0,15.0,104.0,0.0,0.0,1.0,Minnesota,,,,,Minnesota,,,,,,,,,,,,,,,,,2.0,0.0,2.0,20.0,0.0,5.0,30.0,0.0,0.0,7.5,31.0,0.0,10.5,45.0,,,
Cameron Smith,Inside Linebacker,USC,Pac-12,74.0,238.0,4.69,15.0,39.0,123.0,,4.23,22.0,4,1,1,1,1,0,0,USC,3.0,0.0,1.0,51.0,0.0,7.5,69.0,,,,USC,4.0,1.0,0.0,4.0,USC,USC,,,,,,,,,40.7,3.0,1.0,122.0,0.0,0.0,1.0,3.0,1.0,0.5,58.0,0.0,11.0,107.0,4.0,0.0,1.0,45.0,0.0,7.0,83.0,0.0,0.0,1.0
Ulysees Gilbert III,Inside Linebacker,Akron,Mid-American,72.0,224.0,,,,,,,22.0,3,0,1,1,1,0,0,Akron,1.0,0.0,0.5,47.0,1.0,7.5,85.0,0.0,0.0,2.0,Akron,23.0,3.0,1.0,69.0,Akron,,,,,,,,,,,,,,0.0,0.0,1.0,4.0,5.0,5.0,65.0,1.0,9.5,140.0,3.0,6.0,4.0,65.0,1.0,11.5,121.0,,,
