name,position,college,conference,height,weight,forty,bench,vertical,broad_jump,cone,shuttle,age,years_since_first_played,played_at_18,played_at_19,played_at_20,played_at_21,played_at_22,played_at_23,Y0_defensive_PD,Y0_defensive_QB HUR,Y0_defensive_SACKS,Y0_defensive_SOLO,Y0_defensive_TD,Y0_defensive_TFL,Y0_defensive_TOT,Y0_fumbles_FUM,Y0_fumbles_LOST,Y0_fumbles_REC,Y1_interceptions_AVG,Y1_interceptions_INT,Y1_interceptions_TD,Y1_interceptions_YDS,Y0_interceptions_AVG,Y0_interceptions_INT,Y0_interceptions_TD,Y0_interceptions_YDS,Y2_interceptions_AVG,Y2_interceptions_INT,Y2_interceptions_TD,Y2_interceptions_YDS,Y3_interceptions_AVG,Y3_interceptions_INT,Y3_interceptions_TD,Y3_interceptions_YDS,Y1_fumbles_FUM,Y1_fumbles_LOST,Y1_fumbles_REC,Y1_defensive_PD,Y1_defensive_QB HUR,Y1_defensive_SACKS,Y1_defensive_SOLO,Y1_defensive_TD,Y1_defensive_TFL,Y1_defensive_TOT,Y2_defensive_PD,Y2_defensive_QB HUR,Y2_defensive_SACKS,Y2_defensive_SOLO,Y2_defensive_TD,Y2_defensive_TFL,Y2_defensive_TOT,Y2_fumbles_FUM,Y2_fumbles_LOST,Y2_fumbles_REC
Josh Allen,Outside Linebacker,Kentucky,SEC,77.0,262.0,4.63,28.0,,118.0,7.15,4.23,22.0,3,0,1,1,1,0,0,4.0,7.0,17.0,56.0,0.0,20.5,88.0,0.0,0.0,2.0,14.0,1.0,0.0,14.0,,,,,,,,,,,,,,,,3.0,3.0,7.0,32.0,0.0,10.5,66.0,0.0,3.0,7.0,32.0,0.0,8.5,62.0,,,
Brian Burns,Outside Linebacker,Florida State,ACC,77.0,249.0,4.53,,36.0,129.0,7.01,,21.0,3,1,1,1,0,0,0,3.0,8.0,10.0,31.0,0.0,15.5,53.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,0.0,0.0,1.0,4.0,5.0,4.5,25.0,0.0,13.5,47.0,0.0,1.0,8.5,14.0,0.0,9.5,23.0,,,
Ben Banogu,Outside Linebacker,TCU,Big 12,76.0,250.0,4.62,23.0,40.0,134.0,7.02,4.27,23.0,2,0,0,0,1,1,0,0.0,8.0,8.5,41.0,1.0,17.0,52.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,1.0,7.0,8.5,29.0,0.0,16.5,47.0,,,,,,,,,,
Germaine Pratt,Outside Linebacker,NC State,ACC,75.0,240.0,4.57,24.0,32.5,116.0,,,23.0,4,0,1,1,1,1,0,3.0,7.0,6.0,54.0,0.0,10.0,104.0,0.0,0.0,1.0,49.0,2.0,1.0,98.0,,,,,,,,,4.0,1.0,0.0,4.0,0.0,0.0,1.0,2.0,1.0,0.0,33.0,2.0,5.5,69.0,,,,,,,,,,
Sione Takitaki,Outside Linebacker,BYU,FBS Independents,73.0,238.0,4.63,24.0,37.0,125.0,7.21,4.28,24.0,2,0,0,0,0,1,1,3.0,3.0,2.0,61.0,0.0,7.0,101.0,,,,,,,,,,,,,,,,,,,,,,,2.0,4.0,5.0,43.0,0.0,12.5,79.0,,,,,,,,,,
Cody Barton,Outside Linebacker,Utah,Pac-12,75.0,237.0,4.64,30.0,32.5,116.0,6.9,4.03,22.0,3,0,1,1,1,0,0,6.0,3.0,4.0,69.0,0.0,11.5,117.0,,,,,,,,7.0,1.0,0.0,7.0,,,,,,,,,0.0,0.0,3.0,1.0,0.0,4.0,22.0,0.0,4.0,41.0,3.0,0.0,1.0,37.0,0.0,8.5,66.0,,,
Bobby Okereke,Outside Linebacker,Stanford,Pac-12,73.0,239.0,4.58,,33.5,122.0,7.25,4.26,23.0,3,0,0,1,1,1,0,5.0,3.0,3.5,52.0,0.0,7.5,94.0,0.0,0.0,1.0,52.0,1.0,1.0,52.0,,,,,,,,,,,,,,,,1.0,4.0,4.0,56.0,1.0,8.5,88.0,1.0,1.0,3.0,12.0,0.0,4.0,39.0,,,
Christian Miller,Outside Linebacker,Alabama,SEC,75.0,247.0,,,38.5,118.0,,,23.0,3,0,0,1,1,1,0,1.0,12.0,8.0,16.0,0.0,11.0,34.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,4.0,0.0,2.0,6.0,0.0,4.0,2.0,5.0,0.0,2.5,16.0,,,
Vosean Joseph,Outside Linebacker,Florida,SEC,74.0,230.0,,,,,,,21.0,3,1,1,1,0,0,0,5.0,1.0,4.0,40.0,0.0,9.0,93.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,1.0,1.0,0.0,22.0,0.0,4.0,55.0,1.0,0.0,0.0,7.0,0.0,1.0,13.0,0.0,0.0,1.0
Dre Greenlaw,Outside Linebacker,Arkansas,SEC,72.0,237.0,,24.0,33.0,117.0,,,22.0,3,0,1,1,1,0,0,0.0,1.0,2.0,38.0,0.0,6.5,80.0,0.0,0.0,1.0,,,,,2.5,2.0,0.0,5.0,3.0,1.0,0.0,3.0,,,,,,,,2.0,2.0,1.0,52.0,0.0,1.5,103.0,0.0,1.0,0.0,23.0,0.0,1.5,43.0,0.0,0.0,2.0
