name,position,college,conference,height,weight,forty,vertical,broad_jump,cone,shuttle,age,years_since_first_played,played_at_18,played_at_19,played_at_20,played_at_21,played_at_22,played_at_23,Y0_fumbles_FUM,Y0_fumbles_LOST,Y0_fumbles_REC,Y0_passing_ATT,Y0_passing_COMPLETIONS,Y0_passing_INT,Y0_passing_PCT,Y0_passing_TD,Y0_passing_YDS,Y0_passing_YPA,Y0_rushing_CAR,Y0_rushing_LONG,Y0_rushing_TD,Y0_rushing_YDS,Y0_rushing_YPC,Y1_rushing_CAR,Y1_rushing_LONG,Y1_rushing_TD,Y1_rushing_YDS,Y1_rushing_YPC,Y2_rushing_CAR,Y2_rushing_LONG,Y2_rushing_TD,Y2_rushing_YDS,Y2_rushing_YPC,Y1_passing_ATT,Y1_passing_COMPLETIONS,Y1_passing_INT,Y1_passing_PCT,Y1_passing_TD,Y1_passing_YDS,Y1_passing_YPA,Y2_passing_ATT,Y2_passing_COMPLETIONS,Y2_passing_INT,Y2_passing_PCT,Y2_passing_TD,Y2_passing_YDS,Y2_passing_YPA,Y3_rushing_CAR,Y3_rushing_LONG,Y3_rushing_TD,Y3_rushing_YDS,Y3_rushing_YPC,Y3_passing_ATT,Y3_passing_COMPLETIONS,Y3_passing_INT,Y3_passing_PCT,Y3_passing_TD,Y3_passing_YDS,Y3_passing_YPA,Y1_fumbles_FUM,Y1_fumbles_LOST,Y1_fumbles_REC,Y2_fumbles_FUM,Y2_fumbles_LOST,Y2_fumbles_REC
Kyler Murray,Quarterback,Oklahoma,Big 12,70.0,207.0,,,,,,22.0,4,1,1,1,1,0,0,3.0,2.0,0.0,376.0,259.0,7.0,0.689,42.0,4364.0,11.6,140.0,75.0,12.0,1001.0,7.2,14.0,66.0,0.0,142.0,10.1,,,,,,21.0,18.0,0.0,0.857,3.0,359.0,17.1,,,,,,,,53.0,34.0,1.0,335.0,6.3,121.0,72.0,7.0,0.595,5.0,686.0,5.7,,,,,,
Daniel Jones,Quarterback,Duke,ACC,77.0,221.0,4.81,33.5,120.0,7.0,4.41,22.0,3,0,1,1,1,0,0,5.0,4.0,0.0,392.0,237.0,9.0,0.605,22.0,2674.0,6.8,104.0,68.0,3.0,319.0,3.1,161.0,33.0,7.0,518.0,3.2,120.0,29.0,7.0,431.0,3.6,453.0,257.0,11.0,0.567,14.0,2691.0,5.9,415.0,263.0,9.0,0.634,15.0,2795.0,6.7,,,,,,,,,,,,,8.0,4.0,0.0,4.0,4.0,0.0
Dwayne Haskins,Quarterback,Ohio State,Big Ten,75.0,231.0,5.04,28.5,,,,22.0,2,0,0,1,1,0,0,4.0,2.0,0.0,531.0,371.0,8.0,0.699,49.0,4751.0,8.9,79.0,17.0,4.0,108.0,1.4,24.0,22.0,0.0,86.0,3.6,,,,,,57.0,40.0,1.0,0.702,4.0,565.0,9.9,,,,,,,,,,,,,,,,,,,,2.0,2.0,0.0,,,
Drew Lock,Quarterback,Missouri,SEC,76.0,228.0,4.69,31.0,112.0,7.03,4.12,22.0,4,1,1,1,1,0,0,6.0,2.0,0.0,437.0,275.0,8.0,0.629,28.0,3498.0,8.0,55.0,27.0,6.0,175.0,3.2,44.0,34.0,1.0,111.0,2.5,52.0,24.0,1.0,123.0,2.4,419.0,242.0,13.0,0.578,44.0,3964.0,9.5,434.0,237.0,10.0,0.546,23.0,3399.0,7.8,52.0,33.0,1.0,28.0,0.5,263.0,129.0,8.0,0.49,4.0,1332.0,5.1,4.0,4.0,0.0,4.0,2.0,0.0
Will Grier,Quarterback,West Virginia,Big 12,75.0,217.0,4.84,34.0,112.0,7.09,4.28,24.0,4,0,0,1,1,1,1,5.0,4.0,0.0,397.0,266.0,8.0,0.67,37.0,3864.0,9.7,49.0,15.0,3.0,-95.0,-1.9,63.0,24.0,2.0,122.0,1.9,,,,,,388.0,250.0,12.0,0.644,34.0,3490.0,9.0,,,,,,,,36.0,38.0,2.0,116.0,3.2,161.0,106.0,3.0,0.658,10.0,1204.0,7.5,6.0,2.0,0.0,,,
Ryan Finley,Quarterback,NC State,ACC,76.0,213.0,4.73,30.5,116.0,7.2,4.2,24.0,4,0,0,1,1,1,1,3.0,0.0,0.0,447.0,300.0,10.0,0.671,21.0,3612.0,8.1,40.0,9.0,1.0,20.0,0.5,69.0,46.0,3.0,194.0,2.8,74.0,17.0,1.0,94.0,1.3,478.0,311.0,6.0,0.651,17.0,3514.0,7.4,402.0,243.0,8.0,0.604,18.0,3055.0,7.6,22.0,15.0,0.0,42.0,1.9,70.0,46.0,4.0,0.657,1.0,485.0,6.9,6.0,2.0,0.0,7.0,1.0,0.0
Jarrett Stidham,Quarterback,Auburn,SEC,74.0,218.0,4.81,31.0,110.0,7.28,4.33,23.0,4,0,1,1,1,1,0,4.0,2.0,0.0,369.0,224.0,5.0,0.607,18.0,2795.0,7.6,71.0,18.0,3.0,-5.0,-0.1,103.0,24.0,4.0,153.0,1.5,,,,,,370.0,246.0,6.0,0.665,18.0,3158.0,8.5,,,,,,,,36.0,16.0,2.0,70.0,1.9,109.0,75.0,2.0,0.688,12.0,1265.0,11.6,8.0,6.0,0.0,,,
Clayton Thorson,Quarterback,Northwestern,Big Ten,76.0,222.0,,,,,,24.0,4,0,0,1,1,1,1,4.0,3.0,0.0,490.0,298.0,15.0,0.608,17.0,3181.0,6.5,78.0,27.0,9.0,-110.0,-1.4,87.0,21.0,8.0,23.0,0.3,97.0,42.0,5.0,98.0,1.0,434.0,262.0,12.0,0.604,15.0,2844.0,6.6,478.0,280.0,9.0,0.586,22.0,3182.0,6.7,100.0,68.0,5.0,397.0,4.0,295.0,150.0,9.0,0.508,7.0,1522.0,5.2,1.0,1.0,0.0,7.0,6.0,0.0
Gardner Minshew,Quarterback,Washington State,Pac-12,73.0,225.0,4.97,33.5,116.0,7.14,4.45,23.0,3,0,0,1,1,1,0,1.0,0.0,0.0,662.0,468.0,9.0,0.707,38.0,4776.0,7.2,58.0,12.0,4.0,119.0,2.1,18.0,7.0,0.0,-40.0,-2.2,20.0,7.0,0.0,-36.0,-1.8,304.0,174.0,7.0,0.572,16.0,2140.0,7.0,202.0,119.0,4.0,0.589,8.0,1347.0,6.7,,,,,,,,,,,,,1.0,0.0,0.0,5.0,2.0,0.0
Trace McSorley,Quarterback,Penn State,Big Ten,72.0,202.0,4.57,33.0,115.0,7.09,4.12,24.0,4,0,0,1,1,1,1,3.0,2.0,0.0,361.0,192.0,7.0,0.532,18.0,2513.0,7.0,169.0,51.0,12.0,799.0,4.7,144.0,36.0,11.0,491.0,3.4,146.0,26.0,7.0,365.0,2.5,427.0,284.0,10.0,0.665,28.0,3570.0,8.4,387.0,224.0,8.0,0.579,29.0,3614.0,9.3,13.0,14.0,0.0,43.0,3.3,40.0,20.0,0.0,0.5,2.0,185.0,4.6,2.0,1.0,0.0,10.0,4.0,0.0
