name,position,college,conference,height,weight,forty,bench,vertical,broad_jump,cone,shuttle,age,years_since_first_played,played_at_18,played_at_19,played_at_20,played_at_21,played_at_22,played_at_23,Y0_college,Y0_fumbles_FUM,Y0_fumbles_LOST,Y0_fumbles_REC,Y1_college,Y0_receiving_LONG,Y0_receiving_REC,Y0_receiving_TD,Y0_receiving_YDS,Y0_receiving_YPR,Y0_rushing_CAR,Y0_rushing_LONG,Y0_rushing_TD,Y0_rushing_YDS,Y0_rushing_YPC,Y1_receiving_LONG,Y1_receiving_REC,Y1_receiving_TD,Y1_receiving_YDS,Y1_receiving_YPR,Y1_rushing_CAR,Y1_rushing_LONG,Y1_rushing_TD,Y1_rushing_YDS,Y1_rushing_YPC,Y2_college,Y2_receiving_LONG,Y2_receiving_REC,Y2_receiving_TD,Y2_receiving_YDS,Y2_receiving_YPR,Y2_rushing_CAR,Y2_rushing_LONG,Y2_rushing_TD,Y2_rushing_YDS,Y2_rushing_YPC,Y3_college,Y3_receiving_LONG,Y3_receiving_REC,Y3_receiving_TD,Y3_receiving_YDS,Y3_receiving_YPR,Y3_rushing_CAR,Y3_rushing_LONG,Y3_rushing_TD,Y3_rushing_YDS,Y3_rushing_YPC,Y1_fumbles_FUM,Y1_fumbles_LOST,Y1_fumbles_REC,Y2_fumbles_FUM,Y2_fumbles_LOST,Y2_fumbles_REC
Josh Jacobs,Running Back,Alabama,SEC,70.0,220.0,,,,,,,21.0,3,1,1,1,0,0,0,Alabama,1.0,0.0,0.0,Alabama,33.0,20.0,3.0,247.0,12.4,120.0,59.0,11.0,640.0,5.3,38.0,14.0,2.0,168.0,12.0,46.0,45.0,1.0,284.0,6.2,Alabama,30.0,14.0,0.0,166.0,11.9,86.0,56.0,4.0,564.0,6.6,,,,,,,,,,,,,,,2.0,2.0,0.0
Miles Sanders,Running Back,Penn State,Big Ten,71.0,211.0,4.49,20.0,36.0,124.0,6.89,4.19,22.0,3,0,1,1,1,0,0,Penn State,5.0,4.0,0.0,Penn State,29.0,24.0,0.0,139.0,5.8,219.0,78.0,9.0,1271.0,5.8,7.0,6.0,0.0,30.0,5.0,31.0,31.0,2.0,191.0,6.2,Penn State,21.0,2.0,1.0,24.0,12.0,25.0,57.0,1.0,184.0,7.4,,,,,,,,,,,,1.0,0.0,0.0,4.0,3.0,0.0
Darrell Henderson,Running Back,Memphis,American Athletic,68.0,208.0,4.49,22.0,33.5,121.0,,,22.0,3,0,1,1,1,0,0,Memphis,2.0,1.0,0.0,Memphis,71.0,19.0,3.0,295.0,15.5,214.0,82.0,22.0,1909.0,8.9,45.0,24.0,2.0,226.0,9.4,130.0,82.0,9.0,1154.0,8.9,Memphis,46.0,20.0,3.0,237.0,11.9,87.0,45.0,5.0,482.0,5.5,,,,,,,,,,,,2.0,2.0,0.0,,,
David Montgomery,Running Back,Iowa State,Big 12,70.0,222.0,4.63,15.0,28.5,121.0,,,22.0,3,0,1,1,1,0,0,Iowa State,1.0,1.0,0.0,Iowa State,53.0,22.0,0.0,157.0,7.1,255.0,39.0,13.0,1185.0,4.6,46.0,36.0,0.0,296.0,8.2,258.0,58.0,11.0,1146.0,4.4,Iowa State,28.0,13.0,0.0,129.0,9.9,109.0,51.0,2.0,563.0,5.2,,,,,,,,,,,,1.0,1.0,0.0,1.0,1.0,0.0
Devin Singletary,Running Back,Florida Atlantic,Conference USA,68.0,203.0,4.66,15.0,35.0,117.0,7.32,4.4,22.0,3,0,1,1,1,0,0,Florida Atlantic,,,,Florida Atlantic,13.0,6.0,0.0,36.0,6.0,261.0,44.0,22.0,1348.0,5.2,60.0,19.0,1.0,198.0,10.4,301.0,70.0,32.0,1920.0,6.4,Florida Atlantic,48.0,26.0,0.0,163.0,6.3,152.0,66.0,12.0,1021.0,6.7,,,,,,,,,,,,4.0,3.0,0.0,,,
Damien Harris,Running Back,Alabama,SEC,70.0,216.0,4.57,16.0,37.0,121.0,,,22.0,4,1,1,1,1,0,0,Alabama,,,,Alabama,52.0,22.0,0.0,204.0,9.3,150.0,73.0,9.0,876.0,5.8,17.0,12.0,0.0,91.0,7.6,135.0,75.0,11.0,1000.0,7.4,Alabama,56.0,14.0,2.0,99.0,7.1,145.0,73.0,2.0,1040.0,7.2,Alabama,8.0,4.0,0.0,13.0,3.3,46.0,41.0,1.0,157.0,3.4,,,,2.0,0.0,0.0
Alexander Mattison,Running Back,Boise State,Mountain West,71.0,221.0,4.67,22.0,35.0,127.0,7.13,4.29,21.0,3,1,1,1,0,0,0,Boise State,,,,Boise State,23.0,27.0,0.0,173.0,6.4,302.0,59.0,17.0,1412.0,4.7,36.0,28.0,1.0,284.0,10.1,212.0,70.0,12.0,1086.0,5.1,Boise State,19.0,5.0,0.0,54.0,10.8,67.0,19.0,4.0,328.0,4.9,,,,,,,,,,,,2.0,1.0,0.0,,,
Bryce Love,Running Back,Stanford,Pac-12,69.0,200.0,,18.0,,,,,22.0,4,1,1,1,1,0,0,Stanford,1.0,1.0,0.0,Stanford,15.0,20.0,0.0,99.0,5.0,165.0,59.0,6.0,736.0,4.5,12.0,6.0,0.0,33.0,5.5,263.0,75.0,19.0,2118.0,8.1,Stanford,49.0,8.0,1.0,83.0,10.4,112.0,59.0,3.0,779.0,7.0,Stanford,93.0,15.0,1.0,250.0,16.7,29.0,48.0,2.0,226.0,7.8,3.0,0.0,0.0,,,
Justice Hill,Running Back,Oklahoma State,Big 12,70.0,198.0,4.4,21.0,40.0,130.0,,,21.0,3,1,1,1,0,0,0,Oklahoma State,,,,Oklahoma State,22.0,13.0,0.0,68.0,5.2,158.0,92.0,9.0,930.0,5.9,24.0,31.0,1.0,190.0,6.1,268.0,79.0,15.0,1467.0,5.5,Oklahoma State,22.0,5.0,0.0,46.0,9.2,206.0,38.0,6.0,1142.0,5.5,,,,,,,,,,,,2.0,2.0,0.0,3.0,2.0,0.0
Benny Snell Jr.,Running Back,Kentucky,SEC,70.0,224.0,,,,,,,21.0,3,1,1,1,0,0,0,Kentucky,2.0,0.0,0.0,Kentucky,28.0,17.0,0.0,105.0,6.2,288.0,52.0,16.0,1434.0,5.0,22.0,10.0,0.0,72.0,7.2,262.0,71.0,19.0,1333.0,5.1,Kentucky,28.0,2.0,0.0,39.0,19.5,186.0,48.0,13.0,1091.0,5.9,,,,,,,,,,,,2.0,2.0,0.0,2.0,2.0,0.0
Tony Pollard,Running Back,Memphis,American Athletic,72.0,210.0,4.52,13.0,35.0,121.0,,,22.0,3,0,1,1,1,0,0,Memphis,,,,Memphis,44.0,38.0,3.0,444.0,11.7,79.0,41.0,6.0,553.0,7.0,59.0,36.0,4.0,536.0,14.9,30.0,66.0,2.0,230.0,7.7,Memphis,45.0,29.0,2.0,298.0,10.3,31.0,19.0,1.0,159.0,5.1,,,,,,,,,,,,,,,3.0,1.0,0.0
Ryquell Armstead,Running Back,Temple,American Athletic,71.0,220.0,4.45,22.0,30.0,114.0,7.02,4.29,22.0,4,1,1,1,1,0,0,Temple,1.0,0.0,0.0,Temple,15.0,8.0,0.0,52.0,6.5,210.0,75.0,13.0,1098.0,5.2,12.0,14.0,0.0,75.0,5.4,156.0,56.0,5.0,604.0,3.9,Temple,19.0,5.0,0.0,41.0,8.2,156.0,76.0,14.0,919.0,5.9,Temple,4.0,2.0,0.0,7.0,3.5,51.0,16.0,2.0,191.0,3.7,3.0,2.0,0.0,,,
Qadree Ollison,Running Back,Pittsburgh,ACC,73.0,228.0,4.58,19.0,29.5,114.0,7.53,4.31,22.0,4,1,1,1,1,0,0,Pittsburgh,,,,Pittsburgh,16.0,11.0,0.0,66.0,6.0,194.0,97.0,11.0,1213.0,6.3,30.0,23.0,2.0,194.0,8.4,90.0,32.0,5.0,398.0,4.4,Pittsburgh,30.0,2.0,0.0,38.0,19.0,33.0,19.0,2.0,127.0,3.8,Pittsburgh,15.0,14.0,1.0,77.0,5.5,212.0,71.0,11.0,1121.0,5.3,,,,,,
Jordan Scarlett,Running Back,Florida,SEC,71.0,208.0,4.47,21.0,30.0,116.0,7.37,4.63,23.0,4,0,1,1,1,1,0,Florida,1.0,1.0,0.0,,30.0,10.0,0.0,84.0,8.4,131.0,48.0,5.0,776.0,5.9,,,,,,,,,,,Florida,13.0,4.0,0.0,23.0,5.8,179.0,46.0,6.0,889.0,5.0,Florida,1.0,1.0,0.0,1.0,1.0,34.0,60.0,1.0,181.0,5.3,,,,1.0,1.0,0.0
Trayveon Williams,Running Back,Texas A&M,SEC,68.0,206.0,4.51,19.0,33.0,121.0,7.44,4.44,21.0,3,1,1,1,0,0,0,Texas A&M,3.0,1.0,0.0,Texas A&M,38.0,27.0,1.0,277.0,10.3,271.0,93.0,18.0,1760.0,6.5,41.0,20.0,0.0,192.0,9.6,173.0,72.0,8.0,798.0,4.6,Texas A&M,17.0,19.0,0.0,91.0,4.8,156.0,89.0,8.0,1057.0,6.8,,,,,,,,,,,,1.0,1.0,0.0,3.0,2.0,0.0
Ty Johnson,Running Back,Maryland,Big Ten,71.0,210.0,,,,,,,21.0,4,1,1,1,0,0,0,Maryland,,,,Maryland,18.0,6.0,0.0,22.0,3.7,66.0,81.0,3.0,506.0,7.7,24.0,5.0,1.0,60.0,12.0,137.0,74.0,5.0,875.0,6.4,Maryland,66.0,16.0,1.0,206.0,12.9,110.0,76.0,6.0,1004.0,9.1,Maryland,23.0,2.0,0.0,30.0,15.0,35.0,44.0,3.0,250.0,7.1,,,,,,
Dexter Williams,Running Back,Notre Dame,FBS Independents,71.0,212.0,4.57,17.0,36.0,130.0,7.0,4.16,22.0,4,1,1,1,1,0,0,Notre Dame,2.0,0.0,0.0,Notre Dame,22.0,16.0,1.0,133.0,8.3,158.0,97.0,12.0,995.0,6.3,8.0,2.0,1.0,13.0,6.5,39.0,66.0,4.0,360.0,9.2,Notre Dame,7.0,4.0,0.0,16.0,4.0,39.0,59.0,3.0,200.0,5.1,Notre Dame,,,,,,21.0,14.0,1.0,81.0,3.9,,,,,,
Travis Homer,Running Back,Miami,ACC,70.0,201.0,4.48,17.0,39.5,130.0,7.07,4.31,21.0,3,1,1,1,0,0,0,Miami,3.0,2.0,0.0,Miami,24.0,19.0,0.0,186.0,9.8,164.0,70.0,4.0,985.0,6.0,35.0,18.0,1.0,219.0,12.2,163.0,64.0,8.0,971.0,6.0,Miami,,,,,,7.0,17.0,0.0,44.0,6.3,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0
Rodney Anderson,Running Back,Oklahoma,Big 12,72.0,224.0,,25.0,,,,,22.0,4,1,1,1,1,0,0,Oklahoma,,,,Oklahoma,,,,,,11.0,65.0,3.0,119.0,10.8,46.0,17.0,5.0,281.0,16.5,188.0,58.0,13.0,1161.0,6.2,,,,,,,,,,,,Oklahoma,,,,,,1.0,5.0,0.0,5.0,5.0,,,,,,
