name,position,college,conference,height,weight,forty,bench,vertical,broad_jump,cone,shuttle,age,years_since_first_played,played_at_18,played_at_19,played_at_20,played_at_21,played_at_22,played_at_23,Y0_college,Y0_defensive_PD,Y0_defensive_QB HUR,Y0_defensive_SACKS,Y0_defensive_SOLO,Y0_defensive_TD,Y0_defensive_TFL,Y0_defensive_TOT,Y0_fumbles_FUM,Y0_fumbles_LOST,Y0_fumbles_REC,Y1_college,Y1_interceptions_AVG,Y1_interceptions_INT,Y1_interceptions_TD,Y1_interceptions_YDS,Y2_college,Y3_college,Y0_interceptions_AVG,Y0_interceptions_INT,Y0_interceptions_TD,Y0_interceptions_YDS,Y2_interceptions_AVG,Y2_interceptions_INT,Y2_interceptions_TD,Y2_interceptions_YDS,Y3_interceptions_AVG,Y3_interceptions_INT,Y3_interceptions_TD,Y3_interceptions_YDS,Y1_fumbles_FUM,Y1_fumbles_LOST,Y1_fumbles_REC,Y1_defensive_PD,Y1_defensive_QB HUR,Y1_defensive_SACKS,Y1_defensive_SOLO,Y1_defensive_TD,Y1_defensive_TFL,Y1_defensive_TOT,Y2_defensive_PD,Y2_defensive_QB HUR,Y2_defensive_SACKS,Y2_defensive_SOLO,Y2_defensive_TD,Y2_defensive_TFL,Y2_defensive_TOT,Y2_fumbles_FUM,Y2_fumbles_LOST,Y2_fumbles_REC
Darnell Savage Jr.,Safety,Maryland,Big Ten,71.0,198.0,,,,,,,22.0,3,0,1,1,1,0,0,Maryland,2.0,0.0,0.0,38.0,1.0,5.5,52.0,,,,Maryland,9.0,2.0,0.0,18.0,Maryland,,7.5,4.0,1.0,30.0,30.0,1.0,0.0,30.0,,,,,0.0,0.0,1.0,8.0,0.0,0.0,45.0,2.0,0.0,59.0,4.0,0.0,1.0,45.0,0.0,3.5,59.0,,,
Johnathan Abram,Safety,Mississippi State,SEC,71.0,205.0,4.45,,,116.0,,,22.0,2,0,0,1,1,0,0,Mississippi State,3.0,5.0,3.0,51.0,0.0,8.0,95.0,1.0,1.0,1.0,Mississippi State,,,,,,,4.5,2.0,0.0,9.0,,,,,,,,,,,,5.0,1.0,2.0,43.0,0.0,5.0,71.0,,,,,,,,,,
Marquise Blair,Safety,Utah,Pac-12,73.0,195.0,4.48,,35.0,125.0,,,22.0,2,0,0,1,1,0,0,Utah,2.0,1.0,0.0,38.0,0.0,1.5,50.0,,,,Utah,,,,,,,2.5,2.0,0.0,5.0,,,,,,,,,0.0,0.0,1.0,2.0,0.0,0.0,35.0,0.0,3.0,47.0,,,,,,,,,,
Taylor Rapp,Safety,Washington,Pac-12,72.0,208.0,,17.0,35.0,115.0,6.82,3.99,21.0,3,1,1,1,0,0,0,Washington,4.0,0.0,5.0,29.0,0.0,6.0,55.0,0.0,0.0,3.0,Washington,1.0,1.0,0.0,1.0,Washington,,0.0,2.0,0.0,0.0,14.5,4.0,1.0,58.0,,,,,,,,0.0,0.0,2.0,42.0,0.0,3.5,59.0,2.0,0.0,0.0,29.0,1.0,0.0,51.0,,,
Juan Thornhill,Safety,Virginia,ACC,72.0,205.0,4.42,21.0,44.0,141.0,,,23.0,3,0,0,1,1,1,0,Virginia,7.0,1.0,0.0,62.0,0.0,4.5,98.0,,,,Virginia,1.0,4.0,0.0,4.0,Virginia,,23.5,6.0,0.0,141.0,10.7,3.0,0.0,32.0,,,,,,,,12.0,0.0,0.5,47.0,0.0,4.5,63.0,7.0,0.0,1.0,30.0,0.0,3.0,45.0,,,
Will Harris,Safety,Boston College,ACC,73.0,207.0,4.41,20.0,36.5,123.0,6.91,4.12,23.0,4,0,1,1,1,1,0,Boston College,0.0,1.0,0.0,42.0,0.0,1.0,73.0,0.0,0.0,2.0,Boston College,0.0,1.0,0.0,0.0,Boston College,Boston College,0.0,1.0,0.0,0.0,32.0,2.0,0.0,64.0,1.0,1.0,0.0,1.0,0.0,0.0,4.0,2.0,1.0,1.0,45.0,0.0,5.5,83.0,4.0,0.0,0.0,34.0,0.0,1.0,47.0,,,
Mike Edwards,Safety,Kentucky,SEC,71.0,205.0,,,,,,,23.0,4,0,1,1,1,1,0,Kentucky,6.0,1.0,0.0,56.0,1.0,9.0,82.0,0.0,0.0,1.0,Kentucky,0.3,4.0,0.0,1.0,Kentucky,Kentucky,39.5,2.0,1.0,79.0,15.3,3.0,0.0,46.0,20.0,1.0,1.0,20.0,,,,7.0,1.0,1.0,53.0,0.0,4.0,96.0,8.0,0.0,0.5,56.0,0.0,5.5,100.0,,,
Chauncey Gardner-Johnson,Safety,Florida,SEC,71.0,210.0,4.48,17.0,36.0,117.0,7.03,4.2,21.0,3,1,1,1,0,0,0,Florida,2.0,2.0,3.0,37.0,2.0,9.0,71.0,,,,Florida,44.0,2.0,0.0,88.0,Florida,,27.5,4.0,2.0,110.0,34.3,3.0,1.0,103.0,,,,,,,,7.0,0.0,1.0,34.0,0.0,6.0,58.0,3.0,0.0,0.0,21.0,1.0,0.5,32.0,,,
Khari Willis,Safety,Michigan State,Big Ten,71.0,213.0,4.52,22.0,34.5,118.0,,,23.0,3,0,0,1,1,1,0,Michigan State,10.0,1.0,0.0,41.0,0.0,1.5,84.0,,,,Michigan State,10.0,2.0,0.0,20.0,Michigan State,,15.0,2.0,0.0,30.0,,,,,,,,,,,,3.0,0.0,4.0,39.0,0.0,5.5,71.0,2.0,0.0,0.0,16.0,0.0,0.0,30.0,,,
Amani Hooker,Safety,Iowa,Big Ten,71.0,210.0,4.48,14.0,37.0,123.0,6.81,4.1,21.0,3,0,1,1,0,0,0,Iowa,7.0,0.0,1.0,36.0,0.0,3.5,65.0,,,,Iowa,15.0,2.0,1.0,30.0,Iowa,,15.0,4.0,0.0,60.0,,,,,,,,,,,,2.0,0.0,0.0,41.0,1.0,0.0,56.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,,,
