name,position,college,conference,height,weight,forty,bench,vertical,broad_jump,cone,shuttle,age,years_since_first_played,played_at_18,played_at_19,played_at_20,played_at_21,played_at_22,played_at_23,Y0_college,Y0_fumbles_FUM,Y0_fumbles_LOST,Y0_fumbles_REC,Y1_college,Y0_receiving_LONG,Y0_receiving_REC,Y0_receiving_TD,Y0_receiving_YDS,Y0_receiving_YPR,Y0_rushing_CAR,Y0_rushing_LONG,Y0_rushing_TD,Y0_rushing_YDS,Y0_rushing_YPC,Y1_receiving_LONG,Y1_receiving_REC,Y1_receiving_TD,Y1_receiving_YDS,Y1_receiving_YPR,Y1_rushing_CAR,Y1_rushing_LONG,Y1_rushing_TD,Y1_rushing_YDS,Y1_rushing_YPC,Y2_college,Y2_receiving_LONG,Y2_receiving_REC,Y2_receiving_TD,Y2_receiving_YDS,Y2_receiving_YPR,Y3_college,Y3_receiving_LONG,Y3_receiving_REC,Y3_receiving_TD,Y3_receiving_YDS,Y3_receiving_YPR,Y3_rushing_CAR,Y3_rushing_LONG,Y3_rushing_TD,Y3_rushing_YDS,Y3_rushing_YPC,Y1_fumbles_FUM,Y1_fumbles_LOST,Y1_fumbles_REC,Y2_fumbles_FUM,Y2_fumbles_LOST,Y2_fumbles_REC
T.J. Hockenson,Tight End,Iowa,Big Ten,77.0,251.0,4.7,17.0,37.5,123.0,7.02,4.18,22.0,2,0,0,1,1,0,0,Iowa,1.0,0.0,0.0,Iowa,54.0,49.0,6.0,750.0,15.3,1.0,4.0,1.0,4.0,4.0,24.0,24.0,3.0,320.0,13.3,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,,,
Noah Fant,Tight End,Iowa,Big Ten,76.0,249.0,4.5,20.0,39.5,127.0,6.81,4.22,21.0,3,1,1,1,0,0,0,Iowa,,,,Iowa,65.0,39.0,7.0,518.0,13.3,2.0,3.0,0.0,1.0,0.5,68.0,30.0,11.0,494.0,16.5,2.0,3.0,0.0,-1.0,-0.5,Iowa,14.0,9.0,1.0,70.0,7.8,,,,,,,,,,,,,,,,,
Irv Smith Jr.,Tight End,Alabama,SEC,74.0,242.0,,,,,,,21.0,2,0,1,1,0,0,0,Alabama,1.0,0.0,0.0,Alabama,76.0,44.0,7.0,710.0,16.1,,,,,,34.0,14.0,3.0,128.0,9.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drew Sample,Tight End,Washington,Pac-12,77.0,255.0,4.71,,33.5,115.0,7.15,4.31,23.0,4,0,1,1,1,1,0,Washington,,,,Washington,33.0,24.0,3.0,245.0,10.2,,,,,,31.0,7.0,0.0,84.0,12.0,,,,,,Washington,32.0,9.0,0.0,106.0,11.8,Washington,23.0,5.0,2.0,45.0,9.0,,,,,,,,,,,
Josh Oliver,Tight End,San José State,Mountain West,77.0,249.0,4.63,22.0,34.0,117.0,7.21,4.47,22.0,4,1,1,1,1,0,0,San José State,,,,San José State,70.0,56.0,4.0,709.0,12.7,,,,,,21.0,35.0,1.0,296.0,8.5,,,,,,San José State,19.0,3.0,1.0,26.0,8.7,San José State,24.0,4.0,1.0,36.0,9.0,1.0,7.0,0.0,7.0,7.0,,,,,,
Jace Sternberger,Tight End,Texas A&M,SEC,76.0,251.0,4.75,17.0,31.5,113.0,7.19,4.31,23.0,3,0,0,1,1,1,0,Texas A&M,,,,,53.0,48.0,10.0,832.0,17.3,1.0,4.0,0.0,4.0,4.0,,,,,,,,,,,Kansas,5.0,1.0,0.0,5.0,5.0,,,,,,,,,,,,,,,,,
Kahale Warring,Tight End,San Diego State,Mountain West,77.0,252.0,4.67,19.0,36.5,122.0,7.21,4.25,22.0,3,0,1,1,1,0,0,San Diego State,,,,San Diego State,30.0,31.0,3.0,372.0,12.0,,,,,,42.0,18.0,3.0,248.0,13.8,,,,,,San Diego State,12.0,2.0,2.0,17.0,8.5,,,,,,,,,,,,,,,,,
Dawson Knox,Tight End,Ole Miss,SEC,76.0,254.0,,16.0,34.5,,7.12,4.27,22.0,2,0,0,1,1,0,0,Ole Miss,,,,Ole Miss,48.0,14.0,0.0,278.0,19.9,,,,,,40.0,24.0,0.0,321.0,13.4,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.0,,,
Trevon Wesco,Tight End,West Virginia,Big 12,76.0,267.0,4.89,24.0,31.0,117.0,7.18,4.38,23.0,3,0,0,1,1,1,0,West Virginia,,,,West Virginia,43.0,26.0,1.0,366.0,14.1,1.0,3.0,0.0,3.0,3.0,1.0,1.0,0.0,1.0,1.0,,,,,,West Virginia,6.0,1.0,1.0,6.0,6.0,,,,,,,,,,,,,,,,,
Foster Moreau,Tight End,LSU,SEC,76.0,253.0,4.66,22.0,36.5,121.0,7.16,4.11,22.0,4,1,1,1,1,0,0,LSU,,,,LSU,24.0,22.0,2.0,272.0,12.4,,,,,,60.0,24.0,3.0,278.0,11.6,,,,,,LSU,31.0,6.0,1.0,79.0,13.2,LSU,,,,,,,,,,,,,,,,
