name,position,college,conference,height,weight,forty,bench,vertical,broad_jump,cone,shuttle,age,years_since_first_played,played_at_18,played_at_19,played_at_20,played_at_21,played_at_22,played_at_23,Y0_fumbles_FUM,Y0_fumbles_LOST,Y0_fumbles_REC,Y1_puntReturns_AVG,Y1_puntReturns_LONG,Y1_puntReturns_NO,Y1_puntReturns_TD,Y1_puntReturns_YDS,Y0_receiving_LONG,Y0_receiving_REC,Y0_receiving_TD,Y0_receiving_YDS,Y0_receiving_YPR,Y0_rushing_CAR,Y0_rushing_LONG,Y0_rushing_TD,Y0_rushing_YDS,Y0_rushing_YPC,Y1_receiving_LONG,Y1_receiving_REC,Y1_receiving_TD,Y1_receiving_YDS,Y1_receiving_YPR,Y1_rushing_CAR,Y1_rushing_LONG,Y1_rushing_TD,Y1_rushing_YDS,Y1_rushing_YPC,Y2_kickReturns_AVG,Y2_kickReturns_LONG,Y2_kickReturns_NO,Y2_kickReturns_TD,Y2_kickReturns_YDS,Y2_receiving_LONG,Y2_receiving_REC,Y2_receiving_TD,Y2_receiving_YDS,Y2_receiving_YPR,Y2_rushing_CAR,Y2_rushing_LONG,Y2_rushing_TD,Y2_rushing_YDS,Y2_rushing_YPC,Y0_kickReturns_AVG,Y0_kickReturns_LONG,Y0_kickReturns_NO,Y0_kickReturns_TD,Y0_kickReturns_YDS,Y3_receiving_LONG,Y3_receiving_REC,Y3_receiving_TD,Y3_receiving_YDS,Y3_receiving_YPR,Y3_rushing_CAR,Y3_rushing_LONG,Y3_rushing_TD,Y3_rushing_YDS,Y3_rushing_YPC,Y0_puntReturns_AVG,Y0_puntReturns_LONG,Y0_puntReturns_NO,Y0_puntReturns_TD,Y0_puntReturns_YDS,Y1_kickReturns_AVG,Y1_kickReturns_LONG,Y1_kickReturns_NO,Y1_kickReturns_TD,Y1_kickReturns_YDS,Y2_puntReturns_AVG,Y2_puntReturns_LONG,Y2_puntReturns_NO,Y2_puntReturns_TD,Y2_puntReturns_YDS,Y3_kickReturns_AVG,Y3_kickReturns_LONG,Y3_kickReturns_NO,Y3_kickReturns_TD,Y3_kickReturns_YDS,Y3_puntReturns_AVG,Y3_puntReturns_LONG,Y3_puntReturns_NO,Y3_puntReturns_TD,Y3_puntReturns_YDS,Y1_fumbles_FUM,Y1_fumbles_LOST,Y1_fumbles_REC,Y2_fumbles_FUM,Y2_fumbles_LOST,Y2_fumbles_REC
Marquise Brown,Wide Receiver,Oklahoma,Big 12,69.0,166.0,,,,,,,22.0,2,0,0,1,1,0,0,,,,,,,,,77.0,75.0,10.0,1318.0,17.6,2.0,0.0,0.0,0.0,0.0,87.0,57.0,7.0,1095.0,19.2,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.0,,,
N'Keal Harry,Wide Receiver,Arizona State,Pac-12,74.0,228.0,4.53,27.0,38.5,122.0,,,21.0,3,1,1,1,0,0,0,1.0,0.0,0.0,2.6,7.0,5.0,0.0,13.0,61.0,73.0,9.0,1088.0,14.9,7.0,6.0,1.0,10.0,1.4,70.0,82.0,8.0,1142.0,13.9,13.0,17.0,0.0,65.0,5.0,,,,,,37.0,58.0,5.0,659.0,11.4,3.0,34.0,2.0,69.0,23.0,,,,,,,,,,,,,,,,16.9,92.0,9.0,1.0,152.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Deebo Samuel,Wide Receiver,South Carolina,SEC,71.0,214.0,4.48,15.0,39.0,122.0,7.03,4.14,23.0,4,0,1,1,1,1,0,0.0,0.0,2.0,,,,,,89.0,62.0,11.0,882.0,14.2,8.0,11.0,0.0,26.0,3.3,68.0,15.0,3.0,250.0,16.7,2.0,25.0,1.0,30.0,15.0,26.9,100.0,16.0,1.0,431.0,47.0,59.0,1.0,783.0,13.3,15.0,23.0,6.0,98.0,6.5,24.5,90.0,24.0,1.0,587.0,48.0,12.0,1.0,161.0,13.4,,,,,,,,,,,97.0,97.0,2.0,2.0,194.0,2.7,7.0,3.0,0.0,8.0,24.0,24.0,1.0,0.0,24.0,,,,,,,,,3.0,2.0,0.0
A.J. Brown,Wide Receiver,Ole Miss,SEC,73.0,226.0,4.49,19.0,36.5,120.0,,,22.0,3,0,1,1,1,0,0,1.0,0.0,0.0,5.9,19.0,8.0,0.0,47.0,84.0,85.0,6.0,1355.0,15.9,,,,,,77.0,75.0,11.0,1252.0,16.7,,,,,,,,,,,37.0,29.0,2.0,412.0,14.2,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,1.0,0.0,3.0,,,,,,,,,,,,,,,,,,,,,
Mecole Hardman,Wide Receiver,Georgia,SEC,70.0,187.0,4.33,17.0,36.5,119.0,,,21.0,3,1,1,1,0,0,0,3.0,1.0,0.0,11.8,30.0,23.0,0.0,271.0,59.0,34.0,7.0,532.0,15.6,5.0,30.0,0.0,36.0,7.2,80.0,25.0,4.0,418.0,16.7,8.0,35.0,2.0,61.0,7.6,17.0,17.0,1.0,0.0,17.0,,,,,,,,,,,25.2,41.0,14.0,0.0,353.0,,,,,,,,,,,20.1,70.0,16.0,1.0,321.0,25.3,47.0,20.0,0.0,505.0,,,,,,,,,,,,,,,,1.0,0.0,0.0,,,
JJ Arcega-Whiteside,Wide Receiver,Stanford,Pac-12,74.0,225.0,,,,,,,22.0,3,0,1,1,1,0,0,,,,,,,,,80.0,62.0,14.0,1040.0,16.8,,,,,,45.0,48.0,9.0,781.0,16.3,,,,,,,,,,,61.0,24.0,5.0,379.0,15.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,,,
Parris Campbell,Wide Receiver,Ohio State,Big Ten,72.0,205.0,4.31,11.0,40.0,135.0,,4.03,22.0,3,0,1,1,1,0,0,,,,,,,,,71.0,88.0,11.0,983.0,11.2,10.0,78.0,1.0,102.0,10.2,74.0,40.0,3.0,584.0,14.6,10.0,44.0,1.0,132.0,13.2,27.8,91.0,21.0,0.0,584.0,16.0,13.0,0.0,121.0,9.3,4.0,24.0,1.0,54.0,13.5,,,,,,,,,,,,,,,,,,,,,36.6,82.0,9.0,0.0,329.0,,,,,,,,,,,,,,,,2.0,2.0,0.0,,,
Andy Isabella,Wide Receiver,Massachusetts,FBS Independents,69.0,188.0,4.31,15.0,36.5,121.0,6.95,4.15,22.0,4,1,1,1,1,0,0,2.0,2.0,0.0,11.0,15.0,2.0,0.0,22.0,89.0,101.0,13.0,1697.0,16.8,11.0,17.0,1.0,79.0,7.2,69.0,65.0,10.0,1020.0,15.7,14.0,42.0,1.0,135.0,9.6,14.0,14.0,1.0,0.0,14.0,55.0,62.0,7.0,801.0,12.9,12.0,26.0,0.0,100.0,8.3,,,,,,8.0,2.0,0.0,7.0,3.5,3.0,14.0,0.0,28.0,9.3,7.9,25.0,7.0,0.0,55.0,22.8,44.0,5.0,0.0,114.0,,,,,,17.5,31.0,18.0,0.0,315.0,,,,,,3.0,1.0,0.0,2.0,1.0,0.0
DK Metcalf,Wide Receiver,Ole Miss,SEC,75.0,228.0,,,,,,,21.0,3,1,1,1,0,0,0,,,,,,,,,75.0,26.0,5.0,569.0,21.9,,,,,,71.0,39.0,7.0,646.0,16.6,,,,,,,,,,,10.0,2.0,2.0,13.0,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diontae Johnson,Wide Receiver,Toledo,Mid-American,71.0,183.0,4.53,15.0,33.5,123.0,7.09,4.45,23.0,4,0,1,1,1,1,0,1.0,0.0,0.0,25.5,87.0,4.0,1.0,102.0,80.0,49.0,8.0,761.0,15.5,2.0,11.0,0.0,17.0,8.5,89.0,74.0,13.0,1278.0,17.3,2.0,5.0,0.0,9.0,4.5,,,,,,,,,,,,,,,,25.8,98.0,16.0,1.0,412.0,36.0,14.0,3.0,237.0,16.9,,,,,,18.5,83.0,13.0,1.0,241.0,22.8,99.0,30.0,1.0,683.0,,,,,,22.8,42.0,32.0,0.0,731.0,,,,,,3.0,2.0,0.0,,,
