name,position,college,conference,height,weight,forty,bench,vertical,broad_jump,cone,shuttle,age,years_since_first_played,played_at_18,played_at_19,played_at_20,played_at_21,played_at_22,played_at_23,Y0_defensive_PD,Y0_defensive_QB HUR,Y0_defensive_SACKS,Y0_defensive_SOLO,Y0_defensive_TD,Y0_defensive_TFL,Y0_defensive_TOT,Y0_fumbles_FUM,Y0_fumbles_LOST,Y0_fumbles_REC,Y1_fumbles_FUM,Y1_fumbles_LOST,Y1_fumbles_REC,Y1_defensive_PD,Y1_defensive_QB HUR,Y1_defensive_SACKS,Y1_defensive_SOLO,Y1_defensive_TD,Y1_defensive_TFL,Y1_defensive_TOT,Y2_defensive_PD,Y2_defensive_QB HUR,Y2_defensive_SACKS,Y2_defensive_SOLO,Y2_defensive_TD,Y2_defensive_TFL,Y2_defensive_TOT,Y2_fumbles_FUM,Y2_fumbles_LOST,Y2_fumbles_REC,Y3_defensive_PD,Y3_defensive_QB HUR,Y3_defensive_SACKS,Y3_defensive_SOLO,Y3_defensive_TD,Y3_defensive_TFL,Y3_defensive_TOT
Chase Young,Defensive End,Ohio State,Big Ten,77.0,264.0,,,,,,,21.0,3,1,1,1,0,0,0,3.0,7.0,16.5,32.0,0.0,21.0,46.0,,,,,,,5.0,9.0,9.5,24.0,0.0,14.5,33.0,0.0,0.0,3.5,11.0,0.0,5.0,18.0,,,,,,,,,,
Yetur Gross-Matos,Defensive End,Penn State,Big Ten,77.0,266.0,,20.0,34.0,120.0,,,22.0,3,0,1,1,1,0,0,0.0,7.0,9.5,24.0,0.0,15.0,40.0,,,,0.0,0.0,1.0,0.0,6.0,8.0,36.0,0.0,20.0,54.0,0.0,3.0,1.5,5.0,0.0,2.0,17.0,0.0,0.0,1.0,,,,,,,
Darrell Taylor,Defensive End,Tennessee,SEC,76.0,267.0,,,,,,,23.0,4,0,1,1,1,1,0,4.0,6.0,8.5,28.0,0.0,10.0,46.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,3.0,8.0,27.0,0.0,11.0,36.0,2.0,5.0,3.0,14.0,0.0,4.5,27.0,0.0,0.0,1.0,1.0,3.0,0.0,6.0,0.0,1.0,9.0
AJ Epenesa,Defensive End,Iowa,Big Ten,77.0,275.0,,,,,,,21.0,3,1,1,1,0,0,0,3.0,9.0,11.5,32.0,0.0,15.0,49.0,,,,0.0,0.0,1.0,4.0,8.0,10.5,21.0,1.0,16.5,37.0,1.0,8.0,4.5,8.0,0.0,5.5,15.0,,,,,,,,,,
Josh Uche,Defensive End,Michigan,Big Ten,73.0,245.0,,18.0,,,,,21.0,4,0,1,1,0,0,0,2.0,8.0,8.5,23.0,0.0,11.5,35.0,0.0,0.0,1.0,,,,1.0,1.0,7.0,12.0,0.0,8.0,13.0,0.0,0.0,1.0,3.0,0.0,1.0,3.0,,,,0.0,1.0,0.0,2.0,0.0,0.0,3.0
Jabari Zuniga,Defensive End,Florida,SEC,75.0,264.0,4.64,29.0,33.0,127.0,,,23.0,4,0,1,1,1,1,0,0.0,1.0,3.0,7.0,0.0,7.0,14.0,,,,,,,0.0,4.0,6.5,17.0,0.0,11.0,45.0,0.0,6.0,4.0,12.0,0.0,8.0,34.0,0.0,0.0,1.0,0.0,11.0,5.0,18.0,0.0,8.5,25.0
D.J. Wonnum,Defensive End,South Carolina,SEC,77.0,258.0,4.73,20.0,34.5,123.0,7.25,4.44,22.0,4,1,1,1,1,0,0,0.0,3.0,4.5,24.0,0.0,9.5,37.0,,,,,,,0.0,0.0,2.0,6.0,0.0,3.0,10.0,5.0,2.0,6.0,32.0,0.0,13.0,57.0,,,,0.0,2.0,1.5,15.0,0.0,3.5,32.0
Khalid Kareem,Defensive End,Notre Dame,FBS Independents,76.0,268.0,,,,,,,22.0,3,0,1,1,1,0,0,1.0,11.0,5.5,23.0,0.0,10.0,46.0,0.0,0.0,1.0,,,,3.0,7.0,4.5,23.0,0.0,10.5,37.0,2.0,6.0,3.0,10.0,0.0,5.5,20.0,0.0,0.0,1.0,,,,,,,
Alton Robinson,Defensive End,Syracuse,ACC,75.0,264.0,4.69,25.0,35.5,119.0,7.32,4.32,22.0,3,0,1,1,1,0,0,3.0,10.0,4.5,23.0,0.0,9.5,46.0,,,,0.0,0.0,2.0,2.0,9.0,10.0,28.0,0.0,16.0,35.0,0.0,5.0,5.0,18.0,0.0,6.0,30.0,,,,,,,,,,
Jason Strowbridge,Defensive End,North Carolina,ACC,76.0,275.0,4.89,26.0,31.0,113.0,7.45,4.37,23.0,4,0,1,1,1,1,0,1.0,4.0,3.0,27.0,0.0,6.5,45.0,0.0,0.0,3.0,,,,1.0,4.0,5.5,18.0,0.0,7.5,36.0,1.0,2.0,1.0,12.0,0.0,5.5,34.0,,,,0.0,2.0,2.0,5.0,0.0,2.5,12.0
Curtis Weaver,Defensive End,Boise State,Mountain West,74.0,265.0,,,32.5,116.0,7.0,4.27,22.0,3,0,1,1,1,0,0,3.0,4.0,13.5,32.0,0.0,19.5,52.0,,,,,,,1.0,1.0,8.5,20.0,0.0,14.0,41.0,2.0,1.0,11.0,20.0,0.0,13.0,33.0,0.0,0.0,1.0,,,,,,,
Mike Danna,Defensive End,Michigan,Big Ten,74.0,251.0,,,,,,,22.0,4,1,1,1,1,0,0,0.0,2.0,3.0,20.0,0.0,3.0,38.0,,,,0.0,0.0,3.0,1.0,6.0,8.5,36.0,1.0,14.0,65.0,0.0,5.0,4.0,31.0,0.0,8.5,54.0,0.0,0.0,1.0,0.0,2.0,1.5,24.0,0.0,4.5,31.0
Bradlee Anae,Defensive End,Utah,Pac-12,75.0,257.0,4.93,25.0,31.0,115.0,7.44,4.43,22.0,4,1,1,1,1,0,0,1.0,0.0,13.0,30.0,0.0,14.0,41.0,,,,,,,3.0,0.0,8.0,27.0,0.0,15.5,51.0,0.0,3.0,6.0,23.0,0.0,9.0,36.0,0.0,0.0,2.0,0.0,0.0,2.0,4.0,0.0,2.0,4.0
Kenny Willekes,Defensive End,Michigan State,Big Ten,76.0,264.0,4.87,32.0,32.5,119.0,7.39,,23.0,4,0,1,1,1,1,0,0.0,16.0,10.5,32.0,0.0,16.0,78.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,12.0,8.0,37.0,0.0,20.5,77.0,2.0,8.0,6.5,33.0,0.0,14.0,72.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
James Smith-Williams,Defensive End,NC State,ACC,76.0,265.0,4.6,28.0,32.0,123.0,7.35,4.52,23.0,4,0,1,1,1,1,0,0.0,7.0,1.0,9.0,0.0,1.0,20.0,,,,0.0,0.0,1.0,2.0,4.0,6.0,16.0,0.0,9.0,36.0,0.0,0.0,0.5,5.0,0.0,1.5,10.0,0.0,0.0,1.0,1.0,2.0,0.5,6.0,0.0,0.5,13.0
Casey Toohill,Defensive End,Stanford,Pac-12,76.0,250.0,4.62,17.0,39.0,126.0,7.08,4.21,24.0,4,0,0,1,1,1,1,1.0,10.0,8.0,37.0,0.0,11.5,57.0,,,,,,,3.0,6.0,3.0,14.0,0.0,5.0,28.0,0.0,2.0,1.0,10.0,0.0,3.0,18.0,0.0,0.0,1.0,0.0,2.0,2.5,10.0,0.0,2.5,20.0
Jashon Cornell,Defensive End,Ohio State,Big Ten,75.0,285.0,,,,,,,23.0,4,0,1,1,1,1,0,0.0,1.0,4.0,16.0,0.0,7.5,30.0,,,,,,,0.0,0.0,1.0,9.0,0.0,2.0,15.0,0.0,0.0,2.0,8.0,0.0,3.5,14.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,1.5,4.0
Jonathan Garvin,Defensive End,Miami,ACC,76.0,263.0,4.82,23.0,36.0,125.0,,,21.0,3,1,1,1,0,0,0,0.0,4.0,5.0,21.0,0.0,9.0,37.0,,,,,,,5.0,2.0,5.5,20.0,1.0,17.0,60.0,0.0,0.0,1.0,4.0,0.0,2.0,7.0,0.0,0.0,1.0,,,,,,,
