name,position,college,conference,height,weight,forty,bench,vertical,broad_jump,cone,shuttle,age,years_since_first_played,played_at_18,played_at_19,played_at_20,played_at_21,played_at_22,played_at_23,Y0_college,Y0_defensive_PD,Y0_defensive_QB HUR,Y0_defensive_SACKS,Y0_defensive_SOLO,Y0_defensive_TD,Y0_defensive_TFL,Y0_defensive_TOT,Y0_fumbles_FUM,Y0_fumbles_LOST,Y0_fumbles_REC,Y1_college,Y2_college,Y3_college,Y1_fumbles_FUM,Y1_fumbles_LOST,Y1_fumbles_REC,Y1_defensive_PD,Y1_defensive_QB HUR,Y1_defensive_SACKS,Y1_defensive_SOLO,Y1_defensive_TD,Y1_defensive_TFL,Y1_defensive_TOT,Y2_defensive_PD,Y2_defensive_QB HUR,Y2_defensive_SACKS,Y2_defensive_SOLO,Y2_defensive_TD,Y2_defensive_TFL,Y2_defensive_TOT,Y2_fumbles_FUM,Y2_fumbles_LOST,Y2_fumbles_REC,Y3_fumbles_FUM,Y3_fumbles_LOST,Y3_fumbles_REC,Y3_defensive_PD,Y3_defensive_QB HUR,Y3_defensive_SACKS,Y3_defensive_SOLO,Y3_defensive_TD,Y3_defensive_TFL,Y3_defensive_TOT
Derrick Brown,Defensive Tackle,Auburn,SEC,77.0,326.0,5.16,28.0,27.0,108.0,8.22,4.79,22.0,4,1,1,1,1,0,0,Auburn,4.0,2.0,4.0,33.0,0.0,12.5,55.0,0.0,0.0,2.0,Auburn,Auburn,Auburn,0.0,0.0,1.0,2.0,6.0,4.5,25.0,0.0,10.0,48.0,1.0,3.0,2.0,26.0,0.0,8.5,52.0,,,,0.0,0.0,1.0,1.0,0.0,1.0,3.0,0.0,1.5,11.0
Javon Kinlaw,Defensive Tackle,South Carolina,SEC,77.0,324.0,,,,,,,22.0,3,0,1,1,1,0,0,South Carolina,2.0,4.0,6.0,15.0,0.0,6.0,35.0,0.0,0.0,1.0,South Carolina,South Carolina,,,,,5.0,3.0,3.5,19.0,0.0,8.5,33.0,3.0,0.0,0.0,12.0,0.0,2.0,20.0,,,,,,,,,,,,,
Ross Blacklock,Defensive Tackle,TCU,Big 12,75.0,290.0,4.9,,29.0,107.0,7.77,4.67,22.0,3,0,1,1,1,0,0,TCU,0.0,3.0,3.5,25.0,0.0,9.0,40.0,,,,,TCU,,,,,,,,,,,,0.0,0.0,2.0,13.0,0.0,6.5,25.0,,,,,,,,,,,,,
Marlon Davidson,Defensive Tackle,Auburn,SEC,75.0,303.0,5.04,21.0,,,,,22.0,4,1,1,1,1,0,0,Auburn,1.0,5.0,7.5,30.0,0.0,12.5,49.0,0.0,0.0,1.0,Auburn,Auburn,Auburn,,,,3.0,11.0,3.5,20.0,0.0,4.0,46.0,1.0,4.0,3.0,18.0,0.0,6.0,40.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0,6.0,2.5,23.0,0.0,6.0,38.0
Raekwon Davis,Defensive Tackle,Alabama,SEC,78.0,311.0,5.12,24.0,28.0,111.0,7.95,4.86,23.0,4,0,1,1,1,1,0,Alabama,0.0,5.0,0.5,18.0,0.0,3.0,47.0,,,,Alabama,Alabama,Alabama,,,,0.0,6.0,1.5,24.0,0.0,5.5,55.0,0.0,2.0,8.5,24.0,0.0,10.0,69.0,0.0,0.0,1.0,,,,0.0,0.0,1.0,1.0,0.0,1.0,4.0
Justin Madubuike,Defensive Tackle,Texas A&M,SEC,75.0,293.0,4.83,31.0,,,7.37,,22.0,3,0,1,1,1,0,0,Texas A&M,2.0,7.0,5.5,18.0,0.0,11.5,45.0,,,,Texas A&M,Texas A&M,,,,,2.0,5.0,5.5,18.0,0.0,10.5,40.0,0.0,0.0,0.0,7.0,0.0,2.5,20.0,,,,,,,,,,,,,
Davon Hamilton,Defensive Tackle,Ohio State,Big Ten,76.0,320.0,,,,,,,23.0,4,0,1,1,1,1,0,Ohio State,0.0,1.0,6.0,18.0,0.0,10.5,28.0,0.0,0.0,1.0,Ohio State,Ohio State,Ohio State,0.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,3.5,16.0,0.0,0.0,0.5,10.0,0.0,4.5,12.0,,,,0.0,0.0,1.0,0.0,0.0,0.5,5.0,0.0,2.5,10.0
Neville Gallimore,Defensive Tackle,Oklahoma,Big 12,74.0,304.0,4.79,23.0,,,7.97,5.01,23.0,4,0,1,1,1,1,0,Oklahoma,1.0,7.0,4.0,18.0,0.0,7.5,30.0,,,,Oklahoma,Oklahoma,Oklahoma,,,,0.0,4.0,3.0,16.0,0.0,5.0,50.0,1.0,4.0,1.0,11.0,0.0,1.5,23.0,,,,,,,0.0,3.0,1.0,21.0,0.0,4.0,40.0
Jordan Elliott,Defensive Tackle,Missouri,SEC,76.0,302.0,5.02,24.0,27.5,,,4.73,22.0,4,1,1,1,1,0,0,Missouri,3.0,6.0,2.5,31.0,0.0,8.5,44.0,,,,Missouri,,Texas,,,,1.0,2.0,3.0,17.0,0.0,8.0,24.0,,,,,,,,,,,,,,0.0,0.0,0.0,4.0,0.0,1.5,8.0
McTelvin Agim,Defensive Tackle,Arkansas,SEC,75.0,309.0,4.98,27.0,,,,,22.0,4,1,1,1,1,0,0,Arkansas,0.0,3.0,5.0,20.0,0.0,8.5,39.0,0.0,0.0,1.0,Arkansas,Arkansas,Arkansas,0.0,0.0,1.0,1.0,11.0,4.5,19.0,0.0,10.0,45.0,3.0,3.0,2.5,15.0,0.0,7.5,37.0,,,,,,,0.0,2.0,2.5,8.0,0.0,5.5,27.0
