name,position,college,conference,height,weight,forty,bench,vertical,broad_jump,cone,shuttle,age,years_since_first_played,played_at_18,played_at_19,played_at_20,played_at_21,played_at_22,played_at_23,Y0_defensive_PD,Y0_defensive_QB HUR,Y0_defensive_SACKS,Y0_defensive_SOLO,Y0_defensive_TD,Y0_defensive_TFL,Y0_defensive_TOT,Y0_fumbles_FUM,Y0_fumbles_LOST,Y0_fumbles_REC,Y1_interceptions_AVG,Y1_interceptions_INT,Y1_interceptions_TD,Y1_interceptions_YDS,Y0_interceptions_AVG,Y0_interceptions_INT,Y0_interceptions_TD,Y0_interceptions_YDS,Y2_interceptions_AVG,Y2_interceptions_INT,Y2_interceptions_TD,Y2_interceptions_YDS,Y3_interceptions_AVG,Y3_interceptions_INT,Y3_interceptions_TD,Y3_interceptions_YDS,Y1_fumbles_FUM,Y1_fumbles_LOST,Y1_fumbles_REC,Y1_defensive_PD,Y1_defensive_QB HUR,Y1_defensive_SACKS,Y1_defensive_SOLO,Y1_defensive_TD,Y1_defensive_TFL,Y1_defensive_TOT,Y2_defensive_PD,Y2_defensive_QB HUR,Y2_defensive_SACKS,Y2_defensive_SOLO,Y2_defensive_TD,Y2_defensive_TFL,Y2_defensive_TOT,Y2_fumbles_FUM,Y2_fumbles_LOST,Y2_fumbles_REC,Y3_fumbles_FUM,Y3_fumbles_LOST,Y3_fumbles_REC,Y3_defensive_PD,Y3_defensive_QB HUR,Y3_defensive_SACKS,Y3_defensive_SOLO,Y3_defensive_TD,Y3_defensive_TFL,Y3_defensive_TOT
Isaiah Simmons,Outside Linebacker,Clemson,ACC,76.0,238.0,4.39,,39.0,132.0,,,22.0,4,0,1,1,1,0,0,8.0,5.0,8.0,67.0,0.0,16.5,104.0,0.0,0.0,1.0,27.0,1.0,1.0,27.0,14.0,3.0,0.0,42.0,,,,,,,,,,,,6.0,1.0,1.0,46.0,1.0,8.0,79.0,6.0,1.0,1.0,27.0,0.0,3.0,45.0,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,1.0
K'Lavon Chaisson,Outside Linebacker,LSU,SEC,75.0,254.0,,,,,,,21.0,3,1,1,1,0,0,0,2.0,6.0,6.5,34.0,0.0,13.5,60.0,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,1.0,3.0,0.0,1.0,5.0,2.0,2.0,2.0,9.0,0.0,4.5,27.0,,,,,,,,,,,,,
Jordyn Brooks,Outside Linebacker,Texas Tech,Big 12,72.0,240.0,4.54,,,,,,22.0,4,1,1,1,1,0,0,0.0,12.0,3.0,66.0,0.0,20.0,108.0,0.0,0.0,2.0,3.0,1.0,0.0,3.0,,,,,2.0,1.0,0.0,2.0,,,,,,,,1.0,6.0,3.0,49.0,0.0,7.0,84.0,2.0,7.0,0.0,50.0,0.0,0.5,89.0,0.0,0.0,1.0,,,,3.0,1.0,1.0,61.0,0.0,5.0,85.0
Julian Okwara,Outside Linebacker,Notre Dame,FBS Independents,76.0,252.0,,27.0,,,,,22.0,4,0,1,1,1,0,0,0.0,7.0,4.0,8.0,0.0,6.0,18.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,,,,5.0,1.0,0.0,5.0,,,,,,,,1.0,21.0,5.5,23.0,0.0,10.0,34.0,0.0,7.0,2.5,8.0,0.0,3.5,14.0,,,,,,,0.0,0.0,0.0,2.0,0.0,0.0,4.0
Zack Baun,Outside Linebacker,Wisconsin,Big Ten,74.0,238.0,4.65,24.0,32.5,115.0,7.0,4.31,23.0,4,0,1,1,1,1,0,2.0,10.0,12.5,53.0,1.0,19.5,76.0,,,,7.0,1.0,0.0,7.0,34.0,1.0,1.0,34.0,,,,,,,,,0.0,0.0,1.0,2.0,7.0,2.5,36.0,0.0,7.5,59.0,,,,,,,,,,,,,,0.0,0.0,0.0,9.0,0.0,3.5,15.0
Terrell Lewis,Outside Linebacker,Alabama,SEC,77.0,262.0,,,37.0,124.0,,,22.0,4,1,1,1,1,0,0,2.0,15.0,6.0,21.0,0.0,11.5,31.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,1.0,10.0,0.0,2.0,16.0,,,,,,,0.0,0.0,1.0,7.0,0.0,1.0,11.0
Anfernee Jennings,Outside Linebacker,Alabama,SEC,74.0,256.0,,,,,,,23.0,4,0,1,1,1,1,0,5.0,8.0,8.0,45.0,0.0,12.5,83.0,,,,8.0,1.0,0.0,8.0,0.0,1.0,0.0,0.0,,,,,,,,,0.0,0.0,2.0,10.0,5.0,4.5,22.0,1.0,12.0,42.0,2.0,4.0,1.0,20.0,0.0,6.0,41.0,,,,,,,0.0,3.0,0.0,7.0,0.0,2.0,19.0
Jonathan Greenard,Outside Linebacker,Florida,SEC,75.0,263.0,4.87,22.0,30.5,113.0,7.13,4.34,23.0,4,0,1,1,1,1,0,4.0,8.0,10.0,26.0,1.0,15.0,52.0,0.0,0.0,1.0,,,,,16.0,1.0,0.0,16.0,,,,,42.0,1.0,0.0,42.0,,,,,,,,,,,1.0,8.0,7.0,29.0,0.0,15.5,48.0,,,,,,,2.0,3.0,2.5,8.0,0.0,7.0,22.0
Alex Highsmith,Outside Linebacker,Charlotte,Conference USA,75.0,248.0,4.7,,33.0,125.0,7.32,4.31,23.0,4,0,1,1,1,1,0,2.0,7.0,10.5,37.0,0.0,16.5,63.0,,,,,,,,,,,,,,,,,,,,,,,1.0,4.0,3.0,37.0,0.0,17.5,54.0,0.0,7.0,2.0,23.0,0.0,5.0,33.0,0.0,0.0,1.0,,,,1.0,1.0,1.0,11.0,0.0,2.0,17.0
Davion Taylor,Outside Linebacker,Colorado,Pac-12,73.0,228.0,4.49,21.0,35.0,127.0,6.96,4.26,22.0,2,0,0,1,1,0,0,4.0,1.0,1.0,55.0,0.0,8.0,64.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,0.0,0.0,2.0,2.0,4.0,1.0,43.0,1.0,10.0,57.0,,,,,,,,,,,,,,,,,,,,
