name,position,college,conference,height,weight,forty,bench,vertical,broad_jump,cone,shuttle,age,years_since_first_played,played_at_18,played_at_19,played_at_20,played_at_21,played_at_22,played_at_23,Y0_college,Y0_fumbles_FUM,Y0_fumbles_LOST,Y0_fumbles_REC,Y1_college,Y0_receiving_LONG,Y0_receiving_REC,Y0_receiving_TD,Y0_receiving_YDS,Y0_receiving_YPR,Y0_rushing_CAR,Y0_rushing_LONG,Y0_rushing_TD,Y0_rushing_YDS,Y0_rushing_YPC,Y1_receiving_LONG,Y1_receiving_REC,Y1_receiving_TD,Y1_receiving_YDS,Y1_receiving_YPR,Y1_rushing_CAR,Y1_rushing_LONG,Y1_rushing_TD,Y1_rushing_YDS,Y1_rushing_YPC,Y2_college,Y2_receiving_LONG,Y2_receiving_REC,Y2_receiving_TD,Y2_receiving_YDS,Y2_receiving_YPR,Y2_rushing_CAR,Y2_rushing_LONG,Y2_rushing_TD,Y2_rushing_YDS,Y2_rushing_YPC,Y3_college,Y3_receiving_LONG,Y3_receiving_REC,Y3_receiving_TD,Y3_receiving_YDS,Y3_receiving_YPR,Y3_rushing_CAR,Y3_rushing_LONG,Y3_rushing_TD,Y3_rushing_YDS,Y3_rushing_YPC,Y1_fumbles_FUM,Y1_fumbles_LOST,Y1_fumbles_REC,Y2_fumbles_FUM,Y2_fumbles_LOST,Y2_fumbles_REC,Y3_fumbles_FUM,Y3_fumbles_LOST,Y3_fumbles_REC
Clyde Edwards-Helaire,Running Back,LSU,SEC,67.0,207.0,4.6,15.0,39.5,123.0,,,21.0,3,1,1,1,0,0,0,LSU,2.0,1.0,0.0,LSU,26.0,55.0,1.0,453.0,8.2,215.0,89.0,16.0,1414.0,6.6,30.0,10.0,0.0,97.0,9.7,133.0,47.0,7.0,603.0,4.5,LSU,27.0,3.0,0.0,46.0,15.3,9.0,10.0,0.0,31.0,3.4,,,,,,,,,,,,,,,,,,,,
D'Andre Swift,Running Back,Georgia,SEC,68.0,212.0,4.48,,35.5,121.0,,,21.0,3,1,1,1,0,0,0,Georgia,3.0,2.0,0.0,Georgia,48.0,24.0,1.0,216.0,9.0,196.0,47.0,7.0,1218.0,6.2,35.0,32.0,3.0,297.0,9.3,163.0,83.0,10.0,1049.0,6.4,Georgia,39.0,17.0,1.0,153.0,9.0,81.0,71.0,3.0,618.0,7.6,,,,,,,,,,,,,,,2.0,1.0,0.0,,,
Jonathan Taylor,Running Back,Wisconsin,Big Ten,70.0,226.0,4.39,17.0,36.0,123.0,7.01,4.24,21.0,3,1,1,1,0,0,0,Wisconsin,6.0,5.0,0.0,Wisconsin,36.0,26.0,5.0,252.0,9.7,320.0,72.0,21.0,2003.0,6.3,30.0,8.0,0.0,60.0,7.5,307.0,88.0,16.0,2194.0,7.1,Wisconsin,24.0,8.0,0.0,95.0,11.9,270.0,75.0,12.0,1794.0,6.6,,,,,,,,,,,,4.0,4.0,0.0,7.0,6.0,0.0,,,
Cam Akers,Running Back,Florida State,ACC,70.0,217.0,4.47,20.0,35.5,122.0,,4.42,21.0,3,1,1,1,0,0,0,Florida State,3.0,3.0,0.0,Florida State,44.0,30.0,4.0,225.0,7.5,231.0,50.0,14.0,1144.0,5.0,25.0,23.0,2.0,145.0,6.3,161.0,85.0,6.0,706.0,4.4,Florida State,19.0,16.0,1.0,116.0,7.3,194.0,63.0,7.0,1024.0,5.3,,,,,,,,,,,,5.0,3.0,0.0,2.0,1.0,0.0,,,
J.K. Dobbins,Running Back,Ohio State,Big Ten,70.0,209.0,,23.0,,,,,21.0,3,1,1,1,0,0,0,Ohio State,3.0,2.0,0.0,Ohio State,28.0,23.0,2.0,247.0,10.7,301.0,68.0,21.0,2003.0,6.7,35.0,26.0,2.0,263.0,10.1,229.0,42.0,10.0,1053.0,4.6,Ohio State,18.0,22.0,1.0,135.0,6.1,194.0,77.0,7.0,1403.0,7.2,,,,,,,,,,,,1.0,1.0,0.0,1.0,1.0,0.0,,,
AJ Dillon,Running Back,Boston College,ACC,72.0,247.0,4.53,23.0,41.0,131.0,7.19,,22.0,3,0,1,1,1,0,0,Boston College,3.0,1.0,0.0,Boston College,42.0,13.0,1.0,195.0,15.0,318.0,61.0,14.0,1685.0,5.3,15.0,8.0,1.0,41.0,5.1,227.0,74.0,10.0,1108.0,4.9,Boston College,,,,,,300.0,75.0,14.0,1589.0,5.3,,,,,,,,,,,,1.0,0.0,0.0,4.0,1.0,0.0,,,
Ke'Shawn Vaughn,Running Back,Vanderbilt,SEC,70.0,214.0,4.51,,32.0,117.0,,,23.0,4,0,1,1,1,1,0,Vanderbilt,2.0,0.0,0.0,Vanderbilt,61.0,28.0,1.0,270.0,9.6,198.0,75.0,9.0,1028.0,5.2,75.0,13.0,2.0,170.0,13.1,157.0,78.0,12.0,1244.0,7.9,,,,,,,,,,,,Illinois,61.0,9.0,0.0,89.0,9.9,60.0,65.0,3.0,301.0,5.0,,,,,,,3.0,0.0,0.0
Zack Moss,Running Back,Utah,Pac-12,69.0,223.0,4.65,19.0,33.0,,,4.37,22.0,4,1,1,1,1,0,0,Utah,1.0,1.0,0.0,Utah,69.0,28.0,2.0,388.0,13.9,235.0,91.0,15.0,1416.0,6.0,15.0,8.0,1.0,50.0,6.3,179.0,86.0,11.0,1092.0,6.1,Utah,25.0,29.0,0.0,243.0,8.4,214.0,58.0,10.0,1173.0,5.5,Utah,4.0,1.0,0.0,4.0,4.0,84.0,51.0,2.0,382.0,4.5,3.0,1.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0
Darrynton Evans,Running Back,App State,Sun Belt,70.0,203.0,4.41,20.0,37.0,125.0,,,22.0,4,1,1,1,1,0,0,App State,1.0,0.0,0.0,App State,58.0,21.0,5.0,198.0,9.4,255.0,87.0,18.0,1479.0,5.8,25.0,12.0,1.0,87.0,7.3,179.0,79.0,7.0,1187.0,6.6,,,,,,,,,,,,App State,23.0,6.0,0.0,34.0,5.7,48.0,25.0,0.0,217.0,4.5,,,,,,,1.0,1.0,0.0
Joshua Kelley,Running Back,UCLA,Pac-12,71.0,212.0,4.49,23.0,31.0,121.0,6.95,4.28,22.0,2,0,0,1,1,0,0,UCLA,1.0,0.0,0.0,UCLA,14.0,11.0,1.0,71.0,6.5,229.0,54.0,12.0,1060.0,4.6,22.0,27.0,0.0,193.0,7.1,225.0,61.0,12.0,1243.0,5.5,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,0.0,,,,,,
