name,position,college,conference,height,weight,forty,bench,vertical,broad_jump,cone,shuttle,age,years_since_first_played,played_at_18,played_at_19,played_at_20,played_at_21,played_at_22,played_at_23,Y2_college
Penei Sewell,Offensive Tackle,Oregon,Pac-12,77.0,331.0,5.13,30.0,28.0,109.0,7.76,4.68,20.0,0,0,0,0,0,0,0,
Rashawn Slater,Offensive Tackle,Northwestern,Big Ten,76.0,304.0,4.91,33.0,33.0,112.0,7.48,4.45,22.0,0,0,0,0,0,0,0,
Teven Jenkins,Offensive Tackle,Oklahoma State,Big 12,78.0,317.0,5.01,36.0,32.5,106.0,7.72,4.66,23.0,0,0,0,0,0,0,0,
Jackson Carman,Offensive Tackle,Clemson,ACC,77.0,317.0,,,,,,,21.0,0,0,0,0,0,0,0,
Samuel Cosmi,Offensive Tackle,Texas,Big 12,78.0,314.0,4.87,36.0,30.0,117.0,7.35,4.39,22.0,3,0,1,1,1,0,0,Texas
Jalen Mayfield,Offensive Tackle,Michigan,Big Ten,77.0,326.0,,,,,,,21.0,0,0,0,0,0,0,0,
Brady Christensen,Offensive Tackle,BYU,FBS Independents,77.0,302.0,,30.0,34.0,124.0,,,24.0,0,0,0,0,0,0,0,
Robert Hainsey,Offensive Tackle,Notre Dame,FBS Independents,77.0,306.0,5.2,32.0,27.5,104.0,7.58,4.63,23.0,0,0,0,0,0,0,0,
D'Ante Smith,Offensive Tackle,East Carolina,American Athletic,77.0,305.0,5.29,24.0,29.0,113.0,7.96,4.81,23.0,0,0,0,0,0,0,0,
Tommy Doyle,Offensive Tackle,Miami (OH),Mid-American,80.0,320.0,,,,,,,23.0,0,0,0,0,0,0,0,
William Sherman,Offensive Tackle,Colorado,Pac-12,75.0,304.0,5.19,23.0,26.0,108.0,7.71,4.82,22.0,0,0,0,0,0,0,0,
Stone Forsythe,Offensive Tackle,Florida,SEC,80.0,307.0,5.14,25.0,27.5,103.0,7.47,4.65,23.0,0,0,0,0,0,0,0,
Cole Van Lanen,Offensive Tackle,Wisconsin,Big Ten,76.0,305.0,5.11,22.0,30.0,107.0,7.34,4.64,23.0,3,0,0,1,1,1,0,Wisconsin
Larnel Coleman,Offensive Tackle,Massachusetts,FBS Independents,78.0,315.0,,,,,,,23.0,0,0,0,0,0,0,0,
Will Fries,Offensive Tackle,Penn State,Big Ten,78.0,309.0,5.37,24.0,31.0,115.0,7.77,4.53,23.0,0,0,0,0,0,0,0,
