name,position,college,conference,height,weight,forty,bench,vertical,broad_jump,cone,shuttle,age,years_since_first_played,played_at_18,played_at_19,played_at_20,played_at_21,played_at_22,played_at_23,Y0_college,Y0_defensive_PD,Y0_defensive_QB HUR,Y0_defensive_SACKS,Y0_defensive_SOLO,Y0_defensive_TD,Y0_defensive_TFL,Y0_defensive_TOT,Y0_fumbles_FUM,Y0_fumbles_LOST,Y0_fumbles_REC,Y1_college,Y2_college,Y3_college,Y0_interceptions_AVG,Y0_interceptions_INT,Y0_interceptions_TD,Y0_interceptions_YDS,Y2_interceptions_AVG,Y2_interceptions_INT,Y2_interceptions_TD,Y2_interceptions_YDS,Y1_fumbles_FUM,Y1_fumbles_LOST,Y1_fumbles_REC,Y1_defensive_PD,Y1_defensive_QB HUR,Y1_defensive_SACKS,Y1_defensive_SOLO,Y1_defensive_TD,Y1_defensive_TFL,Y1_defensive_TOT,Y2_defensive_PD,Y2_defensive_QB HUR,Y2_defensive_SACKS,Y2_defensive_SOLO,Y2_defensive_TD,Y2_defensive_TFL,Y2_defensive_TOT,Y2_fumbles_FUM,Y2_fumbles_LOST,Y2_fumbles_REC,Y3_fumbles_FUM,Y3_fumbles_LOST,Y3_fumbles_REC,Y3_defensive_PD,Y3_defensive_QB HUR,Y3_defensive_SACKS,Y3_defensive_SOLO,Y3_defensive_TD,Y3_defensive_TFL,Y3_defensive_TOT
Zaven Collins,Outside Linebacker,Tulsa,American Athletic,77.0,259.0,4.67,19.0,35.0,122.0,,4.36,22.0,3,0,1,1,1,0,0,Tulsa,2.0,2.0,4.0,36.0,2.0,11.5,54.0,0.0,0.0,1.0,Tulsa,Tulsa,,37.5,4.0,2.0,150.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0,1.0,2.0,51.0,0.0,8.0,97.0,3.0,3.0,1.5,42.0,0.0,9.5,85.0,0.0,0.0,1.0,,,,,,,,,,
Odafe Oweh,Outside Linebacker,Penn State,Big Ten,77.0,257.0,,,,,,,22.0,3,0,1,1,1,0,0,Penn State,1.0,1.0,0.0,20.0,0.0,6.5,38.0,,,,Penn State,Penn State,,,,,,,,,,,,,1.0,1.0,5.0,13.0,0.0,5.0,21.0,0.0,1.0,2.0,5.0,0.0,2.0,5.0,,,,,,,,,,,,,
Joe Tryon,Outside Linebacker,Washington,Pac-12,77.0,259.0,4.69,22.0,35.0,116.0,7.18,4.36,22.0,3,0,1,1,1,0,0,,,,,,,,,,,,Washington,Washington,,,,,,,,,,,,,1.0,1.0,8.0,27.0,0.0,12.5,41.0,1.0,0.0,1.0,8.0,0.0,2.0,17.0,,,,,,,,,,,,,
Azeez Ojulari,Outside Linebacker,Georgia,SEC,74.0,249.0,4.63,26.0,30.0,127.0,7.27,4.34,21.0,3,0,1,1,0,0,0,Georgia,2.0,4.0,9.5,22.0,0.0,12.5,31.0,0.0,0.0,1.0,Georgia,Georgia,,,,,,,,,,,,,0.0,0.0,5.5,15.0,0.0,5.0,35.0,0.0,0.0,0.0,3.0,0.0,1.0,4.0,,,,,,,,,,,,,
Malcolm Koonce,Outside Linebacker,Buffalo,Mid-American,74.0,249.0,,,,,,,23.0,4,0,1,1,1,1,0,Buffalo,2.0,4.0,5.0,16.0,0.0,6.5,30.0,,,,Buffalo,Buffalo,Buffalo,,,,,,,,,,,,0.0,4.0,9.0,20.0,0.0,11.0,33.0,1.0,3.0,3.0,16.0,0.0,4.0,30.0,,,,,,,0.0,3.0,1.0,9.0,0.0,1.0,16.0
Baron Browning,Outside Linebacker,Ohio State,Big Ten,75.0,245.0,4.58,23.0,40.0,130.0,6.78,4.23,22.0,4,1,1,1,1,0,0,Ohio State,2.0,0.0,1.0,20.0,0.0,3.0,29.0,0.0,0.0,2.0,Ohio State,Ohio State,Ohio State,,,,,,,,,,,,1.0,2.0,5.0,26.0,0.0,11.0,43.0,0.0,0.0,1.0,11.0,0.0,3.5,22.0,,,,,,,0.0,0.0,0.0,7.0,0.0,1.5,14.0
Chris Rumph II,Outside Linebacker,Duke,ACC,75.0,244.0,,,,,,,22.0,3,0,1,1,1,0,0,Duke,1.0,3.0,8.0,26.0,0.0,11.5,51.0,0.0,0.0,1.0,Duke,Duke,,,,,,,,,,,,,3.0,11.0,6.5,19.0,0.0,13.5,47.0,1.0,2.0,3.0,12.0,0.0,8.0,25.0,0.0,0.0,1.0,,,,,,,,,,
Quincy Roche,Outside Linebacker,Miami,ACC,75.0,245.0,,23.0,32.5,119.0,,,23.0,4,0,1,1,1,1,0,Miami,1.0,5.0,4.5,27.0,0.0,14.5,45.0,0.0,0.0,2.0,Temple,Temple,Temple,,,,,,,,,0.0,0.0,2.0,6.0,4.0,13.0,36.0,0.0,19.0,49.0,1.0,3.0,6.0,40.0,0.0,9.0,57.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,7.0,26.0,0.0,11.5,31.0
Patrick Johnson,Outside Linebacker,Tulane,American Athletic,74.0,240.0,4.59,16.0,35.0,119.0,6.97,4.41,23.0,4,0,1,1,1,1,0,Tulane,2.0,3.0,9.0,26.0,0.0,13.5,39.0,,,,Tulane,Tulane,Tulane,,,,,,,,,,,,4.0,1.0,4.0,24.0,0.0,8.5,35.0,5.0,2.0,10.5,34.0,0.0,15.5,50.0,0.0,0.0,1.0,,,,0.0,0.0,0.0,7.0,0.0,1.0,12.0
William Bradley-King,Outside Linebacker,Baylor,Big 12,76.0,252.0,4.74,,34.5,119.0,7.14,4.26,23.0,4,0,1,1,1,1,0,Baylor,4.0,4.0,3.5,20.0,0.0,5.5,31.0,0.0,0.0,1.0,Arkansas State,Arkansas State,Arkansas State,,,,,,,,,0.0,0.0,2.0,0.0,6.0,8.5,31.0,0.0,13.5,49.0,1.0,1.0,6.0,12.0,0.0,9.5,33.0,0.0,0.0,1.0,,,,1.0,0.0,1.0,1.0,0.0,1.0,6.0
