name,position,college,conference,height,weight,forty,bench,vertical,broad_jump,cone,shuttle,age,years_since_first_played,played_at_18,played_at_19,played_at_20,played_at_21,played_at_22,played_at_23,Y0_defensive_PD,Y0_defensive_QB HUR,Y0_defensive_SACKS,Y0_defensive_SOLO,Y0_defensive_TD,Y0_defensive_TFL,Y0_defensive_TOT,Y1_interceptions_AVG,Y1_interceptions_INT,Y1_interceptions_TD,Y1_interceptions_YDS,Y1_puntReturns_AVG,Y1_puntReturns_LONG,Y1_puntReturns_NO,Y1_puntReturns_TD,Y1_puntReturns_YDS,Y2_kickReturns_AVG,Y2_kickReturns_LONG,Y2_kickReturns_NO,Y2_kickReturns_TD,Y2_kickReturns_YDS,Y0_kickReturns_AVG,Y0_kickReturns_LONG,Y0_kickReturns_NO,Y0_kickReturns_TD,Y0_kickReturns_YDS,Y0_interceptions_AVG,Y0_interceptions_INT,Y0_interceptions_TD,Y0_interceptions_YDS,Y0_puntReturns_AVG,Y0_puntReturns_LONG,Y0_puntReturns_NO,Y0_puntReturns_TD,Y0_puntReturns_YDS,Y1_kickReturns_AVG,Y1_kickReturns_LONG,Y1_kickReturns_NO,Y1_kickReturns_TD,Y1_kickReturns_YDS,Y2_puntReturns_AVG,Y2_puntReturns_LONG,Y2_puntReturns_NO,Y2_puntReturns_TD,Y2_puntReturns_YDS,Y2_interceptions_AVG,Y2_interceptions_INT,Y2_interceptions_TD,Y2_interceptions_YDS,Y3_kickReturns_AVG,Y3_kickReturns_LONG,Y3_kickReturns_NO,Y3_kickReturns_TD,Y3_kickReturns_YDS,Y3_puntReturns_AVG,Y3_puntReturns_LONG,Y3_puntReturns_NO,Y3_puntReturns_TD,Y3_puntReturns_YDS,Y3_interceptions_AVG,Y3_interceptions_INT,Y3_interceptions_TD,Y3_interceptions_YDS,Y1_defensive_PD,Y1_defensive_QB HUR,Y1_defensive_SACKS,Y1_defensive_SOLO,Y1_defensive_TD,Y1_defensive_TFL,Y1_defensive_TOT,Y2_defensive_PD,Y2_defensive_QB HUR,Y2_defensive_SACKS,Y2_defensive_SOLO,Y2_defensive_TD,Y2_defensive_TFL,Y2_defensive_TOT,Y3_defensive_PD,Y3_defensive_QB HUR,Y3_defensive_SACKS,Y3_defensive_SOLO,Y3_defensive_TD,Y3_defensive_TFL,Y3_defensive_TOT
Derek Stingley Jr.,Cornerback,LSU,SEC,72.0,190.0,,,,,,,21.0,3,1,1,1,0,0,0,0.0,0.0,0.0,6.0,0.0,3.5,8.0,,,,,16.2,48.0,6.0,0.0,97.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,9.1,32.0,18.0,0.0,164.0,2.8,6.0,0.0,17.0,,,,,,,,,,,,,,,5.0,0.0,0.0,19.0,0.0,2.5,27.0,14.0,0.0,0.0,29.0,0.0,0.0,35.0,,,,,,,
Ahmad Gardner,Cornerback,Cincinnati,American Athletic,75.0,190.0,4.41,,,,,,22.0,3,0,1,1,1,0,0,4.0,1.0,3.0,28.0,1.0,5.0,40.0,6.0,3.0,0.0,18.0,,,,,,,,,,,,,,,,2.3,3.0,0.0,7.0,,,,,,,,,,,,,,,,26.0,3.0,2.0,78.0,,,,,,,,,,,,,,,6.0,0.0,0.5,16.0,0.0,0.5,28.0,8.0,0.0,0.0,24.0,2.0,0.0,31.0,,,,,,,
Trent McDuffie,Cornerback,Washington,Pac-12,71.0,193.0,4.44,,,,,,21.0,3,1,1,1,0,0,0,6.0,0.0,1.0,25.0,0.0,4.0,35.0,0.0,1.0,0.0,0.0,18.7,45.0,3.0,0.0,56.0,,,,,,,,,,,,,,,3.0,9.0,6.0,0.0,18.0,,,,,,,,,,,29.0,1.0,0.0,29.0,,,,,,,,,,,,,,,0.0,0.0,0.0,9.0,0.0,1.5,14.0,2.0,0.0,0.0,37.0,0.0,0.0,45.0,,,,,,,
Kaiir Elam,Cornerback,Florida,SEC,74.0,191.0,4.39,,,,,,21.0,3,1,1,1,0,0,0,5.0,0.0,0.0,17.0,0.0,1.5,29.0,0.0,2.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,3.0,0.0,0.0,,,,,,,,,,,,,,,11.0,0.0,0.0,28.0,0.0,1.0,39.0,4.0,0.0,0.0,8.0,0.0,0.0,10.0,,,,,,,
Roger McCreary,Cornerback,Auburn,SEC,71.0,190.0,4.5,,,,,,22.0,4,1,1,1,1,0,0,14.0,0.0,1.0,41.0,1.0,2.0,49.0,21.0,3.0,0.0,63.0,,,,,,,,,,,,,,,,17.5,2.0,1.0,35.0,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,6.0,1.0,0.0,38.0,0.0,7.0,45.0,11.0,0.0,0.0,30.0,0.0,1.0,36.0,1.0,0.0,0.0,2.0,0.0,0.0,5.0
Kyler Gordon,Cornerback,Washington,Pac-12,72.0,194.0,4.52,,,,,,22.0,4,0,1,1,1,0,0,7.0,0.0,0.0,36.0,0.0,2.0,45.0,,,,,,,,,,2.0,2.0,1.0,0.0,2.0,,,,,,0.0,2.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,12.0,0.0,1.0,18.0,4.0,0.0,0.0,26.0,0.0,1.0,32.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0
Andrew Booth Jr.,Cornerback,Clemson,ACC,72.0,194.0,,,,,,,21.0,3,0,1,1,0,0,0,5.0,0.0,0.0,26.0,0.0,3.0,37.0,0.0,2.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,3.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0,1.0,22.0,1.0,3.0,27.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,,,,,,,
Alontae Taylor,Cornerback,Tennessee,SEC,72.0,199.0,4.36,,34.5,128.0,,,23.0,4,0,1,1,1,1,0,6.0,0.0,0.0,41.0,1.0,1.0,60.0,45.0,1.0,0.0,45.0,,,,,,,,,,,,,,,,42.5,2.0,1.0,85.0,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,4.0,0.0,0.0,22.0,0.0,2.0,29.0,3.0,1.0,0.5,24.0,0.0,1.0,33.0,2.0,0.0,0.0,28.0,1.0,1.0,40.0
Martin Emerson,Cornerback,Mississippi State,SEC,74.0,201.0,4.53,,,,,,21.0,3,1,1,1,0,0,0,3.0,0.0,0.0,31.0,0.0,3.0,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.0,1.0,0.0,45.0,,,,,,,,,,,,,,,11.0,1.0,0.0,44.0,0.0,1.5,72.0,1.0,0.0,0.0,16.0,0.0,1.5,29.0,,,,,,,
Cordale Flott,Cornerback,LSU,SEC,73.0,175.0,,,,,,,21.0,3,1,1,1,0,0,0,3.0,0.0,0.0,28.0,0.0,1.0,40.0,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0,0.0,31.0,0.0,4.5,43.0,4.0,1.0,0.0,9.0,0.0,0.0,15.0,,,,,,,
