name,position,college,conference,height,weight,forty,bench,vertical,broad_jump,cone,shuttle,age,years_since_first_played,played_at_18,played_at_19,played_at_20,played_at_21,played_at_22,played_at_23,Y0_college,Y0_defensive_PD,Y0_defensive_QB HUR,Y0_defensive_SACKS,Y0_defensive_SOLO,Y0_defensive_TD,Y0_defensive_TFL,Y0_defensive_TOT,Y0_fumbles_FUM,Y0_fumbles_LOST,Y0_fumbles_REC,Y1_college,Y1_interceptions_AVG,Y1_interceptions_INT,Y1_interceptions_TD,Y1_interceptions_YDS,Y2_college,Y3_college,Y0_interceptions_AVG,Y0_interceptions_INT,Y0_interceptions_TD,Y0_interceptions_YDS,Y2_interceptions_AVG,Y2_interceptions_INT,Y2_interceptions_TD,Y2_interceptions_YDS,Y3_interceptions_AVG,Y3_interceptions_INT,Y3_interceptions_TD,Y3_interceptions_YDS,Y1_fumbles_FUM,Y1_fumbles_LOST,Y1_fumbles_REC,Y1_defensive_PD,Y1_defensive_QB HUR,Y1_defensive_SACKS,Y1_defensive_SOLO,Y1_defensive_TD,Y1_defensive_TFL,Y1_defensive_TOT,Y2_defensive_PD,Y2_defensive_QB HUR,Y2_defensive_SACKS,Y2_defensive_SOLO,Y2_defensive_TD,Y2_defensive_TFL,Y2_defensive_TOT,Y2_fumbles_FUM,Y2_fumbles_LOST,Y2_fumbles_REC,Y3_fumbles_FUM,Y3_fumbles_LOST,Y3_fumbles_REC,Y3_defensive_PD,Y3_defensive_QB HUR,Y3_defensive_SACKS,Y3_defensive_SOLO,Y3_defensive_TD,Y3_defensive_TFL,Y3_defensive_TOT
Quay Walker,Inside Linebacker,Georgia,SEC,76.0,241.0,4.52,,32.0,122.0,,,22.0,4,0,1,1,1,0,0,Georgia,2.0,3.0,1.5,39.0,0.0,5.5,63.0,0.0,0.0,1.0,Georgia,,,,,Georgia,Georgia,,,,,,,,,,,,,,,,0.0,0.0,1.0,26.0,0.0,2.0,43.0,0.0,1.0,2.5,12.0,0.0,3.5,23.0,,,,,,,0.0,0.0,0.0,4.0,0.0,0.0,6.0
Devin Lloyd,Inside Linebacker,Utah,Pac-12,75.0,237.0,4.66,25.0,35.0,126.0,,,23.0,4,0,0,1,1,1,0,Utah,6.0,2.0,8.0,66.0,2.0,22.0,111.0,0.0,0.0,2.0,Utah,,,,,Utah,Utah,9.0,4.0,2.0,36.0,64.0,1.0,1.0,64.0,,,,,,,,0.0,1.0,2.0,26.0,0.0,8.0,37.0,2.0,0.0,6.5,48.0,1.0,11.0,91.0,,,,,,,0.0,0.0,0.0,3.0,0.0,0.0,6.0
Brian Asamoah,Inside Linebacker,Oklahoma,Big 12,72.0,226.0,4.56,,36.5,124.0,,,22.0,3,0,1,1,1,0,0,Oklahoma,0.0,1.0,1.0,55.0,0.0,3.5,80.0,,,,Oklahoma,29.0,1.0,0.0,29.0,Oklahoma,,,,,,,,,,,,,,,,,4.0,5.0,2.0,39.0,0.0,5.5,66.0,1.0,1.0,2.0,11.0,0.0,3.5,23.0,,,,,,,,,,,,,
Chad Muma,Inside Linebacker,Wyoming,Mountain West,75.0,239.0,4.63,27.0,40.0,129.0,7.06,4.28,23.0,4,0,0,1,1,1,0,Wyoming,1.0,2.0,1.5,85.0,2.0,8.0,142.0,0.0,0.0,1.0,Wyoming,,,,,Wyoming,Wyoming,22.7,3.0,2.0,68.0,,,,,,,,,0.0,0.0,1.0,1.0,0.0,3.0,33.0,0.0,8.0,71.0,1.0,1.0,1.0,28.0,0.0,3.0,51.0,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,2.0
Christian Harris,Inside Linebacker,Alabama,SEC,73.0,226.0,4.44,,34.5,132.0,,,21.0,3,1,1,1,0,0,0,Alabama,3.0,4.0,5.5,45.0,0.0,13.0,79.0,,,,Alabama,0.0,1.0,0.0,0.0,Alabama,,,,,,,,,,,,,,,,,2.0,6.0,4.5,48.0,0.0,7.0,73.0,1.0,5.0,0.0,29.0,0.0,7.5,63.0,0.0,0.0,2.0,,,,,,,,,,
Nakobe Dean,Inside Linebacker,Georgia,SEC,71.0,229.0,,,,,,,21.0,3,1,1,1,0,0,0,Georgia,6.0,5.0,6.0,36.0,1.0,10.5,72.0,,,,Georgia,,,,,Georgia,,25.0,2.0,1.0,50.0,,,,,,,,,,,,0.0,2.0,1.5,39.0,0.0,1.5,71.0,2.0,0.0,0.0,14.0,0.0,1.5,25.0,,,,,,,,,,,,,
Terrel Bernard,Inside Linebacker,Baylor,Big 12,73.0,224.0,,22.0,35.5,123.0,7.03,4.25,23.0,4,0,1,1,1,1,0,Baylor,4.0,5.0,7.5,61.0,0.0,12.5,103.0,,,,Baylor,0.0,1.0,0.0,0.0,Baylor,Baylor,,,,,20.0,1.0,0.0,20.0,28.0,1.0,0.0,28.0,,,,2.0,1.0,3.5,34.0,0.0,6.5,55.0,2.0,5.0,4.5,53.0,1.0,9.5,112.0,0.0,0.0,2.0,,,,0.0,0.0,1.0,25.0,0.0,3.0,47.0
Channing Tindall,Inside Linebacker,Georgia,SEC,74.0,230.0,4.47,,42.0,129.0,,,22.0,4,1,1,1,1,0,0,Georgia,0.0,2.0,5.5,35.0,0.0,7.5,67.0,,,,Georgia,,,,,Georgia,Georgia,,,,,,,,,,,,,,,,0.0,0.0,3.0,10.0,0.0,3.0,13.0,0.0,0.0,1.5,4.0,0.0,1.5,9.0,,,,,,,0.0,0.0,2.0,3.0,0.0,3.0,17.0
Leo Chenal,Inside Linebacker,Wisconsin,Big Ten,75.0,250.0,4.53,,40.5,128.0,,,21.0,3,1,1,1,0,0,0,Wisconsin,0.0,4.0,8.0,55.0,0.0,18.0,96.0,,,,Wisconsin,31.0,1.0,0.0,31.0,Wisconsin,,,,,,,,,,,,,,,,,1.0,2.0,3.0,28.0,0.0,6.0,40.0,0.0,2.0,1.0,16.0,0.0,2.0,20.0,0.0,0.0,1.0,,,,,,,,,,
Brandon Smith,Inside Linebacker,Penn State,Big Ten,76.0,250.0,4.52,,37.5,128.0,,,21.0,3,1,1,1,0,0,0,Penn State,5.0,3.0,2.0,45.0,0.0,9.0,81.0,,,,Penn State,0.0,1.0,0.0,0.0,Penn State,,,,,,,,,,,,,,0.0,0.0,1.0,1.0,1.0,2.0,15.0,0.0,8.0,37.0,0.0,1.0,0.0,8.0,0.0,2.0,13.0,,,,,,,,,,,,,
