name,position,college,conference,height,weight,forty,bench,vertical,broad_jump,cone,shuttle,age,years_since_first_played,played_at_18,played_at_19,played_at_20,played_at_21,played_at_22,played_at_23,Y0_defensive_PD,Y0_defensive_QB HUR,Y0_defensive_SACKS,Y0_defensive_SOLO,Y0_defensive_TD,Y0_defensive_TFL,Y0_defensive_TOT,Y0_fumbles_FUM,Y0_fumbles_LOST,Y0_fumbles_REC,Y1_interceptions_AVG,Y1_interceptions_INT,Y1_interceptions_TD,Y1_interceptions_YDS,Y0_interceptions_AVG,Y0_interceptions_INT,Y0_interceptions_TD,Y0_interceptions_YDS,Y2_interceptions_AVG,Y2_interceptions_INT,Y2_interceptions_TD,Y2_interceptions_YDS,Y3_interceptions_AVG,Y3_interceptions_INT,Y3_interceptions_TD,Y3_interceptions_YDS,Y1_fumbles_FUM,Y1_fumbles_LOST,Y1_fumbles_REC,Y1_defensive_PD,Y1_defensive_QB HUR,Y1_defensive_SACKS,Y1_defensive_SOLO,Y1_defensive_TD,Y1_defensive_TFL,Y1_defensive_TOT,Y2_defensive_PD,Y2_defensive_QB HUR,Y2_defensive_SACKS,Y2_defensive_SOLO,Y2_defensive_TD,Y2_defensive_TFL,Y2_defensive_TOT,Y2_fumbles_FUM,Y2_fumbles_LOST,Y2_fumbles_REC,Y3_defensive_PD,Y3_defensive_QB HUR,Y3_defensive_SACKS,Y3_defensive_SOLO,Y3_defensive_TD,Y3_defensive_TFL,Y3_defensive_TOT
Boye Mafe,Outside Linebacker,Minnesota,Big Ten,76.0,261.0,4.53,,38.0,125.0,,,23.0,4,0,1,1,1,1,0,0.0,3.0,7.0,26.0,0.0,10.0,34.0,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,4.5,18.0,0.0,5.5,27.0,0.0,1.0,3.0,8.0,0.0,3.5,14.0,,,,1.0,1.0,0.5,7.0,0.0,0.5,12.0
David Ojabo,Outside Linebacker,Michigan,Big Ten,76.0,250.0,4.55,,35.0,122.0,,4.45,22.0,2,0,0,0,1,0,0,3.0,7.0,11.0,24.0,0.0,12.0,35.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,
Sam Williams,Outside Linebacker,Ole Miss,SEC,76.0,261.0,4.46,,32.5,123.0,,,23.0,3,0,0,1,1,1,0,1.0,8.0,12.5,31.0,0.0,16.0,57.0,0.0,0.0,1.0,,,,,,,,,4.0,1.0,0.0,4.0,,,,,,,,0.0,3.0,4.0,24.0,0.0,8.0,39.0,0.0,5.0,6.0,21.0,0.0,9.5,38.0,,,,,,,,,,
Drake Jackson,Outside Linebacker,USC,Pac-12,75.0,254.0,,,36.5,127.0,,,21.0,3,1,1,1,0,0,0,1.0,1.0,5.0,23.0,0.0,8.0,37.0,0.0,0.0,1.0,10.0,1.0,0.0,10.0,9.0,1.0,0.0,9.0,,,,,,,,,,,,0.0,0.0,2.0,8.0,0.0,5.5,20.0,3.0,0.0,5.5,26.0,0.0,11.5,46.0,,,,,,,,,,
Nik Bonitto,Outside Linebacker,Oklahoma,Big 12,75.0,248.0,4.54,,35.5,120.0,7.07,4.23,22.0,4,0,1,1,1,0,0,1.0,9.0,7.0,23.0,0.0,15.0,39.0,0.0,0.0,3.0,,,,,,,,,0.0,1.0,0.0,0.0,,,,,,,,2.0,11.0,9.0,19.0,0.0,11.5,33.0,4.0,5.0,3.5,25.0,0.0,6.5,43.0,,,,0.0,0.0,0.0,2.0,0.0,0.0,3.0
DeAngelo Malone,Outside Linebacker,Western Kentucky,Conference USA,75.0,243.0,,23.0,,,,,23.0,4,0,1,1,1,1,0,4.0,7.0,9.0,44.0,0.0,17.5,94.0,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,,,,1.0,9.0,6.0,45.0,0.0,11.0,71.0,0.0,16.0,11.0,55.0,1.0,20.5,99.0,0.0,0.0,1.0,1.0,8.0,5.0,30.0,0.0,8.0,59.0
Dominique Robinson,Outside Linebacker,Miami (OH),Mid-American,77.0,253.0,4.72,25.0,41.0,121.0,,,24.0,2,0,0,0,0,1,1,0.0,4.0,4.5,13.0,0.0,8.5,28.0,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,2.0,5.0,0.0,2.5,9.0,,,,,,,,,,,,,,,,,
Kingsley Enagbare,Outside Linebacker,South Carolina,SEC,76.0,258.0,4.87,,36.5,117.0,,,22.0,4,1,1,1,1,0,0,2.0,11.0,4.5,29.0,0.0,7.0,44.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,0.0,2.0,6.0,16.0,0.0,7.0,30.0,0.0,3.0,3.5,16.0,0.0,7.0,27.0,,,,2.0,3.0,1.0,12.0,0.0,3.0,20.0
Amare Barno,Outside Linebacker,Virginia Tech,ACC,77.0,246.0,,,,,,,23.0,2,0,0,0,1,1,0,1.0,10.0,3.5,20.0,0.0,5.5,35.0,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,2.0,3.0,6.5,28.0,0.0,16.0,43.0,,,,,,,,,,,,,,,,,
James Houston,Outside Linebacker,Jackson State,SWAC,72.0,244.0,,,,,,,23.0,4,0,1,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,20.0,0.0,3.5,37.0,0.0,2.0,3.5,21.0,0.0,6.0,38.0,,,,0.0,0.0,0.0,10.0,0.0,2.0,26.0
