name,position,college,conference,height,weight,forty,bench,vertical,broad_jump,cone,shuttle,age,years_since_first_played,played_at_18,played_at_19,played_at_20,played_at_21,played_at_22,played_at_23,Y0_college,Y0_defensive_PD,Y0_defensive_QB HUR,Y0_defensive_SACKS,Y0_defensive_SOLO,Y0_defensive_TD,Y0_defensive_TFL,Y0_defensive_TOT,Y0_fumbles_FUM,Y0_fumbles_LOST,Y0_fumbles_REC,Y1_college,Y1_interceptions_AVG,Y1_interceptions_INT,Y1_interceptions_TD,Y1_interceptions_YDS,Y2_college,Y3_college,Y0_interceptions_AVG,Y0_interceptions_INT,Y0_interceptions_TD,Y0_interceptions_YDS,Y2_interceptions_AVG,Y2_interceptions_INT,Y2_interceptions_TD,Y2_interceptions_YDS,Y3_interceptions_AVG,Y3_interceptions_INT,Y3_interceptions_TD,Y3_interceptions_YDS,Y1_fumbles_FUM,Y1_fumbles_LOST,Y1_fumbles_REC,Y1_defensive_PD,Y1_defensive_QB HUR,Y1_defensive_SACKS,Y1_defensive_SOLO,Y1_defensive_TD,Y1_defensive_TFL,Y1_defensive_TOT,Y2_defensive_PD,Y2_defensive_QB HUR,Y2_defensive_SACKS,Y2_defensive_SOLO,Y2_defensive_TD,Y2_defensive_TFL,Y2_defensive_TOT,Y2_fumbles_FUM,Y2_fumbles_LOST,Y2_fumbles_REC,Y3_fumbles_FUM,Y3_fumbles_LOST,Y3_fumbles_REC,Y3_defensive_PD,Y3_defensive_QB HUR,Y3_defensive_SACKS,Y3_defensive_SOLO,Y3_defensive_TD,Y3_defensive_TFL,Y3_defensive_TOT
Kyle Hamilton,Safety,Notre Dame,FBS Independents,76.0,220.0,4.59,,38.0,131.0,6.9,4.32,21.0,3,1,1,1,0,0,0,Notre Dame,4.0,0.0,0.0,19.0,0.0,2.0,34.0,,,,Notre Dame,14.0,1.0,0.0,14.0,Notre Dame,,0.0,3.0,0.0,0.0,16.5,4.0,1.0,66.0,,,,,,,,7.0,2.0,0.0,51.0,0.0,4.5,63.0,6.0,0.0,0.0,27.0,1.0,1.0,41.0,,,,,,,,,,,,,
Daxton Hill,Safety,Michigan,Big Ten,72.0,191.0,4.38,,33.5,121.0,6.57,4.06,21.0,3,1,1,1,0,0,0,Michigan,8.0,4.0,0.5,42.0,0.0,4.5,69.0,0.0,0.0,1.0,Michigan,,,,,Michigan,,1.5,2.0,0.0,3.0,0.0,1.0,0.0,0.0,,,,,,,,4.0,0.0,0.0,24.0,0.0,0.0,38.0,3.0,0.0,0.0,25.0,0.0,3.0,36.0,0.0,0.0,2.0,,,,,,,,,,
Lewis Cine,Safety,Georgia,SEC,74.0,199.0,4.37,,36.5,133.0,,,22.0,3,0,1,1,1,0,0,Georgia,9.0,1.0,0.0,43.0,0.0,2.0,73.0,,,,Georgia,,,,,Georgia,,8.0,1.0,0.0,8.0,15.0,1.0,0.0,15.0,,,,,,,,3.0,0.0,0.0,38.0,0.0,1.0,52.0,2.0,0.0,0.0,14.0,0.0,0.5,19.0,,,,,,,,,,,,,
Jalen Pitre,Safety,Baylor,Big 12,71.0,198.0,,16.0,35.0,,6.74,4.18,23.0,4,0,1,1,1,1,0,Baylor,7.0,3.0,3.5,56.0,0.0,18.5,75.0,0.0,0.0,2.0,Baylor,28.0,2.0,2.0,56.0,Baylor,Baylor,10.0,2.0,0.0,20.0,,,,,,,,,,,,2.0,1.0,2.5,41.0,2.0,13.0,60.0,0.0,0.0,1.0,9.0,0.0,1.5,12.0,,,,,,,0.0,0.0,0.0,5.0,0.0,2.0,10.0
Jaquan Brisker,Safety,Penn State,Big Ten,73.0,199.0,4.49,22.0,34.5,124.0,,,23.0,3,0,0,1,1,1,0,Penn State,5.0,1.0,0.0,38.0,0.0,6.0,63.0,0.0,0.0,1.0,Penn State,18.0,1.0,0.0,18.0,Penn State,,19.5,2.0,0.0,39.0,16.5,2.0,0.0,33.0,,,,,1.0,1.0,0.0,4.0,2.0,0.0,33.0,0.0,3.0,57.0,4.0,1.0,0.0,14.0,0.0,1.0,31.0,,,,,,,,,,,,,
Cam Taylor-Britt,Safety,Nebraska,Big Ten,71.0,196.0,4.38,,,,,,22.0,4,1,1,1,1,0,0,Nebraska,11.0,0.0,1.0,35.0,0.0,3.0,51.0,1.0,1.0,0.0,Nebraska,27.5,2.0,0.0,55.0,Nebraska,Nebraska,0.0,1.0,0.0,0.0,31.7,3.0,1.0,95.0,,,,,1.0,1.0,0.0,4.0,0.0,0.0,23.0,0.0,3.0,28.0,3.0,0.0,1.5,29.0,1.0,4.0,49.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,9.0,0.0,0.0,12.0
Bryan Cook,Safety,Cincinnati,American Athletic,73.0,206.0,,,,,,,23.0,3,0,0,0,1,1,0,Cincinnati,9.0,0.0,1.0,57.0,0.0,5.0,96.0,,,,Cincinnati,,,,,Cincinnati,,0.0,2.0,0.0,0.0,,,,,,,,,,,,2.0,0.0,0.0,19.0,0.0,1.0,26.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,,,,,,,,,,,,,
JT Woods,Safety,Baylor,Big 12,74.0,195.0,4.36,,39.5,128.0,,,22.0,4,1,1,1,1,0,0,Baylor,2.0,0.0,0.0,44.0,1.0,4.5,57.0,0.0,0.0,1.0,Baylor,30.7,3.0,0.0,92.0,Baylor,Baylor,18.2,6.0,1.0,109.0,,,,,,,,,,,,1.0,0.0,0.0,29.0,0.0,0.5,46.0,0.0,1.0,0.0,27.0,0.0,1.0,36.0,0.0,0.0,3.0,,,,2.0,0.0,1.0,12.0,0.0,1.0,17.0
Nick Cross,Safety,Maryland,Big Ten,72.0,212.0,4.34,,37.0,130.0,,,20.0,3,1,1,0,0,0,0,Maryland,5.0,0.0,3.0,44.0,0.0,3.5,66.0,,,,Maryland,,,,,Maryland,,18.3,3.0,0.0,55.0,0.0,2.0,0.0,0.0,,,,,,,,3.0,1.0,1.0,14.0,0.0,1.0,23.0,5.0,0.0,0.0,30.0,0.0,1.0,45.0,,,,,,,,,,,,,
Kerby Joseph,Safety,Illinois,Big Ten,73.0,203.0,,18.0,38.5,123.0,,,21.0,4,1,1,1,0,0,0,Illinois,2.0,0.0,1.0,41.0,0.0,1.0,57.0,0.0,0.0,3.0,Illinois,,,,,Illinois,Illinois,2.4,5.0,0.0,12.0,,,,,,,,,,,,0.0,0.0,0.0,12.0,0.0,0.0,19.0,3.0,0.0,0.0,13.0,0.0,1.0,30.0,,,,1.0,1.0,0.0,1.0,0.0,0.0,9.0,0.0,0.0,10.0
