name,position,college,conference,height,weight,forty,bench,vertical,broad_jump,cone,shuttle,age,years_since_first_played,played_at_18,played_at_19,played_at_20,played_at_21,played_at_22,played_at_23,Y0_fumbles_FUM,Y0_fumbles_LOST,Y0_fumbles_REC,Y0_receiving_LONG,Y0_receiving_REC,Y0_receiving_TD,Y0_receiving_YDS,Y0_receiving_YPR,Y0_rushing_CAR,Y0_rushing_LONG,Y0_rushing_TD,Y0_rushing_YDS,Y0_rushing_YPC,Y1_receiving_LONG,Y1_receiving_REC,Y1_receiving_TD,Y1_receiving_YDS,Y1_receiving_YPR,Y1_rushing_CAR,Y1_rushing_LONG,Y1_rushing_TD,Y1_rushing_YDS,Y1_rushing_YPC,Y2_receiving_LONG,Y2_receiving_REC,Y2_receiving_TD,Y2_receiving_YDS,Y2_receiving_YPR,Y2_rushing_CAR,Y2_rushing_LONG,Y2_rushing_TD,Y2_rushing_YDS,Y2_rushing_YPC,Y3_receiving_LONG,Y3_receiving_REC,Y3_receiving_TD,Y3_receiving_YDS,Y3_receiving_YPR,Y3_rushing_CAR,Y3_rushing_LONG,Y3_rushing_TD,Y3_rushing_YDS,Y3_rushing_YPC,Y1_fumbles_FUM,Y1_fumbles_LOST,Y1_fumbles_REC,Y2_fumbles_FUM,Y2_fumbles_LOST,Y2_fumbles_REC,Y3_fumbles_FUM,Y3_fumbles_LOST,Y3_fumbles_REC
Trey McBride,Tight End,Colorado State,Mountain West,76.0,246.0,,18.0,33.0,117.0,,,22.0,4,1,1,1,1,0,0,1.0,1.0,0.0,50.0,90.0,1.0,1121.0,12.5,1.0,69.0,1.0,69.0,69.0,38.0,21.0,4.0,318.0,15.1,,,,,,69.0,45.0,4.0,560.0,12.4,,,,,,48.0,8.0,1.0,99.0,12.4,2.0,2.0,0.0,3.0,1.5,,,,,,,,,
Jelani Woods,Tight End,Virginia,ACC,79.0,253.0,4.61,24.0,,,,,23.0,4,0,1,1,1,1,0,1.0,0.0,0.0,40.0,44.0,8.0,598.0,13.6,1.0,1.0,0.0,1.0,1.0,46.0,8.0,1.0,129.0,16.1,1.0,5.0,0.0,5.0,5.0,30.0,16.0,1.0,112.0,7.0,,,,,,32.0,8.0,2.0,135.0,16.9,,,,,,,,,,,,,,
Greg Dulcich,Tight End,UCLA,Pac-12,76.0,243.0,4.69,16.0,34.0,122.0,7.05,4.37,22.0,4,1,1,1,1,0,0,,,,75.0,42.0,5.0,725.0,17.3,,,,,,69.0,26.0,5.0,517.0,19.9,,,,,,31.0,8.0,1.0,105.0,13.1,,,,,,6.0,1.0,0.0,6.0,6.0,,,,,,,,,,,,,,
Jeremy Ruckert,Tight End,Ohio State,Big Ten,78.0,252.0,,19.0,,,,,22.0,4,1,1,1,1,0,0,1.0,1.0,0.0,30.0,26.0,3.0,309.0,11.9,,,,,,36.0,13.0,5.0,151.0,11.6,,,,,,25.0,14.0,4.0,142.0,10.1,,,,,,13.0,1.0,0.0,13.0,13.0,,,,,,,,,,,,,,
Cade Otton,Tight End,Washington,Pac-12,77.0,247.0,,,,,,,23.0,4,0,1,1,1,1,0,1.0,0.0,0.0,25.0,28.0,1.0,250.0,8.9,,,,,,42.0,18.0,3.0,258.0,14.3,,,,,,36.0,32.0,2.0,344.0,10.8,,,,,,24.0,13.0,3.0,174.0,13.4,,,,,,,,,1.0,0.0,0.0,,,
Daniel Bellinger,Tight End,San Diego State,Mountain West,77.0,253.0,4.63,22.0,34.5,125.0,7.05,4.47,21.0,4,1,1,1,0,0,0,,,,73.0,31.0,2.0,357.0,11.5,1.0,2.0,0.0,2.0,2.0,21.0,21.0,0.0,203.0,9.7,,,,,,28.0,15.0,3.0,201.0,13.4,1.0,0.0,0.0,-6.0,-6.0,10.0,1.0,0.0,10.0,10.0,,,,,,,,,,,,,,
Charlie Kolar,Tight End,Iowa State,Big 12,79.0,252.0,,,,,,,23.0,4,0,1,1,1,1,0,2.0,0.0,0.0,34.0,62.0,6.0,756.0,12.2,,,,,,44.0,44.0,7.0,591.0,13.4,,,,,,49.0,51.0,7.0,697.0,13.7,,,,,,29.0,11.0,3.0,137.0,12.5,,,,,,,,,,,,,,
Jake Ferguson,Tight End,Wisconsin,Big Ten,77.0,250.0,4.81,15.0,31.5,118.0,7.03,4.48,23.0,4,0,1,1,1,1,0,,,,35.0,46.0,3.0,450.0,9.8,,,,,,34.0,30.0,4.0,305.0,10.2,,,,,,28.0,33.0,2.0,407.0,12.3,,,,,,36.0,35.0,4.0,452.0,12.9,,,,,,1.0,1.0,0.0,1.0,1.0,0.0,,,
Isaiah Likely,Tight End,Coastal Carolina,Sun Belt,77.0,245.0,,,36.0,,,4.57,22.0,4,1,1,1,1,0,0,1.0,0.0,0.0,99.0,59.0,12.0,912.0,15.5,3.0,12.0,0.0,10.0,3.3,75.0,30.0,5.0,601.0,20.0,,,,,,51.0,32.0,5.0,431.0,13.5,,,,,,31.0,12.0,5.0,106.0,8.8,,,,,,,,,,,,,,
Chigoziem Okonkwo,Tight End,Maryland,Big Ten,75.0,238.0,4.52,,35.5,,,,22.0,4,1,1,1,1,0,0,,,,32.0,52.0,5.0,447.0,8.6,,,,,,,,,,,,,,,,23.0,19.0,2.0,201.0,10.6,,,,,,25.0,6.0,1.0,69.0,11.5,3.0,54.0,2.0,72.0,24.0,,,,,,,,,
