name,position,college,conference,height,weight,forty,vertical,broad_jump,cone,shuttle,age,years_since_first_played,played_at_18,played_at_19,played_at_20,played_at_21,played_at_22,played_at_23,Y0_fumbles_FUM,Y0_fumbles_LOST,Y0_fumbles_REC,Y1_puntReturns_AVG,Y1_puntReturns_LONG,Y1_puntReturns_NO,Y1_puntReturns_TD,Y1_puntReturns_YDS,Y0_receiving_LONG,Y0_receiving_REC,Y0_receiving_TD,Y0_receiving_YDS,Y0_receiving_YPR,Y0_rushing_CAR,Y0_rushing_LONG,Y0_rushing_TD,Y0_rushing_YDS,Y0_rushing_YPC,Y1_receiving_LONG,Y1_receiving_REC,Y1_receiving_TD,Y1_receiving_YDS,Y1_receiving_YPR,Y1_rushing_CAR,Y1_rushing_LONG,Y1_rushing_TD,Y1_rushing_YDS,Y1_rushing_YPC,Y2_kickReturns_AVG,Y2_kickReturns_LONG,Y2_kickReturns_NO,Y2_kickReturns_TD,Y2_kickReturns_YDS,Y2_receiving_LONG,Y2_receiving_REC,Y2_receiving_TD,Y2_receiving_YDS,Y2_receiving_YPR,Y2_rushing_CAR,Y2_rushing_LONG,Y2_rushing_TD,Y2_rushing_YDS,Y2_rushing_YPC,Y0_kickReturns_AVG,Y0_kickReturns_LONG,Y0_kickReturns_NO,Y0_kickReturns_TD,Y0_kickReturns_YDS,Y3_receiving_LONG,Y3_receiving_REC,Y3_receiving_TD,Y3_receiving_YDS,Y3_receiving_YPR,Y3_rushing_CAR,Y3_rushing_LONG,Y3_rushing_TD,Y3_rushing_YDS,Y3_rushing_YPC,Y0_puntReturns_AVG,Y0_puntReturns_LONG,Y0_puntReturns_NO,Y0_puntReturns_TD,Y0_puntReturns_YDS,Y1_kickReturns_AVG,Y1_kickReturns_LONG,Y1_kickReturns_NO,Y1_kickReturns_TD,Y1_kickReturns_YDS,Y2_puntReturns_AVG,Y2_puntReturns_LONG,Y2_puntReturns_NO,Y2_puntReturns_TD,Y2_puntReturns_YDS,Y3_kickReturns_AVG,Y3_kickReturns_LONG,Y3_kickReturns_NO,Y3_kickReturns_TD,Y3_kickReturns_YDS,Y3_puntReturns_AVG,Y3_puntReturns_LONG,Y3_puntReturns_NO,Y3_puntReturns_TD,Y3_puntReturns_YDS,Y1_fumbles_FUM,Y1_fumbles_LOST,Y1_fumbles_REC,Y2_fumbles_FUM,Y2_fumbles_LOST,Y2_fumbles_REC,Y3_fumbles_FUM,Y3_fumbles_LOST,Y3_fumbles_REC
Drake London,Wide Receiver,USC,Pac-12,76.0,219.0,,,,,,21.0,3,1,1,1,0,0,0,,,,,,,,,44.0,88.0,7.0,1084.0,12.3,1.0,2.0,0.0,2.0,2.0,65.0,33.0,3.0,502.0,15.2,,,,,,,,,,,46.0,39.0,5.0,567.0,14.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,,,,,,
Garrett Wilson,Wide Receiver,Ohio State,Big Ten,72.0,183.0,4.38,36.0,123.0,,4.36,22.0,3,0,1,1,1,0,0,,,,7.3,22.0,7.0,0.0,51.0,77.0,70.0,12.0,1058.0,15.1,4.0,51.0,1.0,76.0,19.0,65.0,43.0,6.0,723.0,16.8,2.0,62.0,0.0,67.0,33.5,,,,,,47.0,30.0,5.0,432.0,14.4,,,,,,,,,,,,,,,,,,,,,5.2,23.0,13.0,0.0,68.0,4.0,4.0,1.0,0.0,4.0,6.1,52.0,14.0,0.0,86.0,,,,,,,,,,,1.0,0.0,0.0,2.0,2.0,0.0,,,
Chris Olave,Wide Receiver,Ohio State,Big Ten,72.0,187.0,4.39,32.0,124.0,,,22.0,4,1,1,1,1,0,0,,,,,,,,,61.0,65.0,13.0,936.0,14.4,,,,,,56.0,50.0,7.0,729.0,14.6,1.0,0.0,0.0,0.0,0.0,15.0,15.0,1.0,0.0,15.0,58.0,49.0,12.0,849.0,17.3,2.0,4.0,0.0,5.0,2.5,,,,,,29.0,12.0,3.0,197.0,16.4,,,,,,4.0,4.0,1.0,0.0,4.0,,,,,,18.0,18.0,1.0,0.0,18.0,,,,,,3.0,3.0,1.0,0.0,3.0,4.0,2.0,0.0,,,,,,
Jameson Williams,Wide Receiver,Alabama,SEC,74.0,179.0,,,,,,21.0,3,1,1,1,0,0,0,2.0,1.0,0.0,,,,,,94.0,79.0,15.0,1572.0,19.9,3.0,18.0,0.0,23.0,7.7,45.0,9.0,2.0,154.0,17.1,,,,,,,,,,,61.0,6.0,1.0,112.0,18.7,,,,,,35.2,100.0,10.0,2.0,352.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jahan Dotson,Wide Receiver,Penn State,Big Ten,71.0,178.0,4.43,36.0,121.0,7.28,,22.0,4,1,1,1,1,0,0,1.0,0.0,0.0,24.6,81.0,8.0,1.0,197.0,86.0,91.0,12.0,1182.0,13.0,6.0,7.0,1.0,18.0,3.0,75.0,52.0,8.0,884.0,17.0,,,,,,,,,,,72.0,27.0,5.0,488.0,18.1,2.0,4.0,0.0,0.0,0.0,,,,,,35.0,13.0,0.0,203.0,15.6,,,,,,7.4,16.0,14.0,0.0,104.0,,,,,,19.5,30.0,2.0,0.0,39.0,,,,,,,,,,,,,,,,,,,
Treylon Burks,Wide Receiver,Arkansas,SEC,74.0,225.0,4.55,33.0,122.0,7.28,,22.0,3,0,1,1,1,0,0,1.0,0.0,0.0,4.0,4.0,1.0,0.0,4.0,91.0,66.0,11.0,1104.0,16.7,14.0,49.0,1.0,112.0,8.0,68.0,51.0,7.0,820.0,16.1,15.0,18.0,0.0,75.0,5.0,22.6,42.0,10.0,0.0,226.0,38.0,29.0,0.0,475.0,16.4,9.0,11.0,0.0,35.0,3.9,0.0,0.0,2.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,10.8,32.0,12.0,0.0,130.0,,,,,,,,,,,,,,2.0,0.0,0.0,,,
Wan'Dale Robinson,Wide Receiver,Kentucky,SEC,68.0,178.0,4.44,34.5,118.0,,,21.0,3,1,1,1,0,0,0,1.0,0.0,0.0,-5.0,0.0,1.0,0.0,-5.0,79.0,104.0,7.0,1334.0,12.8,7.0,64.0,0.0,111.0,15.9,38.0,51.0,1.0,461.0,9.0,46.0,47.0,1.0,240.0,5.2,16.9,39.0,14.0,0.0,236.0,49.0,40.0,2.0,453.0,11.3,88.0,42.0,3.0,340.0,3.9,,,,,,,,,,,,,,,,3.3,5.0,6.0,0.0,20.0,,,,,,,,,,,,,,,,,,,,,3.0,1.0,0.0,2.0,0.0,0.0,,,
John Metchie III,Wide Receiver,Alabama,SEC,71.0,187.0,,,,,,22.0,3,0,1,1,1,0,0,1.0,0.0,0.0,,,,,,46.0,96.0,8.0,1142.0,11.9,1.0,8.0,0.0,8.0,8.0,78.0,55.0,6.0,916.0,16.7,,,,,,,,,,,17.0,4.0,0.0,23.0,5.8,,,,,,13.0,13.0,1.0,0.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyquan Thornton,Wide Receiver,Baylor,Big 12,74.0,181.0,4.28,36.5,130.0,,,21.0,4,1,1,1,0,0,0,,,,,,,,,75.0,62.0,10.0,948.0,15.3,1.0,0.0,0.0,-11.0,-11.0,25.0,16.0,1.0,158.0,9.9,,,,,,,,,,,78.0,45.0,5.0,782.0,17.4,,,,,,22.5,27.0,2.0,0.0,45.0,41.0,20.0,3.0,354.0,17.7,2.0,3.0,0.0,2.0,1.0,,,,,,10.0,10.0,1.0,0.0,10.0,,,,,,16.6,26.0,5.0,0.0,83.0,,,,,,,,,,,,,,
George Pickens,Wide Receiver,Georgia,SEC,75.0,195.0,4.47,33.0,125.0,,,21.0,3,1,1,1,0,0,0,,,,,,,,,52.0,5.0,0.0,107.0,21.4,,,,,,51.0,36.0,6.0,513.0,14.3,,,,,,,,,,,46.0,49.0,8.0,727.0,14.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
