name,position,college,conference,height,weight,forty,bench,vertical,broad_jump,cone,shuttle,age,years_since_first_played,played_at_18,played_at_19,played_at_20,played_at_21,played_at_22,played_at_23,Y0_defensive_PD,Y0_defensive_QB HUR,Y0_defensive_SACKS,Y0_defensive_SOLO,Y0_defensive_TD,Y0_defensive_TFL,Y0_defensive_TOT,Y0_fumbles_FUM,Y0_fumbles_LOST,Y0_fumbles_REC,Y1_interceptions_AVG,Y1_interceptions_INT,Y1_interceptions_TD,Y1_interceptions_YDS,Y0_interceptions_AVG,Y0_interceptions_INT,Y0_interceptions_TD,Y0_interceptions_YDS,Y2_interceptions_AVG,Y2_interceptions_INT,Y2_interceptions_TD,Y2_interceptions_YDS,Y3_interceptions_AVG,Y3_interceptions_INT,Y3_interceptions_TD,Y3_interceptions_YDS,Y1_fumbles_FUM,Y1_fumbles_LOST,Y1_fumbles_REC,Y1_defensive_PD,Y1_defensive_QB HUR,Y1_defensive_SACKS,Y1_defensive_SOLO,Y1_defensive_TD,Y1_defensive_TFL,Y1_defensive_TOT,Y2_defensive_PD,Y2_defensive_QB HUR,Y2_defensive_SACKS,Y2_defensive_SOLO,Y2_defensive_TD,Y2_defensive_TFL,Y2_defensive_TOT,Y2_fumbles_FUM,Y2_fumbles_LOST,Y2_fumbles_REC,Y3_fumbles_FUM,Y3_fumbles_LOST,Y3_fumbles_REC,Y3_defensive_PD,Y3_defensive_QB HUR,Y3_defensive_SACKS,Y3_defensive_SOLO,Y3_defensive_TD,Y3_defensive_TFL,Y3_defensive_TOT
Jack Campbell,Inside Linebacker,Iowa,Big Ten,77.0,249.0,4.65,,37.5,128.0,6.74,4.24,23.0,4,0,0,1,1,1,0,1.0,4.0,1.0,52.0,0.0,3.5,116.0,0.0,0.0,1.0,16.5,2.0,1.0,33.0,15.0,2.0,0.0,30.0,0.0,1.0,0.0,0.0,,,,,0.0,0.0,3.0,5.0,6.0,1.0,57.0,1.0,3.5,140.0,3.0,0.0,1.0,21.0,0.0,3.5,29.0,,,,,,,0.0,0.0,0.0,2.0,0.0,0.0,5.0
Drew Sanders,Inside Linebacker,Arkansas,SEC,76.0,235.0,,,,,,,22.0,3,0,1,1,1,0,0,5.0,6.0,10.0,40.0,0.0,14.0,104.0,0.0,0.0,2.0,,,,,13.0,1.0,0.0,13.0,,,,,,,,,,,,2.0,4.0,1.0,12.0,0.0,2.5,24.0,0.0,1.0,0.0,3.0,0.0,0.0,8.0,,,,,,,,,,,,,
Daiyan Henley,Inside Linebacker,Washington State,Pac-12,73.0,225.0,4.54,,35.0,125.0,,,23.0,4,0,1,1,1,1,0,1.0,3.0,4.0,54.0,0.0,12.0,106.0,0.0,0.0,4.0,14.8,4.0,1.0,59.0,11.0,1.0,0.0,11.0,,,,,,,,,0.0,0.0,5.0,3.0,0.0,0.0,59.0,1.0,2.0,94.0,0.0,0.0,0.0,28.0,0.0,0.5,49.0,,,,,,,0.0,0.0,0.0,4.0,0.0,0.0,5.0
Trenton Simpson,Inside Linebacker,Clemson,ACC,74.0,235.0,4.43,25.0,,,,,22.0,3,0,1,1,1,0,0,3.0,3.0,2.5,36.0,0.0,3.0,65.0,,,,,,,,,,,,,,,,,,,,,,,2.0,5.0,6.0,41.0,0.0,12.0,65.0,0.0,2.0,4.0,17.0,0.0,6.5,28.0,,,,,,,,,,,,,
DeMarvion Overshown,Inside Linebacker,Texas,Big 12,75.0,229.0,4.56,15.0,,124.0,,,23.0,4,0,1,1,1,1,0,5.0,2.0,4.0,49.0,0.0,10.0,95.0,,,,,,,,,,,,14.5,2.0,0.0,29.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,38.0,0.0,5.5,74.0,7.0,4.0,1.0,32.0,0.0,8.0,60.0,0.0,0.0,1.0,,,,3.0,1.0,2.0,17.0,0.0,7.0,18.0
Dorian Williams,Inside Linebacker,Tulane,American Athletic,73.0,228.0,4.49,,33.5,120.0,,,22.0,4,1,1,1,1,0,0,6.0,3.0,5.0,65.0,0.0,7.5,105.0,,,,,,,,6.5,2.0,0.0,13.0,,,,,,,,,1.0,0.0,1.0,3.0,0.0,1.0,44.0,0.0,3.0,73.0,3.0,2.0,3.5,64.0,0.0,15.5,97.0,,,,,,,0.0,0.0,0.0,6.0,0.0,0.0,14.0
Ventrell Miller,Inside Linebacker,Florida,SEC,72.0,232.0,,,,,,,24.0,4,0,0,1,1,1,1,2.0,7.0,0.0,34.0,0.0,9.0,75.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,3.0,0.0,0.0,8.0,3.0,1.0,3.5,52.0,0.0,7.5,86.0,0.0,0.0,1.0,,,,2.0,1.0,3.0,27.0,0.0,5.5,55.0
Noah Sewell,Inside Linebacker,Oregon,Pac-12,74.0,246.0,4.64,27.0,33.0,115.0,,,21.0,3,1,1,1,0,0,0,3.0,4.0,1.5,24.0,0.0,5.5,55.0,0.0,0.0,2.0,22.0,1.0,0.0,22.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,5.0,3.0,4.0,53.0,0.0,8.5,114.0,0.0,0.0,2.0,25.0,0.0,6.5,44.0,,,,,,,,,,,,,
SirVocea Dennis,Inside Linebacker,Pittsburgh,ACC,73.0,226.0,,19.0,,,,,23.0,4,0,0,1,1,1,0,3.0,6.0,6.5,45.0,0.0,11.5,89.0,,,,50.0,1.0,1.0,50.0,67.0,1.0,0.0,67.0,,,,,,,,,0.0,0.0,1.0,0.0,4.0,4.0,38.0,1.0,10.0,82.0,0.0,6.0,3.0,36.0,0.0,14.0,55.0,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,1.0
Henry To'oTo'o,Inside Linebacker,Alabama,SEC,73.0,227.0,4.62,,32.0,116.0,,4.4,22.0,4,1,1,1,1,0,0,0.0,1.0,2.5,43.0,0.0,7.0,89.0,,,,,,,,,,,,32.0,1.0,1.0,32.0,,,,,,,,2.0,2.0,4.0,52.0,0.0,8.0,111.0,2.0,2.0,1.0,44.0,1.0,10.0,71.0,,,,0.0,0.0,1.0,2.0,3.0,0.5,33.0,0.0,5.0,72.0
