name,position,college,conference,height,weight,forty,vertical,broad_jump,cone,shuttle,age,years_since_first_played,played_at_18,played_at_19,played_at_20,played_at_21,played_at_22,played_at_23,Y0_fumbles_FUM,Y0_fumbles_LOST,Y0_fumbles_REC,Y0_passing_ATT,Y0_passing_COMPLETIONS,Y0_passing_INT,Y0_passing_PCT,Y0_passing_TD,Y0_passing_YDS,Y0_passing_YPA,Y0_rushing_CAR,Y0_rushing_LONG,Y0_rushing_TD,Y0_rushing_YDS,Y0_rushing_YPC,Y1_rushing_CAR,Y1_rushing_LONG,Y1_rushing_TD,Y1_rushing_YDS,Y1_rushing_YPC,Y2_rushing_CAR,Y2_rushing_LONG,Y2_rushing_TD,Y2_rushing_YDS,Y2_rushing_YPC,Y1_passing_ATT,Y1_passing_COMPLETIONS,Y1_passing_INT,Y1_passing_PCT,Y1_passing_TD,Y1_passing_YDS,Y1_passing_YPA,Y2_passing_ATT,Y2_passing_COMPLETIONS,Y2_passing_INT,Y2_passing_PCT,Y2_passing_TD,Y2_passing_YDS,Y2_passing_YPA,Y3_rushing_CAR,Y3_rushing_LONG,Y3_rushing_TD,Y3_rushing_YDS,Y3_rushing_YPC,Y3_passing_ATT,Y3_passing_COMPLETIONS,Y3_passing_INT,Y3_passing_PCT,Y3_passing_TD,Y3_passing_YDS,Y3_passing_YPA,Y1_fumbles_FUM,Y1_fumbles_LOST,Y1_fumbles_REC,Y2_fumbles_FUM,Y2_fumbles_LOST,Y2_fumbles_REC,Y3_fumbles_FUM,Y3_fumbles_LOST,Y3_fumbles_REC
Bryce Young,Quarterback,Alabama,SEC,70.0,204.0,,,,,,22.0,3,0,1,1,1,0,0,1.0,0.0,0.0,380.0,245.0,5.0,0.645,32.0,3328.0,8.8,49.0,63.0,4.0,185.0,3.8,81.0,16.0,3.0,0.0,0.0,9.0,12.0,0.0,-23.0,-2.6,547.0,366.0,7.0,0.669,47.0,4872.0,8.9,22.0,13.0,0.0,0.591,1.0,156.0,7.1,,,,,,,,,,,,,6.0,3.0,0.0,2.0,2.0,0.0,,,
C.J. Stroud,Quarterback,Ohio State,Big Ten,75.0,214.0,,,,,,21.0,3,1,1,1,0,0,0,2.0,1.0,0.0,389.0,258.0,6.0,0.663,41.0,3688.0,9.5,47.0,44.0,0.0,108.0,2.3,32.0,15.0,0.0,-20.0,-0.6,1.0,48.0,1.0,48.0,48.0,441.0,317.0,6.0,0.719,44.0,4435.0,10.1,,,,,,,,,,,,,,,,,,,,4.0,1.0,0.0,,,,,,
Anthony Richardson,Quarterback,Florida,SEC,76.0,244.0,4.43,40.5,129.0,,,21.0,3,1,1,1,0,0,0,3.0,2.0,0.0,327.0,176.0,9.0,0.538,17.0,2549.0,7.8,103.0,81.0,9.0,654.0,6.3,51.0,80.0,3.0,401.0,7.9,7.0,28.0,0.0,61.0,8.7,64.0,38.0,5.0,0.594,6.0,529.0,8.3,2.0,1.0,1.0,0.5,1.0,27.0,13.5,,,,,,,,,,,,,2.0,1.0,0.0,1.0,0.0,0.0,,,
Will Levis,Quarterback,Kentucky,SEC,76.0,229.0,,34.0,124.0,,,24.0,4,0,0,1,1,1,1,3.0,2.0,0.0,283.0,185.0,10.0,0.654,19.0,2406.0,8.5,73.0,24.0,2.0,-103.0,-1.4,107.0,33.0,9.0,376.0,3.5,82.0,14.0,3.0,260.0,3.2,353.0,233.0,13.0,0.66,24.0,2826.0,8.0,55.0,33.0,0.0,0.6,1.0,421.0,7.7,50.0,49.0,3.0,223.0,4.5,47.0,28.0,2.0,0.596,2.0,223.0,4.7,2.0,2.0,0.0,4.0,3.0,0.0,3.0,1.0,0.0
Hendon Hooker,Quarterback,Tennessee,SEC,75.0,217.0,,,,,,25.0,4,0,0,0,1,1,1,6.0,3.0,0.0,329.0,229.0,2.0,0.696,27.0,3135.0,9.5,104.0,44.0,5.0,430.0,4.1,167.0,29.0,5.0,620.0,3.7,120.0,53.0,9.0,620.0,5.2,302.0,206.0,3.0,0.682,31.0,2945.0,9.8,149.0,97.0,5.0,0.651,9.0,1344.0,9.0,123.0,34.0,5.0,356.0,2.9,161.0,98.0,2.0,0.609,13.0,1552.0,9.6,12.0,5.0,0.0,4.0,1.0,0.0,5.0,5.0,0.0
Jake Haener,Quarterback,Fresno State,Mountain West,72.0,207.0,,35.0,114.0,7.01,,24.0,3,0,0,0,1,1,1,2.0,2.0,0.0,349.0,251.0,3.0,0.719,20.0,2888.0,8.3,45.0,10.0,2.0,-116.0,-2.6,71.0,28.0,3.0,5.0,0.1,57.0,54.0,3.0,18.0,0.3,490.0,329.0,9.0,0.671,33.0,4096.0,8.4,228.0,147.0,5.0,0.645,14.0,1964.0,8.6,,,,,,,,,,,,,5.0,4.0,0.0,1.0,1.0,0.0,,,
Stetson Bennett,Quarterback,Georgia,SEC,71.0,192.0,4.67,33.5,118.0,,4.2,25.0,4,0,0,0,1,1,1,6.0,3.0,0.0,455.0,310.0,7.0,0.681,27.0,4127.0,9.1,57.0,64.0,10.0,205.0,3.6,56.0,30.0,1.0,259.0,4.6,24.0,12.0,2.0,54.0,2.3,287.0,185.0,7.0,0.645,29.0,2862.0,10.0,155.0,86.0,6.0,0.555,8.0,1176.0,7.6,4.0,14.0,1.0,12.0,3.0,27.0,20.0,1.0,0.741,2.0,260.0,9.6,3.0,1.0,0.0,3.0,0.0,0.0,,,
Aidan O'Connell,Quarterback,Purdue,Big Ten,75.0,213.0,,,,,,25.0,4,0,0,0,1,1,1,3.0,1.0,0.0,497.0,319.0,13.0,0.642,22.0,3481.0,7.0,43.0,24.0,1.0,-81.0,-1.9,25.0,8.0,1.0,-120.0,-4.8,12.0,9.0,0.0,-64.0,-5.3,440.0,315.0,11.0,0.716,28.0,3712.0,8.4,136.0,88.0,2.0,0.647,7.0,916.0,6.7,15.0,9.0,0.0,-9.0,-0.6,163.0,102.0,4.0,0.626,8.0,1099.0,6.7,1.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0
Clayton Tune,Quarterback,Houston,American Athletic,75.0,220.0,4.64,37.5,122.0,6.89,4.25,24.0,4,0,0,1,1,1,1,6.0,4.0,0.0,497.0,334.0,10.0,0.672,40.0,4074.0,8.2,128.0,55.0,5.0,547.0,4.3,105.0,42.0,2.0,154.0,1.5,72.0,26.0,5.0,253.0,3.5,421.0,287.0,10.0,0.682,30.0,3546.0,8.4,285.0,170.0,10.0,0.596,15.0,2048.0,7.2,66.0,68.0,2.0,244.0,3.7,179.0,106.0,9.0,0.592,11.0,1533.0,8.6,2.0,0.0,0.0,3.0,2.0,0.0,3.0,2.0,0.0
Dorian Thompson-Robinson,Quarterback,UCLA,Pac-12,74.0,203.0,4.56,32.5,121.0,7.28,4.44,23.0,4,0,1,1,1,1,0,7.0,3.0,0.0,381.0,265.0,10.0,0.696,27.0,3153.0,8.3,117.0,68.0,12.0,647.0,5.5,130.0,35.0,9.0,609.0,4.7,55.0,65.0,3.0,306.0,5.6,283.0,176.0,6.0,0.622,21.0,2409.0,8.5,138.0,90.0,4.0,0.652,12.0,1120.0,8.1,118.0,39.0,4.0,198.0,1.7,362.0,216.0,12.0,0.597,21.0,2701.0,7.5,3.0,1.0,0.0,2.0,1.0,0.0,11.0,7.0,0.0
