name,position,college,conference,height,weight,forty,vertical,broad_jump,cone,shuttle,age,years_since_first_played,played_at_18,played_at_19,played_at_20,played_at_21,played_at_22,played_at_23,Y0_fumbles_FUM,Y0_fumbles_LOST,Y0_fumbles_REC,Y0_receiving_LONG,Y0_receiving_REC,Y0_receiving_TD,Y0_receiving_YDS,Y0_receiving_YPR,Y0_rushing_CAR,Y0_rushing_LONG,Y0_rushing_TD,Y0_rushing_YDS,Y0_rushing_YPC,Y1_receiving_LONG,Y1_receiving_REC,Y1_receiving_TD,Y1_receiving_YDS,Y1_receiving_YPR,Y1_rushing_CAR,Y1_rushing_LONG,Y1_rushing_TD,Y1_rushing_YDS,Y1_rushing_YPC,Y2_receiving_LONG,Y2_receiving_REC,Y2_receiving_TD,Y2_receiving_YDS,Y2_receiving_YPR,Y2_rushing_CAR,Y2_rushing_LONG,Y2_rushing_TD,Y2_rushing_YDS,Y2_rushing_YPC,Y3_receiving_LONG,Y3_receiving_REC,Y3_receiving_TD,Y3_receiving_YDS,Y3_receiving_YPR,Y3_rushing_CAR,Y3_rushing_LONG,Y3_rushing_TD,Y3_rushing_YDS,Y3_rushing_YPC,Y1_fumbles_FUM,Y1_fumbles_LOST,Y1_fumbles_REC,Y2_fumbles_FUM,Y2_fumbles_LOST,Y2_fumbles_REC,Y3_fumbles_FUM,Y3_fumbles_LOST,Y3_fumbles_REC
Bijan Robinson,Running Back,Texas,Big 12,71.0,215.0,4.46,37.0,124.0,,,21.0,3,1,1,1,0,0,0,2.0,1.0,0.0,42.0,19.0,2.0,314.0,16.5,258.0,78.0,18.0,1578.0,6.1,38.0,26.0,4.0,295.0,11.3,195.0,62.0,11.0,1127.0,5.8,35.0,15.0,2.0,196.0,13.1,86.0,75.0,4.0,703.0,8.2,,,,,,,,,,,2.0,2.0,0.0,1.0,0.0,0.0,,,
Jahmyr Gibbs,Running Back,Alabama,SEC,69.0,199.0,4.36,33.5,,,,21.0,3,1,1,1,0,0,0,,,,60.0,44.0,3.0,444.0,10.1,151.0,76.0,7.0,926.0,6.1,77.0,35.0,2.0,465.0,13.3,143.0,71.0,4.0,746.0,5.2,42.0,24.0,3.0,303.0,12.6,89.0,61.0,4.0,457.0,5.1,,,,,,,,,,,2.0,0.0,0.0,2.0,0.0,0.0,,,
Zach Charbonnet,Running Back,UCLA,Pac-12,72.0,214.0,4.53,37.0,122.0,,,22.0,4,1,1,1,1,0,0,2.0,1.0,0.0,44.0,37.0,0.0,321.0,8.7,195.0,49.0,14.0,1359.0,7.0,35.0,24.0,0.0,197.0,8.2,202.0,47.0,13.0,1137.0,5.6,14.0,6.0,0.0,41.0,6.8,19.0,70.0,1.0,124.0,6.5,8.0,8.0,0.0,30.0,3.8,149.0,41.0,11.0,726.0,4.9,,,,,,,1.0,1.0,0.0
Kendre Miller,Running Back,TCU,Big 12,71.0,215.0,,,,,,21.0,3,1,1,1,0,0,0,1.0,0.0,0.0,21.0,16.0,0.0,116.0,7.3,224.0,75.0,17.0,1399.0,6.2,53.0,12.0,1.0,117.0,9.8,83.0,75.0,7.0,623.0,7.5,0.0,1.0,0.0,-4.0,-4.0,54.0,89.0,2.0,388.0,7.2,,,,,,,,,,,2.0,1.0,0.0,1.0,1.0,0.0,,,
Tyjae Spears,Running Back,Tulane,American Athletic,70.0,201.0,,39.0,125.0,,,22.0,4,1,1,1,1,0,0,3.0,3.0,0.0,30.0,22.0,2.0,256.0,11.6,229.0,75.0,19.0,1581.0,6.9,44.0,19.0,0.0,145.0,7.6,129.0,69.0,9.0,863.0,6.7,16.0,2.0,0.0,30.0,15.0,37.0,42.0,2.0,275.0,7.4,88.0,5.0,1.0,133.0,26.6,32.0,52.0,1.0,192.0,6.0,2.0,1.0,0.0,,,,,,
Devon Achane,Running Back,Texas A&M,SEC,69.0,188.0,4.32,33.0,,,,21.0,3,1,1,1,0,0,0,1.0,1.0,0.0,25.0,36.0,3.0,196.0,5.4,196.0,65.0,8.0,1102.0,5.6,33.0,24.0,1.0,261.0,10.9,130.0,68.0,9.0,910.0,7.0,52.0,5.0,1.0,97.0,19.4,43.0,76.0,4.0,364.0,8.5,,,,,,,,,,,1.0,1.0,0.0,,,,,,
Tank Bigsby,Running Back,Auburn,SEC,72.0,210.0,4.56,32.5,119.0,,,22.0,3,0,1,1,1,0,0,2.0,1.0,0.0,37.0,30.0,0.0,180.0,6.0,179.0,50.0,10.0,970.0,5.4,51.0,21.0,0.0,184.0,8.8,223.0,51.0,10.0,1099.0,4.9,19.0,11.0,0.0,84.0,7.6,138.0,42.0,5.0,834.0,6.0,,,,,,,,,,,3.0,1.0,0.0,1.0,0.0,0.0,,,
Roschon Johnson,Running Back,Texas,Big 12,72.0,219.0,4.58,31.5,122.0,,,22.0,4,1,1,1,1,0,0,1.0,1.0,0.0,38.0,14.0,1.0,128.0,9.1,93.0,52.0,5.0,554.0,6.0,14.0,11.0,0.0,83.0,7.5,96.0,72.0,5.0,569.0,5.9,13.0,8.0,1.0,51.0,6.4,80.0,43.0,6.0,417.0,5.2,25.0,23.0,1.0,158.0,6.9,123.0,57.0,7.0,649.0,5.3,,,,,,,,,
Israel Abanikanda,Running Back,Pittsburgh,ACC,70.0,216.0,,,,,,20.0,3,1,1,0,0,0,0,3.0,1.0,0.0,37.0,12.0,1.0,146.0,12.2,239.0,80.0,20.0,1431.0,6.0,25.0,24.0,1.0,197.0,8.2,123.0,28.0,7.0,651.0,5.3,15.0,2.0,1.0,11.0,5.5,28.0,10.0,1.0,95.0,3.4,,,,,,,,,,,,,,,,,,,
Chase Brown,Running Back,Illinois,Big Ten,70.0,209.0,4.43,40.0,127.0,,,23.0,4,0,1,1,1,1,0,4.0,2.0,0.0,43.0,27.0,3.0,240.0,8.9,328.0,49.0,10.0,1643.0,5.0,33.0,14.0,0.0,142.0,10.1,170.0,80.0,5.0,1005.0,5.9,33.0,7.0,0.0,64.0,9.1,103.0,39.0,3.0,539.0,5.2,,,,,,1.0,2.0,0.0,2.0,2.0,1.0,0.0,0.0,,,,,,
