name,position,college,conference,height,weight,forty,bench,vertical,broad_jump,cone,shuttle,age,years_since_first_played,played_at_18,played_at_19,played_at_20,played_at_21,played_at_22,played_at_23,Y0_college,Y0_fumbles_FUM,Y0_fumbles_LOST,Y0_fumbles_REC,Y1_college,Y0_receiving_LONG,Y0_receiving_REC,Y0_receiving_TD,Y0_receiving_YDS,Y0_receiving_YPR,Y0_rushing_CAR,Y0_rushing_LONG,Y0_rushing_TD,Y0_rushing_YDS,Y0_rushing_YPC,Y1_receiving_LONG,Y1_receiving_REC,Y1_receiving_TD,Y1_receiving_YDS,Y1_receiving_YPR,Y1_rushing_CAR,Y1_rushing_LONG,Y1_rushing_TD,Y1_rushing_YDS,Y1_rushing_YPC,Y2_college,Y2_receiving_LONG,Y2_receiving_REC,Y2_receiving_TD,Y2_receiving_YDS,Y2_receiving_YPR,Y3_college,Y3_receiving_LONG,Y3_receiving_REC,Y3_receiving_TD,Y3_receiving_YDS,Y3_receiving_YPR,Y3_rushing_CAR,Y3_rushing_LONG,Y3_rushing_TD,Y3_rushing_YDS,Y3_rushing_YPC,Y1_fumbles_FUM,Y1_fumbles_LOST,Y1_fumbles_REC,Y2_fumbles_FUM,Y2_fumbles_LOST,Y2_fumbles_REC,Y3_fumbles_FUM,Y3_fumbles_LOST,Y3_fumbles_REC
Dalton Kincaid,Tight End,Utah,Pac-12,76.0,246.0,,,,,,,23.0,3,0,0,1,1,1,0,Utah,,,,Utah,37.0,70.0,8.0,890.0,12.7,,,,,,43.0,36.0,8.0,510.0,14.2,1.0,4.0,0.0,4.0,4.0,Utah,14.0,1.0,0.0,14.0,14.0,,,,,,,,,,,,,,,,,,,,
Sam LaPorta,Tight End,Iowa,Big Ten,75.0,245.0,4.59,,35.0,123.0,6.91,4.25,22.0,4,1,1,1,1,0,0,Iowa,,,,Iowa,58.0,58.0,1.0,656.0,11.3,2.0,6.0,0.0,6.0,3.0,36.0,53.0,3.0,670.0,12.6,,,,,,Iowa,24.0,27.0,1.0,271.0,10.0,Iowa,41.0,15.0,0.0,188.0,12.5,,,,,,,,,1.0,0.0,0.0,,,
Michael Mayer,Tight End,Notre Dame,FBS Independents,77.0,249.0,4.7,,32.5,118.0,,,22.0,3,0,1,1,1,0,0,Notre Dame,1.0,0.0,0.0,Notre Dame,37.0,67.0,9.0,809.0,12.1,,,,,,52.0,71.0,7.0,840.0,11.8,,,,,,Notre Dame,29.0,42.0,2.0,450.0,10.7,,,,,,,,,,,,,,,1.0,0.0,0.0,,,
Luke Musgrave,Tight End,Oregon State,Pac-12,78.0,253.0,4.61,,36.0,125.0,,,23.0,4,0,1,1,1,1,0,Oregon State,,,,Oregon State,30.0,11.0,1.0,169.0,15.4,,,,,,35.0,22.0,1.0,304.0,13.8,1.0,0.0,0.0,-1.0,-1.0,Oregon State,29.0,11.0,0.0,126.0,11.5,Oregon State,14.0,2.0,0.0,18.0,9.0,,,,,,,,,,,,,,
Luke Schoonmaker,Tight End,Michigan,Big Ten,77.0,251.0,4.63,,33.5,127.0,,4.27,24.0,4,0,0,1,1,1,1,Michigan,,,,Michigan,40.0,35.0,3.0,418.0,11.9,,,,,,27.0,17.0,3.0,165.0,9.7,,,,,,,,,,,,Michigan,29.0,2.0,1.0,54.0,27.0,,,,,,,,,,,,,,
Brenton Strange,Tight End,Penn State,Big Ten,76.0,253.0,4.7,23.0,36.0,124.0,7.25,4.46,22.0,4,1,1,1,1,0,0,Penn State,,,,Penn State,67.0,32.0,5.0,362.0,11.3,1.0,0.0,0.0,0.0,0.0,40.0,20.0,3.0,225.0,11.3,,,,,,Penn State,28.0,17.0,2.0,164.0,9.6,Penn State,4.0,1.0,1.0,4.0,4.0,,,,,,,,,,,,,,
Darnell Washington,Tight End,Georgia,SEC,79.0,264.0,4.64,21.0,31.0,122.0,,4.08,22.0,3,0,1,1,1,0,0,Georgia,,,,Georgia,34.0,28.0,2.0,454.0,16.2,,,,,,32.0,10.0,1.0,154.0,15.4,,,,,,Georgia,38.0,7.0,0.0,166.0,23.7,,,,,,,,,,,,,,,,,,,,
Cameron Latu,Tight End,Alabama,SEC,76.0,242.0,,,,,,,23.0,4,0,1,1,1,1,0,Alabama,,,,Alabama,38.0,30.0,4.0,377.0,12.6,,,,,,61.0,26.0,8.0,410.0,15.8,,,,,,,,,,,,Alabama,,,,,,,,,,,1.0,1.0,0.0,,,,1.0,0.0,0.0
Josh Whyle,Tight End,Cincinnati,American Athletic,79.0,248.0,4.69,,33.5,115.0,,,23.0,4,0,1,1,1,1,0,Cincinnati,,,,Cincinnati,35.0,32.0,3.0,326.0,10.2,,,,,,31.0,26.0,6.0,332.0,12.8,,,,,,Cincinnati,30.0,28.0,6.0,353.0,12.6,Cincinnati,32.0,2.0,0.0,51.0,25.5,,,,,,1.0,1.0,0.0,,,,,,
Will Mallory,Tight End,Miami,ACC,77.0,239.0,4.54,20.0,36.5,121.0,,,24.0,4,0,0,1,1,1,1,Miami,1.0,1.0,0.0,Miami,39.0,42.0,3.0,538.0,12.8,,,,,,57.0,30.0,4.0,347.0,11.6,,,,,,Miami,45.0,22.0,4.0,329.0,15.0,Miami,38.0,16.0,2.0,293.0,18.3,,,,,,1.0,0.0,0.0,,,,,,
Payne Durham,Tight End,Purdue,Big Ten,78.0,253.0,4.87,,34.5,117.0,,,23.0,4,0,1,1,1,1,0,Purdue,,,,Purdue,56.0,56.0,8.0,560.0,10.0,1.0,4.0,0.0,4.0,4.0,62.0,45.0,6.0,467.0,10.4,,,,,,Purdue,29.0,16.0,3.0,166.0,10.4,Purdue,26.0,9.0,4.0,82.0,9.1,,,,,,1.0,1.0,0.0,,,,,,
Davis Allen,Tight End,Clemson,ACC,78.0,245.0,4.84,,38.5,125.0,,,22.0,4,1,1,1,1,0,0,Clemson,1.0,1.0,0.0,Clemson,41.0,39.0,5.0,443.0,11.4,,,,,,24.0,28.0,3.0,208.0,7.4,,,,,,Clemson,42.0,16.0,4.0,247.0,15.4,Clemson,15.0,5.0,0.0,53.0,10.6,,,,,,,,,,,,,,
Zack Kuntz,Tight End,Old Dominion,Sun Belt,79.0,255.0,4.55,23.0,40.0,128.0,6.87,4.12,24.0,4,0,0,1,1,1,1,Old Dominion,,,,Old Dominion,34.0,12.0,2.0,144.0,12.0,,,,,,43.0,73.0,5.0,692.0,9.5,,,,,,,,,,,,Penn State,10.0,2.0,0.0,18.0,9.0,,,,,,1.0,1.0,0.0,,,,,,
