name,position,college,conference,height,weight,forty,bench,vertical,broad_jump,cone,shuttle,age,years_since_first_played,played_at_18,played_at_19,played_at_20,played_at_21,played_at_22,played_at_23,Y0_college,Y0_fumbles_FUM,Y0_fumbles_LOST,Y0_fumbles_REC,Y1_college,Y1_puntReturns_AVG,Y1_puntReturns_LONG,Y1_puntReturns_NO,Y1_puntReturns_TD,Y1_puntReturns_YDS,Y0_receiving_LONG,Y0_receiving_REC,Y0_receiving_TD,Y0_receiving_YDS,Y0_receiving_YPR,Y0_rushing_CAR,Y0_rushing_LONG,Y0_rushing_TD,Y0_rushing_YDS,Y0_rushing_YPC,Y1_receiving_LONG,Y1_receiving_REC,Y1_receiving_TD,Y1_receiving_YDS,Y1_receiving_YPR,Y1_rushing_CAR,Y1_rushing_LONG,Y1_rushing_TD,Y1_rushing_YDS,Y1_rushing_YPC,Y2_college,Y2_kickReturns_AVG,Y2_kickReturns_LONG,Y2_kickReturns_NO,Y2_kickReturns_TD,Y2_kickReturns_YDS,Y2_receiving_LONG,Y2_receiving_REC,Y2_receiving_TD,Y2_receiving_YDS,Y2_receiving_YPR,Y2_rushing_CAR,Y2_rushing_LONG,Y2_rushing_TD,Y2_rushing_YDS,Y2_rushing_YPC,Y0_kickReturns_AVG,Y0_kickReturns_LONG,Y0_kickReturns_NO,Y0_kickReturns_TD,Y0_kickReturns_YDS,Y3_college,Y3_receiving_LONG,Y3_receiving_REC,Y3_receiving_TD,Y3_receiving_YDS,Y3_receiving_YPR,Y3_rushing_CAR,Y3_rushing_LONG,Y3_rushing_TD,Y3_rushing_YDS,Y3_rushing_YPC,Y0_puntReturns_AVG,Y0_puntReturns_LONG,Y0_puntReturns_NO,Y0_puntReturns_TD,Y0_puntReturns_YDS,Y1_kickReturns_AVG,Y1_kickReturns_LONG,Y1_kickReturns_NO,Y1_kickReturns_TD,Y1_kickReturns_YDS,Y2_puntReturns_AVG,Y2_puntReturns_LONG,Y2_puntReturns_NO,Y2_puntReturns_TD,Y2_puntReturns_YDS,Y3_kickReturns_AVG,Y3_kickReturns_LONG,Y3_kickReturns_NO,Y3_kickReturns_TD,Y3_kickReturns_YDS,Y3_puntReturns_AVG,Y3_puntReturns_LONG,Y3_puntReturns_NO,Y3_puntReturns_TD,Y3_puntReturns_YDS,Y1_fumbles_FUM,Y1_fumbles_LOST,Y1_fumbles_REC,Y2_fumbles_FUM,Y2_fumbles_LOST,Y2_fumbles_REC,Y3_fumbles_FUM,Y3_fumbles_LOST,Y3_fumbles_REC
Jaxon Smith-Njigba,Wide Receiver,Ohio State,Big Ten,73.0,196.0,,,35.0,125.0,6.57,3.93,21.0,3,1,1,1,0,0,0,Ohio State,,,,Ohio State,9.0,21.0,7.0,0.0,63.0,21.0,5.0,0.0,43.0,8.6,,,,,,75.0,95.0,9.0,1606.0,16.9,,,,,,Ohio State,,,,,,15.0,10.0,1.0,49.0,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7,7.0,3.0,0.0,11.0,,,,,,,,,,,1.0,1.0,0.0,,,,,,
Quentin Johnston,Wide Receiver,TCU,Big 12,75.0,208.0,,,40.5,134.0,,,22.0,3,0,1,1,1,0,0,TCU,1.0,1.0,0.0,TCU,,,,,,76.0,60.0,6.0,1069.0,17.8,3.0,2.0,0.0,-7.0,-2.3,75.0,33.0,6.0,612.0,18.5,2.0,8.0,0.0,12.0,6.0,TCU,,,,,,76.0,22.0,2.0,487.0,22.1,3.0,2.0,2.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.0,,,,,,
Zay Flowers,Wide Receiver,Boston College,ACC,69.0,182.0,4.42,,35.5,127.0,,,22.0,4,1,1,1,1,0,0,Boston College,4.0,1.0,0.0,Boston College,,,,,,69.0,78.0,12.0,1077.0,13.8,12.0,22.0,0.0,40.0,3.3,49.0,44.0,5.0,746.0,17.0,7.0,47.0,0.0,69.0,9.9,Boston College,,,,,,77.0,56.0,9.0,892.0,15.9,11.0,22.0,1.0,41.0,3.7,,,,,,Boston College,58.0,22.0,3.0,341.0,15.5,27.0,46.0,1.0,195.0,7.2,6.1,16.0,7.0,0.0,43.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.0,,,,,,
Jordan Addison,Wide Receiver,USC,Pac-12,71.0,173.0,4.49,,34.0,122.0,,,21.0,3,1,1,1,0,0,0,USC,3.0,0.0,0.0,Pittsburgh,15.4,39.0,12.0,0.0,185.0,75.0,59.0,8.0,875.0,14.8,4.0,17.0,0.0,33.0,8.3,67.0,100.0,17.0,1593.0,15.9,7.0,28.0,1.0,56.0,8.0,Pittsburgh,19.5,20.0,2.0,0.0,39.0,75.0,60.0,4.0,666.0,11.1,9.0,15.0,0.0,58.0,6.4,,,,,,,,,,,,,,,,,4.8,15.0,4.0,0.0,19.0,,,,,,7.5,21.0,2.0,0.0,15.0,,,,,,,,,,,1.0,0.0,0.0,,,,,,
Jonathan Mingo,Wide Receiver,Ole Miss,SEC,74.0,220.0,4.46,22.0,39.5,129.0,,,22.0,4,1,1,1,1,0,0,Ole Miss,1.0,1.0,0.0,Ole Miss,,,,,,72.0,51.0,5.0,862.0,16.9,4.0,2.0,1.0,-7.0,-1.8,50.0,22.0,3.0,346.0,15.7,,,,,,Ole Miss,,,,,,37.0,27.0,3.0,379.0,14.0,,,,,,,,,,,Ole Miss,32.0,12.0,1.0,172.0,14.3,,,,,,13.0,13.0,1.0,0.0,13.0,,,,,,13.0,13.0,1.0,0.0,13.0,,,,,,,,,,,,,,,,,,,
Jayden Reed,Wide Receiver,Michigan State,Big Ten,71.0,187.0,4.45,,33.5,121.0,,4.29,23.0,3,0,0,1,1,1,0,Michigan State,3.0,2.0,0.0,Michigan State,19.8,88.0,12.0,2.0,238.0,35.0,55.0,5.0,636.0,11.6,4.0,17.0,0.0,11.0,2.8,85.0,59.0,10.0,1026.0,17.4,7.0,12.0,1.0,34.0,4.9,Michigan State,20.6,39.0,16.0,0.0,329.0,55.0,33.0,3.0,407.0,12.3,6.0,7.0,0.0,12.0,2.0,20.0,20.0,1.0,0.0,20.0,,,,,,,,,,,,8.8,19.0,13.0,0.0,114.0,23.5,41.0,16.0,0.0,376.0,7.0,10.0,2.0,0.0,14.0,,,,,,,,,,,,,,2.0,2.0,0.0,,,
Rashee Rice,Wide Receiver,SMU,American Athletic,73.0,204.0,4.51,,41.0,128.0,,,23.0,4,0,1,1,1,1,0,SMU,3.0,2.0,0.0,SMU,,,,,,75.0,96.0,10.0,1355.0,14.1,,,,,,62.0,64.0,9.0,670.0,10.5,,,,,,SMU,,,,,,55.0,48.0,5.0,683.0,14.2,,,,,,,,,,,SMU,61.0,25.0,1.0,403.0,16.1,1.0,0.0,0.0,0.0,0.0,,,,,,10.0,10.0,1.0,0.0,10.0,,,,,,,,,,,,,,,,,,,1.0,1.0,0.0,,,
Marvin Mims,Wide Receiver,Oklahoma,Big 12,71.0,183.0,4.38,,39.5,129.0,6.9,,21.0,3,1,1,1,0,0,0,Oklahoma,1.0,1.0,0.0,Oklahoma,6.9,24.0,10.0,0.0,69.0,77.0,54.0,6.0,1083.0,20.1,2.0,4.0,0.0,3.0,1.5,67.0,32.0,5.0,705.0,22.0,1.0,15.0,0.0,15.0,15.0,Oklahoma,19.0,19.0,1.0,0.0,19.0,61.0,37.0,9.0,610.0,16.5,2.0,17.0,0.0,17.0,8.5,38.0,38.0,1.0,0.0,38.0,,,,,,,,,,,,14.5,41.0,11.0,0.0,160.0,17.0,31.0,3.0,0.0,51.0,12.5,38.0,13.0,0.0,162.0,,,,,,,,,,,2.0,0.0,0.0,,,,,,
Nathaniel Dell,Wide Receiver,Houston,American Athletic,68.0,165.0,4.49,,,121.0,,,23.0,3,0,0,1,1,1,0,Houston,2.0,1.0,0.0,Houston,,,,,,63.0,109.0,17.0,1398.0,12.8,4.0,3.0,0.0,9.0,2.3,55.0,90.0,12.0,1329.0,14.8,1.0,5.0,0.0,5.0,5.0,Houston,25.8,32.0,5.0,0.0,129.0,54.0,29.0,3.0,428.0,14.8,,,,,,,,,,,,,,,,,,,,,,17.0,68.0,9.0,1.0,153.0,15.5,33.0,13.0,0.0,201.0,7.0,7.0,1.0,0.0,7.0,,,,,,,,,,,1.0,0.0,0.0,,,,,,
Jalin Hyatt,Wide Receiver,Tennessee,SEC,72.0,176.0,4.4,,40.0,135.0,,,21.0,3,1,1,1,0,0,0,Tennessee,,,,Tennessee,,,,,,78.0,67.0,15.0,1267.0,18.9,1.0,0.0,0.0,0.0,0.0,41.0,21.0,2.0,226.0,10.8,1.0,10.0,0.0,10.0,10.0,Tennessee,,,,,,48.0,20.0,2.0,276.0,13.8,1.0,3.0,0.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
