name,position,college,conference,height,weight,forty,bench,vertical,broad_jump,cone,shuttle,age,years_since_first_played,played_at_18,played_at_19,played_at_20,played_at_21,played_at_22,played_at_23,Y0_college,Y0_defensive_PD,Y0_defensive_QB HUR,Y0_defensive_SACKS,Y0_defensive_SOLO,Y0_defensive_TD,Y0_defensive_TFL,Y0_defensive_TOT,Y1_college,Y1_interceptions_AVG,Y1_interceptions_INT,Y1_interceptions_TD,Y1_interceptions_YDS,Y1_puntReturns_AVG,Y1_puntReturns_LONG,Y1_puntReturns_NO,Y1_puntReturns_TD,Y1_puntReturns_YDS,Y2_college,Y2_kickReturns_AVG,Y2_kickReturns_LONG,Y2_kickReturns_NO,Y2_kickReturns_TD,Y2_kickReturns_YDS,Y0_kickReturns_AVG,Y0_kickReturns_LONG,Y0_kickReturns_NO,Y0_kickReturns_TD,Y0_kickReturns_YDS,Y3_college,Y0_interceptions_AVG,Y0_interceptions_INT,Y0_interceptions_TD,Y0_interceptions_YDS,Y0_puntReturns_AVG,Y0_puntReturns_LONG,Y0_puntReturns_NO,Y0_puntReturns_TD,Y0_puntReturns_YDS,Y1_kickReturns_AVG,Y1_kickReturns_LONG,Y1_kickReturns_NO,Y1_kickReturns_TD,Y1_kickReturns_YDS,Y2_puntReturns_AVG,Y2_puntReturns_LONG,Y2_puntReturns_NO,Y2_puntReturns_TD,Y2_puntReturns_YDS,Y2_interceptions_AVG,Y2_interceptions_INT,Y2_interceptions_TD,Y2_interceptions_YDS,Y3_puntReturns_AVG,Y3_puntReturns_LONG,Y3_puntReturns_NO,Y3_puntReturns_TD,Y3_puntReturns_YDS,Y3_interceptions_AVG,Y3_interceptions_INT,Y3_interceptions_TD,Y3_interceptions_YDS,Y1_defensive_PD,Y1_defensive_QB HUR,Y1_defensive_SACKS,Y1_defensive_SOLO,Y1_defensive_TD,Y1_defensive_TFL,Y1_defensive_TOT,Y2_defensive_PD,Y2_defensive_QB HUR,Y2_defensive_SACKS,Y2_defensive_SOLO,Y2_defensive_TD,Y2_defensive_TFL,Y2_defensive_TOT,Y3_defensive_PD,Y3_defensive_QB HUR,Y3_defensive_SACKS,Y3_defensive_SOLO,Y3_defensive_TD,Y3_defensive_TFL,Y3_defensive_TOT
Quinyon Mitchell,Cornerback,Toledo,Mid-American,72.0,195.0,4.33,20.0,38.0,122.0,,,23.0,4,0,1,1,1,1,0,Toledo,18.0,0.0,0.0,32.0,0.0,2.0,41.0,Toledo,10.2,5.0,2.0,51.0,,,,,,Toledo,,,,,,,,,,,Toledo,3.0,1.0,0.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,0.0,0.0,24.0,2.0,3.5,37.0,8.0,1.0,1.0,28.0,0.0,1.5,34.0,0.0,0.0,0.0,6.0,0.0,0.0,7.0
Terrion Arnold,Cornerback,Alabama,SEC,72.0,189.0,4.5,,37.0,129.0,,,21.0,2,0,1,1,0,0,0,Alabama,12.0,2.0,1.0,40.0,0.0,6.5,63.0,Alabama,21.0,1.0,0.0,21.0,,,,,,,,,,,,22.0,22.0,1.0,0.0,22.0,,13.8,5.0,0.0,69.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,0.0,0.0,34.0,0.0,1.0,45.0,,,,,,,,,,,,,,
Nate Wiggins,Cornerback,Clemson,ACC,73.0,173.0,4.28,,36.0,127.0,,,21.0,3,1,1,1,0,0,0,Clemson,6.0,0.0,1.0,22.0,1.0,1.0,27.0,Clemson,98.0,1.0,1.0,98.0,,,,,,Clemson,,,,,,,,,,,,26.0,2.0,1.0,52.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,0.0,0.0,24.0,1.0,2.0,26.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,,,,,,,
Cooper DeJean,Cornerback,Iowa,Big Ten,73.0,203.0,,,,,,,21.0,3,1,1,1,0,0,0,Iowa,5.0,0.0,0.0,26.0,1.0,2.0,41.0,Iowa,18.2,5.0,3.0,91.0,16.5,41.0,10.0,0.0,165.0,Iowa,20.0,20.0,1.0,0.0,20.0,,,,,,,20.5,2.0,0.0,41.0,11.5,70.0,21.0,1.0,241.0,,,,,,,,,,,,,,,,,,,,,,,,8.0,0.0,0.0,53.0,3.0,2.0,68.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,,,,,,,
Kool-Aid McKinstry,Cornerback,Alabama,SEC,72.0,199.0,,,,,,,21.0,3,1,1,1,0,0,0,Alabama,7.0,0.0,0.0,24.0,0.0,2.0,32.0,Alabama,26.0,1.0,0.0,26.0,14.4,45.0,23.0,0.0,332.0,Alabama,,,,,,,,,,,,,,,,6.1,33.0,14.0,0.0,86.0,4.0,4.0,1.0,0.0,4.0,,,,,,0.0,1.0,0.0,0.0,,,,,,,,,,12.0,0.0,1.0,29.0,0.0,2.0,34.0,1.0,0.0,1.0,9.0,0.0,1.0,26.0,,,,,,,
Kamari Lassiter,Cornerback,Georgia,SEC,72.0,186.0,,,,,6.62,4.12,21.0,3,1,1,1,0,0,0,Georgia,8.0,0.0,0.5,21.0,0.0,3.5,37.0,Georgia,,,,,-4.0,-4.0,1.0,0.0,-4.0,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,,,,,,,,,,3.0,0.0,0.5,23.0,0.0,3.5,30.0,2.0,0.0,0.0,9.0,0.0,0.0,11.0,,,,,,,
Max Melton,Cornerback,Rutgers,Big Ten,71.0,187.0,4.39,,40.5,136.0,,,22.0,4,1,1,1,1,0,0,Rutgers,6.0,0.0,1.0,22.0,0.0,4.0,32.0,Rutgers,0.5,2.0,0.0,1.0,23.5,28.0,2.0,0.0,47.0,Rutgers,,,,,,,,,,,Rutgers,1.7,3.0,0.0,5.0,,,,,,,,,,,14.0,14.0,1.0,0.0,14.0,15.3,3.0,1.0,46.0,,,,,,,,,,9.0,0.0,0.0,22.0,0.0,2.0,31.0,5.0,0.0,0.0,20.0,1.0,2.0,28.0,0.0,0.0,0.0,17.0,0.0,1.0,20.0
Mike Sainristil,Cornerback,Michigan,Big Ten,69.0,182.0,4.47,14.0,40.0,131.0,6.99,4.01,23.0,4,0,1,1,1,1,0,Michigan,6.0,3.0,2.0,20.0,2.0,5.0,36.0,Michigan,8.0,1.0,0.0,8.0,,,,,,Michigan,13.5,23.0,2.0,0.0,27.0,,,,,,Michigan,38.7,6.0,2.0,232.0,,,,,,,,,,,,,,,,,,,,2.0,2.0,1.0,0.0,2.0,,,,,8.0,2.0,2.0,31.0,0.0,4.5,48.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,,,,,,,
Ennis Rakestraw Jr.,Cornerback,Missouri,SEC,71.0,183.0,4.51,,,120.0,,,22.0,4,1,1,1,1,0,0,Missouri,4.0,0.0,0.0,24.0,0.0,1.5,35.0,Missouri,0.0,1.0,0.0,0.0,,,,,,Missouri,,,,,,,,,,,Missouri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,1.0,0.0,27.0,0.0,4.5,35.0,2.0,1.0,0.0,10.0,0.0,0.0,13.0,6.0,0.0,1.0,18.0,0.0,2.0,24.0
Renardo Green,Cornerback,Florida State,ACC,72.0,186.0,4.49,,37.5,130.0,,,23.0,4,0,1,1,1,1,0,Florida State,12.0,1.0,0.5,32.0,0.0,2.5,43.0,Florida State,,,,,,,,,,Florida State,,,,,,,,,,,Florida State,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0,0.0,37.0,0.0,2.0,52.0,1.0,0.0,0.0,4.0,0.0,0.0,14.0,1.0,0.0,0.0,18.0,0.0,0.5,27.0
Andru Phillips,Cornerback,Kentucky,SEC,71.0,190.0,4.48,,42.0,135.0,,,22.0,4,0,0,1,1,0,0,Kentucky,5.0,0.0,0.0,33.0,0.0,1.5,48.0,Kentucky,,,,,,,,,,Kentucky,,,,,,,,,,,Kentucky,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0,0.0,19.0,0.0,1.5,30.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Elijah Jones,Cornerback,Boston College,ACC,74.0,185.0,4.44,,42.5,131.0,,,24.0,4,0,0,1,1,1,1,Boston College,9.0,0.0,0.0,18.0,0.0,1.0,25.0,Boston College,19.0,2.0,0.0,38.0,,,,,,Boston College,,,,,,,,,,,Boston College,2.2,5.0,0.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,0.0,1.0,31.0,0.0,3.0,33.0,5.0,1.0,0.0,25.0,0.0,0.0,28.0,5.0,0.0,0.0,29.0,0.0,0.0,36.0
Jarrian Jones,Cornerback,Florida State,ACC,72.0,190.0,4.38,,39.5,129.0,,,23.0,4,0,1,1,1,1,0,Florida State,3.0,0.0,1.0,15.0,0.0,5.0,24.0,Florida State,0.0,1.0,0.0,0.0,,,,,,Florida State,,,,,,,,,,,Florida State,10.7,3.0,1.0,32.0,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,,,,,,,,,,4.0,0.0,0.0,13.0,0.0,0.0,18.0,2.0,0.0,0.0,18.0,0.0,0.5,22.0,1.0,0.0,0.0,10.0,0.0,0.0,18.0
Khyree Jackson,Cornerback,Oregon,Pac-12,76.0,194.0,4.5,,36.5,133.0,,,25.0,3,0,0,0,0,1,1,Oregon,7.0,0.0,2.0,25.0,0.0,5.0,34.0,Alabama,,,,,,,,,,Alabama,,,,,,,,,,,,2.3,3.0,0.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,6.0,0.0,1.0,7.0,2.0,0.0,0.0,5.0,0.0,0.0,7.0,,,,,,,
