name,position,college,conference,height,weight,forty,bench,vertical,broad_jump,cone,shuttle,age,years_since_first_played,played_at_18,played_at_19,played_at_20,played_at_21,played_at_22,played_at_23,Y0_defensive_PD,Y0_defensive_QB HUR,Y0_defensive_SACKS,Y0_defensive_SOLO,Y0_defensive_TD,Y0_defensive_TFL,Y0_defensive_TOT,Y0_fumbles_FUM,Y0_fumbles_LOST,Y0_fumbles_REC,Y1_fumbles_FUM,Y1_fumbles_LOST,Y1_fumbles_REC,Y1_defensive_PD,Y1_defensive_QB HUR,Y1_defensive_SACKS,Y1_defensive_SOLO,Y1_defensive_TD,Y1_defensive_TFL,Y1_defensive_TOT,Y2_defensive_PD,Y2_defensive_QB HUR,Y2_defensive_SACKS,Y2_defensive_SOLO,Y2_defensive_TD,Y2_defensive_TFL,Y2_defensive_TOT,Y2_fumbles_FUM,Y2_fumbles_LOST,Y2_fumbles_REC,Y3_fumbles_FUM,Y3_fumbles_LOST,Y3_fumbles_REC,Y3_defensive_PD,Y3_defensive_QB HUR,Y3_defensive_SACKS,Y3_defensive_SOLO,Y3_defensive_TD,Y3_defensive_TFL,Y3_defensive_TOT
Laiatu Latu,Defensive Edge,UCLA,Pac-12,77.0,259.0,4.64,,32.0,116.0,,,23.0,2,0,0,0,1,1,0,2.0,10.0,12.0,27.0,0.0,20.5,48.0,,,,0.0,0.0,3.0,1.0,5.0,10.5,22.0,0.0,12.0,34.0,,,,,,,,,,,,,,,,,,,,
Dallas Turner,Defensive Edge,Alabama,SEC,75.0,247.0,4.46,,40.5,127.0,,,21.0,3,1,1,1,0,0,0,1.0,13.0,11.0,28.0,0.0,15.5,53.0,,,,0.0,0.0,1.0,0.0,8.0,4.0,16.0,0.0,8.0,37.0,0.0,5.0,8.5,14.0,0.0,10.0,30.0,0.0,0.0,1.0,,,,,,,,,,
Jared Verse,Defensive Edge,Florida State,ACC,76.0,254.0,4.58,31.0,35.0,127.0,7.31,4.44,23.0,2,0,0,0,1,1,0,2.0,7.0,8.5,23.0,0.0,12.0,40.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,3.0,8.5,20.0,0.0,15.5,42.0,,,,,,,,,,,,,,,,,,,,
Chop Robinson,Defensive Edge,Penn State,Big Ten,75.0,254.0,4.48,,34.5,128.0,,4.25,21.0,3,1,1,1,0,0,0,1.0,5.0,4.0,12.0,0.0,7.5,15.0,0.0,0.0,1.0,,,,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,12.0,0.0,2.5,19.0,,,,,,,,,,,,,
Darius Robinson,Defensive Edge,Missouri,SEC,77.0,285.0,4.95,21.0,35.0,111.0,,,22.0,4,1,1,1,1,0,0,0.0,6.0,8.5,29.0,0.0,14.0,43.0,0.0,0.0,1.0,,,,0.0,3.0,3.5,24.0,0.0,6.5,32.0,1.0,0.0,0.0,11.0,0.0,0.5,24.0,,,,,,,0.0,1.0,1.0,6.0,0.0,1.0,12.0
Marshawn Kneeland,Defensive Edge,Western Michigan,Mid-American,75.0,267.0,4.75,21.0,35.5,119.0,7.02,4.18,23.0,4,0,1,1,1,1,0,0.0,8.0,4.5,29.0,0.0,7.5,57.0,,,,,,,3.0,5.0,3.0,24.0,0.0,11.5,40.0,0.0,3.0,4.5,15.0,0.0,8.0,32.0,,,,,,,0.0,0.0,2.0,14.0,0.0,2.0,23.0
Chris Braswell,Defensive Edge,Alabama,SEC,75.0,251.0,4.6,,33.5,115.0,,,22.0,3,0,1,1,1,0,0,1.0,5.0,8.0,16.0,1.0,10.5,42.0,,,,,,,0.0,6.0,3.0,7.0,0.0,4.5,17.0,0.0,2.0,0.0,7.0,0.0,1.0,13.0,,,,,,,,,,,,,
Bralen Trice,Defensive Edge,Washington,Pac-12,76.0,245.0,4.72,,,,,,23.0,3,0,0,1,1,1,0,2.0,15.0,6.5,27.0,0.0,11.0,46.0,0.0,0.0,1.0,,,,0.0,3.0,9.0,20.0,0.0,12.0,34.0,0.0,0.0,2.0,11.0,0.0,5.0,14.0,0.0,0.0,1.0,,,,,,,,,,
Jonah Elliss,Defensive Edge,Utah,Pac-12,74.0,248.0,,,,,,,21.0,3,1,1,1,0,0,0,3.0,3.0,11.5,22.0,0.0,15.5,37.0,,,,0.0,0.0,4.0,0.0,1.0,3.0,15.0,0.0,6.0,26.0,0.0,0.0,1.0,9.0,0.0,1.0,16.0,0.0,0.0,2.0,,,,,,,,,,
Xavier Thomas,Defensive Edge,Clemson,ACC,74.0,244.0,4.62,26.0,32.5,120.0,,,24.0,4,0,0,1,1,1,1,2.0,10.0,3.0,16.0,0.0,4.0,24.0,0.0,0.0,1.0,,,,0.0,2.0,2.0,2.0,0.0,2.0,4.0,1.0,14.0,3.5,12.0,0.0,5.5,21.0,,,,,,,0.0,0.0,3.5,4.0,0.0,4.0,6.0
