name,position,college,conference,height,weight,forty,bench,vertical,broad_jump,cone,shuttle,age,years_since_first_played,played_at_18,played_at_19,played_at_20,played_at_21,played_at_22,played_at_23,Y0_defensive_PD,Y0_defensive_QB HUR,Y0_defensive_SACKS,Y0_defensive_SOLO,Y0_defensive_TD,Y0_defensive_TFL,Y0_defensive_TOT,Y0_fumbles_FUM,Y0_fumbles_LOST,Y0_fumbles_REC,Y1_fumbles_FUM,Y1_fumbles_LOST,Y1_fumbles_REC,Y1_defensive_PD,Y1_defensive_QB HUR,Y1_defensive_SACKS,Y1_defensive_SOLO,Y1_defensive_TD,Y1_defensive_TFL,Y1_defensive_TOT,Y2_defensive_PD,Y2_defensive_QB HUR,Y2_defensive_SACKS,Y2_defensive_SOLO,Y2_defensive_TD,Y2_defensive_TFL,Y2_defensive_TOT,Y2_fumbles_FUM,Y2_fumbles_LOST,Y2_fumbles_REC,Y3_fumbles_FUM,Y3_fumbles_LOST,Y3_fumbles_REC,Y3_defensive_PD,Y3_defensive_QB HUR,Y3_defensive_SACKS,Y3_defensive_SOLO,Y3_defensive_TD,Y3_defensive_TFL,Y3_defensive_TOT
Byron Murphy II,Defensive Tackle,Texas,Big 12,73.0,297.0,4.87,28.0,33.0,111.0,,,21.0,3,1,1,1,0,0,0,0.0,6.0,4.5,13.0,0.0,8.0,26.0,,,,,,,0.0,0.0,1.0,10.0,0.0,3.0,21.0,0.0,0.0,2.0,10.0,0.0,3.5,15.0,,,,,,,,,,,,,
Ruke Orhorhoro,Defensive Tackle,Clemson,ACC,76.0,294.0,4.89,29.0,32.0,116.0,,,22.0,4,1,1,1,1,0,0,1.0,3.0,5.0,13.0,0.0,8.0,23.0,,,,0.0,0.0,2.0,5.0,2.0,4.0,13.0,0.0,8.0,23.0,3.0,0.0,2.5,11.0,0.0,8.0,36.0,0.0,0.0,1.0,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Jer'Zhan Newton,Defensive Tackle,Illinois,Big Ten,74.0,304.0,,,,,,,22.0,4,1,1,1,1,0,0,2.0,9.0,7.5,26.0,0.0,8.5,52.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,11.0,5.0,25.0,0.0,12.5,56.0,0.0,2.0,3.5,19.0,0.0,3.5,50.0,,,,,,,0.0,0.0,1.5,6.0,0.0,1.5,23.0
T'Vondre Sweat,Defensive Tackle,Texas,Big 12,77.0,366.0,5.27,,26.0,98.0,,,23.0,4,0,1,1,1,1,0,5.0,5.0,2.0,16.0,0.0,7.5,40.0,,,,,,,3.0,5.0,0.0,9.0,0.0,2.5,28.0,3.0,0.0,1.0,9.0,0.0,2.0,22.0,,,,0.0,0.0,1.0,1.0,0.0,0.0,6.0,0.0,4.0,22.0
Braden Fiske,Defensive Tackle,Florida State,ACC,76.0,292.0,4.78,26.0,33.5,117.0,,4.37,24.0,4,0,0,1,1,1,1,0.0,5.0,6.0,17.0,0.0,9.0,42.0,,,,0.0,0.0,1.0,2.0,7.0,4.5,30.0,0.0,10.5,56.0,0.0,3.0,4.0,27.0,0.0,8.0,43.0,,,,,,,0.0,0.0,2.5,7.0,0.0,5.5,23.0
Maason Smith,Defensive Tackle,LSU,SEC,77.0,306.0,5.01,,31.0,108.0,7.62,4.69,21.0,3,1,1,1,0,0,0,2.0,3.0,2.5,8.0,0.0,4.5,27.0,,,,,,,,,,,,,,0.0,1.0,4.0,13.0,0.0,5.0,19.0,,,,,,,,,,,,,
Kris Jenkins,Defensive Tackle,Michigan,Big Ten,75.0,299.0,4.91,29.0,30.0,115.0,,4.78,22.0,3,0,1,1,1,0,0,0.0,3.0,2.0,16.0,0.0,4.0,34.0,0.0,0.0,1.0,,,,0.0,2.0,2.0,26.0,0.0,3.5,48.0,0.0,1.0,0.0,8.0,0.0,0.5,22.0,,,,,,,,,,,,,
Michael Hall Jr.,Defensive Tackle,Ohio State,Big Ten,75.0,290.0,,,,,,,21.0,3,0,1,1,0,0,0,0.0,2.0,1.5,9.0,0.0,2.0,24.0,,,,0.0,0.0,1.0,0.0,1.0,4.5,9.0,0.0,7.5,19.0,0.0,0.0,0.0,1.0,0.0,0.5,2.0,,,,,,,,,,,,,
DeWayne Carter,Defensive Tackle,Duke,ACC,74.0,302.0,4.99,,32.0,109.0,7.95,4.75,23.0,4,0,1,1,1,1,0,4.0,4.0,1.0,9.0,0.0,3.5,34.0,0.0,0.0,1.0,0.0,0.0,3.0,2.0,6.0,5.5,20.0,0.0,11.0,35.0,3.0,6.0,4.5,13.0,0.0,7.5,36.0,,,,,,,0.0,0.0,1.0,4.0,0.0,2.5,12.0
McKinnley Jackson,Defensive Tackle,Texas A&M,SEC,74.0,326.0,5.26,,23.0,106.0,,,22.0,4,1,1,1,1,0,0,0.0,3.0,2.5,10.0,0.0,5.0,26.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,3.0,2.0,23.0,0.0,7.0,37.0,0.0,2.0,1.0,7.0,0.0,1.0,14.0,,,,,,,2.0,4.0,1.5,3.0,0.0,2.0,13.0
