name,position,college,conference,height,weight,forty,vertical,broad_jump,cone,shuttle,age,years_since_first_played,played_at_18,played_at_19,played_at_20,played_at_21,played_at_22,played_at_23,Y3_college
Joe Alt,Offensive Tackle,Notre Dame,FBS Independents,81.0,321.0,5.05,28.0,112.0,7.31,4.51,21.0,0,0,0,0,0,0,0,
Taliese Fuaga,Offensive Tackle,Oregon State,Pac-12,78.0,324.0,5.13,32.0,111.0,,,22.0,0,0,0,0,0,0,0,
Jordan Morgan,Offensive Tackle,Arizona,Pac-12,77.0,311.0,5.04,28.0,110.0,,,23.0,0,0,0,0,0,0,0,
Tyler Guyton,Offensive Tackle,Oklahoma,Big 12,80.0,322.0,5.19,34.5,107.0,7.5,4.71,23.0,0,0,0,0,0,0,0,
Blake Fisher,Offensive Tackle,Notre Dame,FBS Independents,78.0,310.0,5.2,28.0,114.0,7.76,4.73,21.0,0,0,0,0,0,0,0,
Roger Rosengarten,Offensive Tackle,Washington,Pac-12,77.0,308.0,4.92,30.0,113.0,,4.6,22.0,0,0,0,0,0,0,0,
Delmar Glaze,Offensive Tackle,Maryland,Big Ten,76.0,315.0,5.21,25.5,104.0,,,22.0,0,0,0,0,0,0,0,
Matt Goncalves,Offensive Tackle,Pittsburgh,ACC,78.0,327.0,,,,,,23.0,0,0,0,0,0,0,0,
Dominick Puni,Offensive Tackle,Kansas,Big 12,77.0,313.0,5.35,30.0,107.0,7.47,4.4,24.0,0,0,0,0,0,0,0,
Christian Jones,Offensive Tackle,Texas,Big 12,77.0,305.0,5.04,,,8.09,4.78,24.0,0,0,0,0,0,0,0,
Walter Rouse,Offensive Tackle,Oklahoma,Big 12,78.0,313.0,,,,,,23.0,4,0,1,1,1,1,0,Stanford
Travis Glover,Offensive Tackle,Georgia State,Sun Belt,78.0,323.0,,,,,,24.0,0,0,0,0,0,0,0,
Tylan Grable,Offensive Tackle,UCF,Big 12,78.0,306.0,4.95,36.5,117.0,,,24.0,0,0,0,0,0,0,0,
Josiah Ezirim,Offensive Tackle,Eastern Kentucky,UAC,78.0,329.0,,,,,,23.0,0,0,0,0,0,0,0,
