name,position,college,conference,height,weight,forty,vertical,broad_jump,cone,shuttle,age,years_since_first_played,played_at_18,played_at_19,played_at_20,played_at_21,played_at_22,played_at_23,Y0_college,Y0_fumbles_FUM,Y0_fumbles_LOST,Y0_fumbles_REC,Y1_college,Y0_passing_ATT,Y0_passing_COMPLETIONS,Y0_passing_INT,Y0_passing_PCT,Y0_passing_TD,Y0_passing_YDS,Y0_passing_YPA,Y0_rushing_CAR,Y0_rushing_LONG,Y0_rushing_TD,Y0_rushing_YDS,Y0_rushing_YPC,Y1_rushing_CAR,Y1_rushing_LONG,Y1_rushing_TD,Y1_rushing_YDS,Y1_rushing_YPC,Y2_college,Y2_rushing_CAR,Y2_rushing_LONG,Y2_rushing_TD,Y2_rushing_YDS,Y2_rushing_YPC,Y1_passing_ATT,Y1_passing_COMPLETIONS,Y1_passing_INT,Y1_passing_PCT,Y1_passing_TD,Y1_passing_YDS,Y1_passing_YPA,Y2_passing_ATT,Y2_passing_COMPLETIONS,Y2_passing_INT,Y2_passing_PCT,Y2_passing_TD,Y2_passing_YDS,Y2_passing_YPA,Y3_college,Y3_rushing_CAR,Y3_rushing_LONG,Y3_rushing_TD,Y3_rushing_YDS,Y3_rushing_YPC,Y3_passing_ATT,Y3_passing_COMPLETIONS,Y3_passing_INT,Y3_passing_PCT,Y3_passing_TD,Y3_passing_YDS,Y3_passing_YPA,Y1_fumbles_FUM,Y1_fumbles_LOST,Y1_fumbles_REC,Y2_fumbles_FUM,Y2_fumbles_LOST,Y2_fumbles_REC,Y3_fumbles_FUM,Y3_fumbles_LOST,Y3_fumbles_REC
Caleb Williams,Quarterback,USC,Pac-12,73.0,214.0,,,,,,22.0,3,0,1,1,1,0,0,USC,9.0,3.0,0.0,USC,388.0,266.0,5.0,0.686,30.0,3633.0,9.4,99.0,46.0,11.0,115.0,1.2,113.0,59.0,10.0,382.0,3.4,Oklahoma,79.0,74.0,6.0,442.0,5.6,499.0,332.0,5.0,0.665,42.0,4535.0,9.1,211.0,136.0,4.0,0.645,21.0,1912.0,9.1,,,,,,,,,,,,,,3.0,1.0,0.0,5.0,1.0,0.0,,,
Jayden Daniels,Quarterback,LSU,SEC,76.0,210.0,,,,,,23.0,4,0,1,1,1,1,0,LSU,2.0,1.0,0.0,LSU,327.0,236.0,4.0,0.722,40.0,3812.0,11.7,135.0,85.0,10.0,1134.0,8.4,186.0,37.0,11.0,885.0,4.8,Arizona State,138.0,51.0,6.0,710.0,5.1,388.0,266.0,3.0,0.686,17.0,2913.0,7.5,301.0,197.0,10.0,0.654,10.0,2380.0,7.9,Arizona State,33.0,53.0,4.0,223.0,6.8,84.0,49.0,1.0,0.583,5.0,701.0,8.3,4.0,3.0,0.0,,,,1.0,0.0,0.0
Drake Maye,Quarterback,North Carolina,ACC,76.0,223.0,,,,,,22.0,3,0,1,1,1,0,0,North Carolina,3.0,2.0,0.0,North Carolina,425.0,269.0,9.0,0.633,24.0,3608.0,8.5,112.0,56.0,9.0,449.0,4.0,184.0,42.0,7.0,699.0,3.8,North Carolina,6.0,19.0,0.0,62.0,10.3,516.0,342.0,7.0,0.663,38.0,4321.0,8.4,10.0,7.0,0.0,0.7,1.0,89.0,8.9,,,,,,,,,,,,,,7.0,5.0,0.0,,,,,,
Michael Penix Jr.,Quarterback,Washington,Pac-12,74.0,216.0,,,,,,24.0,4,0,0,1,1,1,1,Washington,2.0,1.0,0.0,Washington,556.0,363.0,11.0,0.653,36.0,4903.0,8.8,35.0,13.0,3.0,8.0,0.2,35.0,30.0,4.0,92.0,2.6,Indiana,17.0,9.0,2.0,-24.0,-1.4,554.0,362.0,8.0,0.653,31.0,4641.0,8.4,162.0,87.0,7.0,0.537,4.0,939.0,5.8,Indiana,18.0,25.0,2.0,25.0,1.4,219.0,123.0,4.0,0.562,14.0,1649.0,7.5,2.0,0.0,0.0,,,,,,
J.J. McCarthy,Quarterback,Michigan,Big Ten,75.0,219.0,,,,6.82,4.23,21.0,3,1,1,1,0,0,0,Michigan,3.0,0.0,0.0,Michigan,332.0,240.0,4.0,0.723,22.0,2991.0,9.0,64.0,22.0,3.0,202.0,3.2,70.0,39.0,5.0,306.0,4.4,Michigan,27.0,23.0,2.0,124.0,4.6,322.0,208.0,5.0,0.646,22.0,2719.0,8.4,59.0,34.0,2.0,0.576,5.0,516.0,8.7,,,,,,,,,,,,,,6.0,0.0,0.0,3.0,1.0,0.0,,,
Bo Nix,Quarterback,Oregon,Pac-12,74.0,214.0,,,,,,24.0,2,0,0,0,0,1,1,Oregon,,,,Oregon,470.0,364.0,3.0,0.774,45.0,4508.0,9.6,54.0,44.0,6.0,234.0,4.3,88.0,80.0,14.0,514.0,5.8,,,,,,,408.0,294.0,7.0,0.721,29.0,3594.0,8.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spencer Rattler,Quarterback,South Carolina,SEC,72.0,211.0,4.95,32.0,108.0,7.21,4.37,23.0,4,0,1,1,1,1,0,South Carolina,3.0,0.0,0.0,South Carolina,399.0,275.0,8.0,0.689,19.0,3186.0,8.0,98.0,28.0,4.0,102.0,1.0,72.0,18.0,3.0,57.0,0.8,Oklahoma,43.0,22.0,3.0,77.0,1.8,394.0,262.0,12.0,0.665,18.0,3011.0,7.6,187.0,140.0,5.0,0.749,11.0,1483.0,7.9,Oklahoma,81.0,25.0,6.0,160.0,2.0,317.0,214.0,7.0,0.675,28.0,3031.0,9.6,7.0,4.0,0.0,2.0,1.0,0.0,6.0,2.0,0.0
Jordan Travis,Quarterback,Florida State,ACC,73.0,200.0,,,,,,24.0,4,0,0,1,1,1,1,Florida State,3.0,0.0,0.0,Florida State,324.0,207.0,2.0,0.639,20.0,2745.0,8.5,73.0,20.0,7.0,176.0,2.4,82.0,71.0,7.0,417.0,5.1,Florida State,134.0,53.0,7.0,530.0,4.0,353.0,226.0,5.0,0.64,24.0,3214.0,9.1,194.0,122.0,6.0,0.629,15.0,1539.0,7.9,Florida State,97.0,88.0,7.0,562.0,5.8,131.0,72.0,6.0,0.55,6.0,1056.0,8.1,4.0,3.0,0.0,5.0,0.0,0.0,3.0,0.0,0.0
Joe Milton III,Quarterback,Tennessee,SEC,77.0,235.0,,,,,,24.0,4,0,0,1,1,1,1,Tennessee,5.0,2.0,0.0,Tennessee,355.0,230.0,5.0,0.648,20.0,2814.0,7.9,78.0,81.0,7.0,299.0,3.8,18.0,21.0,0.0,77.0,4.3,Tennessee,28.0,54.0,2.0,129.0,4.6,82.0,53.0,0.0,0.646,10.0,971.0,11.8,62.0,32.0,0.0,0.516,2.0,375.0,6.0,Michigan,38.0,23.0,1.0,109.0,2.9,141.0,80.0,4.0,0.567,4.0,1077.0,7.6,,,,3.0,3.0,0.0,1.0,1.0,0.0
Devin Leary,Quarterback,Kentucky,SEC,73.0,215.0,,,,,,24.0,4,0,0,1,1,1,1,Kentucky,4.0,2.0,0.0,NC State,371.0,209.0,12.0,0.563,25.0,2746.0,7.4,42.0,22.0,1.0,-60.0,-1.4,23.0,12.0,3.0,1.0,0.0,NC State,54.0,17.0,2.0,-73.0,-1.4,193.0,118.0,4.0,0.611,11.0,1265.0,6.6,431.0,283.0,5.0,0.657,35.0,3433.0,8.0,NC State,19.0,20.0,0.0,7.0,0.4,109.0,65.0,2.0,0.596,8.0,879.0,8.1,1.0,0.0,0.0,3.0,1.0,0.0,1.0,1.0,0.0
