name,position,college,conference,height,weight,forty,bench,vertical,broad_jump,cone,shuttle,age,years_since_first_played,played_at_18,played_at_19,played_at_20,played_at_21,played_at_22,played_at_23,Y0_college,Y0_defensive_PD,Y0_defensive_QB HUR,Y0_defensive_SACKS,Y0_defensive_SOLO,Y0_defensive_TD,Y0_defensive_TFL,Y0_defensive_TOT,Y0_fumbles_FUM,Y0_fumbles_LOST,Y0_fumbles_REC,Y1_college,Y1_interceptions_AVG,Y1_interceptions_INT,Y1_interceptions_TD,Y1_interceptions_YDS,Y2_college,Y3_college,Y0_interceptions_AVG,Y0_interceptions_INT,Y0_interceptions_TD,Y0_interceptions_YDS,Y2_interceptions_AVG,Y2_interceptions_INT,Y2_interceptions_TD,Y2_interceptions_YDS,Y3_interceptions_AVG,Y3_interceptions_INT,Y3_interceptions_TD,Y3_interceptions_YDS,Y1_fumbles_FUM,Y1_fumbles_LOST,Y1_fumbles_REC,Y1_defensive_PD,Y1_defensive_QB HUR,Y1_defensive_SACKS,Y1_defensive_SOLO,Y1_defensive_TD,Y1_defensive_TFL,Y1_defensive_TOT,Y2_defensive_PD,Y2_defensive_QB HUR,Y2_defensive_SACKS,Y2_defensive_SOLO,Y2_defensive_TD,Y2_defensive_TFL,Y2_defensive_TOT,Y2_fumbles_FUM,Y2_fumbles_LOST,Y2_fumbles_REC,Y3_defensive_PD,Y3_defensive_QB HUR,Y3_defensive_SACKS,Y3_defensive_SOLO,Y3_defensive_TD,Y3_defensive_TFL,Y3_defensive_TOT
Tyler Nubin,Safety,Minnesota,Big Ten,74.0,199.0,,,,,,,23.0,4,0,1,1,1,1,0,Minnesota,3.0,0.0,1.0,31.0,0.0,1.0,50.0,1.0,0.0,1.0,Minnesota,10.8,4.0,0.0,43.0,Minnesota,Minnesota,13.2,5.0,0.0,66.0,14.0,3.0,0.0,42.0,0.0,1.0,0.0,0.0,,,,3.0,0.0,0.0,37.0,0.0,2.0,55.0,2.0,0.0,1.0,35.0,0.0,1.0,49.0,,,,0.0,0.0,0.0,30.0,0.0,0.5,41.0
Javon Bullard,Safety,Georgia,SEC,71.0,198.0,4.47,,,,,,22.0,3,0,1,1,1,0,0,Georgia,5.0,0.0,0.0,39.0,0.0,1.0,56.0,,,,Georgia,1.5,2.0,0.0,3.0,Georgia,,0.0,2.0,0.0,0.0,,,,,,,,,0.0,0.0,1.0,4.0,0.0,3.5,25.0,0.0,7.0,37.0,0.0,0.0,0.0,7.0,0.0,0.0,11.0,,,,,,,,,,
Cole Bishop,Safety,Utah,Pac-12,74.0,206.0,4.45,,39.0,124.0,,,21.0,3,1,1,1,0,0,0,Utah,3.0,0.0,3.0,35.0,0.0,6.5,60.0,0.0,0.0,2.0,Utah,0.0,1.0,0.0,0.0,Utah,,5.0,2.0,0.0,10.0,,,,,,,,,0.0,0.0,2.0,3.0,1.0,1.5,36.0,0.0,6.0,68.0,5.0,0.0,3.0,35.0,0.0,9.0,54.0,0.0,0.0,1.0,,,,,,,
Calen Bullock,Safety,USC,Pac-12,74.0,188.0,4.48,,,,,,21.0,3,1,1,1,0,0,0,USC,5.0,0.0,0.0,39.0,1.0,0.0,58.0,,,,USC,34.4,5.0,1.0,172.0,USC,,20.5,2.0,1.0,41.0,0.0,2.0,0.0,0.0,,,,,,,,5.0,0.0,0.0,27.0,1.0,0.0,43.0,3.0,0.0,0.0,25.0,0.0,0.0,39.0,,,,,,,,,,
Tykee Smith,Safety,Georgia,SEC,70.0,202.0,4.46,,36.0,120.0,,,23.0,4,0,1,1,1,1,0,Georgia,2.0,2.0,2.0,46.0,0.0,8.5,70.0,,,,Georgia,,,,,Georgia,West Virginia,5.0,4.0,0.0,20.0,,,,,21.0,2.0,0.0,42.0,,,,1.0,0.0,2.0,20.0,0.0,2.5,26.0,0.0,0.0,0.0,4.0,0.0,0.0,5.0,,,,5.0,0.0,0.0,33.0,0.0,8.0,61.0
Kamren Kinchens,Safety,Miami,ACC,71.0,203.0,4.65,,35.0,110.0,,,21.0,3,1,1,1,0,0,0,Miami,5.0,0.0,1.0,34.0,1.0,2.5,52.0,0.0,0.0,1.0,Miami,16.5,6.0,1.0,99.0,Miami,,11.4,5.0,1.0,57.0,,,,,,,,,0.0,0.0,1.0,5.0,0.0,0.0,34.0,1.0,1.5,59.0,4.0,0.0,0.0,25.0,0.0,1.0,44.0,,,,,,,,,,
Dadrion Taylor-Demerson,Safety,Texas Tech,Big 12,71.0,195.0,4.41,,38.0,123.0,,,23.0,4,0,1,1,1,1,0,Texas Tech,7.0,2.0,1.0,53.0,0.0,1.5,72.0,,,,Texas Tech,0.0,3.0,0.0,0.0,Texas Tech,Texas Tech,5.8,4.0,0.0,23.0,1.3,3.0,0.0,4.0,,,,,0.0,0.0,2.0,5.0,0.0,1.0,46.0,0.0,5.5,65.0,10.0,0.0,0.0,42.0,0.0,0.5,62.0,,,,0.0,0.0,0.0,13.0,0.0,0.5,16.0
Evan Williams,Safety,Oregon,Pac-12,71.0,200.0,4.6,,40.5,126.0,,,23.0,4,0,1,1,1,1,0,Oregon,1.0,2.0,4.5,49.0,0.0,5.0,82.0,0.0,0.0,2.0,Fresno State,,,,,Fresno State,Fresno State,,,,,21.3,3.0,0.0,64.0,,,,,,,,4.0,2.0,0.0,44.0,0.0,4.5,55.0,4.0,0.0,0.0,59.0,0.0,4.5,90.0,0.0,0.0,2.0,2.0,0.0,0.0,21.0,0.0,0.5,27.0
Malik Mustapha,Safety,Wake Forest,ACC,70.0,197.0,,22.0,,,,,22.0,3,0,1,1,1,0,0,Wake Forest,2.0,1.0,0.5,45.0,0.0,5.0,80.0,,,,Wake Forest,,,,,Wake Forest,,50.0,1.0,0.0,50.0,0.0,2.0,0.0,0.0,,,,,,,,2.0,2.0,3.5,29.0,0.0,7.0,52.0,2.0,0.0,0.0,28.0,0.0,2.0,37.0,0.0,0.0,3.0,,,,,,,
Sione Vaki,Safety,Utah,Pac-12,71.0,210.0,4.62,20.0,39.5,125.0,,,23.0,2,0,0,0,1,1,0,Utah,2.0,0.0,2.0,37.0,0.0,8.5,50.0,1.0,0.0,0.0,Utah,,,,,,,2.0,1.0,0.0,2.0,,,,,,,,,,,,3.0,0.0,0.0,22.0,0.0,2.5,26.0,,,,,,,,,,,,,,,,,
