name,position,college,conference,height,weight,forty,bench,vertical,broad_jump,cone,shuttle,age,years_since_first_played,played_at_18,played_at_19,played_at_20,played_at_21,played_at_22,played_at_23,Y0_college,Y0_fumbles_FUM,Y0_fumbles_LOST,Y0_fumbles_REC,Y1_college,Y0_receiving_LONG,Y0_receiving_REC,Y0_receiving_TD,Y0_receiving_YDS,Y0_receiving_YPR,Y0_rushing_CAR,Y0_rushing_LONG,Y0_rushing_TD,Y0_rushing_YDS,Y0_rushing_YPC,Y1_receiving_LONG,Y1_receiving_REC,Y1_receiving_TD,Y1_receiving_YDS,Y1_receiving_YPR,Y1_rushing_CAR,Y1_rushing_LONG,Y1_rushing_TD,Y1_rushing_YDS,Y1_rushing_YPC,Y2_college,Y2_receiving_LONG,Y2_receiving_REC,Y2_receiving_TD,Y2_receiving_YDS,Y2_receiving_YPR,Y2_rushing_CAR,Y2_rushing_LONG,Y2_rushing_TD,Y2_rushing_YDS,Y2_rushing_YPC,Y3_college,Y3_receiving_LONG,Y3_receiving_REC,Y3_receiving_TD,Y3_receiving_YDS,Y3_receiving_YPR,Y1_fumbles_FUM,Y1_fumbles_LOST,Y1_fumbles_REC,Y2_fumbles_FUM,Y2_fumbles_LOST,Y2_fumbles_REC
Brock Bowers,Tight End,Georgia,SEC,75.0,243.0,,,,,,,21.0,3,1,1,1,0,0,0,Georgia,2.0,0.0,0.0,Georgia,49.0,56.0,6.0,714.0,12.8,6.0,14.0,1.0,28.0,4.7,78.0,63.0,7.0,942.0,15.0,9.0,75.0,3.0,109.0,12.1,Georgia,89.0,56.0,13.0,882.0,15.8,4.0,24.0,1.0,56.0,14.0,,,,,,,,,,,,
Ben Sinnott,Tight End,Kansas State,Big 12,76.0,250.0,4.68,,40.0,126.0,6.82,4.23,22.0,3,0,1,1,1,0,0,Kansas State,1.0,0.0,0.0,Kansas State,44.0,49.0,6.0,676.0,13.8,,,,,,39.0,31.0,4.0,447.0,14.4,,,,,,Kansas State,11.0,2.0,0.0,15.0,7.5,3.0,9.0,1.0,12.0,4.0,,,,,,,,,,,,
Tip Reiman,Tight End,Illinois,Big Ten,77.0,271.0,4.64,28.0,33.5,121.0,7.02,4.26,22.0,3,0,1,1,1,0,0,Illinois,,,,Illinois,42.0,19.0,3.0,203.0,10.7,,,,,,20.0,19.0,1.0,173.0,9.1,,,,,,Illinois,24.0,3.0,1.0,43.0,14.3,,,,,,,,,,,,,,,,,
Ja'Tavion Sanders,Tight End,Texas,Big 12,76.0,245.0,4.69,,,,,4.32,21.0,3,1,1,1,0,0,0,Texas,,,,Texas,50.0,45.0,2.0,682.0,15.2,1.0,12.0,0.0,12.0,12.0,37.0,54.0,5.0,613.0,11.4,,,,,,Texas,,,,,,,,,,,,,,,,,,,,,,
Theo Johnson,Tight End,Penn State,Big Ten,78.0,259.0,,,,,,,23.0,4,0,1,1,1,1,0,Penn State,,,,Penn State,34.0,34.0,7.0,341.0,10.0,,,,,,48.0,20.0,4.0,328.0,16.4,,,,,,Penn State,37.0,19.0,1.0,213.0,11.2,,,,,,Penn State,23.0,4.0,0.0,56.0,14.0,,,,,,
Erick All,Tight End,Iowa,Big Ten,76.0,252.0,,,,,,,23.0,4,0,1,1,1,1,0,Iowa,1.0,1.0,0.0,Michigan,34.0,21.0,3.0,299.0,14.2,,,,,,22.0,3.0,0.0,36.0,12.0,,,,,,Michigan,47.0,38.0,2.0,437.0,11.5,,,,,,Michigan,27.0,12.0,0.0,82.0,6.8,,,,,,
AJ Barner,Tight End,Michigan,Big Ten,78.0,251.0,,,,,,,22.0,3,0,1,1,1,0,0,Michigan,,,,Indiana,22.0,22.0,1.0,249.0,11.3,,,,,,43.0,27.0,3.0,193.0,7.1,,,,,,Indiana,76.0,14.0,1.0,162.0,11.6,,,,,,,,,,,,,,,,,
Cade Stover,Tight End,Ohio State,Big Ten,76.0,247.0,4.65,,34.5,117.0,,4.45,24.0,3,0,0,0,1,1,1,Ohio State,1.0,0.0,0.0,Ohio State,49.0,41.0,5.0,576.0,14.0,,,,,,38.0,36.0,5.0,406.0,11.3,,,,,,Ohio State,25.0,5.0,0.0,76.0,15.2,,,,,,,,,,,,,,,,,
Jared Wiley,Tight End,TCU,Big 12,78.0,249.0,4.62,,37.0,118.0,7.19,,23.0,4,0,1,1,1,1,0,TCU,,,,TCU,81.0,47.0,8.0,520.0,11.1,,,,,,30.0,24.0,4.0,245.0,10.2,,,,,,Texas,20.0,9.0,2.0,67.0,7.4,,,,,,Texas,52.0,9.0,1.0,166.0,18.4,,,,,,
Tanner McLachlan,Tight End,Arizona,Pac-12,77.0,244.0,4.61,,35.0,117.0,,,25.0,2,0,0,0,0,0,1,Arizona,,,,Arizona,36.0,45.0,4.0,528.0,11.7,,,,,,30.0,34.0,2.0,456.0,13.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
