name,position,college,conference,height,weight,forty,bench,vertical,broad_jump,cone,shuttle,age,years_since_first_played,played_at_18,played_at_19,played_at_20,played_at_21,played_at_22,played_at_23,Y0_college,Y0_defensive_PD,Y0_defensive_QB HUR,Y0_defensive_SACKS,Y0_defensive_SOLO,Y0_defensive_TD,Y0_defensive_TFL,Y0_defensive_TOT,Y1_college,Y1_interceptions_AVG,Y1_interceptions_INT,Y1_interceptions_TD,Y1_interceptions_YDS,Y1_puntReturns_AVG,Y1_puntReturns_LONG,Y1_puntReturns_NO,Y1_puntReturns_TD,Y1_puntReturns_YDS,Y2_college,Y2_kickReturns_AVG,Y2_kickReturns_LONG,Y2_kickReturns_NO,Y2_kickReturns_TD,Y2_kickReturns_YDS,Y0_kickReturns_AVG,Y0_kickReturns_LONG,Y0_kickReturns_NO,Y0_kickReturns_TD,Y0_kickReturns_YDS,Y3_college,Y0_interceptions_AVG,Y0_interceptions_INT,Y0_interceptions_TD,Y0_interceptions_YDS,Y0_puntReturns_AVG,Y0_puntReturns_LONG,Y0_puntReturns_NO,Y0_puntReturns_TD,Y0_puntReturns_YDS,Y1_kickReturns_AVG,Y1_kickReturns_LONG,Y1_kickReturns_NO,Y1_kickReturns_TD,Y1_kickReturns_YDS,Y2_puntReturns_AVG,Y2_puntReturns_LONG,Y2_puntReturns_NO,Y2_puntReturns_TD,Y2_puntReturns_YDS,Y2_interceptions_AVG,Y2_interceptions_INT,Y2_interceptions_TD,Y2_interceptions_YDS,Y3_kickReturns_AVG,Y3_kickReturns_LONG,Y3_kickReturns_NO,Y3_kickReturns_TD,Y3_kickReturns_YDS,Y3_puntReturns_AVG,Y3_puntReturns_LONG,Y3_puntReturns_NO,Y3_puntReturns_TD,Y3_puntReturns_YDS,Y3_interceptions_AVG,Y3_interceptions_INT,Y3_interceptions_TD,Y3_interceptions_YDS,Y1_defensive_PD,Y1_defensive_QB HUR,Y1_defensive_SACKS,Y1_defensive_SOLO,Y1_defensive_TD,Y1_defensive_TFL,Y1_defensive_TOT,Y2_defensive_PD,Y2_defensive_QB HUR,Y2_defensive_SACKS,Y2_defensive_SOLO,Y2_defensive_TD,Y2_defensive_TFL,Y2_defensive_TOT,Y3_defensive_PD,Y3_defensive_QB HUR,Y3_defensive_SACKS,Y3_defensive_SOLO,Y3_defensive_TD,Y3_defensive_TFL,Y3_defensive_TOT
Travis Hunter,Cornerback,Colorado,Big 12,72.0,188.0,,,,,,,22.0,2,0,0,1,1,0,0,Colorado,11.0,0.0,0.0,25.0,0.0,1.0,35.0,Colorado,-3.3,3.0,0.0,-10.0,,,,,,,,,,,,,,,,,,16.3,4.0,0.0,65.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0,0.0,23.0,0.0,2.0,31.0,,,,,,,,,,,,,,
Jahdae Barron,Cornerback,Texas,SEC,71.0,194.0,4.39,,35.0,123.0,,,23.0,4,0,1,1,1,1,0,Texas,10.0,2.0,1.0,46.0,0.0,2.5,67.0,Texas,16.0,1.0,0.0,16.0,,,,,,Texas,,,,,,,,,,,Texas,16.4,5.0,0.0,82.0,,,,,,,,,,,,,,,,25.0,2.0,1.0,50.0,,,,,,,,,,,,,,,5.0,0.0,0.0,32.0,0.0,4.0,55.0,2.0,0.0,1.0,39.0,1.0,11.0,67.0,3.0,0.0,0.0,12.0,0.0,1.0,18.0
Maxwell Hairston,Cornerback,Kentucky,SEC,71.0,183.0,4.28,,39.5,129.0,,,22.0,3,0,0,1,1,0,0,Kentucky,4.0,0.0,1.0,15.0,1.0,1.0,19.0,Kentucky,26.2,5.0,2.0,131.0,,,,,,Kentucky,,,,,,,,,,,,25.0,1.0,1.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,0.0,0.0,53.0,2.0,1.5,66.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,,,,,,,
Will Johnson,Cornerback,Michigan,Big Ten,74.0,194.0,,,,,,,22.0,3,0,1,1,1,0,0,Michigan,3.0,1.0,0.0,12.0,2.0,1.0,14.0,Michigan,20.0,4.0,1.0,80.0,,,,,,Michigan,,,,,,,,,,,,64.0,2.0,2.0,128.0,,,,,,,,,,,,,,,,9.7,3.0,0.0,29.0,,,,,,,,,,,,,,,4.0,0.0,0.0,18.0,1.0,1.0,23.0,5.0,0.0,0.0,22.0,0.0,1.0,23.0,,,,,,,
Benjamin Morrison,Cornerback,Notre Dame,FBS Independents,72.0,193.0,,,,,,,21.0,3,1,1,1,0,0,0,Notre Dame,3.0,0.0,0.0,14.0,0.0,0.0,20.0,Notre Dame,4.7,3.0,0.0,14.0,,,,,,Notre Dame,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,0.0,16.2,6.0,1.0,97.0,,,,,,,,,,,,,,,9.0,0.0,0.0,25.0,0.0,3.5,30.0,5.0,0.0,0.0,21.0,1.0,1.0,30.0,,,,,,,
Trey Amos,Cornerback,Ole Miss,SEC,73.0,195.0,4.43,13.0,32.5,126.0,,,23.0,4,0,1,1,1,1,0,Ole Miss,13.0,0.0,0.0,39.0,0.0,3.5,50.0,Alabama,,,,,,,,,,Louisiana,,,,,,,,,,,Louisiana,-0.3,3.0,0.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,1.0,0.0,6.0,0.0,0.5,12.0,7.0,0.0,0.0,24.0,0.0,1.0,32.0,5.0,0.0,0.0,10.0,0.0,1.5,14.0
Darien Porter,Cornerback,Iowa State,Big 12,75.0,195.0,4.3,,36.5,131.0,6.71,4.04,24.0,4,0,0,1,1,1,1,Iowa State,2.0,0.0,0.0,12.0,0.0,2.0,18.0,Iowa State,,,,,,,,,,Iowa State,,,,,,,,,,,Iowa State,1.7,3.0,0.0,5.0,,,,,,,,,,,22.0,22.0,1.0,0.0,22.0,,,,,,,,,,8.0,8.0,1.0,0.0,8.0,,,,,3.0,0.0,0.0,7.0,0.0,0.0,10.0,1.0,0.0,0.0,12.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
Azareye'h Thomas,Cornerback,Florida State,ACC,74.0,197.0,,,,122.0,,,21.0,3,1,1,1,0,0,0,Florida State,4.0,2.0,0.0,34.0,0.0,1.5,51.0,Florida State,,,,,,,,,,Florida State,,,,,,,,,,,,0.0,1.0,0.0,0.0,,,,,,0.0,0.0,1.0,0.0,0.0,,,,,,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,10.0,0.0,0.0,20.0,0.0,3.0,27.0,0.0,0.0,0.0,8.0,0.0,2.0,13.0,,,,,,,
Shavon Revel Jr.,Cornerback,East Carolina,American Athletic,74.0,194.0,,,,,,,24.0,3,0,0,0,0,1,1,East Carolina,2.0,0.0,0.0,4.0,1.0,0.5,8.0,East Carolina,0.0,1.0,0.0,0.0,,,,,,East Carolina,,,,,,,,,,,,25.0,2.0,1.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,0.0,1.0,30.0,0.0,3.5,55.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,,,,,,,
Justin Walley,Cornerback,Minnesota,Big Ten,70.0,190.0,4.4,,,,,,22.0,4,1,1,1,1,0,0,Minnesota,10.0,1.0,1.0,25.0,1.0,2.0,42.0,Minnesota,1.0,1.0,0.0,1.0,,,,,,Minnesota,,,,,,,,,,,Minnesota,51.0,2.0,1.0,102.0,,,,,,,,,,,,,,,,21.7,3.0,0.0,65.0,,,,,,,,,,,0.0,1.0,0.0,0.0,8.0,0.0,0.0,32.0,0.0,2.0,38.0,2.0,0.0,0.0,24.0,0.0,0.0,33.0,7.0,0.0,0.0,21.0,0.0,0.0,29.0
