name,position,college,conference,height,weight,forty,bench,vertical,broad_jump,cone,shuttle,age,years_since_first_played,played_at_18,played_at_19,played_at_20,played_at_21,played_at_22,played_at_23,Y0_defensive_PD,Y0_defensive_QB HUR,Y0_defensive_SACKS,Y0_defensive_SOLO,Y0_defensive_TD,Y0_defensive_TFL,Y0_defensive_TOT,Y0_fumbles_FUM,Y0_fumbles_LOST,Y0_fumbles_REC,Y1_fumbles_FUM,Y1_fumbles_LOST,Y1_fumbles_REC,Y1_defensive_PD,Y1_defensive_QB HUR,Y1_defensive_SACKS,Y1_defensive_SOLO,Y1_defensive_TD,Y1_defensive_TFL,Y1_defensive_TOT,Y2_defensive_PD,Y2_defensive_QB HUR,Y2_defensive_SACKS,Y2_defensive_SOLO,Y2_defensive_TD,Y2_defensive_TFL,Y2_defensive_TOT,Y2_fumbles_FUM,Y2_fumbles_LOST,Y2_fumbles_REC,Y3_defensive_PD,Y3_defensive_QB HUR,Y3_defensive_SACKS,Y3_defensive_SOLO,Y3_defensive_TD,Y3_defensive_TFL,Y3_defensive_TOT
Abdul Carter,Defensive Edge,Penn State,Big Ten,75.0,250.0,,,,,,,21.0,3,1,1,1,0,0,0,4.0,9.0,12.0,39.0,0.0,23.5,62.0,,,,,,,5.0,5.0,4.5,26.0,0.0,5.5,49.0,4.0,5.0,6.5,35.0,0.0,10.5,55.0,,,,,,,,,,
Mykel Williams,Defensive Edge,Georgia,SEC,77.0,260.0,,,,,,,21.0,3,1,1,1,0,0,0,1.0,3.0,5.0,15.0,0.0,8.5,21.0,,,,0.0,0.0,1.0,2.0,0.0,4.5,9.0,0.0,6.5,16.0,0.0,4.0,4.5,10.0,0.0,5.0,22.0,,,,,,,,,,
Shemar Stewart,Defensive Edge,Texas A&M,SEC,77.0,267.0,4.59,,40.0,131.0,,,21.0,3,1,1,1,0,0,0,2.0,7.0,1.5,14.0,0.0,5.5,31.0,,,,0.0,0.0,1.0,2.0,6.0,1.5,5.0,0.0,2.0,11.0,0.0,4.0,1.5,11.0,0.0,3.5,23.0,0.0,0.0,1.0,,,,,,,
James Pearce Jr.,Defensive Edge,Tennessee,SEC,77.0,245.0,4.47,,31.0,123.0,,,21.0,3,1,1,1,0,0,0,1.0,10.0,7.5,23.0,0.0,13.0,38.0,0.0,0.0,1.0,,,,0.0,15.0,9.5,18.0,1.0,14.0,27.0,0.0,1.0,2.0,3.0,0.0,2.0,5.0,,,,,,,,,,
Donovan Ezeiruaku,Defensive Edge,Boston College,ACC,75.0,248.0,,22.0,35.5,119.0,6.94,4.19,21.0,4,1,1,1,0,0,0,1.0,14.0,13.5,35.0,0.0,18.5,76.0,,,,,,,1.0,7.0,1.0,28.0,0.0,5.5,53.0,2.0,4.0,7.5,31.0,0.0,13.5,56.0,,,,0.0,0.0,2.0,13.0,0.0,3.0,19.0
JT Tuimoloau,Defensive Edge,Ohio State,Big Ten,76.0,265.0,,,,,,,22.0,4,1,1,1,1,0,0,3.0,5.0,12.5,35.0,0.0,21.5,61.0,,,,0.0,0.0,1.0,2.0,6.0,5.0,12.0,0.0,7.0,38.0,2.0,4.0,4.0,17.0,1.0,11.0,28.0,0.0,0.0,2.0,1.0,1.0,2.5,8.0,0.0,4.5,17.0
Nic Scourton,Defensive Edge,Texas A&M,SEC,75.0,257.0,,,,,,,21.0,3,1,1,1,0,0,0,2.0,4.0,4.0,27.0,0.0,14.0,37.0,,,,,,,3.0,3.0,8.5,33.0,0.0,14.5,49.0,0.0,1.0,2.0,15.0,0.0,2.0,22.0,,,,,,,,,,
Oluwafemi Oladejo,Defensive Edge,UCLA,Big Ten,75.0,259.0,,20.0,36.5,120.0,,,21.0,4,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.0,15.0,0.0,1.5,23.0,,,,0.0,2.0,0.0,21.0,0.0,2.5,38.0
Mike Green,Defensive Edge,Marshall,Sun Belt,75.0,251.0,,28.0,,,,,22.0,4,0,0,1,1,0,0,,,,,,,,,,,,,,0.0,6.0,3.5,21.0,0.0,8.0,41.0,,,,,,,,,,,0.0,0.0,1.0,2.0,0.0,1.0,4.0
Ashton Gillotte,Defensive Edge,Louisville,ACC,75.0,264.0,,24.0,36.5,120.0,,,22.0,4,1,1,1,1,0,0,0.0,10.0,4.5,23.0,0.0,10.0,43.0,,,,0.0,0.0,1.0,0.0,6.0,10.0,20.0,0.0,11.5,41.0,1.0,1.0,6.5,11.0,0.0,7.5,23.0,0.0,0.0,2.0,0.0,3.0,4.0,15.0,0.0,7.0,19.0
Landon Jackson,Defensive Edge,Arkansas,SEC,78.0,264.0,4.68,,40.5,129.0,,,22.0,3,0,1,1,1,0,0,3.0,9.0,6.5,28.0,0.0,9.5,49.0,0.0,0.0,1.0,,,,1.0,2.0,7.0,22.0,0.0,14.0,45.0,1.0,2.0,3.0,9.0,0.0,3.0,21.0,,,,,,,,,,
Princely Umanmielen,Defensive Edge,Ole Miss,SEC,76.0,244.0,4.72,,38.0,126.0,7.33,4.46,23.0,4,0,1,1,1,1,0,0.0,13.0,10.5,19.0,1.0,13.5,37.0,0.0,0.0,1.0,,,,0.0,16.0,6.5,21.0,0.0,11.0,39.0,0.0,5.0,4.5,16.0,0.0,9.5,39.0,,,,0.0,4.0,1.5,9.0,0.0,1.5,17.0
Jordan Burch,Defensive Edge,Oregon,Big Ten,76.0,279.0,4.67,,,,,,23.0,4,0,1,1,1,1,0,5.0,4.0,8.5,11.0,0.0,11.0,29.0,0.0,0.0,1.0,,,,1.0,5.0,3.0,13.0,0.0,7.5,34.0,3.0,10.0,3.5,30.0,0.0,7.5,56.0,0.0,0.0,1.0,1.0,3.0,1.0,14.0,1.0,2.5,26.0
Josaiah Stewart,Defensive Edge,Michigan,Big Ten,73.0,249.0,,,,,,,22.0,4,1,1,1,1,0,0,0.0,7.0,8.5,22.0,0.0,13.0,33.0,,,,,,,2.0,3.0,5.5,19.0,0.0,8.5,33.0,1.0,5.0,3.5,16.0,0.0,9.0,34.0,0.0,0.0,2.0,0.0,3.0,12.5,24.0,0.0,15.5,43.0
Sai'vion Jones,Defensive Edge,LSU,SEC,77.0,280.0,,19.0,33.0,119.0,,,22.0,4,1,1,1,1,0,0,2.0,8.0,4.0,18.0,0.0,7.0,40.0,0.0,0.0,1.0,,,,2.0,6.0,2.0,7.0,0.0,3.0,32.0,1.0,1.0,3.5,11.0,0.0,5.0,22.0,,,,0.0,1.0,0.0,1.0,0.0,0.0,3.0
David Walker,Defensive Edge,Central Arkansas,UAC,73.0,263.0,4.69,26.0,35.0,118.0,7.15,4.39,25.0,3,0,0,0,0,1,1,0.0,1.0,2.5,2.0,0.0,2.5,4.0,0.0,0.0,1.0,,,,1.0,0.0,0.5,6.0,0.0,1.5,8.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,,,,,,,,,,
Jack Sawyer,Defensive Edge,Ohio State,Big Ten,76.0,260.0,,,,,,,23.0,4,0,1,1,1,1,0,6.0,8.0,9.0,25.0,2.0,9.0,59.0,0.0,0.0,3.0,,,,2.0,3.0,6.5,24.0,0.0,10.0,48.0,1.0,2.0,4.5,10.0,0.0,6.5,23.0,,,,1.0,2.0,3.0,9.0,0.0,3.0,13.0
