name,position,college,conference,height,weight,forty,bench,vertical,broad_jump,cone,shuttle,age,years_since_first_played,played_at_18,played_at_19,played_at_20,played_at_21,played_at_22,played_at_23,Y0_defensive_PD,Y0_defensive_QB HUR,Y0_defensive_SACKS,Y0_defensive_SOLO,Y0_defensive_TD,Y0_defensive_TFL,Y0_defensive_TOT,Y0_fumbles_FUM,Y0_fumbles_LOST,Y0_fumbles_REC,Y1_interceptions_AVG,Y1_interceptions_INT,Y1_interceptions_TD,Y1_interceptions_YDS,Y0_interceptions_AVG,Y0_interceptions_INT,Y0_interceptions_TD,Y0_interceptions_YDS,Y2_interceptions_AVG,Y2_interceptions_INT,Y2_interceptions_TD,Y2_interceptions_YDS,Y3_interceptions_AVG,Y3_interceptions_INT,Y3_interceptions_TD,Y3_interceptions_YDS,Y1_fumbles_FUM,Y1_fumbles_LOST,Y1_fumbles_REC,Y1_defensive_PD,Y1_defensive_QB HUR,Y1_defensive_SACKS,Y1_defensive_SOLO,Y1_defensive_TD,Y1_defensive_TFL,Y1_defensive_TOT,Y2_defensive_PD,Y2_defensive_QB HUR,Y2_defensive_SACKS,Y2_defensive_SOLO,Y2_defensive_TD,Y2_defensive_TFL,Y2_defensive_TOT,Y2_fumbles_FUM,Y2_fumbles_LOST,Y2_fumbles_REC,Y3_fumbles_FUM,Y3_fumbles_LOST,Y3_fumbles_REC,Y3_defensive_PD,Y3_defensive_QB HUR,Y3_defensive_SACKS,Y3_defensive_SOLO,Y3_defensive_TD,Y3_defensive_TFL,Y3_defensive_TOT
Jalon Walker,Linebacker,Georgia,SEC,73.0,243.0,,,,,,,21.0,3,1,1,1,0,0,0,2.0,7.0,6.5,38.0,0.0,10.5,61.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,0.0,1.0,5.0,14.0,0.0,5.5,20.0,0.0,0.0,1.0,5.0,0.0,2.0,9.0,,,,,,,,,,,,,
Jihaad Campbell,Linebacker,Alabama,SEC,75.0,235.0,4.52,,,127.0,,,21.0,3,0,1,1,0,0,0,2.0,3.0,5.0,55.0,0.0,12.0,119.0,0.0,0.0,1.0,2.0,1.0,0.0,2.0,24.0,1.0,0.0,24.0,,,,,,,,,0.0,0.0,2.0,3.0,3.0,0.5,34.0,0.0,4.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,
Carson Schwesinger,Linebacker,UCLA,Big Ten,75.0,242.0,,20.0,39.5,,,,22.0,3,0,1,1,1,0,0,3.0,3.0,4.0,90.0,0.0,8.5,136.0,,,,,,,,6.5,2.0,0.0,13.0,,,,,,,,,,,,0.0,0.0,1.0,6.0,0.0,2.0,12.0,0.0,1.0,0.0,13.0,0.0,0.5,15.0,,,,,,,,,,,,,
Demetrius Knight Jr.,Linebacker,South Carolina,SEC,74.0,235.0,4.58,22.0,31.5,118.0,7.12,4.25,25.0,4,0,0,0,1,1,1,1.0,0.0,2.0,57.0,0.0,8.0,82.0,,,,27.3,3.0,1.0,82.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,4.0,0.0,1.5,42.0,1.0,5.5,89.0,0.0,0.0,0.0,5.0,0.0,0.0,9.0,,,,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,6.0
Nick Martin,Linebacker,Oklahoma State,Big 12,72.0,221.0,,,,,,,22.0,4,0,1,1,1,0,0,2.0,5.0,1.0,28.0,0.0,7.5,47.0,0.0,0.0,1.0,20.0,2.0,0.0,40.0,,,,,,,,,,,,,0.0,0.0,1.0,0.0,8.0,6.0,83.0,0.0,16.0,140.0,0.0,0.0,0.0,9.0,0.0,0.0,14.0,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,1.0
Jack Kiser,Linebacker,Notre Dame,FBS Independents,74.0,231.0,,,,,,,24.0,4,0,0,1,1,1,1,1.0,3.0,2.0,55.0,0.0,5.0,90.0,0.0,0.0,2.0,25.0,1.0,0.0,25.0,,,,,,,,,54.5,2.0,2.0,109.0,,,,1.0,3.0,0.5,35.0,0.0,0.5,52.0,0.0,1.0,3.0,26.0,0.0,5.0,53.0,,,,,,,4.0,2.0,0.0,26.0,2.0,1.0,45.0
Danny Stutsman,Linebacker,Oklahoma,SEC,75.0,233.0,4.52,,34.0,,,,22.0,4,1,1,1,1,0,0,0.0,3.0,1.0,44.0,0.0,8.0,110.0,,,,30.0,1.0,1.0,30.0,,,,,20.0,2.0,0.0,40.0,,,,,0.0,0.0,1.0,3.0,1.0,2.0,46.0,1.0,13.5,87.0,4.0,4.0,3.0,65.0,0.0,10.5,119.0,,,,,,,0.0,0.0,1.0,21.0,0.0,1.5,38.0
Cody Simon,Linebacker,Ohio State,Big Ten,74.0,229.0,,,,,,,23.0,4,0,1,1,1,1,0,7.0,0.0,7.0,51.0,0.0,12.5,112.0,0.0,0.0,1.0,,,,,,,,,,,,,24.0,1.0,0.0,24.0,,,,2.0,0.0,0.0,24.0,0.0,2.0,57.0,1.0,1.0,2.0,16.0,0.0,5.5,32.0,,,,,,,1.0,3.0,1.0,21.0,0.0,2.5,54.0
Barrett Carter,Linebacker,Clemson,ACC,72.0,231.0,,,34.5,116.0,,4.41,22.0,4,1,1,1,1,0,0,6.0,7.0,3.5,37.0,0.0,9.5,74.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,,,,0.5,2.0,0.0,1.0,,,,,0.0,0.0,1.0,5.0,4.0,3.0,31.0,0.0,8.0,56.0,6.0,4.0,5.5,38.0,0.0,10.0,64.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,7.0,0.0,2.0,16.0
Teddye Buchanan,Linebacker,California,ACC,74.0,233.0,4.6,26.0,40.0,125.0,,,22.0,1,0,0,0,1,0,0,4.0,6.0,5.0,42.0,0.0,12.0,108.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ruben Hyppolite II,Linebacker,Maryland,Big Ten,,,,,,,,,23.0,4,0,1,1,1,1,0,2.0,1.0,0.0,33.0,0.0,6.5,66.0,,,,,,,,0.0,1.0,0.0,0.0,,,,,,,,,,,,1.0,0.0,1.0,47.0,0.0,2.5,66.0,1.0,0.0,0.0,8.0,0.0,0.0,19.0,,,,,,,2.0,0.0,0.0,39.0,0.0,2.0,62.0
Shemar James,Linebacker,Florida,SEC,73.0,222.0,4.69,,32.0,117.0,7.09,4.27,21.0,3,1,1,1,0,0,0,3.0,2.0,2.0,34.0,0.0,4.0,64.0,0.0,0.0,1.0,,,,,0.0,1.0,0.0,0.0,,,,,,,,,,,,0.0,0.0,1.0,24.0,0.0,5.5,55.0,0.0,3.0,2.0,14.0,0.0,2.0,40.0,0.0,0.0,1.0,,,,,,,,,,
Jeffrey Bassa,Linebacker,Oregon,Big Ten,73.0,232.0,4.63,21.0,38.5,118.0,7.34,,22.0,4,1,1,1,1,0,0,2.0,2.0,1.5,21.0,0.0,3.0,51.0,,,,45.0,1.0,1.0,45.0,,,,,16.5,2.0,0.0,33.0,,,,,,,,1.0,12.0,0.0,42.0,1.0,3.5,71.0,0.0,1.0,2.0,26.0,0.0,4.0,57.0,,,,,,,1.0,2.0,1.0,24.0,0.0,3.5,39.0
Collin Oliver,Linebacker,Oklahoma State,Big 12,74.0,240.0,4.56,,39.0,126.0,,,22.0,4,1,1,1,1,0,0,1.0,7.0,1.0,2.0,0.0,2.0,4.0,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,5.0,9.0,6.0,45.0,0.0,15.5,73.0,1.0,12.0,5.0,19.0,0.0,7.5,27.0,,,,,,,0.0,5.0,11.5,20.0,0.0,15.5,29.0
Smael Mondon Jr.,Linebacker,Georgia,SEC,74.0,224.0,,,,,,,22.0,4,1,1,1,1,0,0,3.0,0.0,3.0,29.0,0.0,3.5,57.0,,,,,,,,,,,,3.0,1.0,0.0,3.0,,,,,,,,1.0,2.0,2.0,42.0,0.0,5.0,68.0,2.0,4.0,1.0,35.0,0.0,7.5,59.0,,,,,,,0.0,0.0,1.0,4.0,0.0,1.0,10.0
Francisco Mauigoa,Linebacker,Miami,ACC,74.0,233.0,4.6,,35.0,121.0,7.15,4.24,22.0,4,1,1,1,1,0,0,5.0,5.0,2.0,51.0,0.0,11.0,96.0,,,,2.0,1.0,0.0,2.0,2.0,1.0,0.0,2.0,95.0,1.0,1.0,95.0,,,,,,,,3.0,6.0,7.5,45.0,0.0,16.5,78.0,1.0,1.0,3.5,34.0,1.0,5.5,60.0,0.0,0.0,2.0,,,,0.0,0.0,0.0,10.0,0.0,0.5,17.0
Chris Paul Jr.,Linebacker,Ole Miss,SEC,73.0,222.0,4.63,,36.0,117.0,,,22.0,4,0,1,1,1,0,0,4.0,9.0,3.5,49.0,0.0,12.0,87.0,1.0,1.0,1.0,,,,,10.0,1.0,0.0,10.0,,,,,,,,,,,,1.0,1.0,2.0,30.0,0.0,6.5,74.0,0.0,2.0,3.5,30.0,0.0,7.5,50.0,0.0,0.0,1.0,,,,0.0,0.0,0.0,0.0,0.0,0.5,1.0
Jalen McLeod,Linebacker,Auburn,SEC,74.0,241.0,,,,,,,23.0,4,0,1,1,1,1,0,1.0,2.0,8.0,40.0,0.0,13.5,56.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,0.0,0.0,1.0,1.0,5.0,5.5,37.0,0.0,10.5,50.0,1.0,9.0,6.0,18.0,0.0,7.0,40.0,1.0,0.0,2.0,,,,3.0,3.0,1.0,11.0,0.0,3.0,26.0
Kobe King,Linebacker,Penn State,Big Ten,73.0,236.0,,,,,,,22.0,4,1,1,1,1,0,0,1.0,1.0,3.0,47.0,0.0,7.5,87.0,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,1.0,1.5,39.0,0.0,6.0,59.0,3.0,1.0,0.0,19.0,0.0,4.0,39.0,0.0,0.0,1.0,,,,0.0,1.0,0.0,1.0,0.0,0.0,3.0
Kain Medrano,Linebacker,UCLA,Big Ten,75.0,222.0,4.46,,38.0,125.0,,,24.0,4,0,0,1,1,1,1,4.0,4.0,1.5,50.0,1.0,11.0,72.0,0.0,0.0,1.0,,,,,24.5,2.0,1.0,49.0,24.0,1.0,0.0,24.0,,,,,,,,2.0,4.0,2.0,29.0,0.0,7.0,56.0,0.0,1.0,0.0,25.0,0.0,1.0,34.0,,,,0.0,0.0,1.0,1.0,1.0,0.0,15.0,0.0,1.0,24.0
Cody Lindenberg,Linebacker,Minnesota,Big Ten,74.0,236.0,,,,,,,23.0,4,0,0,1,1,1,0,6.0,3.0,1.0,45.0,0.0,5.0,94.0,,,,,,,,0.0,1.0,0.0,0.0,,,,,,,,,,,,0.0,0.0,0.0,18.0,0.0,3.5,31.0,2.0,1.0,1.0,37.0,0.0,4.0,60.0,,,,,,,0.0,0.0,0.0,2.0,0.0,0.0,3.0
