name,position,college,conference,height,weight,forty,vertical,broad_jump,cone,shuttle,age,years_since_first_played,played_at_18,played_at_19,played_at_20,played_at_21,played_at_22,played_at_23,Y0_college,Y1_college
Armand Membou,Offensive Tackle,Missouri,SEC,76.0,332.0,4.91,34.0,115.0,,,21.0,0,0,0,0,0,0,0,,
Kelvin Banks Jr.,Offensive Tackle,Texas,SEC,77.0,315.0,5.16,32.0,104.0,7.81,4.66,21.0,0,0,0,0,0,0,0,,
Josh Conerly Jr.,Offensive Tackle,Oregon,Big Ten,77.0,311.0,,,,,,21.0,0,0,0,0,0,0,0,,
Aireontae Ersery,Offensive Tackle,Minnesota,Big Ten,78.0,331.0,5.01,29.5,111.0,7.81,4.82,23.0,0,0,0,0,0,0,0,,
Ozzy Trapilo,Offensive Tackle,Boston College,ACC,80.0,316.0,5.21,,106.0,7.71,4.7,23.0,0,0,0,0,0,0,0,,
Emery Jones Jr.,Offensive Tackle,LSU,SEC,77.0,315.0,,,,,,21.0,1,0,0,1,0,0,0,LSU,
Myles Hinton,Offensive Tackle,Michigan,Big Ten,79.0,323.0,,31.5,,,4.96,23.0,0,0,0,0,0,0,0,,
Bryce Cabeldue,Offensive Tackle,Kansas,Big 12,78.0,315.0,,,,,,24.0,0,0,0,0,0,0,0,,
Luke Newman,Offensive Tackle,Michigan State,Big Ten,,,,,,,,23.0,0,0,0,0,0,0,0,,
Branson Taylor,Offensive Tackle,Pittsburgh,ACC,78.0,321.0,,,,,,23.0,0,0,0,0,0,0,0,,
Chase Lundt,Offensive Tackle,UConn,FBS Independents,80.0,304.0,,,,,,25.0,2,0,0,0,0,0,1,,UConn
Jack Nelson,Offensive Tackle,Wisconsin,Big Ten,79.0,314.0,,,,,,23.0,0,0,0,0,0,0,0,,
