name,position,college,conference,height,weight,forty,bench,vertical,broad_jump,cone,shuttle,age,years_since_first_played,played_at_18,played_at_19,played_at_20,played_at_21,played_at_22,played_at_23,Y0_fumbles_FUM,Y0_fumbles_LOST,Y0_fumbles_REC,Y0_receiving_LONG,Y0_receiving_REC,Y0_receiving_TD,Y0_receiving_YDS,Y0_receiving_YPR,Y0_rushing_CAR,Y0_rushing_LONG,Y0_rushing_TD,Y0_rushing_YDS,Y0_rushing_YPC,Y1_receiving_LONG,Y1_receiving_REC,Y1_receiving_TD,Y1_receiving_YDS,Y1_receiving_YPR,Y1_rushing_CAR,Y1_rushing_LONG,Y1_rushing_TD,Y1_rushing_YDS,Y1_rushing_YPC,Y2_receiving_LONG,Y2_receiving_REC,Y2_receiving_TD,Y2_receiving_YDS,Y2_receiving_YPR,Y2_rushing_CAR,Y2_rushing_LONG,Y2_rushing_TD,Y2_rushing_YDS,Y2_rushing_YPC,Y3_receiving_LONG,Y3_receiving_REC,Y3_receiving_TD,Y3_receiving_YDS,Y3_receiving_YPR,Y3_rushing_CAR,Y3_rushing_LONG,Y3_rushing_TD,Y3_rushing_YDS,Y3_rushing_YPC,Y1_fumbles_FUM,Y1_fumbles_LOST,Y1_fumbles_REC,Y2_fumbles_FUM,Y2_fumbles_LOST,Y2_fumbles_REC,Y3_fumbles_FUM,Y3_fumbles_LOST,Y3_fumbles_REC
Ashton Jeanty,Running Back,Boise State,Mountain West,69.0,211.0,,,,,,,21.0,3,1,1,1,0,0,0,4.0,3.0,0.0,18.0,23.0,1.0,138.0,6.0,374.0,77.0,29.0,2601.0,7.0,75.0,43.0,5.0,569.0,13.2,221.0,68.0,14.0,1351.0,6.1,42.0,14.0,0.0,155.0,11.1,157.0,34.0,7.0,826.0,5.3,,,,,,,,,,,5.0,5.0,0.0,1.0,1.0,0.0,,,
Omarion Hampton,Running Back,North Carolina,ACC,72.0,221.0,4.46,18.0,38.0,130.0,,4.4,22.0,3,0,1,1,1,0,0,1.0,0.0,0.0,49.0,38.0,2.0,373.0,9.8,281.0,75.0,15.0,1660.0,5.9,29.0,29.0,1.0,222.0,7.7,253.0,68.0,15.0,1504.0,5.9,15.0,6.0,1.0,40.0,6.7,88.0,58.0,6.0,401.0,4.6,,,,,,,,,,,2.0,2.0,0.0,3.0,0.0,0.0,,,
Quinshon Judkins,Running Back,Ohio State,Big Ten,72.0,221.0,4.48,,38.5,132.0,,,21.0,3,1,1,1,0,0,0,1.0,1.0,0.0,21.0,22.0,2.0,161.0,7.3,194.0,86.0,14.0,1060.0,5.5,25.0,22.0,2.0,149.0,6.8,271.0,40.0,15.0,1158.0,4.3,25.0,15.0,1.0,132.0,8.8,274.0,61.0,16.0,1567.0,5.7,,,,,,,,,,,1.0,0.0,0.0,2.0,2.0,0.0,,,
TreVeyon Henderson,Running Back,Ohio State,Big Ten,70.0,202.0,4.43,,38.5,128.0,,,22.0,4,1,1,1,1,0,0,,,,75.0,27.0,1.0,284.0,10.5,144.0,66.0,10.0,1016.0,7.1,65.0,19.0,0.0,229.0,12.1,156.0,75.0,11.0,926.0,5.9,31.0,4.0,1.0,28.0,7.0,107.0,41.0,6.0,571.0,5.3,70.0,27.0,4.0,312.0,11.6,184.0,68.0,15.0,1255.0,6.8,,,,1.0,0.0,0.0,1.0,0.0,0.0
RJ Harvey,Running Back,UCF,Big 12,68.0,205.0,4.4,16.0,38.0,127.0,,4.34,24.0,3,0,0,0,1,1,1,3.0,1.0,0.0,75.0,20.0,3.0,267.0,13.4,232.0,80.0,22.0,1577.0,6.8,50.0,19.0,2.0,238.0,12.5,226.0,92.0,16.0,1416.0,6.3,29.0,22.0,0.0,215.0,9.8,118.0,61.0,5.0,796.0,6.7,,,,,,,,,,,3.0,3.0,0.0,3.0,2.0,0.0,,,
Kaleb Johnson,Running Back,Iowa,Big Ten,73.0,224.0,4.57,,,,,,22.0,3,0,1,1,1,0,0,,,,72.0,22.0,2.0,188.0,8.5,240.0,75.0,21.0,1537.0,6.4,13.0,3.0,0.0,25.0,8.3,117.0,67.0,3.0,463.0,4.0,14.0,4.0,0.0,27.0,6.8,151.0,75.0,6.0,779.0,5.2,,,,,,,,,,,2.0,0.0,0.0,1.0,1.0,0.0,,,
Bhayshul Tuten,Running Back,Virginia Tech,ACC,69.0,206.0,4.32,,40.5,130.0,,4.41,22.0,2,0,0,1,1,0,0,4.0,1.0,0.0,22.0,22.0,2.0,79.0,3.6,183.0,83.0,15.0,1158.0,6.3,30.0,27.0,2.0,239.0,8.9,173.0,49.0,10.0,863.0,5.0,,,,,,,,,,,,,,,,,,,,,5.0,1.0,0.0,,,,,,
Cam Skattebo,Running Back,Arizona State,Big 12,70.0,219.0,,,39.5,123.0,,,23.0,2,0,0,0,1,1,0,3.0,1.0,0.0,66.0,45.0,3.0,605.0,13.4,293.0,53.0,21.0,1715.0,5.9,66.0,24.0,1.0,286.0,11.9,164.0,66.0,9.0,788.0,4.8,,,,,,,,,,,,,,,,,,,,,2.0,0.0,1.0,,,,,,
Trevor Etienne,Running Back,Georgia,SEC,69.0,198.0,4.42,15.0,35.0,124.0,,,21.0,3,1,1,1,0,0,0,2.0,1.0,0.0,14.0,32.0,0.0,194.0,6.1,122.0,48.0,9.0,609.0,5.0,41.0,21.0,1.0,172.0,8.2,131.0,62.0,8.0,753.0,5.7,26.0,9.0,0.0,66.0,7.3,118.0,85.0,6.0,719.0,6.1,,,,,,,,,,,1.0,0.0,0.0,1.0,0.0,0.0,,,
Woody Marks,Running Back,USC,Big Ten,70.0,207.0,4.54,18.0,35.0,119.0,,4.24,24.0,4,0,0,1,1,1,1,1.0,0.0,1.0,33.0,47.0,0.0,321.0,6.8,198.0,65.0,9.0,1133.0,5.7,32.0,23.0,2.0,167.0,7.3,121.0,52.0,4.0,573.0,4.7,20.0,48.0,0.0,288.0,6.0,113.0,37.0,9.0,582.0,5.2,21.0,83.0,3.0,502.0,6.0,106.0,23.0,6.0,416.0,3.9,,,,1.0,1.0,0.0,2.0,1.0,0.0
Jarquez Hunter,Running Back,Auburn,SEC,69.0,204.0,4.44,21.0,33.5,120.0,,,22.0,4,1,1,1,1,0,0,2.0,1.0,0.0,18.0,21.0,1.0,155.0,7.4,187.0,50.0,8.0,1201.0,6.4,47.0,18.0,0.0,118.0,6.6,159.0,67.0,7.0,909.0,5.7,62.0,17.0,2.0,224.0,13.2,104.0,48.0,7.0,675.0,6.5,14.0,12.0,1.0,61.0,5.1,89.0,94.0,3.0,593.0,6.7,1.0,1.0,0.0,2.0,1.0,0.0,,,
Dylan Sampson,Running Back,Tennessee,SEC,68.0,200.0,,13.0,35.0,124.0,,,20.0,3,1,1,0,0,0,0,4.0,4.0,0.0,21.0,20.0,0.0,143.0,7.2,258.0,56.0,22.0,1491.0,5.8,37.0,17.0,1.0,175.0,10.3,106.0,44.0,7.0,603.0,5.7,19.0,3.0,0.0,24.0,8.0,58.0,80.0,6.0,397.0,6.8,,,,,,,,,,,1.0,0.0,0.0,,,,,,
Jordan James,Running Back,Oregon,Big Ten,70.0,205.0,4.55,,,117.0,,,21.0,3,1,1,1,0,0,0,,,,26.0,26.0,0.0,209.0,8.0,233.0,41.0,15.0,1267.0,5.4,30.0,15.0,1.0,132.0,8.8,107.0,37.0,11.0,759.0,7.1,6.0,1.0,0.0,6.0,6.0,46.0,24.0,5.0,189.0,4.1,,,,,,,,,,,,,,,,,,,
Jaydon Blue,Running Back,Texas,SEC,69.0,196.0,4.38,,,,,,21.0,3,1,1,1,0,0,0,4.0,3.0,0.0,45.0,42.0,6.0,368.0,8.8,134.0,77.0,8.0,730.0,5.4,19.0,14.0,1.0,135.0,9.6,65.0,69.0,3.0,398.0,6.1,,,,,,15.0,10.0,0.0,33.0,2.2,,,,,,,,,,,2.0,2.0,0.0,,,,,,
